,"Gross reported income per taxable person, €","Median value of gross reported income per taxable person, €","Personal income paid tax per taxable person, €","Gross reported income less personal income paid tax per taxable person, €","Personal income paid tax in the overall gross reported income, %"
Portugal,13706,10023,1709,11998,12.5
Continente,13731,10033,1730,12001,12.6
Norte,12337,9191,1382,10955,11.2
Alto Minho,11194,8951,1061,10133,9.5
Arcos de Valdevez,9638,7906,783,8855,8.1
Caminha,11889,9001,1342,10547,11.3
Melgaço,10084,8570,882,9202,8.7
Monção,10372,8653,907,9465,8.7
Paredes de Coura,9585,8102,679,8906,7.1
Ponte da Barca,9521,7841,705,8816,7.4
Ponte de Lima,10176,8583,793,9383,7.8
Valença,10334,8890,786,9549,7.6
Viana do Castelo,12677,9762,1379,11298,10.9
Vila Nova de Cerveira,11055,9220,965,10090,8.7
Cávado,12371,9313,1317,11054,10.6
Amares,10483,8860,848,9634,8.1
Barcelos,10646,8905,873,9773,8.2
Braga,14280,10366,1773,12507,12.4
Esposende,12328,9119,1397,10931,11.3
Terras de Bouro,9583,8253,706,8878,7.4
Vila Verde,9921,8537,742,9179,7.5
Ave,11194,9009,1001,10194,8.9
Cabeceiras de Basto,9451,8019,687,8765,7.3
Fafe,10197,8498,792,9405,7.8
Guimarães,11611,9102,1108,10503,9.5
Mondim de Basto,9058,7676,635,8423,7
Póvoa de Lanhoso,9835,8511,742,9093,7.5
Vieira do Minho,9442,7773,719,8723,7.6
Vila Nova de Famalicão,11804,9439,1101,10703,9.3
Vizela,10424,8895,757,9668,7.3
A. M. Porto,13679,9882,1749,11930,12.8
Arouca,9990,8462,771,9220,7.7
Espinho,13469,9602,1709,11760,12.7
Gondomar,12147,9565,1233,10914,10.2
Maia,15114,11312,2011,13104,13.3
Matosinhos,15353,10980,2173,13180,14.2
Oliveira de Azeméis,11812,9500,1143,10670,9.7
Paredes,9707,8299,749,8957,7.7
Porto,19018,11865,3602,15416,18.9
Póvoa de Varzim,12031,9029,1301,10730,10.8
Santa Maria da Feira,11541,9156,1105,10436,9.6
Santo Tirso,11530,9073,1077,10454,9.3
São João da Madeira,12704,9540,1399,11305,11
Trofa,11626,9424,1090,10536,9.4
Vale de Cambra,11947,9565,1141,10806,9.5
Valongo,12327,9873,1236,11091,10
Vila do Conde,12680,9445,1423,11257,11.2
Vila Nova de Gaia,13695,10081,1717,11978,12.5
Alto Tâmega,10161,7962,932,9229,9.2
Boticas,8967,7440,617,8350,6.9
Chaves,11482,8870,1212,10270,10.6
Montalegre,9306,7338,789,8517,8.5
Ribeira de Pena,9258,7620,706,8551,7.6
Valpaços,8531,6705,619,7912,7.3
Vila Pouca de Aguiar,9522,7626,769,8754,8.1
Tâmega e Sousa,9485,8111,698,8787,7.4
Amarante,9867,7920,841,9026,8.5
Baião,8962,7527,610,8352,6.8
Castelo de Paiva,9181,8075,583,8599,6.3
Celorico de Basto,9055,7678,618,8437,6.8
Cinfães,8241,6660,539,7702,6.5
Felgueiras,9727,8544,700,9027,7.2
Lousada,9364,8375,610,8754,6.5
Marco de Canaveses,9119,7621,658,8460,7.2
Paços de Ferreira,9460,8300,658,8802,7
Penafiel,10058,8393,821,9237,8.2
Resende,8541,6676,620,7921,7.3
Douro,11055,8603,1082,9973,9.8
Alijó,9087,7435,646,8441,7.1
Armamar,9413,7475,721,8693,7.7
Carrazeda de Ansiães,9821,7707,781,9040,7.9
Freixo de Espada à Cinta,9951,8442,756,9196,7.6
