,"25 - 64 years, MF (N.º)","25 - 64 years, M (N.º)","25 - 64 years, F (N.º)","65 years and over, Total, MF (N.º)","65 years and over, Total, M (N.º)","65 years and over, Total, F (N.º)","65 years and over, 75 years and over, MF (N.º)","65 years and over, 75 years and over, M (N.º)","65 years and over, 75 years and over, F (N.º)"
Matosinhos,96245,45127,51118,38816,16654,22162,16536,6584,9952
Oliveira de Azeméis,36829,17664,19165,14850,6466,8384,6949,2780,4169
Paredes,49400,23766,25634,13634,6048,7586,5621,2314,3307
Porto,106658,49392,57266,62078,23648,38430,31331,10841,20490
Póvoa de Varzim,34795,16350,18445,12129,5067,7062,5162,1919,3243
Santa Maria da Feira,78219,37340,40879,27434,11907,15527,12149,4873,7276
Santo Tirso,37366,17776,19590,15956,6861,9095,6958,2752,4206
São João da Madeira,12508,5864,6644,4538,1904,2634,2054,829,1225
Trofa,21980,10407,11573,7329,3227,4102,2982,1168,1814
Vale de Cambra,11360,5443,5917,5570,2401,3169,2692,1054,1638
Valongo,54876,25537,29339,18332,7882,10450,7851,3131,4720
Vila do Conde,44218,21113,23105,15638,6775,8863,6814,2696,4118
Vila Nova de Gaia,166828,77863,88965,60804,26253,34551,26423,10652,15771
Alto Tâmega,43408,20953,22455,26287,11090,15197,14619,5682,8937
Boticas,2469,1223,1246,1641,662,979,1004,384,620
Chaves,20639,9830,10809,10945,4728,6217,5806,2299,3507
Montalegre,4252,2096,2156,3197,1322,1875,1929,727,1202
Ribeira de Pena,3101,1566,1535,1641,674,967,980,372,608
Valpaços,6916,3290,3626,5223,2162,3061,2919,1137,1782
Vila Pouca de Aguiar,6031,2948,3083,3640,1542,2098,1981,763,1218
Tâmega e Sousa,235890,114121,121769,73568,31509,42059,32984,12721,20263
Amarante,29826,14156,15670,10512,4480,6032,4787,1823,2964
Baião,10332,5046,5286,4104,1674,2430,2118,777,1341
Castelo de Paiva,8556,4246,4310,3057,1277,1780,1412,521,891
Celorico de Basto,10660,5314,5346,3950,1579,2371,2098,755,1343
Cinfães,9538,4690,4848,4276,1781,2495,2244,813,1431
Felgueiras,32586,15470,17116,9434,4014,5420,4036,1552,2484
Lousada,27184,12985,14199,6794,2973,3821,2725,1104,1621
Marco de Canaveses,29299,14209,15090,8711,3710,5001,3848,1475,2373
Paços de Ferreira,32948,16503,16445,8684,3936,4748,3455,1418,2037
Penafiel,39658,18902,20756,11693,5100,6593,4972,1986,2986
Resende,5303,2600,2703,2353,985,1368,1289,497,792
Douro,101649,49372,52277,48528,20051,28477,25664,9568,16096
Alijó,5276,2633,2643,3269,1362,1907,1798,678,1120
Armamar,3063,1511,1552,1542,609,933,886,320,566
Carrazeda de Ansiães,2610,1334,1276,1974,788,1186,1160,432,728
Freixo de Espada à Cinta,1640,796,844,956,382,574,592,229,363
Lamego,13643,6589,7054,5846,2408,3438,2867,1042,1825
Mesão Frio,2181,1026,1155,928,363,565,424,133,291
Moimenta da Beira,5070,2472,2598,2438,1023,1415,1343,519,824
Murça,2693,1330,1363,1643,685,958,913,357,556
Penedono,1355,697,658,707,263,444,403,136,267
Peso da Régua,8587,4109,4478,3792,1523,2269,1801,607,1194
Sabrosa,3045,1518,1527,1663,704,959,927,341,586
Santa Marta de Penaguião,3475,1661,1814,1852,753,1099,968,326,642
São João da Pesqueira,3844,1916,1928,1696,729,967,919,352,567
Sernancelhe,2927,1455,1472,1427,620,807,824,344,480
Tabuaço,3369,1626,1743,1553,665,888,845,335,510
Tarouca,4360,2145,2215,1651,686,965,908,345,563
Torre de Moncorvo,3711,1839,1872,2732,1138,1594,1718,663,1055
Vila Nova de Foz Côa,3257,1637,1620,2004,804,1200,1178,438,740
Vila Real,27543,13078,14465,10855,4546,6309,5190,1971,3219
Terras de Trás-os-Montes,54039,26140,27899,32433,14095,18338,18034,7265,10769
Alfândega da Fé,2263,1126,1137,1479,665,814,881,380,501
Bragança,18006,8684,9322,8481,3735,4746,4137,1702,2435
Macedo de Cavaleiros,7111,3408,3703,4628,1957,2671,2632,994,1638
Miranda do Douro,3346,1683,1663,2278,987,1291,1367,548,819
Mirandela,11038,5109,5929,6225,2716,3509,3209,1287,1922
Mogadouro,3966,2023,1943,2964,1262,1702,1864,720,1144
Vila Flor,3058,1447,1611,1863,818,1045,1037,424,613
Vimioso,1906,956,950,1328,568,760,849,341,508
Vinhais,3345,1704,1641,3187,1387,1800,2058,869,1189
Centro,1183393,571540,611853,548889,229730,319159,282767,108048,174719
Oeste,194658,94069,100589,79420,34111,45309,39080,15367,23713
Alcobaça,28945,14035,14910,12749,5452,7297,6330,2485,3845
Alenquer,24393,11899,12494,8591,3704,4887,4198,1619,2579
Arruda dos Vinhos,8374,4082,4292,3065,1303,1762,1569,620,949
Bombarral,6779,3334,3445,3093,1341,1752,1508,590,918
Cadaval,7008,3428,3580,3602,1560,2042,1995,796,1199
Caldas da Rainha,28594,13654,14940,11635,4891,6744,5854,2270,3584
Lourinhã,14210,6800,7410,5378,2389,2989,2487,991,1496
Nazaré,7428,3524,3904,3426,1399,2027,1518,550,968
Óbidos,6218,3017,3201,2906,1271,1635,1492,599,893
Peniche,13926,6679,7247,6170,2597,3573,2903,1087,1816
Sobral de Monte Agraço,6032,2976,3056,1960,872,1088,878,354,524
Torres Vedras,42751,20641,22110,16845,7332,9513,8348,3406,4942
Região de Aveiro,200408,95818,104590,80811,34381,46430,38622,15034,23588
Águeda,24760,11974,12786,11425,5034,6391,5391,2269,3122
Albergaria-a-Velha,13272,6381,6891,5338,2307,3031,2464,962,1502
Anadia,14225,6866,7359,7535,3228,4307,3845,1489,2356
Aveiro,44121,20577,23544,16416,6981,9435,7598,2990,4608
Estarreja,14277,6912,7365,5746,2423,3323,2800,1080,1720
Ílhavo,21690,10307,11383,7855,3254,4601,3593,1322,2271
Murtosa,5616,2798,2818,2123,856,1267,1163,417,746
Oliveira do Bairro,13369,6361,7008,5173,2167,3006,2616,992,1624
Ovar,30606,14713,15893,11155,4750,6405,4992,1933,3059
Sever do Vouga,5953,2946,3007,3053,1282,1771,1668,634,1034
Vagos,12519,5983,6536,4992,2099,2893,2492,946,1546
Região de Coimbra,229667,110405,119262,112407,46507,65900,57960,21981,35979
Arganil,5847,2867,2980,3040,1259,1781,1734,651,1083
Cantanhede,18328,8930,9398,9509,3959,5550,5075,1886,3189
Coimbra,70088,33129,36959,35485,14532,20953,17111,6376,10735
Condeixa-a-Nova,9982,4738,5244,3486,1408,2078,1780,688,1092
Figueira da Foz,31048,14855,16193,15246,6410,8836,7518,2877,4641
Góis,1933,930,1003,1115,451,664,693,261,432
Lousã,9467,4600,4867,3490,1509,1981,1691,670,1021
Mealhada,10943,5247,5696,4712,1938,2774,2484,946,1538
Mira,6229,3002,3227,3122,1274,1848,1685,643,1042
Miranda do Corvo,7176,3497,3679,2829,1159,1670,1457,536,921
Montemor-o-Velho,13771,6719,7052,6205,2630,3575,3297,1322,1975
Mortágua,4443,2148,2295,2729,1104,1625,1520,596,924
Oliveira do Hospital,10032,4863,5169,5110,2179,2931,2844,1116,1728
Pampilhosa da Serra,1951,1006,945,1513,588,925,1052,396,656
Penacova,7082,3517,3565,3988,1606,2382,2079,759,1320
Penela,2726,1335,1391,1569,642,927,971,375,596
Soure,8493,4097,4396,5189,2137,3052,2883,1101,1782
Tábua,6151,2999,3152,2739,1164,1575,1415,545,870
Vila Nova de Poiares,3977,1926,2051,1331,558,773,671,237,434
Região de Leiria,154079,74389,79690,66297,28151,38146,33412,13128,20284
Alvaiázere,3332,1686,1646,2066,780,1286,1253,418,835
Ansião,6344,3071,3273,3326,1342,1984,1856,691,1165
Batalha,8778,4185,4593,3446,1487,1959,1748,670,1078
Castanheira de Pêra,1215,597,618,937,387,550,508,190,318
Figueiró dos Vinhos,2785,1351,1434,1755,692,1063,970,323,647
Leiria,69396,33271,36125,26537,11581,14956,12570,5121,7449
Marinha Grande,20677,9824,10853,8892,3862,5030,4212,1739,2473
Pedrógão Grande,1725,859,866,1002,384,618,652,233,419
Pombal,27364,13394,13970,12899,5349,7550,6854,2644,4210
Porto de Mós,12463,6151,6312,5437,2287,3150,2789,1099,1690
Viseu Dão Lafões,132455,63544,68911,64110,26736,37374,33448,12846,20602
Aguiar da Beira,2593,1209,1384,1188,477,711,589,224,365
Carregal do Sal,4764,2369,2395,2465,1015,1450,1324,504,820
Castro Daire,6870,3451,3419,4031,1649,2382,2243,841,1402
Mangualde,9623,4717,4906,4852,2124,2728,2485,964,1521
Nelas,6598,3120,3478,3555,1504,2051,1872,735,1137
Oliveira de Frades,5361,2610,2751,2242,924,1318,1220,458,762
Penalva do Castelo,3589,1750,1839,2154,874,1280,1244,475,769
Santa Comba Dão,5294,2490,2804,2970,1235,1735,1564,611,953
São Pedro do Sul,7807,3792,4015,4501,1815,2686,2509,909,1600
Sátão,6284,3030,3254,2917,1170,1747,1510,549,961
Tondela,13316,6502,6814,7934,3335,4599,4433,1765,2668
Vila Nova de Paiva,2475,1184,1291,1237,520,717,673,253,420
Viseu,52977,24952,28025,21269,8917,12352,10198,3930,6268
Vouzela,4904,2368,2536,2795,1177,1618,1584,628,956
Beira Baixa,40697,20072,20625,23875,9851,14024,13641,5065,8576
Castelo Branco,27250,13121,14129,13594,5741,7853,6952,2613,4339
Idanha-a-Nova,3425,1739,1686,3055,1252,1803,2052,795,1257
Oleiros,2437,1274,1163,1946,763,1183,1237,445,792
Penamacor,2250,1224,1026,1820,723,1097,1319,489,830
Proença-a-Nova,3757,1927,1830,2275,906,1369,1335,459,876
Vila Velha de Ródão,1578,787,791,1185,466,719,746,264,482
Médio Tejo,122381,59718,62663,60146,24584,35562,32892,12147,20745
Abrantes,17699,8866,8833,10151,4154,5997,5426,1993,3433
Alcanena,6609,3200,3409,3417,1479,1938,1761,707,1054
Constância,2214,997,1217,874,387,487,470,199,271
Entroncamento,12187,5766,6421,4200,1692,2508,2206,843,1363
Ferreira do Zêzere,4149,2047,2102,2133,835,1298,1300,461,839
Mação,3046,1564,1482,2163,865,1298,1412,512,900
Ourém,24114,11778,12336,9955,3955,6000,5270,1881,3389
Sardoal,2072,1045,1027,939,384,555,535,200,335
Sertã,7311,3547,3764,4209,1770,2439,2546,931,1615
Tomar,19029,9276,9753,10187,4119,6068,5516,2021,3495
Torres Novas,18247,8837,9410,9017,3778,5239,4656,1736,2920
Vila de Rei,1788,834,954,984,369,615,680,219,461
Vila Nova da Barquinha,3916,1961,1955,1917,797,1120,1114,444,670
Beiras e Serra da Estrela,109048,53525,55523,61823,25409,36414,33712,12480,21232
Almeida,2933,1436,1497,2054,848,1206,1209,459,750
Belmonte,3402,1693,1709,1757,717,1040,982,362,620
Celorico da Beira,3517,1730,1787,2083,837,1246,1260,455,805
Covilhã,24042,11783,12259,13396,5537,7859,6798,2515,4283
Figueira de Castelo Rodrigo,2798,1431,1367,1710,708,1002,1043,402,641
Fornos de Algodres,2476,1188,1288,1193,464,729,721,259,462
Fundão,13517,6730,6787,7698,3115,4583,4395,1597,2798
Gouveia,6019,2860,3159,4136,1649,2487,2336,822,1514
Guarda,21333,10333,11000,9200,3914,5286,4576,1760,2816
Manteigas,1547,780,767,943,394,549,467,158,309
Mêda,2163,1139,1024,1637,644,993,1022,376,646
Pinhel,4085,1989,2096,2876,1181,1695,1756,675,1081
Sabugal,5085,2577,2508,3816,1516,2300,2370,834,1536
Seia,11538,5591,5947,6562,2745,3817,3140,1180,1960
Trancoso,4593,2265,2328,2762,1140,1622,1637,626,1011
A. M. Lisboa,1477792,694359,783433,640103,265279,374824,308197,119370,188827
Alcochete,10892,5228,5664,3328,1487,1841,1631,682,949
Almada,86136,40111,46025,39688,16526,23162,19479,7586,11893
Amadora,94793,44452,50341,43929,18193,25736,21918,8674,13244
Barreiro,36759,17145,19614,20213,8467,11746,9709,4061,5648
Cascais,112279,51938,60341,44668,17813,26855,20945,7866,13079
Lisboa,234536,111124,123412,143929,55232,88697,77884,26688,51196
Loures,111699,52740,58959,47740,20395,27345,22414,9222,13192
Mafra,46835,22620,24215,13964,6159,7805,6940,2902,4038
Moita,33555,15641,17914,13953,5976,7977,6005,2335,3670
Montijo,32139,15785,16354,9915,4190,5725,4684,1838,2846
Odivelas,85849,40173,45676,34557,14548,20009,16060,6457,9603
Oeiras,88572,40913,47659,44395,18254,26141,21429,8525,12904
Palmela,34454,16398,18056,12538,5499,7039,5907,2496,3411
Seixal,89871,41690,48181,34871,15461,19410,14659,6293,8366
Sesimbra,28473,13621,14852,9060,4057,5003,4258,1821,2437
Setúbal,58310,27593,30717,26007,10984,15023,11772,4623,7149
Sintra,215061,100755,114306,70424,30240,40184,31377,12783,18594
Vila Franca de Xira,77579,36432,41147,26924,11798,15126,11126,4518,6608
Alentejo,362975,179757,183218,179740,75728,104012,95477,36614,58863
Alentejo Litoral,48445,24533,23912,24927,11001,13926,13051,5159,7892
Alcácer do Sal,5639,2791,2848,3568,1488,2080,1863,678,1185
Grândola,7795,4348,3447,3725,1702,2023,2059,853,1206
Odemira,12742,6473,6269,6731,2956,3775,3929,1591,2338
Santiago do Cacém,14785,7257,7528,7906,3522,4384,3960,1549,2411
Sines,7484,3664,3820,2997,1333,1664,1240,488,752
Baixo Alentejo,59942,30351,29591,28909,11899,17010,15218,5485,9733
Aljustrel,4104,2105,1999,2332,981,1351,1139,392,747
Almodôvar,3316,1649,1667,1939,841,1098,1092,446,646
Alvito,1403,674,729,554,244,310,300,115,185
Barrancos,891,450,441,370,149,221,207,73,134
Beja,17380,8734,8646,7534,3147,4387,3658,1369,2289
Castro Verde,3726,1910,1816,1585,662,923,776,268,508
Cuba,2455,1212,1243,997,421,576,519,211,308
Ferreira do Alentejo,4111,2108,2003,2011,824,1187,1049,389,660
Mértola,2913,1555,1358,2155,806,1349,1355,431,924
Moura,6879,3465,3414,3159,1262,1897,1654,545,1109
Ourique,2350,1206,1144,1352,564,788,770,298,472
Serpa,7554,3863,3691,3680,1532,2148,2021,740,1281
Vidigueira,2860,1420,1440,1241,466,775,678,208,470
Lezíria do Tejo,123543,60571,62972,57865,24523,33342,29795,11591,18204
Almeirim,11526,5439,6087,5536,2317,3219,2832,1089,1743
Alpiarça,3422,1679,1743,1940,827,1113,977,376,601
Azambuja,12579,7183,5396,5046,2283,2763,2550,1069,1481
Benavente,16743,7982,8761,5563,2389,3174,2733,1131,1602
Cartaxo,12732,6108,6624,5467,2395,3072,2687,1081,1606
Chamusca,4573,2293,2280,2778,1145,1633,1580,604,976
Coruche,8235,3974,4261,5575,2355,3220,3142,1199,1943
Golegã,2743,1311,1432,1431,589,842,757,286,471
Rio Maior,10620,5164,5456,4797,2025,2772,2385,949,1436
Salvaterra de Magos,11198,5407,5791,5071,2175,2896,2620,1007,1613
Santarém,29172,14031,15141,14661,6023,8638,7532,2800,4732
Alto Alentejo,52924,26022,26902,28323,11812,16511,15845,6119,9726
Alter do Chão,1625,807,818,887,402,485,514,226,288
Arronches,1502,727,775,792,322,470,501,183,318
Avis,2184,1096,1088,1246,531,715,698,288,410
Campo Maior,4045,2011,2034,1777,735,1042,924,350,574
Castelo de Vide,1475,679,796,867,372,495,475,186,289
Crato,1504,715,789,1024,412,612,547,186,361
Elvas,10794,5201,5593,4727,1949,2778,2538,980,1558
Fronteira,1501,699,802,851,345,506,474,180,294
Gavião,1587,814,773,1107,420,687,739,252,487
Marvão,1486,772,714,931,395,536,543,214,329
Monforte,1484,678,806,717,293,424,450,174,276
Nisa,2830,1441,1389,2074,843,1231,1283,469,814
Ponte de Sor,7696,3842,3854,4004,1640,2364,2260,838,1422
Portalegre,11075,5446,5629,6013,2631,3382,3124,1305,1819
Sousel,2136,1094,1042,1306,522,784,775,288,487
Alentejo Central,78121,38280,39841,39716,16493,23223,21568,8260,13308
Alandroal,2494,1324,1170,1482,589,893,918,356,562
Arraiolos,3563,1790,1773,1928,809,1119,1112,419,693
Borba,3458,1760,1698,1894,823,1071,1073,427,646
Estremoz,6428,3136,3292,3699,1529,2170,2319,911,1408
Évora,27207,12808,14399,12557,5203,7354,6001,2280,3721
Montemor-o-Novo,7825,3903,3922,4590,1925,2665,2649,1014,1635
Mora,1967,968,999,1325,555,770,698,243,455
Mourão,1278,660,618,543,233,310,276,95,181
Portel,2965,1571,1394,1590,652,938,925,366,559
Redondo,3285,1632,1653,1593,650,943,906,344,562
Reguengos de Monsaraz,5148,2619,2529,2474,1008,1466,1368,503,865
Vendas Novas,5601,2687,2914,3083,1277,1806,1708,694,1014
Viana do Alentejo,2792,1401,1391,1089,432,657,632,223,409
Vila Viçosa,4110,2021,2089,1869,808,1061,983,385,598
Algarve,229621,109244,120377,97006,41919,55087,48421,19431,28990
Albufeira,23098,10980,12118,7284,3172,4112,3365,1359,2006
Alcoutim,857,436,421,932,407,525,582,243,339
Aljezur,2653,1321,1332,1704,760,944,1075,456,619
Castro Marim,3175,1572,1603,1698,756,942,1012,429,583
Faro,31726,14963,16763,13668,5835,7833,6384,2567,3817
Lagoa,12038,5747,6291,4912,2161,2751,2395,956,1439
Lagos,15863,7485,8378,6570,2791,3779,3322,1285,2037
Loulé,36289,17274,19015,14778,6374,8404,7377,2920,4457
Monchique,2358,1154,1204,1806,825,981,1070,449,621
Olhão,23426,10972,12454,9135,3907,5228,4354,1733,2621
Portimão,29006,13638,15368,11400,4828,6572,5240,2094,3146
São Brás de Alportel,5512,2696,2816,2328,994,1334,1239,489,750
Silves,18887,9399,9488,8679,3838,4841,4655,1854,2801
Tavira,12323,5782,6541,6467,2843,3624,3560,1504,2056
Vila do Bispo,2654,1296,1358,1386,612,774,793,345,448
Vila Real de Santo António,9756,4529,5227,4259,1816,2443,1998,748,1250
R. A. Açores,138335,67524,70811,36958,15507,21451,16029,5801,10228
Santa Maria,3294,1606,1688,866,325,541,362,116,246
Vila do Porto,3294,1606,1688,866,325,541,362,116,246
São Miguel,78527,38311,40216,17766,7404,10362,7462,2630,4832
Lagoa (R.A.A.),8384,4092,4292,1846,806,1040,839,314,525
Nordeste,2717,1378,1339,882,376,506,443,152,291
Ponta Delgada,39205,18959,20246,9541,3875,5666,3936,1369,2567
Povoação,3323,1589,1734,996,405,591,480,174,306
Ribeira Grande,18534,9198,9336,3050,1298,1752,1144,395,749
Vila Franca do Campo,6364,3095,3269,1451,644,807,620,226,394
Terceira,31290,15166,16124,9469,4021,5448,3988,1441,2547
Angra do Heroísmo,18800,9053,9747,6122,2600,3522,2565,915,1650
Vila da Praia da Vitória,12490,6113,6377,3347,1421,1926,1423,526,897
Graciosa,2344,1139,1205,848,346,502,439,155,284
Santa Cruz da Graciosa,2344,1139,1205,848,346,502,439,155,284
São Jorge,4636,2312,2324,1706,718,988,851,342,509
Calheta (R.A.A.),1626,811,815,779,335,444,411,179,232
Velas,3010,1501,1509,927,383,544,440,163,277
Pico,7596,3715,3881,2878,1224,1654,1390,512,878
Lajes do Pico,2435,1172,1263,1088,466,622,554,218,336
Madalena,3259,1573,1686,1145,478,667,538,191,347
São Roque do Pico,1902,970,932,645,280,365,298,103,195
Faial,8253,4011,4242,2631,1112,1519,1154,432,722
Horta,8253,4011,4242,2631,1112,1519,1154,432,722
Flores,2110,1089,1021,706,315,391,335,154,181
Lajes das Flores,833,469,364,300,131,169,156,72,84
Santa Cruz das Flores,1277,620,657,406,184,222,179,82,97
Corvo,285,175,110,88,42,46,48,19,29
Corvo,285,175,110,88,42,46,48,19,29
R. A. Madeira,145856,69522,76334,44162,16251,27911,19576,5890,13686
Calheta (R.A.M.),5923,2857,3066,2417,776,1641,1355,363,992
Câmara de Lobos,19123,9127,9996,4383,1603,2780,1789,531,1258
Funchal,59072,27616,31456,20378,7692,12686,8617,2774,5843
Machico,11608,5759,5849,3609,1364,2245,1494,448,1046
Ponta do Sol,4911,2355,2556,1378,421,957,750,165,585
Porto Moniz,1255,566,689,562,147,415,298,65,233
Ribeira Brava,6857,3257,3600,2154,658,1496,996,214,782
Santa Cruz,27526,13334,14192,5566,2262,3304,2304,753,1551
Santana,3584,1716,1868,1687,559,1128,906,229,677
São Vicente,2728,1334,1394,1300,458,842,748,243,505
Porto Santo,3269,1601,1668,728,311,417,319,105,214
