,"25 - 64 years, MF (N.º)","25 - 64 years, M (N.º)","25 - 64 years, F (N.º)","65 years and over, Total, MF (N.º)","65 years and over, Total, M (N.º)","65 years and over, Total, F (N.º)","65 years and over, 75 years and over, MF (N.º)","65 years and over, 75 years and over, M (N.º)","65 years and over, 75 years and over, F (N.º)"
Portugal,5505742,2627088,2878654,2309648,966168,1343480,1125535,431987,693548
Continente,5221551,2490042,2731509,2228528,934410,1294118,1089930,420296,669634
Norte,1967770,935142,1032628,762790,321754,441036,355068,136833,218235
Alto Minho,121958,57953,64005,58547,23304,35243,31319,11422,19897
Arcos de Valdevez,10159,4888,5271,6732,2513,4219,4118,1482,2636
Caminha,8445,3943,4502,4120,1622,2498,2132,754,1378
Melgaço,3840,1803,2037,2874,1038,1836,1825,642,1183
Monção,9292,4425,4867,5248,1981,3267,2960,1052,1908
Paredes de Coura,4385,2189,2196,2371,931,1440,1399,506,893
Ponte da Barca,6054,2867,3187,2735,1033,1702,1532,563,969
Ponte de Lima,22261,10609,11652,9165,3688,5477,4818,1777,3041
Valença,7071,3310,3761,3337,1354,1983,1659,586,1073
Viana do Castelo,45580,21573,24007,19862,8309,11553,9749,3666,6083
Vila Nova de Cerveira,4871,2346,2525,2103,835,1268,1127,394,733
Cávado,228837,108590,120247,74434,31708,42726,33039,12792,20247
Amares,10172,4873,5299,3501,1553,1948,1645,686,959
Barcelos,65917,31568,34349,21760,9247,12513,9465,3613,5852
Braga,104195,48804,55391,32232,13845,18387,13604,5319,8285
Esposende,19263,9126,10137,6172,2592,3580,2708,1014,1694
Terras de Bouro,3319,1588,1731,1717,725,992,962,379,583
Vila Verde,25971,12631,13340,9052,3746,5306,4655,1781,2874
Ave,232841,111338,121503,79591,33877,45714,34638,13238,21400
Cabeceiras de Basto,8630,4199,4431,3079,1267,1812,1686,607,1079
Fafe,26613,12465,14148,10065,4091,5974,4392,1514,2878
Guimarães,86580,41530,45050,28984,12469,16515,11934,4656,7278
Mondim de Basto,3784,1796,1988,1585,662,923,870,341,529
Póvoa de Lanhoso,12098,5681,6417,4193,1811,2382,2038,781,1257
Vieira do Minho,6446,3106,3340,2876,1226,1650,1591,631,960
Vila Nova de Famalicão,74642,35784,38858,24906,10662,14244,10538,4118,6420
Vizela,14048,6777,7271,3903,1689,2214,1589,590,999
A. M. Porto,949148,446675,502473,369402,156120,213282,164771,64145,100626
Arouca,11188,5478,5710,4555,1865,2690,2163,780,1383
Espinho,15336,7206,8130,7877,3227,4650,3642,1370,2272
Gondomar,92582,43641,48941,34174,14754,19420,14509,5791,8718
Maia,78760,36708,42052,25688,11181,14507,10935,4611,6324
