,"Pre-primary education, Total (N.º)","Pre-primary education, Public (N.º)","Pre-primary education, Private (N.º)","Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, Public (N.º)","Primary education, 1st cycle, Private (N.º)","Primary education, 2nd cycle, Total (N.º)","Primary education, 2nd cycle, Public (N.º)","Primary education, 2nd cycle, Private (N.º)","Lower secondary education, 2nd cycle, Total (N.º)","Lower secondary education, 2nd cycle, Public (N.º)","Lower secondary education, 2nd cycle, Private (N.º)"
Portugal,251060,135372,115688,371339,321067,50272,206496,182240,24256,327913,290622,37291
Continente,238618,128029,110589,352605,305533,47072,196191,172747,23444,310757,274701,36056
Norte,82552,47662,34890,118660,104859,13801,67629,60755,6874,109023,98110,10913
Alto Minho,5020,3408,1612,6948,6684,264,3983,3859,124,6419,6155,264
Arcos de Valdevez,367,188,179,529,529,0,270,270,0,492,492,0
Caminha,329,221,108,461,461,0,251,251,0,394,376,18
Melgaço,111,62,49,167,167,0,120,120,0,136,136,0
Monção,333,238,95,388,388,0,257,257,0,433,424,9
Paredes de Coura,159,70,89,234,234,0,144,144,0,230,230,0
Ponte da Barca,210,157,53,325,325,0,163,163,0,292,292,0
Ponte de Lima,915,862,53,1266,1266,0,736,736,0,1222,1210,12
Valença,318,318,0,432,432,0,231,231,0,354,354,0
Viana do Castelo,2088,1133,955,2860,2596,264,1650,1526,124,2576,2351,225
Vila Nova de Cerveira,190,159,31,286,286,0,161,161,0,290,290,0
Cávado,10637,6099,4538,14871,12622,2249,8336,7118,1218,13445,11653,1792
Amares,378,340,38,529,529,0,336,336,0,506,506,0
Barcelos,2671,2068,603,3795,3625,170,2148,1935,213,3462,3112,350
Braga,5444,2224,3220,7545,5575,1970,4261,3256,1005,6877,5473,1404
Esposende,914,507,407,1300,1300,0,670,670,0,1087,1060,27
Terras de Bouro,132,99,33,166,166,0,89,89,0,191,191,0
Vila Verde,1098,861,237,1536,1427,109,832,832,0,1322,1311,11
Ave,9995,4796,5199,13444,12616,828,7422,7019,403,12124,11427,697
Cabeceiras de Basto,360,262,98,512,512,0,282,282,0,531,520,11
Fafe,1128,464,664,1512,1389,123,903,838,65,1401,1296,105
Guimarães,3844,1608,2236,5018,4614,404,2695,2491,204,4518,4187,331
Mondim de Basto,114,66,48,170,170,0,108,108,0,170,170,0
Póvoa de Lanhoso,459,362,97,724,724,0,453,453,0,657,642,15
Vieira do Minho,195,176,19,311,311,0,179,179,0,294,294,0
Vila Nova de Famalicão,3304,1387,1917,4401,4100,301,2339,2205,134,3817,3582,235
Vizela,591,471,120,796,796,0,463,463,0,736,736,0
A. M. Porto,40643,21786,18857,59581,50384,9197,33987,29486,4501,54294,47153,7141
Arouca,468,374,94,737,737,0,434,434,0,689,689,0
Espinho,836,610,226,1055,1055,0,787,747,40,1458,1368,90
Gondomar,3340,2123,1217,4914,4249,665,2779,2431,348,4299,3829,470
Maia,3332,1688,1644,4801,4279,522,2840,2565,275,4251,3957,294
Matosinhos,3976,1900,2076,5700,4898,802,3004,2836,168,5062,4643,419
Oliveira de Azeméis,1349,779,570,1978,1872,106,1057,1057,0,1637,1637,0
Paredes,1852,1495,357,2833,2631,202,1752,1657,95,2720,2605,115
Porto,6762,1823,4939,10063,5969,4094,5603,3455,2148,9165,5757,3408
Póvoa de Varzim,1526,504,1022,2346,2122,224,1524,1395,129,2357,2211,146
Santa Maria da Feira,3131,1916,1215,4284,3946,338,2298,2052,246,3558,3277,281
Santo Tirso,1356,867,489,2097,1752,345,1338,1185,153,2152,1843,309
São João da Madeira,778,469,309,1234,1123,111,707,669,38,1129,1062,67
Trofa,799,631,168,1154,1077,77,661,618,43,1128,992,136
Vale de Cambra,453,404,49,657,657,0,354,354,0,546,546,0
Valongo,2099,1408,691,3044,2716,328,1782,1640,142,3040,2795,245
Vila do Conde,1987,1224,763,2701,2592,109,1455,1441,14,2279,2249,30
Vila Nova de Gaia,6599,3571,3028,9983,8709,1274,5612,4950,662,8824,7693,1131
Alto Tâmega,1472,918,554,2118,1977,141,1200,1200,0,1979,1979,0
Boticas,82,48,34,110,110,0,76,76,0,101,101,0
Chaves,684,388,296,1059,918,141,602,602,0,961,961,0
Montalegre,134,134,0,195,195,0,93,93,0,192,192,0
Ribeira de Pena,119,62,57,174,174,0,77,77,0,172,172,0
Valpaços,240,123,117,318,318,0,177,177,0,327,327,0
Vila Pouca de Aguiar,213,163,50,262,262,0,175,175,0,226,226,0
Tâmega e Sousa,9145,7114,2031,13740,13011,729,8092,7531,561,13346,12487,859
Amarante,1048,756,292,1695,1510,185,1006,654,352,1577,1037,540
Baião,293,123,170,500,500,0,272,272,0,483,483,0
Castelo de Paiva,344,255,89,528,528,0,312,312,0,537,537,0
Celorico de Basto,319,294,25,495,495,0,261,261,0,478,478,0
Cinfães,309,309,0,547,547,0,298,298,0,484,484,0
Felgueiras,1276,877,399,1858,1723,135,1077,1077,0,1893,1893,0
Lousada,1174,949,225,1735,1563,172,1025,913,112,1621,1481,140
Marco de Canaveses,1148,1066,82,1668,1668,0,1054,1054,0,1667,1667,0
Paços de Ferreira,1324,946,378,2006,1841,165,1256,1159,97,2025,1859,166
Penafiel,1679,1344,335,2417,2345,72,1352,1352,0,2277,2264,13
Resende,231,195,36,291,291,0,179,179,0,304,304,0
Douro,3650,2430,1220,5222,5038,184,3047,2980,67,4861,4806,55
Alijó,183,83,100,238,238,0,143,143,0,248,248,0
Armamar,109,88,21,141,141,0,83,83,0,131,131,0
Carrazeda de Ansiães,101,64,37,143,143,0,73,73,0,135,135,0
Freixo de Espada à Cinta,48,13,35,94,94,0,49,49,0,77,77,0
Lamego,453,316,137,694,656,38,393,377,16,697,662,35
Mesão Frio,70,70,0,106,106,0,80,80,0,119,119,0
Moimenta da Beira,224,142,82,269,269,0,169,169,0,253,253,0
Murça,76,52,24,147,147,0,70,70,0,132,121,11
Penedono,44,20,24,61,61,0,38,38,0,86,86,0
Peso da Régua,319,115,204,482,482,0,281,281,0,425,425,0
Sabrosa,87,72,15,131,131,0,77,77,0,146,146,0
Santa Marta de Penaguião,122,39,83,148,148,0,73,73,0,90,90,0
São João da Pesqueira,129,129,0,192,192,0,127,127,0,196,187,9
Sernancelhe,88,71,17,126,126,0,63,63,0,107,107,0
Tabuaço,68,68,0,111,111,0,53,53,0,125,125,0
Tarouca,170,136,34,233,233,0,143,143,0,215,215,0
Torre de Moncorvo,95,80,15,143,143,0,88,88,0,114,114,0
Vila Nova de Foz Côa,90,67,23,139,139,0,78,78,0,135,135,0
Vila Real,1174,805,369,1624,1478,146,966,915,51,1430,1430,0
