,Total (€),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (€)","Profissão principal, Especialistas das atividades intelectuais e científicas (€)","Profissão principal, Técnicos/as e profissionais de nível intermédio (€)","Profissão principal, Pessoal administrativo  (€)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (€)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (€)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (€)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (€)","Profissão principal, Trabalhadores/as não qualificados  (€)"
Almada,1184.02,2146.74,1924.79,1316.96,1100.25,852.58,809.14,906.41,1050.09,813.92
Amadora,1476.8,3393.76,2404.4,1675.22,1217.93,886.43,842.84,1046.97,1049.71,867.31
Barreiro,1164.49,2171.25,1816.06,1496.93,1011.03,851.19,750.7,1067.91,1242.98,784.72
Cascais,1264.15,2588.01,1920.07,1452.04,1187.48,956.13,885.63,983.76,1000.09,875.45
Lisboa,1702.78,3991.67,2205.58,1883.44,1307.72,981.65,956.78,1104.18,1242.79,937.34
Loures,1256.21,2811.36,1956.04,1567.82,1117.73,946.81,744.26,1088.72,1181.25,832.25
Mafra,1067.73,2042.36,1533.67,1335.18,1060.57,901.64,804.9,951.47,1219.71,834.15
Moita,1009.45,1983.53,1441.74,1290.45,1064.78,848.59,913.5,891.13,991.85,761.32
Montijo,1086.89,2501.24,1722.99,1352.55,1027.95,913.16,844.49,1036.96,1039.91,778.09
Odivelas,1003.55,1628.43,1364.01,1093.13,1001.08,861.29,751.22,930.27,971.23,812.64
Oeiras,1839.81,4519.7,2343.94,2025.4,1392.5,1110.28,833.96,1172.92,1133.22,1020.13
Palmela,1443.47,3074.64,1884.93,1742.03,1523.64,897.35,869.03,1233.69,1502.14,910.15
Seixal,1356.96,1932.41,1566.57,3464.24,1000.62,879.28,715.97,998.61,1082.61,826.95
Sesimbra,1022.52,1797.41,1517.96,1224.04,1019.55,829.91,1283.53,969.86,1036.36,782.39
Setúbal,1257.47,2486.28,1790.96,1590.2,1249.75,878.16,1194.86,1082.98,1247.33,870.52
Sintra,1255.4,2804,1831.68,1568.62,1181.25,947.51,843.76,1052.67,1089.15,874.73
Vila Franca de Xira,1273.26,2830.92,1916.52,1542.54,1109.67,906.14,842.31,1200.39,1144.08,903.54
Alentejo,1107.85,1991.97,1767.93,1462.74,1071.21,856.41,875.6,1022.74,1143.67,832.11
Alentejo Litoral,1206.63,2133.15,2041.41,1858.25,1226.99,868.28,819.79,1024.81,1550.65,833.16
Alcácer do Sal,1023.01,2156.34,1532.2,1224.14,1182.41,867.6,916.95,930.9,1101.23,862.68
Grândola,1045.19,2345.58,1545.3,1385.63,999.29,904.2,849.13,1023.55,1001.53,818
Odemira,922.82,1808.47,1639.01,1187.44,1168.92,829.2,757.74,824.99,959.65,825.8
Santiago do Cacém,1072.57,1607.75,1721.82,1232.78,1046.72,828.81,929.28,993.53,943.7,834.32
Sines,1861.82,3186,3011.42,2547.97,1635.45,956.02,1329.38,1266.45,1953.58,870.65
Baixo Alentejo,1166.3,1764.64,1945.54,1441.36,1119.52,842.79,868.75,1143.74,1395.94,865.3
Aljustrel,1193.78,1910.28,1893.25,1609.93,1170.91,833.9,920.4,1282.62,1152.91,921.29
Almodôvar,945.37,1446.23,1300.83,1256.62,979.99,848.13,837.74,915.27,929.79,779.25
Alvito,1045.39,1726.87,1540.16,977.29,1103.79,817.74,880.6,1026.24,1076.05,820.81
Barrancos,885.39,1229.85,1523.15,1015.67,967.65,814,774.33,857.06,…,803.27
Beja,1128.72,2180.02,1810.71,1274.76,1098.92,866.69,872.8,1044.62,1059.28,863.71
Castro Verde,1941.06,2433.38,3204.43,2655.38,1271.4,814.56,806.36,1883.7,2139.09,1116.5
Cuba,1024.12,2808.33,1613.71,1094.26,1335.82,812.35,928.88,833.17,952.25,812.04
Ferreira do Alentejo,1043.88,1753.92,1513.87,1187.98,1210.99,829.72,928.03,830.34,1114.42,905.35
Mértola,889.05,1118.83,1404.13,927.61,1005.18,810.14,823.01,797.25,843.23,823.87
Moura,974.5,1140.9,1513.54,1254.35,1216.55,828.6,818.95,903.51,883.58,815.67
Ourique,925.61,1421.47,1242.7,1163,926.45,837.05,841.4,862.33,920.19,821.46
Serpa,913.35,1301.27,1303.62,1039.5,1037.71,815.94,857.78,856.8,948.39,794.73
Vidigueira,984.71,1239.58,1675.5,1153.52,1256.6,818.91,972.6,779.64,952.06,821.17
Lezíria do Tejo,1075.15,2081.26,1690.89,1376.5,1033.37,867.94,873.77,992.47,970.39,821.58
Almeirim,993.66,1645.05,1437.82,1259.41,1013.28,825.64,830.68,947.98,971.15,800.25
Alpiarça,1001.29,1470.63,1477.45,1403.59,1046.36,794.38,1021.86,952.98,962.72,885.06
Azambuja,1087.87,3138.51,2009.26,1689.84,1020.59,973.73,1010.73,1011.36,833.96,875.44
Benavente,1127.19,2301.83,1727.23,1437.87,1066.84,895.08,883.04,1035.2,1059.68,808.07
Cartaxo,1048.77,1915.41,1528.46,1225.81,1140.42,845.66,745.47,980.01,932.05,828.85
Chamusca,1007.99,1527.88,1522.79,1252.14,946.11,834.2,863.01,927.58,1004.25,820.31
Coruche,1041.04,1683.04,1475.62,1204.66,1056.77,824.01,969.44,1016.37,1109.97,836.21
Golegã,1030.81,1895.86,1586.63,1217.74,1048.06,795.52,881.12,1007.56,1011.62,800.28
Rio Maior,1070.79,2311.49,1619.81,1320.6,1039.84,868.34,788.56,956.31,1149.54,817.7
Salvaterra de Magos,1034.19,1761.15,1518.81,1141.25,997.22,826.38,880.12,978.46,1123.69,829.63
Santarém,1099.48,2077.54,1753.41,1354.88,1028.17,871.42,845.89,1021.83,997.42,807.11
Alto Alentejo,1029.47,1969.8,1506,1351.82,1006.27,817.37,915.96,960.62,1020.34,821.28
Alter do Chão,932.56,1436.91,1199.72,1155.76,1109.87,781.37,986.62,1021.12,852.6,800.82
Arronches,906.09,1320.54,1202.41,1103.59,1070.01,813.75,972.17,747.1,1037.8,792.85
Avis,974.38,1919.64,1750.18,1313.29,1105.18,760.49,830.06,872.99,957.49,848.3
Campo Maior,1324.28,4189.17,1866.74,1631.24,1152.3,919.57,906.73,1159.8,1151.9,880.54
Castelo de Vide,906.64,1231.23,1363.66,929.81,954.23,813.32,805.73,835.48,1014.66,795.57
Crato,867.91,1133.6,1380.18,1022.36,954.34,789.79,820.4,786.59,774.41,760.06
Elvas,941.56,1657.01,1352.53,1129.06,846.35,836.41,993.79,854.78,1079.99,806.88
Fronteira,956.73,1326.06,1590.64,1070.83,1198.94,760.74,1050.79,889.88,969.44,804.75
Gavião,864.77,1731.53,1254.11,1161.18,1092.67,718.36,888.85,786.3,1133.84,695.01
Marvão,858.92,930.94,1276.87,985.29,818.9,722.44,830.49,981.19,741.89,803.7
Monforte,1034.52,1842.33,1353,1198.98,1097.23,844.72,956.87,840.96,1146.54,879.83
Nisa,854.34,1212.07,1120.1,1087.21,908.96,782.59,761.6,946.23,911.89,764.56
Ponte de Sor,1073.04,2201.19,1535.63,1682.69,1106.32,825.73,855.05,1022.29,992.01,812.85
Portalegre,1041.27,1759.95,1560.88,1331.9,1072.56,834.78,835.51,937.29,938.88,820.67
Sousel,963.02,1343.84,1415.74,1243.73,1121.83,780.74,889.71,931.48,999.27,874.36
Alentejo Central,1086.77,1934.35,1673.14,1366.09,1096.15,867.96,951.73,1030.74,1016.44,825.43
Alandroal,994.8,1596.67,2080.19,1575.04,1261.15,806.89,854.9,897.94,830.93,755.16
Arraiolos,1024.82,2362.29,1623.66,1307.77,984.74,795.81,1076.66,882.48,1057.96,861.3
Borba,992.77,1458.89,1435.05,1299.04,1035.29,870.08,869.12,869.03,1068.9,797.34
Estremoz,1001.64,1654.05,1552.11,1229.4,1033.01,864.81,933.7,960.59,894.04,834.06
Évora,1166.56,2203.49,1784.08,1459.84,1127.92,892.04,1009.07,1072.51,1008.83,831.2
Montemor-o-Novo,1007.41,1477.34,1397.88,1172.75,1056.06,843.3,908.65,998.22,1066.56,817.49
Mora,1010.62,2000.16,1418.19,1258.88,1209.46,814.7,788.3,1077.57,1072.68,838.45
Mourão,937.73,1813.51,1342.26,1058.87,948.67,798.54,877.28,778.27,913.28,822.59
Portel,965.51,2327.93,1389.49,1333.71,947.55,795.83,1074.91,784.94,1039.24,854.29
Redondo,985.61,1634.11,1466.46,1184.74,1068.44,836.82,913.82,780.96,1355.76,823.18
Reguengos de Monsaraz,985.79,1966.68,1429.18,1147.45,1104.63,839.25,855.35,895.1,930.26,790.07
Vendas Novas,1095.44,2207.41,1630.12,1309.84,1070.68,901.64,850.6,1131.4,1002.57,809.86
Viana do Alentejo,951.15,1184.05,1282.53,1090.58,1161.9,804.47,932.48,908.2,909.83,816.26
Vila Viçosa,1112.94,1778.87,1437.21,1335.86,1115.07,875.82,883.93,1103.52,1112.89,855.51
Algarve,1070.96,1894.79,1623.91,1393.11,1073.7,914.03,925.76,953.27,996.44,841.56
Albufeira,1062.14,2156.96,1497.06,1399.75,1090.55,964.74,949.61,1020.22,922.23,847.61
Alcoutim,897.43,1402.82,1154.85,1026.9,1202.62,724.47,739.22,769.01,979.26,783.79
Aljezur,915.74,1135.16,1293.05,983.92,1010.18,836.36,1250.94,901.33,886.65,806.25
Castro Marim,894.54,1240.28,1369.8,1104.43,960.64,835.29,775.18,849.69,905.93,784.25
Faro,1214.97,2186.28,1765.18,1592.57,1169.29,910.29,803.78,1019.91,1039.75,859.26
