,Total (€),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (€)","Profissão principal, Especialistas das atividades intelectuais e científicas (€)","Profissão principal, Técnicos/as e profissionais de nível intermédio (€)","Profissão principal, Pessoal administrativo  (€)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (€)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (€)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (€)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (€)","Profissão principal, Trabalhadores/as não qualificados  (€)"
Espinho,1002.26,2166.24,1357.89,1199.54,997.63,807.13,1153.17,879.84,846.42,775.86
Gondomar,1046.37,2028.61,1456.41,1304.53,992.87,875.32,758.42,890.66,941.1,812.52
Maia,1297.46,3364.25,1959.44,1576.85,1151.56,900.25,938.96,1043.37,983.39,867.52
Matosinhos,1387.5,3022.94,2030.42,1618.88,1159.07,945.21,872.47,1053.59,1290.97,851.1
Oliveira de Azeméis,1172.21,2630.7,1940.7,1606.57,1139.74,868.68,827.85,1096.35,967.59,858.15
Paredes,960.88,1753.65,1481.75,1203.95,943.43,815.64,789.16,831.95,914.1,798.03
Porto,1498.25,3106.38,1990.19,1811.62,1181.58,918.6,798.29,1048.58,1142.49,891.68
Póvoa de Varzim,1029.65,1830.79,1520.26,1226.11,1057.29,852.94,1117.74,886.16,859.99,795.08
Santa Maria da Feira,1126.41,2629.26,1668.15,1452.99,1090.28,905.67,795.05,966.87,939.33,876.11
Santo Tirso,1040.92,1990.42,1652.87,1310.76,1066.51,860.8,745.23,886.63,906.58,842.25
São João da Madeira,1146.21,2672.16,1807.99,1495.27,1070.86,908.6,…,1058.57,891.74,884.53
Trofa,1145.1,2616.11,2178.27,1215.42,1026.24,888.43,770.13,987.98,934.05,811.72
Vale de Cambra,1183.24,2752.96,1830.88,1516.88,1085.92,844.51,774.58,1043.86,1047.27,811.93
Valongo,1116.97,2086.08,1791.22,1336.82,1036.53,913.76,812.72,955.44,1018.32,834.26
Vila do Conde,1172.35,2509.74,1734.29,1583.71,1083.14,914.37,992.24,961.23,1030.42,887.78
Vila Nova de Gaia,1203.08,2659.73,1741.1,1388.46,1069.75,926.67,835.87,972.32,1012.21,827.56
Alto Tâmega,975.61,1522.66,1478.58,1318.69,940.13,794.91,790.32,858.49,916.17,838.58
Boticas,854.88,1509.92,1424.55,976.34,848.3,758.53,729.07,761.27,796.89,751.78
Chaves,1002,1641.15,1494.97,1403.43,930.43,809.28,845.31,859.18,910.53,913.02
Montalegre,920.55,1126.75,1133.38,1235.57,1071.53,795.16,810.21,886.97,884.18,741.13
Ribeira de Pena,1169.48,2475.43,1698.35,1399.3,1056.4,796.6,1111.93,1017.25,1238,827.53
Valpaços,863.61,1304.95,1279.77,1056.54,896.39,773.31,714.91,773.18,795.74,759.61
Vila Pouca de Aguiar,946.55,1354.45,1619.72,1283.2,950.25,765.34,725.46,863.63,831.66,778.95
Tâmega e Sousa,936.96,1508.25,1551.08,1213.07,963.97,820.04,763.64,847.56,821.96,802.04
Amarante,950.61,1379.27,1450.78,1133.42,934.83,791.78,734.54,872.72,884.32,791.1
Baião,942.14,1053.73,1324.19,978.87,908.53,752.05,768.11,911.33,1022.29,926.98
Castelo de Paiva,886.62,1499.38,1321.6,1129.43,992.21,793.47,769.71,799.34,782.54,805.03
Celorico de Basto,845.04,1126.17,1227.29,1020.1,924.23,762.61,850.73,813.13,795.35,768.63
Cinfães,947.02,1252.24,1180.83,1114.44,918.04,750.96,733.9,975.35,905.96,812.54
Felgueiras,908.91,1807.86,1401.22,1285.16,1016.64,859.15,759.14,831.89,792.02,773.8
Lousada,893.75,1617.79,1310.06,1105.77,918.8,796.9,703.65,819.69,842.66,805.69
Marco de Canaveses,904.22,1474.99,1320.43,1065.41,920.03,805.43,762.59,851.87,830.93,803.78
Paços de Ferreira,933.65,1443.01,1318.31,1429.64,988.32,867.42,732.67,808.13,811.78,820.55
Penafiel,1037.06,1680.21,1947.51,1279.03,969.88,835.23,759.3,873.32,840.05,791.89
Resende,880.1,1130.64,1142.28,947.5,879.4,748.7,792.58,947.72,761.73,769.59
Douro,993.68,1691.24,1613.22,1209.63,983.32,807.57,811.78,843.66,930.3,768.89
Alijó,950.64,1197.49,1518.5,1299.25,947.8,788.63,882.54,794.93,966.37,804.52
Armamar,906.84,1287.17,1451.16,977.02,1113.31,808.2,738.55,798.42,847.79,749.7
Carrazeda de Ansiães,882.55,1251.78,1402.18,944.53,1057.3,753.13,888.4,794.34,915.2,750.81
Freixo de Espada à Cinta,900.71,1545.77,1264.48,942.74,1052.54,784.18,783.39,795.4,901.84,734.8
Lamego,958.03,1915.11,1354.43,1201.92,996.44,819.84,840.99,852.65,880.77,750.88
Mesão Frio,855.91,1200.92,1077.55,993.02,879.26,754.11,765.53,827.4,1170.7,720.74
Moimenta da Beira,877.37,1629.33,1124.57,973.74,931.88,732.28,752.54,826.07,876.72,757.88
Murça,938.01,1464.86,1356.91,1290.32,976.36,813.22,745.58,779.35,936.66,768.97
Penedono,831.84,970.36,1253.15,947.47,970.91,736.34,760.29,773.57,832.77,740.39
Peso da Régua,1005.07,1672.56,1427.44,1299.99,1004.46,826.91,788.19,933.87,1026.68,733.81
Sabrosa,984.87,1749.23,1366.75,1328.44,980.88,812.13,812.73,787.78,1008.53,817.44
Santa Marta de Penaguião,871.56,1539.57,1116.54,1086.5,1029.34,778.19,840.83,713.26,845,751.24
São João da Pesqueira,980.42,1750.29,1523.93,1350.47,1066.97,799.65,869.21,898.61,853.43,788.03
Sernancelhe,848.4,1066.65,1204.54,1078.84,888.28,717.91,787.78,761.28,841.19,768.96
Tabuaço,973.43,1639.01,1539.96,1352.39,1128.3,762.77,882.21,821.22,907.93,747.73
Tarouca,855.18,1608.35,1287.41,1092.81,854.88,748.4,826.27,802.51,855.16,712.59
Torre de Moncorvo,891.67,1173.84,1390.89,1047.31,964.16,749.79,790.61,832.96,862.44,734.75
Vila Nova de Foz Côa,935.43,1545.13,1354.8,999.68,942.61,762.23,808.08,921.6,987.12,800.05
Vila Real,1115.35,2057.32,1887.5,1260.46,985.65,843.77,780.21,879.79,962.76,805.06
Terras de Trás-os-Montes,988.17,1514.98,1545.41,1203.67,969.13,806.67,802.76,863.39,892.55,806.14
Alfândega da Fé,889.93,1338.96,1318.79,932.51,987.42,807.37,804.18,780.43,970.15,734.28
Bragança,1046.87,1707.69,1671.45,1274.42,973.83,831.02,773.55,874.34,878.38,791.92
Macedo de Cavaleiros,930.67,1331.19,1471.04,1184.44,895.77,769.36,758.08,823.23,852.12,763.57
Miranda do Douro,916.03,1050,1332.09,1745.59,992.02,772.35,740.34,853.96,822.53,757.59
Mirandela,1001.38,1889.01,1448.03,1126.43,992.73,835.57,866.29,888.18,889.19,863.6
Mogadouro,920.96,1116.72,1346.86,1086.82,1022.71,737.05,835.11,910.45,1153.98,751.15
Vila Flor,969.79,2094.63,1410.15,1253.58,1011.77,790.52,838.45,908.78,945.9,886.16
Vimioso,890.32,1208.3,1323.87,966.39,1016.67,764.38,…,764.7,786.47,755.16
Vinhais,853.91,1740.71,1438.1,977,816.3,744.36,728.3,752.39,983.1,719.55
Centro,1104.06,2112.41,1631.7,1362,1051.62,857.76,874.68,988.79,1073.24,830.57
Oeste,1061.13,1981.32,1560.52,1351.81,1033.37,862.23,949.8,962.96,1075.16,817.67
Alcobaça,1038.68,1957.62,1408.58,1284.17,1017.5,841.35,823.23,978.09,1067.15,822.48
Alenquer,1217.74,2840.47,2020.94,1682.29,1120.71,974.65,902.57,1081.42,1011.43,896.04
Arruda dos Vinhos,1107.84,1768.83,1773.4,1191.14,1004.06,831.75,842.05,982.86,1065.38,758.67
Bombarral,967.68,1377.19,1436.44,1252.54,1040.97,882.33,821.1,886.47,877.45,813.53
Cadaval,1017.51,1792.51,1600.02,1261.88,972.01,798.68,954.09,908.04,1025.91,851.66
Caldas da Rainha,1019.26,1863.22,1493.2,1204.15,1011.19,850.85,823.71,939.93,1243.99,769.87
Lourinhã,999.69,1578.25,1339.93,1057.97,981.56,819.15,1358.96,894.63,1187.43,800.6
Nazaré,1030.94,1676.32,1362.68,1248.22,966.96,827.85,811.31,880.57,1573.93,857.74
Óbidos,1026.1,1669.23,1390.32,1232.58,996.76,856.32,891.54,880.64,1007.58,821.37
Peniche,995.17,1784.24,1476.12,1211.87,1020.92,835.43,1153.33,866.76,975.1,841.46
Sobral de Monte Agraço,1029.83,1591.74,1398.64,1263.1,1067.73,824.62,734.45,948.58,1139.39,822.37
Torres Vedras,1073.47,2105.01,1616.98,1401.51,1047.58,882.4,807.38,956.13,1024.98,816.4
Região de Aveiro,1165.87,2438.45,1734.37,1476.5,1065.94,890.43,864.95,1024.41,1057.55,847.17
Águeda,1089.15,2492.46,1481.87,1317.32,1046.1,933.66,950.47,1032.74,917.38,842.77
Albergaria-a-Velha,1139.9,2480.21,1616.7,1433.53,1021.09,872.78,862.2,1060.41,1067.26,838.07
Anadia,1035.36,1885.88,1484.9,1352.13,1000.34,827.27,924.46,972.15,938.95,799.78
Aveiro,1286.05,2645.21,1888.88,1575.66,1117.17,926.09,885.66,1076.66,1174.68,855.85
Estarreja,1296.95,2504.48,1962.36,1757.8,1108.08,836.48,807.63,1072.45,1354.29,863.71
Ílhavo,1178.98,2620.03,1651.66,1493.25,1111.85,860.5,913.96,982.24,1005.82,917.86
Murtosa,941.09,1561.56,1324.53,1226.42,1104.75,783.24,864.23,863.26,922.7,779.4
Oliveira do Bairro,1094.59,2268.77,1525.94,1393.36,1004,881.58,766.38,987,1021.58,892.48
Ovar,1114.5,2335.82,1747.13,1428.31,1058.85,886.93,769.42,982.72,965.96,822.42
Sever do Vouga,1123.91,2016.45,1542.81,1290.94,1027.91,864.27,840.7,1145.8,1019.33,842.08
Vagos,1046.78,2447.03,1502.45,1319.56,1025.15,837.43,825.33,951.9,918.53,815.95
Região de Coimbra,1119.46,2141.43,1670.82,1307.68,1060.86,862.02,842.94,979.68,1080.96,840.83
Arganil,893,1502.35,1366.28,1049,998.58,799.02,826.45,835.62,829.69,747.18
Cantanhede,1109.54,2411.96,1462.64,1353.23,1063.24,871.48,845.35,1042.54,1059.83,900.28
Coimbra,1214.19,2293.8,1803.49,1312.93,1077.82,897.92,846.26,1030.3,1037.91,861.66
Condeixa-a-Nova,1016.53,2029.23,1286.13,1103.98,1083.08,807.27,830.63,878.23,1037.69,823.07
Figueira da Foz,1202.71,2285.3,1863.39,1484.31,1153.49,848.4,933.71,1013.29,1303.28,907.37
Góis,844.6,1021.1,1263.2,980.67,915.72,769.16,795.23,791.88,910.18,738.31
Lousã,1017.17,1832.97,1393.27,1238.1,1008.36,899.17,785.15,900.85,926.37,775.93
Mealhada,1170.5,2192.47,1546.2,1331.37,1076.24,888.11,840.43,1019.47,1311.67,788.11
Mira,965.81,2000.52,1452.29,1052.98,925.83,769.27,879,896.56,846.57,800.94
Miranda do Corvo,921.72,1522.98,1307.62,1104.7,968.68,792.63,805.23,895.18,928.1,770.14
Montemor-o-Velho,1011.15,1740.87,1338.49,1223.87,997.39,815.63,858.13,919.19,1115.52,827.38
Mortágua,1072.69,2093,1440.4,1309.56,956.76,870.64,919.04,1046.43,942.16,822.54
Oliveira do Hospital,949.47,1653.67,1401.76,1213.08,950.29,819.05,750.15,869.74,849.33,777.64
Pampilhosa da Serra,877.33,1083.54,1286.28,1230.43,953.25,788.7,754.04,826,813.6,759.5
Penacova,1019.95,1689.87,1280.44,1374.15,978.84,787.52,860.03,1109.21,927.64,759.57
Penela,977.71,1693.05,1138.55,1227.78,902.8,777.77,892.38,893.08,955.51,774.02
Soure,1016.96,1713.91,1514.04,1230.22,1057.69,815.93,769.35,1014.8,1026.18,862.12
Tábua,922.48,2411.66,1326.14,1128.56,1122.1,813.66,786.64,765.46,860.72,773.24
Vila Nova de Poiares,973.19,2176.43,1433.07,981.92,992.87,838.95,727.02,890.34,1022.37,757.64
Região de Leiria,1150.13,2053.35,1609.73,1395.32,1073.57,895.54,826.72,1088.96,1095.02,842.66
Alvaiázere,950.84,1355.69,1236.48,1031.98,955.08,798.38,754.78,878.35,1088.92,756.57
Ansião,968.99,1628.03,1355.38,1129.48,1003.53,792.12,814.25,884.93,966.18,794.77
Batalha,1125.62,2058.68,1585.75,1448.4,1088.56,904.79,813.35,1065.76,1066.72,847.25
Castanheira de Pêra,938.53,1410.09,1277.51,1150.6,973.62,837.97,895.56,912.28,816.05,780.32
Figueiró dos Vinhos,912.97,1184.44,1165.78,1201.57,1086.28,749.41,816.35,841.96,1020.12,729.28
Leiria,1159.48,2134.08,1645.35,1383.88,1054.75,924.9,851.85,1099.25,1069.82,835.69
Marinha Grande,1329.9,2691.65,1677.44,1583.09,1146.96,890.48,801.64,1312.1,1214.8,887.73
Pedrógão Grande,944.5,1601.54,1284.52,1141.2,935.6,785.72,799.33,875.48,905.19,735.75
Pombal,1062.02,1620.47,1509.2,1221.44,1057.46,853.42,790.37,973.42,1084.47,869.37
