,Total (€),"Escalão de pessoal, 1 - 9 (€)","Escalão de pessoal, 10 - 19 (€)","Escalão de pessoal, 20 - 49 (€)","Escalão de pessoal, 50 - 99 (€)","Escalão de pessoal, 100 - 249 (€)","Escalão de pessoal, 250 - 499 (€)","Escalão de pessoal, 500 e mais (€)"
Freixo de Espada à Cinta,900.71,826.39,888.44,1008.49,904.05,835.79,//,1379.49
Lamego,958.03,813.11,832.75,973.88,1071.78,995.55,788.61,1372.24
Mesão Frio,855.91,777.45,849.84,855.16,1865.47,807.77,…,1968.25
Moimenta da Beira,877.37,796.35,998.83,865.13,917.03,760.85,…,1825.31
Murça,938.01,766.04,971.12,1083.86,1315.26,1005.53,//,1069.03
Penedono,831.84,762.33,836.84,852.34,1708,//,//,2061.87
Peso da Régua,1005.07,801.56,945.79,939.98,932.95,938.4,1151.88,1730.6
Sabrosa,984.87,836.66,1041.88,1090.15,1012.42,2312.78,//,1165.28
Santa Marta de Penaguião,871.56,763.97,858.02,896.86,1886.15,…,//,2028.9
São João da Pesqueira,980.42,848,981.48,1289.59,832.32,1088.36,1067.84,1800.91
Sernancelhe,848.4,803.53,787.91,801.4,853.92,1176.45,1522.56,1638.27
Tabuaço,973.43,816.31,941.11,916.02,1042.29,1822.63,//,1350.43
Tarouca,855.18,799.78,823.1,906.39,885.79,832.31,//,2194.25
Torre de Moncorvo,891.67,808.26,788.94,912.03,870.07,863.36,//,1674.57
Vila Nova de Foz Côa,935.43,801.72,923.67,1029.64,887.22,1113.56,823.2,1268.36
Vila Real,1115.35,847.01,941.29,979.81,1042.49,1078.66,974.07,1529.59
Terras de Trás-os-Montes,988.17,820.1,899.88,944.85,1070.72,935.4,1017.79,1393.5
Alfândega da Fé,889.93,819.16,887.15,861.24,789.67,//,//,1582.4
Bragança,1046.87,831.96,909.71,975.62,1055.03,950.75,1063.41,1391.19
Macedo de Cavaleiros,930.67,791.99,953.65,864.34,930.86,922.18,1064.22,1253.81
Miranda do Douro,916.03,777.62,822.73,904.89,//,920.9,//,1964.75
Mirandela,1001.38,830.18,965.1,944.18,1205.64,1046.51,947.06,1356.76
Mogadouro,920.96,831.8,852.43,989.34,948.39,845.29,//,2024.72
Vila Flor,969.79,859.67,825.82,1082.32,1051.58,941.05,1087.36,1234.13
Vimioso,890.32,758.62,823.02,939.01,897.62,1135.83,//,1573.25
Vinhais,853.91,820.31,766.18,886.4,1145.18,854.31,//,1486.9
Centro,1104.06,902.15,1009.77,1076.14,1129.09,1188.89,1242.87,1324.54
Oeste,1061.13,893.51,1006.49,1048.97,1121.53,1216.61,1201.41,1215.05
Alcobaça,1038.68,887.65,977.7,1035.64,1103.98,1223.05,952.67,1217.33
Alenquer,1217.74,924.28,1099.95,1118.94,1408.82,1295.36,1310.46,1438.63
Arruda dos Vinhos,1107.84,909.61,1118.6,1220.51,1160.56,1646.59,1010.23,1264.4
Bombarral,967.68,848.33,934.91,1012.57,1003.6,910.97,//,1347.28
Cadaval,1017.51,856.54,1078.3,1001.81,977.82,1016.9,1854.4,1608.78
Caldas da Rainha,1019.26,877.52,936.38,1027.52,1100.03,1101.28,1263.25,1008.86
Lourinhã,999.69,918.04,1070.9,932.41,1148.97,978.31,1112.46,1381.37
Nazaré,1030.94,821.66,1037.92,954.74,1052.64,1395.39,1019.78,1249.8
Óbidos,1026.1,884.9,1034.86,1019.83,1136.08,1081.9,1314.88,1048.46
Peniche,995.17,875.81,1011.64,1055.82,1082.82,1036.2,1215.74,1064.12
Sobral de Monte Agraço,1029.83,899.84,965.77,1128.12,1079.36,938.24,…,1331.97
Torres Vedras,1073.47,916.93,982.19,1061.09,1056.42,1323.22,1052.25,1323.73
Região de Aveiro,1165.87,928.65,1064.91,1126.06,1194.66,1185.98,1270.94,1352.07
Águeda,1089.15,953.68,1057.46,1110.91,1097.4,1113.97,1272.46,1175.88
Albergaria-a-Velha,1139.9,953.04,1095.41,1104.24,1155.39,1169,1147.07,1426.17
Anadia,1035.36,897,1015.22,1049.21,1012.5,1034.07,//,1167.41
Aveiro,1286.05,944.3,1113.48,1187.48,1305.84,1330.08,1410.3,1449.22
Estarreja,1296.95,920.54,1130.06,1073.04,1387.26,1478.13,1122.65,1515.79
Ílhavo,1178.98,938.67,1116.41,1248.13,1424.92,1139.54,1245.41,1219.15
Murtosa,941.09,851.45,1000.77,928.01,1003.86,899.41,941.46,2148.25
Oliveira do Bairro,1094.59,966.65,1032.3,1159.03,1123.75,1086.86,1236.51,1587.23
Ovar,1114.5,895.35,1016.5,1070.62,999.65,1133.68,1194.44,1253.75
Sever do Vouga,1123.91,927.68,953.66,1175.62,1186.21,1434.9,1136.95,1542.45
Vagos,1046.78,873.38,956.22,1122.32,1052.27,1087.79,1160.47,1119.55
Região de Coimbra,1119.46,915.21,984.7,1082.82,1147.82,1144.72,1295.48,1372.47
Arganil,893,824.24,931.41,909.22,984.85,831.05,1195.15,1036.09
Cantanhede,1109.54,908.62,1037.45,1097.11,1200.84,1076.05,1136.41,1338.03
Coimbra,1214.19,967.63,1021.04,1159.99,1270.02,1239.72,1386.3,1429.48
Condeixa-a-Nova,1016.53,861.9,931.64,1117.95,1017.52,1041.43,//,1137.76
Figueira da Foz,1202.71,934.99,1000.89,1126.19,1241.69,1197.8,1436.26,1456.69
Góis,844.6,850.89,838.1,810.24,895.53,698.35,//,866.37
Lousã,1017.17,877.4,892.6,952.36,1059.95,994.39,1331.06,1547.26
Mealhada,1170.5,889.91,1011.93,1219.53,1134.59,1465.02,1227.01,1168.76
Mira,965.81,836.81,1053.86,902.03,1055.26,1021.08,//,1926.41
Miranda do Corvo,921.72,855.79,913.47,983.3,847.51,…,906.99,1347.46
Montemor-o-Velho,1011.15,896.52,986.45,1035.16,1000.32,1129.37,1069.63,1110.99
Mortágua,1072.69,927.68,1026.14,1173.32,875.97,1144.12,1108.78,1493.05
Oliveira do Hospital,949.47,864.12,879.64,983.29,831.93,878.57,751.39,1425.95
Pampilhosa da Serra,877.33,795.84,925.27,860.66,923.24,872.9,//,1053.38
Penacova,1019.95,866.77,918.62,998.89,1006.44,1339.41,//,1751.46
Penela,977.71,893.02,1052.29,896.56,845.73,1052.55,1012.99,1067.25
