,Total (€),"Escalão de pessoal, 1 - 9 (€)","Escalão de pessoal, 10 - 19 (€)","Escalão de pessoal, 20 - 49 (€)","Escalão de pessoal, 50 - 99 (€)","Escalão de pessoal, 100 - 249 (€)","Escalão de pessoal, 250 - 499 (€)","Escalão de pessoal, 500 e mais (€)"
Nordeste,890.24,751.92,825.33,759.67,1035.73,1002.33,702.86,2131.58
Ponta Delgada,1239.42,912,971.79,1087.44,1325.51,1145.29,1305.6,1823.63
Povoação,1036.6,789.87,856.8,1356.29,939.95,1016.76,697.41,1410.35
Ribeira Grande,1001.45,812.28,881.76,1002.26,1029.74,1094.49,906.97,1252.07
Vila Franca do Campo,879.16,802.99,852.94,891.35,851.22,1056.57,773.04,1013.13
Terceira,1097.23,862.98,964.32,984.8,1020.23,1164.95,1166.34,1614.01
Angra do Heroísmo,1106.8,861.48,943.3,1007.16,1025.58,1273.35,1049.61,1611.43
Vila da Praia da Vitória,1078.06,866.26,1007.8,955.24,1011.99,1044.81,1771.56,1622.23
Graciosa,1044.33,789.95,781.62,961.04,982.45,1359.31,1360.61,1685.46
Santa Cruz da Graciosa,1044.33,789.95,781.62,961.04,982.45,1359.31,1360.61,1685.46
São Jorge,1008.04,826.19,898.89,934.3,1162.97,1097.69,1712.45,1781.51
Calheta (R.A.A.),945.81,831.93,921.67,911.22,//,1167.11,//,1485.44
Velas,1045.58,823.91,875.42,964.12,1162.97,1052.39,1712.45,1819.04
Pico,976.76,837.32,904.67,908.82,958.3,1027.52,1832.46,1384.39
Lajes do Pico,924.77,828.83,897.87,844.16,1017.81,1225.9,//,1811.81
Madalena,957.06,843.36,900.52,972.2,865.52,1030.46,1936.02,1139.3
São Roque do Pico,1051.21,831.06,917.5,905.41,1016.35,916.08,1804.22,2049.69
Faial,1153.64,889.4,981.71,1016.44,1128.3,1112.32,1606.18,1578.25
Horta,1153.64,889.4,981.71,1016.44,1128.3,1112.32,1606.18,1578.25
Flores,1090.75,824.27,900.8,923.89,918.83,1034.65,2437.24,1895.82
Lajes das Flores,984.11,833.43,884.84,1010.25,//,1118.16,2437.24,…
Santa Cruz das Flores,1138.99,818.2,913.02,892.27,918.83,958.74,//,1897.9
Corvo,1238.9,835.74,927.85,…,…,976.9,1660.06,1891.64
Corvo,1238.9,835.74,927.85,…,…,976.9,1660.06,1891.64
R. A. Madeira,1171.42,915.3,1000,1099.31,1082.89,1287.96,1264.66,1494.35
Calheta (R.A.M.),1217.43,841.46,849.82,880.46,1030.46,903.02,//,1554.96
Câmara de Lobos,1015.88,827.72,940.25,960.08,1060.77,1474.86,889.74,1297.59
Funchal,1238.74,972.17,1049.42,1175.99,1087.44,1354.21,1314.32,1492.48
Machico,1111.9,924.76,1041.53,1271.82,1191.51,1007.23,1115.35,1199.9
Ponta do Sol,873.45,789.88,876.1,903.09,894.83,//,889.13,1503.12
Porto Moniz,880.67,783.07,758.4,801.25,//,//,//,2288.29
Ribeira Brava,956.57,807.61,884.95,870.16,1109.9,967.38,1906.66,1174.73
Santa Cruz,1066.1,850.36,992.57,993,1042.2,1083.39,1143.28,1534.03
Santana,906.12,830.9,790.14,944.87,866.05,1184.21,…,1267.25
São Vicente,862.97,810.36,807.48,866.62,//,//,//,2029.56
Porto Santo,1205.99,825.97,835.94,1010.06,1053.52,1309.03,1290.24,1914.13
