,"Nados-vivos, Total, HM (N.º)","Nados-vivos, Total, H (N.º)","Nados-vivos, Total, M (N.º)","Nados-vivos, Fora do casamento, Total (N.º)","Nados-vivos, Fora do casamento, Com coabitação dos pais (N.º)","Óbitos, Total, HM (N.º)","Óbitos, Total, H (N.º)","Óbitos, Total, M (N.º)","Óbitos, Com 
menos
de 1 ano, M (N.º)"
Albergaria-a-Velha,172,88,84,108,89,293,146,147,1
Anadia,182,92,90,114,86,418,205,213,0
Aveiro,654,325,329,377,302,767,394,373,3
Estarreja,202,101,101,115,87,339,152,187,0
Ílhavo,322,179,143,183,146,422,213,209,1
Murtosa,67,37,30,40,30,144,74,70,0
Oliveira do Bairro,175,89,86,109,88,274,133,141,1
Ovar,420,228,192,269,200,552,288,264,2
Sever do Vouga,71,36,35,39,28,164,83,81,0
Vagos,195,102,93,106,76,273,144,129,0
Região de Coimbra,2963,1542,1421,1748,1479,6033,2940,3093,7
Arganil,67,26,41,45,36,206,88,118,0
Cantanhede,250,122,128,140,116,522,266,256,1
Coimbra,1042,538,504,577,491,1633,801,832,1
Condeixa-a-Nova,127,70,57,69,65,189,81,108,0
Figueira da Foz,384,207,177,253,207,840,428,412,2
Góis,15,9,6,11,11,81,33,48,0
Lousã,109,62,47,69,60,183,86,97,1
Mealhada,121,58,63,71,62,243,122,121,1
Mira,90,50,40,52,40,176,84,92,0
Miranda do Corvo,74,39,35,53,50,192,90,102,0
Montemor-o-Velho,174,109,65,93,76,341,174,167,0
Mortágua,57,31,26,38,30,150,76,74,0
Oliveira do Hospital,132,65,67,88,74,315,152,163,0
Pampilhosa da Serra,17,10,7,11,11,101,41,60,1
Penacova,58,24,34,36,30,213,95,118,0
Penela,41,22,19,24,21,90,44,46,0
Soure,90,42,48,51,41,307,152,155,0
Tábua,63,34,29,41,36,147,76,71,0
Vila Nova de Poiares,52,24,28,26,22,104,51,53,0
Região de Leiria,2157,1063,1094,1303,1097,3510,1758,1752,7
Alvaiázere,23,7,16,17,14,120,65,55,0
Ansião,68,34,34,45,36,174,89,85,1
Batalha,114,54,60,68,61,170,74,96,0
Castanheira de Pêra,6,3,3,5,5,53,34,19,0
Figueiró dos Vinhos,23,10,13,10,7,123,52,71,0
Leiria,1114,546,568,631,532,1294,668,626,5
Marinha Grande,299,156,143,191,157,467,232,235,0
Pedrógão Grande,15,8,7,10,7,74,34,40,0
Pombal,347,165,182,230,199,731,368,363,1
Porto de Mós,148,80,68,96,79,304,142,162,0
Viseu Dão Lafões,1633,842,791,920,744,3672,1800,1872,0
Aguiar da Beira,28,15,13,17,14,130,69,61,0
Carregal do Sal,60,32,28,38,32,105,55,50,0
Castro Daire,60,27,33,34,29,220,102,118,0
Mangualde,121,59,62,76,63,286,140,146,0
Nelas,79,45,34,46,39,199,97,102,0
Oliveira de Frades,71,34,37,43,33,141,68,73,0
Penalva do Castelo,32,21,11,19,15,141,72,69,0
Santa Comba Dão,60,30,30,44,34,178,77,101,0
São Pedro do Sul,70,30,40,30,23,251,125,126,0
Sátão,77,43,34,38,32,166,75,91,0
Tondela,166,85,81,92,76,452,231,221,0
Vila Nova de Paiva,22,13,9,14,8,75,37,38,0
Viseu,735,380,355,405,325,1169,565,604,0
Vouzela,52,28,24,24,21,159,87,72,0
Beira Baixa,538,274,264,349,274,1477,749,728,1
Castelo Branco,396,203,193,250,202,793,398,395,1
Idanha-a-Nova,39,18,21,27,20,214,108,106,0
Oleiros,25,11,14,15,10,127,69,58,0
Penamacor,25,16,9,20,15,122,65,57,0
Proença-a-Nova,34,16,18,23,17,144,68,76,0
Vila Velha de Ródão,19,10,9,14,10,77,41,36,0
Médio Tejo,1458,761,697,895,710,3634,1725,1909,4
Abrantes,196,103,93,141,110,639,297,342,0
Alcanena,77,43,34,50,35,179,99,80,0
Constância,24,8,16,17,16,50,24,26,0
Entroncamento,148,85,63,82,67,230,110,120,0
Ferreira do Zêzere,47,30,17,23,20,146,68,78,0
Mação,22,7,15,16,11,165,86,79,0
Ourém,319,156,163,172,135,628,281,347,1
Sardoal,17,10,7,11,11,66,34,32,0
Sertã,89,50,39,51,46,227,110,117,0
Tomar,215,110,105,145,112,622,287,335,1
Torres Novas,222,115,107,135,104,511,251,260,1
Vila de Rei,26,13,13,12,12,83,33,50,0
Vila Nova da Barquinha,56,31,25,40,31,88,45,43,1
Beiras e Serra da Estrela,1150,617,533,719,605,3739,1811,1928,5
Almeida,20,9,11,16,14,153,72,81,0
Belmonte,48,32,16,30,27,105,51,54,1
Celorico da Beira,39,14,25,31,25,104,55,49,0
Covilhã,292,142,150,193,164,723,350,373,2
Figueira de Castelo Rodrigo,33,22,11,21,17,102,49,53,0
Fornos de Algodres,21,10,11,9,6,98,51,47,0
Fundão,154,87,67,95,80,461,237,224,0
Gouveia,62,38,24,42,31,256,114,142,0
Guarda,249,134,115,150,122,509,241,268,1
Manteigas,14,6,8,10,9,64,29,35,0
Mêda,14,11,3,7,5,83,44,39,0
Pinhel,30,15,15,12,11,178,100,78,0
Sabugal,46,24,22,35,29,323,143,180,0
Seia,87,48,39,49,47,413,188,225,1
Trancoso,41,25,16,19,18,167,87,80,0
A. M. Lisboa,28319,14495,13824,17586,12018,31471,15542,15929,75
Alcochete,160,77,83,97,66,183,95,88,1
Almada,1712,861,851,1087,737,2235,1092,1143,5
Amadora,1850,946,904,1257,753,1784,936,848,7
Barreiro,722,390,332,493,346,1011,507,504,3
Cascais,1734,908,826,998,701,2296,1120,1176,3
Lisboa,5493,2822,2671,2914,1946,7143,3267,3876,17
Loures,2178,1113,1065,1409,985,2110,1076,1034,3
Mafra,792,387,405,454,378,789,396,393,1
Moita,721,372,349,544,351,769,379,390,4
Montijo,566,285,281,354,256,644,311,333,1
Odivelas,1741,882,859,1004,723,1453,760,693,4
Oeiras,1453,740,713,822,591,1856,878,978,3
Palmela,598,327,271,398,300,786,407,379,0
Seixal,1671,875,796,1105,780,1672,885,787,6
Sesimbra,505,240,265,334,251,581,306,275,0
Setúbal,1027,511,516,702,462,1538,756,782,4
Sintra,4111,2108,2003,2783,1781,3397,1716,1681,11
Vila Franca de Xira,1285,651,634,831,611,1224,655,569,2
Alentejo,5380,2725,2655,3707,2793,11326,5604,5722,22
Alentejo Litoral,789,405,384,525,411,1380,717,663,6
