,"Agregados fiscais, N.º","Sujeitos passivos, N.º","Rendimento bruto declarado, milhares de euros","Rendimento coletável, milhares de euros","IRS liquidado, milhares de euros","Rendimento bruto declarado deduzido do IRS liquidado, milhares de euros"
Murtosa,4714,6822,75971,53243,7594,68377
Oliveira do Bairro,11019,15976,183333,124386,16116,167218
Ovar,28129,40082,503682,353186,52421,451261
Sever do Vouga,5642,8240,88618,58408,7295,81323
Vagos,10680,15435,167332,111944,15389,151943
Região de Coimbra,219325,314425,4281761,3080550,519693,3762068
Arganil,5330,7724,76466,48286,5221,71245
Cantanhede,16646,24263,272694,185064,25679,247015
Coimbra,73351,102587,1790721,1374014,281695,1509025
Condeixa-a-Nova,7984,11706,159065,114076,17032,142032
Figueira da Foz,30160,42867,597744,436661,72861,524882
Góis,1886,2697,26981,16940,1907,25074
Lousã,8147,11769,139550,96025,12804,126746
Mealhada,9889,14339,176669,122432,16745,159924
Mira,5756,8302,94687,65158,9694,84993
Miranda do Corvo,5735,8439,92645,61117,7560,85085
Montemor-o-Velho,12025,17875,211831,145004,18989,192842
Mortágua,4420,6430,67550,44724,5489,62061
Oliveira do Hospital,9251,13586,136858,86044,9843,127015
Pampilhosa da Serra,1744,2527,25330,15815,1718,23612
Penacova,6715,9945,97305,61819,6733,90572
Penela,2674,3834,40380,26123,3439,36941
Soure,8695,12790,149043,101514,13083,135960
Tábua,5481,7864,75866,46978,5335,70531
Vila Nova de Poiares,3436,4881,50379,32755,3865,46514
Região de Leiria,143821,204979,2587603,1815039,268287,2319316
Alvaiázere,2904,4124,40766,25746,3076,37690
Ansião,5580,8054,83552,53972,6427,77125
Batalha,7865,11372,137268,94205,12701,124566
Castanheira de Pêra,1379,1978,19357,11729,1324,18033
Figueiró dos Vinhos,2710,3826,38666,24642,3080,35586
Leiria,64890,92249,1269179,916212,147378,1121801
Marinha Grande,20760,29047,391300,279941,42274,349026
Pedrógão Grande,1786,2503,23868,14869,1626,22243
Pombal,24401,35419,394186,266743,33884,360302
Porto de Mós,11546,16407,189460,126977,16518,172942
Viseu Dão Lafões,115875,169955,2002894,1380321,200537,1802356
Aguiar da Beira,2100,3206,29689,18722,2117,27572
Carregal do Sal,3962,5788,60983,40361,5118,55866
Castro Daire,5852,8772,76970,47068,5153,71817
Mangualde,8521,12624,141473,95721,12662,128811
Nelas,6232,9242,103650,69424,9443,94206
Oliveira de Frades,4580,6591,69669,45493,5374,64295
