,Total (N.º),"Employees size class , 1 - 9 (N.º)","Employees size class , 10 - 19 (N.º)","Employees size class , 20 - 49 (N.º)","Employees size class , 50 - 99 (N.º)","Employees size class , 100 - 249 (N.º)","Employees size class , 250 - 499 (N.º)","Employees size class , 500 and over (N.º)"
Albergaria-a-Velha,6468,1075,682,1506,728,1029,612,836
Anadia,5729,1219,613,1377,497,704,0,1319
Aveiro,25396,3492,2296,2863,3411,2149,2961,8224
Estarreja,6449,784,587,846,603,1335,549,1745
Ílhavo,7028,1224,761,1136,827,1146,1040,894
Murtosa,1392,337,173,200,133,271,257,21
Oliveira do Bairro,5731,1071,778,1046,1044,1367,317,108
Ovar,14188,2041,1242,1775,1119,2289,1100,4622
Sever do Vouga,2075,618,266,438,199,345,156,53
Vagos,4725,926,389,600,631,708,267,1204
Região de Coimbra,82157,17682,8962,13229,8463,12390,8715,12716
Arganil,1738,492,196,384,211,325,14,116
Cantanhede,7374,1402,774,1060,1230,1110,671,1127
Coimbra,29131,6050,2912,4272,2149,3449,3235,7064
Condeixa-a-Nova,2172,456,201,379,365,464,0,307
Figueira da Foz,13017,2347,1473,1754,1266,1989,2127,2061
Góis,466,194,72,109,52,…,0,…
Lousã,2497,636,357,456,202,414,302,130
Mealhada,4224,765,422,596,490,761,822,368
Mira,1801,562,188,294,352,382,0,23
Miranda do Corvo,1095,399,147,230,51,…,223,…
Montemor-o-Velho,2830,725,403,769,256,555,10,112
Mortágua,2406,437,191,398,243,592,498,47
Oliveira do Hospital,3832,934,505,1171,342,338,176,366
Pampilhosa da Serra,530,152,54,37,78,166,0,43
Penacova,1690,561,282,249,271,281,0,46
Penela,1459,254,183,175,182,554,98,13
Soure,1794,530,241,358,213,274,0,178
Tábua,2639,492,155,231,342,549,259,611
Vila Nova de Poiares,1462,294,206,307,168,183,280,24
Região de Leiria,71472,16464,9533,14573,9841,9925,2694,8442
Alvaiázere,1027,363,127,163,97,257,0,20
Ansião,2132,578,254,470,472,310,0,48
Batalha,4248,1033,708,876,556,889,61,125
Castanheira de Pêra,401,76,69,47,205,0,0,4
Figueiró dos Vinhos,583,269,83,100,…,105,0,…
Leiria,36029,7807,4500,7254,4455,4748,1221,6044
Marinha Grande,9975,1765,1190,1906,1879,1873,537,825
Pedrógão Grande,448,184,55,77,…,102,0,…
Pombal,11871,3241,1832,2926,1368,1106,304,1094
Porto de Mós,4758,1148,715,754,801,535,571,234
Viseu Dão Lafões,51031,11310,5634,7687,5194,5486,4643,11077
Aguiar da Beira,841,376,163,134,156,0,0,12
Carregal do Sal,1748,272,212,277,281,387,0,319
Castro Daire,1767,730,209,331,8,162,264,63
Mangualde,4688,715,414,618,489,293,233,1926
Nelas,2829,408,222,431,333,431,271,733
Oliveira de Frades,2960,501,197,465,542,589,0,666
Penalva do Castelo,958,237,95,202,136,234,…,…
Santa Comba Dão,1347,374,263,227,286,110,0,87
São Pedro do Sul,1914,620,243,371,136,464,19,61
Sátão,1497,521,244,176,203,98,230,25
Tondela,5797,1028,508,812,447,623,1346,1033
Vila Nova de Paiva,501,207,116,106,55,…,0,…
Viseu,22662,4920,2640,3342,2005,1889,2243,5623
Vouzela,1522,401,108,195,117,…,…,496
Beira Baixa,13609,3423,1561,2120,1097,1924,389,3095
Castelo Branco,9987,2203,1102,1351,823,1246,349,2913
Idanha-a-Nova,822,435,77,181,101,…,6,…
Oleiros,605,187,95,98,66,…,…,25
Penamacor,374,158,36,161,0,0,0,19
Proença-a-Nova,987,320,188,208,67,96,0,108
Vila Velha de Ródão,834,120,63,121,40,479,…,…
Médio Tejo,41467,9450,4763,8375,4845,5621,1896,6517
Abrantes,5417,1060,575,763,688,932,427,972
Alcanena,3540,724,337,759,231,720,4,765
Constância,883,123,52,220,107,364,5,12
