,Total (N.º),"Level of education, Below basic education  (N.º)","Level of education, Basic education - 1st cycle (N.º)","Level of education, Basic education - 2nd cycle (N.º)","Level of education, Basic education - 3rd cycle (N.º)","Level of education, Secondary (N.º)","Level of education, Short cycle professional course (N.º)","Level of education, Bachelor degree (N.º)","Level of education, Graduate degree (N.º)","Level of education, Masters  degree (N.º)","Level of education, PhD (N.º)"
Reguengos de Monsaraz,1444,…,215,199,443,383,…,16,157,23,0
Vendas Novas,2083,…,132,273,756,640,0,16,227,23,…
Viana do Alentejo,692,3,76,87,230,198,0,3,81,12,0
Vila Viçosa,1306,10,162,189,365,398,…,13,149,13,…
Algarve,97594,515,7625,9915,29641,33671,39,1376,12739,1343,107
Albufeira,12768,61,897,1421,3954,4768,…,196,1232,153,…
Alcoutim,272,0,47,…,93,71,0,…,40,…,0
Aljezur,880,0,64,132,305,279,0,7,77,6,0
Castro Marim,932,7,105,137,274,322,0,12,69,…,…
Faro,16307,105,1137,1314,3953,5432,5,284,3542,414,47
Lagoa,5562,25,427,557,1789,1939,…,101,624,55,…
Lagos,7017,…,494,858,2295,2362,…,88,749,77,…
Loulé,19134,78,1417,1693,6003,7094,11,249,2258,213,14
Monchique,642,…,92,…,204,168,…,9,51,8,0
Olhão,5807,37,625,659,1754,1869,…,75,642,91,…
Portimão,12660,42,857,1105,3944,4344,4,200,1893,165,9
São Brás de Alportel,1482,…,108,184,446,471,0,16,225,23,…
Silves,5184,41,544,570,1752,1566,6,40,546,54,8
Tavira,4778,30,463,623,1417,1557,…,57,520,48,…
Vila do Bispo,959,…,70,189,358,255,0,…,60,12,3
Vila Real de Santo António,3210,…,278,357,1100,1174,…,34,211,19,0
R. A. Açores,38796,212,3696,6241,11995,10874,156,231,4753,576,62
Santa Maria,762,…,74,90,270,228,…,9,84,…,0
Vila do Porto,762,…,74,90,270,228,…,9,84,…,0
São Miguel,23082,125,2208,3997,6978,6306,71,137,2820,407,33
Lagoa (R.A.A.),1874,16,224,363,601,436,8,…,185,34,…
Nordeste,411,4,37,94,149,90,…,0,33,…,0
Ponta Delgada,14428,38,1039,2114,4222,4437,48,112,2115,277,26
Povoação,587,4,68,99,221,147,…,…,42,…,0
Ribeira Grande,4694,46,656,1071,1429,1014,9,17,363,86,3
Vila Franca do Campo,1088,17,184,256,356,182,…,3,82,3,…
Terceira,8564,60,830,1233,2602,2427,56,55,1176,113,12
Angra do Heroísmo,5712,33,507,860,1710,1528,24,41,908,93,8
Vila da Praia da Vitória,2852,27,323,373,892,899,32,14,268,20,4
Graciosa,491,…,66,79,175,131,…,…,…,…,0
Santa Cruz da Graciosa,491,…,66,79,175,131,…,…,…,…,0
São Jorge,1111,9,130,161,393,304,…,…,95,12,0
Calheta (R.A.A.),418,6,47,60,149,113,…,…,36,…,0
Velas,693,3,83,101,244,191,0,…,59,…,0
Pico,1862,8,149,241,685,569,9,10,172,11,8
Lajes do Pico,351,3,30,62,126,88,…,3,31,…,0
Madalena,1001,5,79,106,371,322,…,7,102,…,4
São Roque do Pico,510,0,40,73,188,159,…,0,39,…,4
Faial,2466,6,190,360,724,791,15,12,335,24,9
Horta,2466,6,190,360,724,791,15,12,335,24,9
Flores,411,0,45,71,152,105,0,…,…,…,0
Lajes das Flores,128,0,14,28,43,30,0,0,13,0,0
Santa Cruz das Flores,283,0,31,43,109,75,0,…,…,…,0
Corvo,47,0,4,9,16,13,0,0,5,0,0
Corvo,47,0,4,9,16,13,0,0,5,0,0
R. A. Madeira,41801,197,4266,5574,11043,13191,31,378,6300,737,45
Calheta (R.A.M.),1583,…,275,266,503,389,0,7,134,…,0
Câmara de Lobos,2350,21,345,414,688,648,…,…,191,28,0
Funchal,26500,130,2438,3053,6373,8571,…,286,4963,591,…
Machico,2244,…,260,352,678,627,…,28,260,29,…
Ponta do Sol,733,…,102,113,213,240,…,…,…,0,…
Porto Moniz,212,0,27,53,57,63,0,0,…,…,0
Ribeira Brava,1538,5,169,305,439,443,0,…,144,27,…
Santa Cruz,4569,…,417,692,1420,1532,…,30,404,47,…
Santana,475,…,43,70,149,159,0,3,47,…,0
São Vicente,570,…,76,90,180,181,0,…,36,…,0
Porto Santo,1027,…,114,166,343,338,…,…,51,8,0
