,"Valores processados, HM, milhares de euros","Valores processados, H, milhares de euros","Valores processados, M, milhares de euros","Dias processados, HM, N.º","Dias processados, H, N.º","Dias processados, M, N.º"
Vidigueira,651,316,335,39618,17273,22345
Lezíria do Tejo,28301,12756,15545,1668886,681826,987060
Almeirim,2749,990,1759,169608,55807,113801
Alpiarça,808,357,451,49441,19841,29600
Azambuja,2840,1382,1458,161971,71779,90192
Benavente,4361,2163,2197,247610,111394,136216
Cartaxo,3051,1437,1615,173821,73849,99972
Chamusca,846,368,478,55390,22176,33214
Coruche,2100,797,1303,129775,43414,86361
Golegã,444,200,244,26287,10890,15397
Rio Maior,1759,684,1075,108203,39482,68721
Salvaterra de Magos,3623,1647,1976,214068,85670,128398
Santarém,5721,2731,2990,332712,147524,185188
Alto Alentejo,12581,5782,6799,773752,336471,437281
Alter do Chão,311,170,141,18578,9790,8788
Arronches,234,114,119,14514,7267,7247
Avis,497,127,371,31122,7204,23918
Campo Maior,1411,741,669,82025,40977,41048
Castelo de Vide,307,176,131,17042,10079,6963
Crato,367,154,213,22880,8942,13938
Elvas,2776,1338,1438,170331,78381,91950
Fronteira,395,153,242,23684,8362,15322
Gavião,300,150,150,17035,8042,8993
Marvão,280,145,134,17841,8781,9060
Monforte,287,129,157,19793,8598,11195
Nisa,451,240,210,27744,13435,14309
Ponte de Sor,2005,866,1139,126369,50666,75703
Portalegre,2302,1032,1270,142698,61605,81093
Sousel,659,245,414,42096,14342,27754
Alentejo Central,15951,6666,9285,945174,361717,583457
Alandroal,570,219,351,34806,11297,23509
Arraiolos,618,308,309,35804,16075,19729
Borba,643,215,427,42292,12680,29612
Estremoz,970,394,575,59686,22758,36928
Évora,6020,2611,3410,340782,136678,204104
Montemor-o-Novo,1212,521,691,71165,28408,42757
Mora,347,111,236,21364,6354,15010
Mourão,315,147,168,19421,8766,10655
Portel,835,309,526,52063,18196,33867
Redondo,766,266,500,50122,16532,33590
Reguengos de Monsaraz,1282,545,737,77963,29349,48614
Vendas Novas,1085,525,560,63365,28405,34960
Viana do Alentejo,536,239,297,31620,12659,18961
Vila Viçosa,751,256,496,44721,13560,31161
Algarve,100678,43539,57139,6153898,2556495,3597403
Albufeira,21111,9721,11390,1305389,590347,715042
Alcoutim,143,86,58,8426,4743,3683
Aljezur,670,287,384,42449,17965,24484
Castro Marim,787,348,439,47902,19865,28037
Faro,10631,4927,5703,606085,271053,335032
Lagoa,5455,2202,3253,338469,131987,206482
Lagos,6983,2871,4111,434240,170603,263637
Loulé,15355,6469,8886,923946,372667,551279
Monchique,521,198,323,33423,12168,21255
Olhão,5981,2503,3479,359870,138838,221032
Portimão,15500,6641,8859,965744,393401,572343
São Brás de Alportel,1193,524,669,66731,27419,39312
Silves,8255,3473,4782,505657,204286,301371
Tavira,3480,1456,2025,218545,86493,132052
Vila do Bispo,1110,476,634,71274,29812,41462
Vila Real de Santo António,3503,1358,2145,225748,84848,140900
R. A. Açores,29007,15369,13637,1835965,955032,880933
Santa Maria,704,298,406,45377,18573,26804
Vila do Porto,704,298,406,45377,18573,26804
São Miguel,17095,9394,7701,1085968,589753,496215
Lagoa (R.A.A.),1857,1097,760,119645,69966,49679
Nordeste,1051,601,450,74788,43141,31647
Ponta Delgada,7555,4060,3494,453520,240475,213045
Povoação,1247,609,639,89075,43314,45761
Ribeira Grande,4034,2320,1713,260831,148046,112785
Vila Franca do Campo,1351,707,643,88109,44811,43298
Terceira,5287,2887,2400,318322,168979,149343
Angra do Heroísmo,3597,1985,1612,217742,117249,100493
Vila da Praia da Vitória,1690,902,788,100580,51730,48850
Graciosa,700,333,367,47216,21745,25471
Santa Cruz da Graciosa,700,333,367,47216,21745,25471
São Jorge,836,426,409,56066,28619,27447
Calheta (R.A.A.),273,148,125,18619,10210,8409
Velas,563,278,284,37447,18409,19038
Pico,2170,947,1223,139363,57752,81611
Lajes do Pico,735,367,369,48163,23006,25157
Madalena,955,363,592,58963,20107,38856
São Roque do Pico,480,217,262,32237,14639,17598
Faial,1691,865,826,107861,54940,52921
Horta,1691,865,826,107861,54940,52921
Flores,476,196,280,32721,13232,19489
Lajes das Flores,244,102,142,17208,7085,10123
Santa Cruz das Flores,232,94,138,15513,6147,9366
Corvo,48,23,25,3071,1439,1632
Corvo,48,23,25,3071,1439,1632
R. A. Madeira,34829,17138,17691,2175811,1033537,1142274
Calheta (R.A.M.),902,457,444,61099,30303,30796
Câmara de Lobos,4551,2243,2308,295422,139141,156281
Funchal,15349,7378,7970,942107,439943,502164
Machico,3203,1880,1323,195883,107508,88375
Ponta do Sol,665,279,386,46226,18830,27396
Porto Moniz,344,166,179,22133,10687,11446
Ribeira Brava,1507,713,794,98775,45486,53289
Santa Cruz,6018,2857,3161,359518,164120,195398
Santana,538,278,259,39261,20560,18701
São Vicente,372,224,148,25556,15028,10528
Porto Santo,1381,662,719,89831,41931,47900
