,"Total, Total (N.º)","Total, Pensionistas em  31 dez. (N.º)","Invalidez, Total (N.º)","Invalidez, Pensionistas em  31 dez. (N.º)","Velhice, Total (N.º)","Velhice, Pensionistas em  31 dez. (N.º)","Sobrevivência, Total (N.º)","Sobrevivência, Pensionistas em  31 dez. (N.º)"
Portugal,3027302,2882151,170663,163898,2100171,2009677,756468,708576
Continente,2904274,2766028,156689,150585,2026083,1939480,721502,675963
Norte,1057587,1010691,62945,60490,736882,707616,257760,242585
Alto Minho,74294,70655,4862,4667,51175,48896,18257,17092
Arcos de Valdevez,7558,7153,455,439,5137,4880,1966,1834
Caminha,5416,5184,291,284,3811,3663,1314,1237
Melgaço,2390,2242,122,113,1750,1652,518,477
Monção,6045,5721,287,272,4213,4004,1545,1445
Paredes de Coura,2868,2706,226,218,1947,1844,695,644
Ponte da Barca,3854,3678,303,298,2567,2457,984,923
Ponte de Lima,12735,12064,1082,1036,8494,8084,3159,2944
Valença,4172,3933,219,208,2822,2683,1131,1042
Viana do Castelo,26331,25186,1729,1662,18441,17721,6161,5803
Vila Nova de Cerveira,2925,2788,148,137,1993,1908,784,743
Cávado,107115,102762,8127,7896,74207,71486,24781,23380
Amares,4893,4688,367,356,3344,3218,1182,1114
Barcelos,33038,31707,2861,2781,22386,21563,7791,7363
Braga,44915,43180,3001,2913,32056,30955,9858,9312
Esposende,8874,8517,668,647,6051,5826,2155,2044
Terras de Bouro,2466,2333,147,144,1655,1570,664,619
Vila Verde,12929,12337,1083,1055,8715,8354,3131,2928
Ave,128914,123850,9801,9517,89843,86696,29270,27637
Cabeceiras de Basto,4564,4295,399,387,2912,2756,1253,1152
Fafe,15852,15206,1534,1495,10655,10253,3663,3458
Guimarães,48489,46766,3543,3449,34615,33517,10331,9800
Mondim de Basto,2267,2161,190,186,1499,1429,578,546
Póvoa de Lanhoso,5969,5701,477,462,3971,3805,1521,1434
Vieira do Minho,4318,4079,311,298,2858,2722,1149,1059
Vila Nova de Famalicão,40561,39022,2838,2739,28390,27446,9333,8837
Vizela,6894,6620,509,501,4943,4768,1442,1351
A. M. Porto,513566,491294,25636,24443,365023,351084,122907,115767
Arouca,6721,6408,450,433,4666,4468,1605,1507
Espinho,11305,10772,477,446,8129,7799,2699,2527
Gondomar,48164,45987,2543,2424,33816,32481,11805,11082
Maia,34954,33480,1577,1493,24964,24033,8413,7954
Matosinhos,51930,49749,2222,2097,37507,36137,12201,11515
Oliveira de Azeméis,21920,21027,1063,1019,15821,15263,5036,4745
Paredes,19045,18200,1534,1466,12387,11892,5124,4842
Porto,73840,70292,2839,2705,52625,50386,18376,17201
Póvoa de Varzim,17221,16487,985,945,11897,11442,4339,4100
