,"Beneficiárias/os, HM, Nº","Beneficiárias/os, H, Nº","Beneficiárias/os, M, Nº","Idade, Menos de 25 anos, Nº","Idade, 25-29 anos, Nº","Idade, 30-39
 anos, Nº","Idade, 40-49 anos, Nº","Idade, 50-54 anos, Nº","Idade, 55 e mais anos, Nº","Valores processados, HM, milhares de euros","Valores processados, H, milhares de euros","Valores processados, M, milhares de euros"
Faial,188,90,98,24,16,50,29,25,44,610,285,325
Horta,188,90,98,24,16,50,29,25,44,610,285,325
Flores,…,…,15,…,…,…,…,…,…,…,…,60.00168000000001
Lajes das Flores,…,…,6,…,…,…,…,…,…,…,…,20
Santa Cruz das Flores,19,10,9,…,…,…,…,…,7,81,41,40
Corvo,…,…,0,…,…,…,…,…,…,…,…,0
Corvo,…,…,0,…,…,…,…,…,…,…,…,0
R. A. Madeira,4065,2156,1909,410,287,1059,733,634,942,14254,7568,6686
Calheta (R.A.M.),189,111,78,14,13,56,39,26,41,680,406,274
Câmara de Lobos,532,295,237,62,45,112,101,83,129,1860,1018,842
Funchal,1797,919,878,177,112,492,322,285,409,6107,3122,2985
Machico,350,194,156,37,39,78,54,61,81,1305,709,596
Ponta do Sol,142,77,65,16,10,37,26,24,29,531,286,245
Porto Moniz,54,28,26,…,…,15,12,9,16,215,113,102
Ribeira Brava,248,124,124,17,21,69,41,42,58,953,478,475
Santa Cruz,462,239,223,56,35,124,80,62,105,1577,831,746
Santana,137,88,49,10,4,38,23,21,41,494,316,178
São Vicente,90,52,38,11,3,20,30,10,16,329,206,124
Porto Santo,64,29,35,…,…,18,5,11,17,202,84,118
