,"Total, MF (N.º)","Total, M (N.º)","Total, F (N.º)","0 - 14 years, MF (N.º)","0 - 14 years, M (N.º)","0 - 14 years, F (N.º)","15 - 24 years, MF (N.º)","15 - 24 years, M (N.º)","15 - 24 years, F (N.º)"
Portel,5732,2828,2904,683,361,322,560,302,258
Redondo,6265,3067,3198,735,363,372,594,309,285
Reguengos de Monsaraz,9801,4756,5045,1243,626,617,966,541,425
Vendas Novas,11425,5523,5902,1399,734,665,1146,600,546
Viana do Alentejo,5497,2631,2866,712,352,360,561,295,266
Vila Viçosa,7316,3538,3778,811,418,393,681,346,335
Algarve,472000,229950,242050,64358,32886,31472,46526,24124,22402
Albufeira,45169,22275,22894,6393,3301,3092,4592,2431,2161
Alcoutim,2457,1181,1276,161,90,71,185,89,96
Aljezur,6166,3095,3071,809,413,396,500,263,237
Castro Marim,6672,3292,3380,770,364,406,611,306,305
Faro,68192,32559,35633,9442,4803,4639,6923,3523,3400
Lagoa,24255,11890,12365,3303,1695,1608,2569,1331,1238
Lagos,33512,16375,17137,4264,2177,2087,3310,1750,1560
Loulé,72455,35154,37301,10018,5090,4928,7038,3627,3411
Monchique,5357,2705,2652,554,288,266,390,194,196
Olhão,44586,21816,22770,6420,3352,3068,4656,2431,2225
Portimão,60879,29389,31490,8884,4507,4377,6213,3265,2948
São Brás de Alportel,11424,5540,5884,1540,798,742,1074,579,495
Silves,38581,18992,19589,5295,2725,2570,3616,1840,1776
Tavira,27505,13658,13847,3214,1651,1563,2418,1244,1174
Vila do Bispo,5799,2840,2959,758,372,386,459,233,226
Vila Real de Santo António,18991,9189,9802,2533,1260,1273,1972,1018,954
R. A. Açores,239942,117224,122718,34864,17929,16935,28214,14404,13810
Santa Maria,5489,2644,2845,787,403,384,662,329,333
Vila do Porto,5489,2644,2845,787,403,384,662,329,333
São Miguel,135745,66396,69349,20962,10766,10196,17140,8730,8410
Lagoa (R.A.A.),14710,7263,7447,2403,1266,1137,1971,974,997
Nordeste,4434,2189,2245,572,305,267,534,270,264
Ponta Delgada,68314,32926,35388,9819,4997,4822,8083,4104,3979
Povoação,5877,2901,2976,763,376,387,742,382,360
Ribeira Grande,32036,15887,16149,5910,3021,2889,4512,2304,2208
Vila Franca do Campo,10374,5230,5144,1495,801,694,1298,696,602
Terceira,53552,26000,27552,7195,3648,3547,5775,2930,2845
Angra do Heroísmo,33885,16409,17476,4500,2254,2246,3716,1871,1845
Vila da Praia da Vitória,19667,9591,10076,2695,1394,1301,2059,1059,1000
Graciosa,4112,2038,2074,599,322,277,441,239,202
Santa Cruz da Graciosa,4112,2038,2074,599,322,277,441,239,202
São Jorge,8465,4203,4262,1057,579,478,879,459,420
Calheta (R.A.A.),3514,1728,1786,430,228,202,393,215,178
Velas,4951,2475,2476,627,351,276,486,244,242
Pico,14221,6916,7305,1879,958,921,1390,702,688
Lajes do Pico,4383,2127,2256,536,277,259,438,222,216
Madalena,6481,3163,3318,916,470,446,668,326,342
São Roque do Pico,3357,1626,1731,427,211,216,284,154,130
Faial,14423,7032,7391,1910,999,911,1507,810,697
Horta,14423,7032,7391,1910,999,911,1507,810,697
Flores,3503,1773,1730,419,227,192,380,183,197
Lajes das Flores,1434,746,688,156,91,65,160,86,74
Santa Cruz das Flores,2069,1027,1042,263,136,127,220,97,123
Corvo,432,222,210,56,27,29,40,22,18
Corvo,432,222,210,56,27,29,40,22,18
R. A. Madeira,253259,119062,134197,31605,16070,15535,28642,14568,14074
Calheta (R.A.M.),10962,5060,5902,1248,640,608,1152,592,560
Câmara de Lobos,32416,15500,16916,4744,2384,2360,4376,2272,2104
Funchal,106429,49514,56915,12567,6403,6164,11211,5722,5489
Machico,19508,9429,10079,2155,1110,1045,2233,1149,1084
Ponta do Sol,8518,3958,4560,990,511,479,1077,538,539
Porto Moniz,2499,1082,1417,224,128,96,258,114,144
Ribeira Brava,12854,5884,6970,1580,808,772,1603,801,802
Santa Cruz,43416,20783,22633,6344,3181,3163,5013,2509,2504
Santana,6452,2964,3488,644,346,298,644,311,333
São Vicente,4859,2268,2591,481,249,232,494,262,232
Porto Santo,5346,2620,2726,628,310,318,581,298,283
