,"25 - 64 years, MF (N.º)","25 - 64 years, M (N.º)","25 - 64 years, F (N.º)","65 years and over, Total, MF (N.º)","65 years and over, Total, M (N.º)","65 years and over, Total, F (N.º)","65 years and over, 75 years and over, MF (N.º)","65 years and over, 75 years and over, M (N.º)","65 years and over, 75 years and over, F (N.º)"
Macedo de Cavaleiros,6633,3269,3364,4991,2212,2779,2559,1065,1494
Miranda do Douro,2807,1395,1412,2521,1145,1376,1421,598,823
Mirandela,10247,4975,5272,7001,3089,3912,3612,1525,2087
Mogadouro,3804,1938,1866,3190,1440,1750,1777,745,1032
Vila Flor,2803,1396,1407,2167,973,1194,1102,446,656
Vimioso,1743,901,842,1812,854,958,960,411,549
Vinhais,3171,1628,1543,3390,1580,1810,1908,835,1073
Centro,1149908,560982,588926,618259,268986,349273,315386,126932,188454
Oeste,196358,96272,100086,91716,40638,51078,45436,18809,26627
Alcobaça,28986,14347,14639,14696,6486,8210,7297,3039,4258
Alenquer,25097,12308,12789,9470,4203,5267,4668,1898,2770
Arruda dos Vinhos,7920,3906,4014,2809,1230,1579,1407,572,835
Bombarral,6844,3349,3495,3674,1635,2039,1756,729,1027
Cadaval,6859,3368,3491,4124,1832,2292,2133,890,1243
Caldas da Rainha,27001,12911,14090,13648,5985,7663,6797,2801,3996
Lourinhã,14043,6841,7202,6913,3142,3771,3350,1413,1937
Nazaré,7751,3809,3942,4019,1737,2282,1806,717,1089
Óbidos,6570,3278,3292,3375,1529,1846,1617,680,937
Peniche,13425,6539,6886,7111,3129,3982,3474,1432,2042
Sobral de Monte Agraço,6142,3043,3099,2312,1025,1287,1162,466,696
Torres Vedras,45720,22573,23147,19565,8705,10860,9969,4172,5797
Região de Aveiro,200239,97561,102678,90098,39589,50509,43398,17952,25446
Águeda,24154,11769,12385,12269,5533,6736,5850,2496,3354
Albergaria-a-Velha,13569,6732,6837,5861,2633,3228,2749,1174,1575
Anadia,13961,6846,7115,8290,3603,4687,4252,1724,2528
Aveiro,45999,22165,23834,18195,7934,10261,8518,3528,4990
Estarreja,14018,7006,7012,6584,2844,3740,3344,1336,2008
Ílhavo,22174,10673,11501,8970,3933,5037,4169,1692,2477
Murtosa,5530,2755,2775,2644,1134,1510,1335,540,795
Oliveira do Bairro,12638,6122,6516,5682,2451,3231,2945,1198,1747
Ovar,30398,14726,15672,12514,5513,7001,5598,2316,3282
Sever do Vouga,5396,2678,2718,3321,1472,1849,1726,730,996
Vagos,12402,6089,6313,5768,2539,3229,2912,1218,1694
Região de Coimbra,224501,108600,115901,124145,53151,70994,63658,25298,38360
