,Total (N.º),Brazil (N.º),Ukraine (N.º),Cabo Verde (N.º),Romania (N.º),Angola (N.º),Guinea-Bissau (N.º),United Kingdom (N.º),Moldavia (N.º),China (N.º),São Tomé and Príncipe (N.º)
Portugal,781247,239676,25443,36582,23393,31614,23707,45218,5243,22226,12995
Continente,764349,237575,25140,36312,23126,31533,23632,43566,5220,21648,12775
Norte,119385,59226,3168,3067,1349,4008,1069,1934,172,4487,1546
Alto Minho,9187,3761,172,158,144,131,29,300,11,213,330
Arcos de Valdevez,393,127,3,18,4,4,2,28,0,15,14
Caminha,747,207,4,26,7,10,1,35,1,24,8
Melgaço,182,92,3,1,0,0,0,1,0,5,1
Monção,1014,473,39,7,12,1,2,12,2,30,11
Paredes de Coura,208,50,0,0,1,1,1,26,2,2,2
Ponte da Barca,163,54,1,10,0,0,0,16,0,18,7
Ponte de Lima,669,259,7,1,6,12,7,37,1,23,6
Valença,1263,559,19,21,16,5,1,32,1,12,6
Viana do Castelo,3815,1775,84,72,85,81,11,79,4,72,275
Vila Nova de Cerveira,733,165,12,2,13,17,4,34,0,12,0
Cávado,19947,11665,537,269,307,680,126,183,26,474,157
Amares,533,298,12,1,5,7,0,18,4,7,35
Barcelos,2149,1146,84,88,23,112,14,12,1,60,11
Braga,14915,9192,388,175,262,517,111,79,13,318,74
Esposende,1301,499,27,3,5,16,1,36,4,48,19
Terras de Bouro,92,17,1,0,1,1,0,15,0,6,0
Vila Verde,957,513,25,2,11,27,0,23,4,35,18
Ave,8088,3924,302,156,99,232,82,77,11,339,47
Cabeceiras de Basto,169,34,5,1,2,3,1,11,1,23,0
Fafe,534,281,8,10,7,13,0,6,0,46,8
Guimarães,3307,1580,61,84,59,135,51,20,3,89,12
Mondim de Basto,59,27,1,0,0,2,0,1,0,9,1
Póvoa de Lanhoso,441,186,7,22,23,5,1,7,0,36,0
Vieira do Minho,164,45,2,0,0,7,0,6,3,14,0
Vila Nova de Famalicão,3102,1576,216,37,7,62,29,25,4,106,26
Vizela,312,195,2,2,1,5,0,1,0,16,0
A. M. Porto,69038,35237,1739,1244,445,2470,576,1201,101,2834,552
Arouca,150,83,1,0,3,0,2,2,0,8,2
Espinho,937,363,39,9,21,17,0,15,0,50,5
Gondomar,3718,2107,99,94,49,184,33,41,5,143,54
Maia,4541,2637,213,143,25,157,35,51,2,111,85
Matosinhos,7373,4076,129,100,33,148,43,190,4,256,47
Oliveira de Azeméis,1295,695,98,6,24,28,12,15,2,28,1
Paredes,1158,610,44,6,4,43,1,5,2,44,3
Porto,23312,10569,194,548,116,702,246,560,34,545,165
Póvoa de Varzim,3069,1783,93,15,15,37,6,25,1,231,5
Santa Maria da Feira,2228,1030,145,38,31,62,4,16,11,85,38
Santo Tirso,758,361,35,4,6,22,6,7,2,73,6
São João da Madeira,1208,729,84,4,3,42,2,6,4,54,8
Trofa,1021,482,87,13,6,14,1,9,4,29,49
Vale de Cambra,551,370,40,3,5,12,1,5,0,18,9
Valongo,2095,1266,85,25,12,72,8,23,3,58,14
Vila do Conde,3252,1119,52,16,9,52,9,44,0,837,4
Vila Nova de Gaia,12372,6957,301,220,83,878,167,187,27,264,57
Alto Tâmega,1479,572,59,6,35,29,3,18,0,116,5
Boticas,51,18,0,0,0,0,0,2,0,9,4
Chaves,835,379,23,3,19,19,1,4,0,57,0
Montalegre,111,30,10,2,0,2,1,4,0,9,0
Ribeira de Pena,102,34,0,0,4,2,0,2,0,7,0
Valpaços,193,60,17,1,7,4,1,5,0,17,0
Vila Pouca de Aguiar,187,51,9,0,5,2,0,1,0,17,1
Tâmega e Sousa,4315,1951,152,44,65,164,41,99,12,177,246
Amarante,558,223,22,5,35,24,5,41,1,21,2
Baião,143,46,2,0,2,0,1,14,1,7,0
Castelo de Paiva,190,57,0,0,1,5,0,0,0,7,61
Celorico de Basto,126,38,1,1,1,2,0,0,0,6,0
Cinfães,192,75,3,5,2,9,0,5,2,6,0
Felgueiras,547,253,17,10,5,13,4,2,1,9,20
Lousada,638,284,13,4,1,30,9,3,2,20,154
Marco de Canaveses,619,236,35,2,8,38,6,15,2,22,0
Paços de Ferreira,532,327,5,7,2,14,0,1,1,39,1
Penafiel,709,401,54,10,5,29,15,16,2,31,8
Resende,61,11,0,0,3,0,1,2,0,9,0
Douro,2954,1089,116,83,170,97,22,35,3,205,22
Alijó,89,20,0,0,7,6,0,0,0,12,0
Armamar,84,16,2,1,0,0,0,1,0,7,0
Carrazeda de Ansiães,154,33,0,1,0,0,0,0,0,10,0
Freixo de Espada à Cinta,118,7,2,0,10,6,0,0,0,9,0
Lamego,174,52,8,2,6,15,1,7,0,10,1
Mesão Frio,26,4,0,0,1,1,1,1,0,6,0
Moimenta da Beira,177,57,16,17,0,3,0,1,0,11,2
Murça,62,21,3,0,0,4,4,0,0,6,1
Penedono,24,9,0,2,1,0,0,0,0,8,0
Peso da Régua,110,44,5,7,3,1,4,2,0,13,6
Sabrosa,41,16,0,1,1,0,0,6,0,8,0
Santa Marta de Penaguião,69,5,0,7,42,0,0,0,0,3,0
São João da Pesqueira,116,22,2,24,24,0,0,0,0,2,4
Sernancelhe,69,17,5,0,4,0,0,0,0,7,1
