,"Marriages, Total (N.º)","Marriages, Opposite sex couples, Total (N.º)","Marriages, Opposite sex couples, of which, Only civil (N.º)","Marriages, Opposite sex couples, of which, Catholic (N.º)","Marriages, Same-sex couples, Male, Catholic (N.º)","Marriages, Same-sex couples, Female, Catholic (N.º)","Dissolved marriages, Same-sex couples, Total, Catholic (N.º)","Dissolved marriages, Same-sex couples, by divorce, Catholic (N.º)","Dissolved marriages, Same-sex couples, by death, Catholic (N.º)","Foreign population who has been granted a resident title, Same-sex couples, by death, MF (N.º)","Foreign population who has been granted a resident title, Same-sex couples, by death, M (N.º)","Foreign population who has been granted a resident title, Same-sex couples, by death, F (N.º)","Foreign population with resident status, Same-sex couples, by death, MF (N.º)","Foreign population with resident status, Same-sex couples, by death, M (N.º)","Foreign population with resident status, Same-sex couples, by death, F (N.º)"
Oliveira do Bairro,98,98,62,36,0,0,162,53,109,217,105,112,1161,557,604
Ovar,147,141,113,28,2,4,361,130,231,233,118,115,1225,625,600
Sever do Vouga,18,18,12,6,0,0,78,17,61,104,51,53,307,134,173
Vagos,138,136,83,53,1,1,158,41,117,151,75,76,782,397,385
Região de Coimbra,1430,1413,949,464,10,7,3186,756,2430,4445,2135,2310,20589,10141,10448
Arganil,47,47,36,11,0,0,91,15,76,136,81,55,860,450,410
Cantanhede,151,151,110,41,0,0,282,55,227,130,66,64,854,425,429
Coimbra,462,457,293,164,3,2,938,260,678,2643,1181,1462,9034,4184,4850
Condeixa-a-Nova,45,45,26,19,0,0,103,35,68,53,17,36,405,168,237
Figueira da Foz,219,215,180,35,2,2,453,113,340,576,299,277,3366,1721,1645
Góis,10,10,8,2,0,0,24,1,23,24,11,13,291,160,131
Lousã,15,15,11,4,0,0,115,44,71,81,48,33,609,306,303
Mealhada,57,56,38,18,1,0,142,35,107,66,38,28,411,206,205
Mira,40,39,21,18,1,0,90,20,70,93,34,59,403,186,217
Miranda do Corvo,36,36,18,18,0,0,86,18,68,52,27,25,410,211,199
Montemor-o-Velho,101,99,55,44,1,1,174,36,138,70,35,35,395,210,185
Mortágua,27,26,20,6,1,0,80,11,69,80,48,32,387,221,166
Oliveira do Hospital,36,36,19,17,0,0,171,41,130,125,80,45,939,525,414
Pampilhosa da Serra,10,10,7,3,0,0,39,3,36,5,3,2,41,20,21
Penacova,39,39,20,19,0,0,98,19,79,27,21,6,213,112,101
Penela,45,44,30,14,1,0,42,7,35,67,39,28,452,254,198
Soure,37,37,24,13,0,0,133,19,114,48,23,25,330,159,171
Tábua,23,22,16,6,0,1,78,14,64,98,44,54,777,398,379
Vila Nova de Poiares,30,29,17,12,0,1,47,10,37,71,40,31,412,225,187
Região de Leiria,938,933,605,325,2,3,1967,526,1441,2943,1545,1398,17728,9191,8537
Alvaiázere,26,26,8,18,0,0,47,8,39,52,25,27,509,270,239
Ansião,29,29,14,15,0,0,90,17,73,57,31,26,446,240,206
Batalha,79,78,52,26,0,1,88,20,68,99,56,43,730,382,348
Castanheira de Pêra,7,7,5,2,0,0,21,2,19,24,13,11,148,79,69
Figueiró dos Vinhos,10,10,7,3,0,0,47,6,41,18,9,9,298,153,145
Leiria,427,424,275,148,1,2,837,271,566,1519,765,754,8580,4281,4299
Marinha Grande,124,124,99,24,0,0,254,67,187,548,303,245,3206,1745,1461
Pedrógão Grande,11,11,7,4,0,0,31,4,27,107,61,46,662,347,315
Pombal,160,159,98,60,1,0,390,93,297,322,181,141,2149,1177,972
Porto de Mós,65,65,40,25,0,0,162,38,124,197,101,96,1000,517,483
