,"Art facilities, Total, No., 2021","Art facilities, Rooms, No., 2021","Art facilities, Capacity, No., 2021","Art facilities, Seats, No., 2021","Live shows, Performances, No., 2022","Live shows, Spectators, No., 2022","Live shows, Tickets sold, No., 2022","Live shows, Revenues, Euros, 2022"
Viana do Alentejo,1,2,430,424,12,3391,0,0
Vila Viçosa,0,0,0,0,20,5735,0,0
Algarve,17,25,14929,8639,1913,916126,227481,3611786
Albufeira,1,1,347,343,71,272681,3809,52622
Alcoutim,0,0,0,0,48,19075,0,0
Aljezur,0,0,0,0,40,14035,1586,12077
Castro Marim,0,0,0,0,7,…,…,…
Faro,4,5,1572,1572,421,131486,60834,784197
Lagoa,2,2,383,381,122,20356,10970,156392
Lagos,2,2,475,471,261,34939,20107,181082
Loulé,0,0,0,0,284,107541,47351,415453
Monchique,0,0,0,0,18,3780,3587,32923
Olhão,2,2,832,832,154,37717,10305,108383
Portimão,2,6,8885,2805,166,107872,53858,1730000
São Brás de Alportel,1,1,342,342,18,3907,2306,24214
Silves,1,1,150,150,62,13608,4128,32485
Tavira,0,0,0,0,162,138463,2908,29656
Vila do Bispo,1,4,1656,1456,41,…,…,…
Vila Real de Santo António,1,1,287,287,38,7291,5139,50220
R. A. Açores,9,18,6984,5242,761,244533,66210,801220
Santa Maria,0,0,0,0,47,41672,6051,106144
Vila do Porto,0,0,0,0,47,41672,6051,106144
São Miguel,6,15,5816,4074,196,132522,37660,400685
Lagoa (R.A.A.),1,1,176,176,27,4396,55,275
Nordeste,0,0,0,0,30,…,…,…
Ponta Delgada,2,8,4094,2852,99,48144,31727,335566
Povoação,0,0,0,0,0,0,0,0
Ribeira Grande,3,6,1546,1046,23,…,…,…
Vila Franca do Campo,0,0,0,0,17,54460,0,0
Terceira,3,3,1168,1168,341,32923,17866,265233
Angra do Heroísmo,1,1,468,468,297,…,…,…
Vila da Praia da Vitória,2,2,700,700,44,…,…,…
Graciosa,0,0,0,0,21,…,…,…
Santa Cruz da Graciosa,0,0,0,0,21,…,…,…
São Jorge,0,0,0,0,45,7850,206,928
Calheta (R.A.A.),0,0,0,0,36,6894,50,500
Velas,0,0,0,0,9,956,156,428
Pico,0,0,0,0,52,19403,0,0
Lajes do Pico,0,0,0,0,35,17380,0,0
Madalena,0,0,0,0,17,2023,0,0
São Roque do Pico,0,0,0,0,0,0,0,0
Faial,0,0,0,0,52,…,…,…
Horta,0,0,0,0,52,…,…,…
Flores,0,0,0,0,7,1250,0,0
Lajes das Flores,0,0,0,0,2,…,…,…
Santa Cruz das Flores,0,0,0,0,5,…,…,…
Corvo,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
R. A. Madeira,17,24,11448,6918,1370,237334,65110,893307
Calheta (R.A.M.),1,1,194,194,47,11038,3119,18600
Câmara de Lobos,3,3,457,457,83,23893,167,1001
Funchal,7,12,9199,4869,835,146690,57118,844012
Machico,3,5,658,658,109,7860,1031,3972
Ponta do Sol,1,1,180,180,171,28235,2256,10486
Porto Moniz,0,0,0,0,4,372,68,3000
Ribeira Brava,0,0,0,0,39,5165,0,0
Santa Cruz,1,1,500,300,62,7486,1000,10000
Santana,0,0,0,0,5,265,0,0
São Vicente,0,0,0,0,8,758,0,0
Porto Santo,1,1,260,260,7,5572,351,2236
