,"Child benefit, Recipients, No.","Child benefit, Descendants or equal status, No.","Child benefit, Value paid, thousand euros","Allowance for assistance by a third party, Recipients, No.","Allowance for assistance by a third party, Descendants or equal status, No.","Allowance for assistance by a third party, Value paid, thousand euros"," Funeral grant, Recipients, No."," Funeral grant, Value paid, thousand euros"
Pombal,3519,5402,3113,46,49,64,32,7
Porto de Mós,1841,2848,1699,20,21,28,11,2
Viseu Dão Lafões,19028,28019,16803,190,191,240,264,58
Aguiar da Beira,282,435,236,4,4,4,...,...
Carregal do Sal,689,1010,609,3,3,4,...,...
Castro Daire,1069,1591,948,12,12,15,20,4
Mangualde,1420,2078,1262,6,6,7,21,5
Nelas,963,1444,835,5,5,7,9,2
Oliveira de Frades,792,1186,686,6,6,8,11,2
Penalva do Castelo,550,829,469,7,7,8,10,2
Santa Comba Dão,748,1105,654,15,15,19,9,2
São Pedro do Sul,1153,1727,1080,16,15,19,12,3
Sátão,865,1288,767,7,7,9,9,2
Tondela,1749,2529,1432,18,19,24,27,6
Vila Nova de Paiva,313,498,301,6,6,8,7,2
Viseu,7736,11297,6951,81,82,105,106,23
Vouzela,699,1002,572,4,4,4,16,4
Beira Baixa,5411,8080,5066,65,66,83,101,22
Castelo Branco,3854,5723,3588,47,48,63,67,15
Idanha-a-Nova,544,834,553,7,7,7,12,3
Oleiros,203,292,154,4,4,5,...,...
Penamacor,241,349,232,4,4,4,8,2
Proença-a-Nova,389,613,358,3,3,4,7,2
Vila Velha de Ródão,180,269,180,0,0,0,...,...
Médio Tejo,16625,25470,15626,288,291,372,238,53
Abrantes,2403,3555,2239,47,47,60,26,6
Alcanena,1017,1594,955,9,9,13,11,2
Constância,277,405,260,3,3,4,7,2
Entroncamento,1612,2462,1688,34,34,43,21,5
Ferreira do Zêzere,607,953,536,6,6,8,6,1
Mação,353,539,314,10,10,13,...,...
Ourém,3275,5230,3017,50,51,64,56,13
Sardoal,232,353,215,5,5,7,...,...
Sertã,1158,1772,1043,20,20,25,13,3
Tomar,2552,3840,2398,55,56,71,33,7
Torres Novas,2431,3656,2254,39,40,51,48,11
Vila de Rei,214,360,213,5,5,6,0,0
Vila Nova da Barquinha,494,751,494,5,5,7,11,2
Beiras e Serra da Estrela,14520,21447,12864,216,220,281,156,35
Almeida,278,407,237,5,5,6,5,1
Belmonte,485,722,444,10,10,12,7,2
Celorico da Beira,441,674,394,8,8,10,5,1
Covilhã,3389,4929,3038,46,47,58,34,7
Figueira de Castelo Rodrigo,398,596,368,...,...,...,4,1
Fornos de Algodres,300,446,263,3,3,4,5,1
Fundão,1916,2877,1734,34,35,45,53,12
Gouveia,803,1210,744,7,7,9,10,2
Guarda,2891,4232,2486,54,56,73,16,4
Manteigas,166,229,123,...,...,...,...,...
Mêda,303,457,267,5,5,7,...,...
Pinhel,519,760,422,5,5,7,4,1
Sabugal,596,881,542,7,7,9,...,...
Seia,1473,2175,1308,19,19,24,6,1
Trancoso,562,852,493,9,9,11,3,1
A. M. Lisboa,218845,326667,234053,3273,3361,4302,1749,399
Alcochete,1261,1879,1241,17,18,24,10,2
Almada,13830,20544,14788,169,171,223,109,26
Amadora,15428,22902,17601,271,284,363,91,21
Barreiro,6238,9138,6601,85,88,111,55,12
Cascais,13787,20701,14426,238,241,307,159,35
Lisboa,29516,45613,34253,619,646,825,329,83
Loures,17054,25625,18620,244,248,316,105,23
Mafra,7010,10505,6774,121,123,158,76,17
Moita,6445,9655,7051,79,82,104,51,12
Montijo,4787,7145,4944,73,77,99,24,5
Odivelas,12403,18409,13347,166,168,210,80,18
Oeiras,9371,14216,9881,147,148,187,122,27
Palmela,5288,7717,5057,71,71,92,52,11
