,Total expenditures on sports activities and equipments (Euros),"Current expenditures, Total (Euros)","Current expenditures, of which, Sports activities (Euros)","Current expenditures, of which, Sports associations (Euros)","Current expenditures, of which, Construction and maintenance of sports infrastructures (Euros)","Capital expenditures, Total, Construction and maintenance of sports infrastructures (Euros)","Capital expenditures, of which, Sports activities (Euros)","Capital expenditures, of which, Sports associations (Euros)","Capital expenditures, of which, Construction and maintenance of sports infrastructures (Euros)"
Portugal,320286666.00000006,257337214.00000006,109940452,67552368.99999999,48754572.00000003,62949452,4318548.999999996,11464732.999999998,25485543.000000004
Continente,312439894.00000006,251448157.00000006,108213641,64648335.999999985,48352457.00000003,60991737,4199965.999999996,10893673.999999998,25000100.000000004
Norte,122955514.99999997,96349812.00000001,45481185.99999999,27724729.000000004,10960598.000000002,26605702.99999999,2554534.9999999986,3031482.0000000014,12077885.000000007
Alto Minho,9254528,7444846,2166211,2650193.9999999995,1818111,1809682.0000000005,4050,412215.00000000006,36372
Arcos de Valdevez,1257918,958467,65058,296921,441373,299451,0,109211,8564
Caminha,488070,488070,413070,75000,0,0,0,0,0
Melgaço,142964,142964,27964,115000,0,0,0,0,0
Monção,666531,666531,303516,292762,27765,0,0,0,0
Paredes de Coura,429382,424631,77799,80252,266580,4751,0,0,4751
Ponte da Barca,91500,91500,0,82500,9000,0,0,0,0
Ponte de Lima,2532317,1356948,0,0,744221,1175369,0,0,0
Valença,712793,685686,62884,293630,329172,27107,4050,0,23057
Viana do Castelo,2561262,2258258,958889,1299369,0,303004,0,303004,0
Vila Nova de Cerveira,371791,371791,257031,114760,0,0,0,0,0
Cávado,15558582,14165545.000000002,12615501,1288258,51397.99999999999,1393037,122011,574040,91024
Amares,366917,335942,164032,120512,51398,30975,0,0,30975
Barcelos,2407689,1371953,777840,467128,0,1035736,73701,402500,50462
Braga,11095456,11092146,11092146,0,0,3310,3310,0,0
Esposende,763086,656610,372260,284350,0,106476,0,0,9587
Terras de Bouro,48400,48400,4400,44000,0,0,0,0,0
Vila Verde,877034,660494,204823,372268,0,216540,45000,171540,0
Ave,15389638.000000002,11580745,5791661,3639369,1001431,3808892.9999999995,2068844,416593.99999999994,767175
Cabeceiras de Basto,394680,169680,22250,147430,0,225000,0,0,0
Fafe,1684408,1657165,727945,655739,243309,27243,0,16805,0
Guimarães,3045624,1782767,1211282,571485,0,1262857,1022787,19595,85582
Mondim de Basto,57459,57459,10460,46999,0,0,0,0,0
Póvoa de Lanhoso,890766,879096,0,144342,596978,11670,0,0,5088
Vieira do Minho,144991,144991,0,144991,0,0,0,0,0
Vila Nova de Famalicão,8595787,6693858,3798157,1790143,161144,1901929,1046057,0,676505
Vizela,575923,195729,21567,138240,0,380194,0,380194,0
A. M. Porto,54852237,41564740,17247801,11179523.999999998,5233367,13287497,132982,1254748,8357294
Arouca,1104980,923630,177476,120439,551935,181350,662,3500,17309
Espinho,355628,355628,134128,221500,0,0,0,0,0
Gondomar,5197306,4850604,1866806,740727,531068,346702,0,0,209420
Maia,5516773,5212370,1854546,1599448,969974,304403,0,18750,200520
Matosinhos,11984262,10265922,6782412,3431329,51045,1718340,2851,762992,901967
Oliveira de Azeméis,877451,584027,77581,486730,15778,293424,0,0,102609
Paredes,4347025,903161,486766,416395,0,3443864,0,0,3443864
Porto,6277834,5425031,1052711,0,0,852803,0,0,852803
Póvoa de Varzim,6125760,3237566,1439889,1743665,0,2888194,0,0,0
Santa Maria da Feira,428172,304466,304466,0,0,123706,123706,0,0
Santo Tirso,635021,635021,314250,293195,12950,0,0,0,0
São João da Madeira,1627996,1446287,940431,324147,181709,181709,0,0,181709
Trofa,195865,195680,102672,66744,13034,185,0,0,185
Vale de Cambra,942270,841907,300359,53323,425085,100363,3263,68638,16144
Valongo,2386221,2262008,1243879,181319,836340,124213,2500,0,121713
Vila do Conde,990648,990648,35797,831395,123456,0,0,0,0
Vila Nova de Gaia,5859025,3130784,133632,669168,1520993,2728241,0,400868,2309051
Alto Tâmega,4827836,3605637,2304264,955870,219043,1222199,109518,10000,368171
Boticas,271000,200000,97300,18700,53000,71000,42000,0,0
Chaves,936762,670648,331952,338696,0,266114,67518,10000,52949
Montalegre,1044544,663263,319055,344208,0,381281,0,0,124233
Ribeira de Pena,709375,476363,107066,111300,166043,233012,0,0,153891
Valpaços,747460,611664,465192,142966,0,135796,0,0,0
Vila Pouca de Aguiar,1118695,983699,983699,0,0,134996,0,0,37098
Tâmega e Sousa,11704362,9126592,2134701,5158887,889263.9999999999,2577770,21910,197271,2238011
Amarante,1355210,1220487,538481,423626,243751,134723,0,0,70528
Baião,472806,472806,16720,235526,145000,0,0,0,0
Castelo de Paiva,202462,202462,141553,60650,0,0,0,0,0
Celorico de Basto,1206926,1206926,33911,274909,335564,0,0,0,0
Cinfães,199993,199993,199993,0,0,0,0,0,0
Felgueiras,1401491,767545,151385,616160,0,633946,0,69775,531877
Lousada,1034798,364550,122549,215202,26799,670248,0,0,670248
Marco de Canaveses,740399,429661,43684,385977,0,310738,0,127496,167207
Paços de Ferreira,2268356,2268356,104181,2156741,0,0,0,0,0
Penafiel,2062389,1285022,717756,567266,0,777367,0,0,777367
Resende,759532,708784,64488,222830,138150,50748,21910,0,20784
Douro,6397153.999999999,5163980,1765826,1697924.0000000005,1258924,1233174,85511.99999999999,121000,150814
Alijó,356454,332564,299714,32850,0,23890,17185,0,0
Armamar,281831,240380,178719,10250,51411,41451,0,0,41451
Carrazeda de Ansiães,572926,273720,34267,9346,128669,299206,0,0,0
Freixo de Espada à Cinta,76318,76318,76318,0,0,0,0,0,0
Lamego,237193,237193,96962,140231,0,0,0,0,0
Mesão Frio,17000,17000,0,17000,0,0,0,0,0
Moimenta da Beira,273044,273044,103653,157450,9155,0,0,0,0
Murça,184284,184284,3518,63793,85167,0,0,0,0
