,"Total, Total (N.º)","Total, Pensionistas em  31 dez. (N.º)","Invalidez, Total (N.º)","Invalidez, Pensionistas em  31 dez. (N.º)","Velhice, Total (N.º)","Velhice, Pensionistas em  31 dez. (N.º)","Sobrevivência, Total (N.º)","Sobrevivência, Pensionistas em  31 dez. (N.º)"
Nordeste,1002,954,90,85,570,547,342,322
Ponta Delgada,12990,12375,2234,2162,6808,6509,3948,3704
Povoação,1152,1106,155,151,580,554,417,401
Ribeira Grande,4970,4704,882,849,2441,2313,1647,1542
Vila Franca do Campo,1715,1626,226,218,918,871,571,537
Terceira,14205,13517,1736,1683,8569,8185,3900,3649
Angra do Heroísmo,8912,8487,1106,1074,5363,5125,2443,2288
Vila da Praia da Vitória,5293,5030,630,609,3206,3060,1457,1361
Graciosa,1152,1096,125,114,663,634,364,348
Santa Cruz da Graciosa,1152,1096,125,114,663,634,364,348
São Jorge,2284,2182,246,241,1310,1245,728,696
Calheta (R.A.A.),997,959,80,77,601,577,316,305
Velas,1287,1223,166,164,709,668,412,391
Pico,4508,4322,621,610,2683,2577,1204,1135
Lajes do Pico,1531,1482,156,152,958,929,417,401
Madalena,2016,1923,316,312,1178,1126,522,485
São Roque do Pico,961,917,149,146,547,522,265,249
Faial,3516,3332,420,395,2213,2103,883,834
Horta,3516,3332,420,395,2213,2103,883,834
Flores,861,804,…,…,523,485,…,…
Lajes das Flores,339,316,...,...,212,194,...,...
Santa Cruz das Flores,522,488,74,69,311,291,137,128
Corvo,77,70,…,…,47,43,…,…
Corvo,77,70,...,...,47,43,...,...
R. A. Madeira,70024,66507,6486,6198,44113,42041,19425,18268
Calheta (R.A.M.),3503,3308,268,261,2245,2112,990,935
Câmara de Lobos,8174,7794,1011,979,4746,4544,2417,2271
Funchal,30260,28718,2441,2328,19530,18622,8289,7768
Machico,6358,6094,735,686,3935,3799,1688,1609
Ponta do Sol,2390,2249,187,179,1541,1454,662,616
Porto Moniz,1002,950,57,52,650,619,295,279
Ribeira Brava,3999,3799,431,415,2533,2411,1035,973
Santa Cruz,8689,8247,883,848,5380,5116,2426,2283
Santana,2540,2419,219,205,1576,1497,745,717
São Vicente,1816,1704,149,144,1136,1064,531,496
Porto Santo,1293,1225,105,101,841,803,347,321
