,"Total, Total (milhares de euros)","Total, Pensões em 31 dez. (milhares de euros)","Invalidez, Total (milhares de euros)","Invalidez, Pensões em 31 dez. (milhares de euros)","Velhice, Total (milhares de euros)","Velhice, Pensões em 31 dez. (milhares de euros)","Sobrevivência, Total (milhares de euros)","Sobrevivência, Pensões em 31 dez. (milhares de euros)"
Ponta Delgada,81210,79812,15139,14968,51564,50775,14506,14070
Povoação,4912,4841,802,802,2849,2805,1260,1235
Ribeira Grande,23555,23126,4919,4865,13902,13655,4734,4606
Vila Franca do Campo,7483,7347,1229,1215,4491,4430,1763,1702
Terceira,76827,75375,9854,9766,54108,53079,12865,12530
Angra do Heroísmo,44512,43607,6272,6223,30665,30011,7576,7373
Vila da Praia da Vitória,32315,31768,3582,3542,23443,23068,5290,5157
Graciosa,4593,4504,607,595,2986,2926,999,983
Santa Cruz da Graciosa,4593,4504,607,595,2986,2926,999,983
São Jorge,9480,9319,1369,1359,6051,5941,2060,2019
Calheta (R.A.A.),3898,3853,400,398,2621,2587,877,868
Velas,5582,5466,970,961,3430,3354,1183,1151
Pico,20528,20243,3516,3502,13748,13549,3264,3192
Lajes do Pico,6880,6810,899,895,4874,4823,1107,1092
Madalena,9435,9311,1823,1819,6162,6080,1450,1411
São Roque do Pico,4213,4122,795,788,2711,2646,707,688
Faial,16511,16220,2271,2242,11753,11548,2487,2430
Horta,16511,16220,2271,2242,11753,11548,2487,2430
Flores,4010,3892,…,…,2705,2603,…,…
Lajes das Flores,1482,1436,…,…,1030,989,…,…
Santa Cruz das Flores,2528,2456,437,431,1674,1614,417,411
Corvo,360,353,…,…,253,248,…,…
Corvo,360,353,…,…,253,248,…,…
R. A. Madeira,358842,352083,36098,35591,263145,258276,59598,58216
Calheta (R.A.M.),13858,13524,1264,1256,10190,9920,2404,2348
Câmara de Lobos,36007,35361,5222,5162,24660,24222,6125,5977
Funchal,175220,171998,14673,14444,131680,129389,28867,28165
Machico,32425,31920,4253,4174,22790,22469,5382,5277
Ponta do Sol,9708,9473,877,870,7184,6999,1647,1604
Porto Moniz,3842,3765,244,241,2868,2812,730,713
Ribeira Brava,17744,17385,2209,2189,12954,12670,2582,2527
Santa Cruz,44686,43851,5004,4940,32137,31528,7545,7383
Santana,10195,9965,1025,1000,7308,7138,1861,1827
São Vicente,7223,7020,692,684,5222,5063,1309,1273
Porto Santo,7933,7822,636,632,6152,6067,1145,1123
