,Total (N.º),"Sexo, H, Total (N.º)","Sexo, H, Novos beneficiários (N.º)","Sexo, M, Total (N.º)","Sexo, M, Novas beneficiárias (N.º)","Idade, Menos de 25 anos, Novas beneficiárias (N.º)","Idade, 25-29 anos, Novas beneficiárias (N.º)","Idade, 30-39
 anos, Novas beneficiárias (N.º)","Idade, 40-49 anos, Novas beneficiárias (N.º)","Idade, 50-54 anos, Novas beneficiárias (N.º)","Idade, 55 e mais anos, Novas beneficiárias (N.º)"
Portugal,411031,179356,69272,231675,85273,25407,93159,49387,99712,100900,42466
Continente,391251,169675,65461,221576,81208,24158,89064,46793,94851,96211,40174
Norte,141953,60110,22963,81843,29745,8350,37231,15495,31368,34296,15213
Alto Minho,7317,3219,1500,4098,1776,563,1365,932,1837,1896,724
Arcos de Valdevez,494,193,83,301,141,42,81,63,133,134,41
Caminha,498,208,86,290,107,32,96,59,133,127,51
Melgaço,81,33,16,48,18,4,15,11,20,25,6
Monção,427,149,62,278,111,38,78,50,99,118,44
Paredes de Coura,350,159,76,191,93,40,73,48,87,72,30
Ponte da Barca,275,112,50,163,77,24,44,40,71,74,22
Ponte de Lima,1188,480,220,708,305,124,213,164,263,286,138
Valença,593,242,117,351,139,38,97,81,176,140,61
Viana do Castelo,3063,1491,719,1572,703,200,592,367,764,836,304
Vila Nova de Cerveira,348,152,71,196,82,21,76,49,91,84,27
Cávado,13431,5318,2038,8113,3088,740,3449,1441,3093,3350,1358
Amares,572,209,88,363,132,30,131,63,139,156,53
Barcelos,3320,1388,544,1932,735,166,1048,316,631,773,386
Braga,7084,2779,1044,4305,1614,386,1644,772,1768,1822,692
Esposende,946,375,153,571,236,58,247,108,203,240,90
Terras de Bouro,275,116,44,159,71,22,80,26,52,62,33
Vila Verde,1234,451,165,783,300,78,299,156,300,297,104
Ave,17997,6984,2491,11013,3614,817,5739,1639,3478,4221,2103
Cabeceiras de Basto,461,198,69,263,102,33,93,77,118,109,31
Fafe,2218,819,274,1399,413,75,732,204,426,513,268
Guimarães,7478,2917,977,4561,1524,319,2474,632,1397,1753,903
Mondim de Basto,129,66,25,63,27,4,34,11,30,34,16
Póvoa de Lanhoso,708,307,108,401,123,28,220,69,159,153,79
Vieira do Minho,420,177,69,243,77,13,122,49,89,102,45
Vila Nova de Famalicão,5370,2070,827,3300,1103,299,1620,517,1027,1294,613
Vizela,1213,430,142,783,245,46,444,80,232,263,148
A. M. Porto,77693,34344,13097,43349,15586,4899,19469,8752,17654,18724,8195
Arouca,556,201,84,355,122,37,133,64,133,139,50
Espinho,1130,512,189,618,232,62,296,135,248,276,113
Gondomar,7436,3424,1212,4012,1444,498,1805,842,1747,1779,765
Maia,5969,2574,989,3395,1226,351,1436,617,1364,1528,673
Matosinhos,8112,3885,1451,4227,1490,492,2094,823,1915,1922,866
Oliveira de Azeméis,2802,1121,475,1681,610,227,769,313,582,619,292
Paredes,3538,1346,533,2192,781,236,856,414,785,867,380
Porto,10354,5072,2065,5282,1953,646,2235,1420,2750,2330,973
Póvoa de Varzim,2732,1255,481,1477,574,155,717,288,573,691,308
Santa Maria da Feira,5781,2340,850,3441,1244,384,1640,592,1224,1335,606
Santo Tirso,2938,1106,406,1832,605,146,1064,240,513,624,351
São João da Madeira,1330,566,217,764,279,85,361,141,284,319,140
Trofa,1948,689,298,1259,390,118,528,214,401,467,220
Vale de Cambra,544,177,80,367,138,12,132,68,136,149,47
Valongo,4296,1848,747,2448,877,315,968,511,980,1102,420
Vila do Conde,3772,1679,661,2093,716,243,925,366,840,956,442
Vila Nova de Gaia,14455,6549,2359,7906,2905,892,3510,1704,3179,3621,1549
Alto Tâmega,1833,801,303,1032,408,93,500,183,424,441,192
Boticas,90,39,8,51,11,4,23,8,20,23,12
Chaves,926,377,143,549,209,42,249,92,204,238,101
Montalegre,124,68,21,56,25,4,35,13,30,24,18
Ribeira de Pena,175,86,42,89,36,13,45,17,55,31,14
Valpaços,231,89,28,142,64,9,66,26,56,57,17
Vila Pouca de Aguiar,287,142,61,145,63,21,82,27,59,68,30
Tâmega e Sousa,16233,6012,2158,10221,3695,863,4706,1670,3302,3830,1862
Amarante,2076,716,278,1360,576,96,553,240,428,520,239
Baião,538,249,99,289,89,23,171,53,102,136,53
Castelo de Paiva,477,197,75,280,103,22,145,54,100,100,56
Celorico de Basto,524,207,80,317,147,37,117,59,132,140,39
Cinfães,679,316,117,363,126,46,203,72,135,159,64
Felgueiras,3028,1156,328,1872,652,157,1006,263,554,657,391
Lousada,1969,646,247,1323,437,100,604,191,416,448,210
Marco de Canaveses,1905,668,233,1237,396,86,540,173,370,500,236
Paços de Ferreira,2149,847,330,1302,467,135,592,233,462,482,245
Penafiel,2648,895,329,1753,645,146,712,304,553,637,296
Resende,240,115,42,125,57,15,63,28,50,51,33
Douro,5027,2359,946,2668,1047,261,1423,557,1023,1228,535
Alijó,260,140,50,120,49,17,70,33,61,55,24
Armamar,139,61,27,78,27,7,38,16,29,35,14
Carrazeda de Ansiães,113,33,15,80,33,5,38,10,26,26,8
Freixo de Espada à Cinta,49,17,5,32,12,4,18,6,7,11,3
Lamego,927,494,172,433,166,46,283,95,172,220,111
Mesão Frio,81,40,20,41,11,4,27,6,19,16,9
Moimenta da Beira,254,117,54,137,67,17,68,38,47,61,23
Murça,109,49,18,60,29,4,40,11,20,25,9
Penedono,43,18,7,25,10,...,6,5,15,12,...
Peso da Régua,441,201,65,240,83,28,135,52,78,105,43
Sabrosa,146,47,17,99,48,7,43,26,23,40,7
Santa Marta de Penaguião,167,88,34,79,27,6,67,13,22,40,19
São João da Pesqueira,119,53,24,66,22,9,28,15,31,21,15
Sernancelhe,77,29,13,48,17,...,28,11,14,16,...
Tabuaço,129,60,31,69,28,10,40,11,19,30,19
Tarouca,224,122,53,102,38,15,57,24,45,46,37
Torre de Moncorvo,201,89,47,112,53,9,53,32,46,42,19
Vila Nova de Foz Côa,138,63,25,75,31,3,38,18,24,39,16
Vila Real,1410,638,269,772,296,65,346,135,325,388,151
Terras de Trás-os-Montes,2422,1073,430,1349,531,114,580,321,557,606,244
