,"Total, N.º","Sexo, H, N.º","Sexo, M, N.º","Idade, Menos de 25 anos, N.º","Idade, 25-39 anos, N.º","Idade, 40-54 anos, N.º","Idade, 55 e mais anos, N.º","Valores processados, 55 e mais anos, milhares de euros"
Região de Coimbra,7980,4118,3862,2530,1291,1965,2194,10492
Arganil,154,91,63,29,20,35,70,212
Cantanhede,476,227,249,143,65,110,158,609
Coimbra,3142,1649,1493,988,544,828,782,4276
Condeixa-a-Nova,172,87,85,76,19,37,40,191
Figueira da Foz,1569,757,812,564,269,349,387,2097
Góis,67,40,27,18,10,13,26,84
Lousã,425,214,211,142,66,107,110,509
Mealhada,150,78,72,41,23,34,52,183
Mira,168,93,75,53,29,36,50,210
Miranda do Corvo,181,91,90,49,30,36,66,252
Montemor-o-Velho,278,146,132,105,47,69,57,340
Mortágua,77,42,35,21,11,22,23,90
Oliveira do Hospital,334,181,153,88,60,89,97,436
Pampilhosa da Serra,58,38,20,9,10,20,19,73
Penacova,140,74,66,33,13,31,63,188
Penela,50,26,24,19,5,8,18,60
Soure,184,100,84,47,30,47,60,256
Tábua,226,120,106,61,24,59,82,298
Vila Nova de Poiares,129,64,65,44,16,35,34,127
Região de Leiria,4004,1892,2112,1558,637,887,922,5060
Alvaiázere,139,69,70,50,18,35,36,173
Ansião,230,116,114,74,31,61,64,245
Batalha,113,48,65,50,12,28,23,141
Castanheira de Pêra,51,31,20,13,10,10,18,64
Figueiró dos Vinhos,130,69,61,43,19,31,37,161
Leiria,1511,695,816,593,261,342,315,1940
Marinha Grande,705,337,368,291,122,148,144,905
Pedrógão Grande,119,50,69,34,19,32,34,149
Pombal,737,351,386,301,112,145,179,924
Porto de Mós,269,126,143,109,33,55,72,356
Viseu Dão Lafões,5201,2589,2612,1873,775,1138,1415,6568
Aguiar da Beira,90,50,40,31,11,16,32,118
Carregal do Sal,167,82,85,47,20,40,60,211
Castro Daire,335,181,154,97,35,89,114,418
Mangualde,471,229,242,168,63,105,135,605
Nelas,252,129,123,92,40,60,60,341
Oliveira de Frades,56,24,32,17,7,11,21,63
Penalva do Castelo,129,65,64,40,13,31,45,149
Santa Comba Dão,182,90,92,63,19,44,56,216
São Pedro do Sul,172,82,90,41,12,38,81,231
Sátão,272,133,139,111,51,47,63,325
Tondela,297,162,135,76,35,64,122,385
Vila Nova de Paiva,96,51,45,31,13,22,30,104
Viseu,2623,1277,1346,1047,449,558,569,3339
Vouzela,59,34,25,12,7,13,27,63
Beira Baixa,1847,968,879,781,288,355,423,2238
Castelo Branco,1158,584,574,512,177,211,258,1378
Idanha-a-Nova,377,208,169,158,78,74,67,472
Oleiros,42,24,18,7,4,5,26,64
Penamacor,112,72,40,39,11,25,37,147
Proença-a-Nova,89,45,44,31,8,24,26,102
Vila Velha de Ródão,69,35,34,34,10,16,9,74
Médio Tejo,3934,1955,1979,1633,628,833,840,4593
Abrantes,963,498,465,407,167,214,175,1155
Alcanena,98,47,51,37,16,19,26,113
Constância,105,44,61,45,16,24,20,126
Entroncamento,508,223,285,255,90,106,57,518
Ferreira do Zêzere,79,33,46,24,11,15,29,107
Mação,101,64,37,23,16,27,35,123
Ourém,295,148,147,103,41,65,86,334
Sardoal,87,48,39,42,13,19,13,72
Sertã,255,141,114,85,30,58,82,313
Tomar,817,395,422,352,122,170,173,973
Torres Novas,413,203,210,160,67,85,101,510
Vila de Rei,40,20,20,19,8,5,8,31
Vila Nova da Barquinha,173,91,82,81,31,26,35,217
Beiras e Serra da Estrela,5535,2864,2671,2165,893,1230,1247,6867
Almeida,144,87,57,39,27,24,54,207
Belmonte,215,112,103,79,33,53,50,269
Celorico da Beira,169,81,88,58,35,28,48,228
Covilhã,1191,620,571,476,191,281,243,1451
Figueira de Castelo Rodrigo,278,144,134,140,52,54,32,342
Fornos de Algodres,91,46,45,29,13,26,23,99
Fundão,772,403,369,286,101,187,198,1042
Gouveia,362,188,174,147,63,86,66,409
Guarda,1051,536,515,453,185,200,213,1249
Manteigas,58,26,32,15,11,12,20,77
Mêda,84,40,44,29,10,20,25,90
Pinhel,145,85,60,58,14,35,38,172
Sabugal,253,138,115,104,44,50,55,319
Seia,608,302,306,218,96,147,147,771
Trancoso,114,56,58,34,18,27,35,142
A. M. Lisboa,75440,34914,40526,34142,12114,15221,13963,94223
Alcochete,310,149,161,136,49,67,58,384
Almada,6526,2992,3534,2940,1010,1337,1239,8294
Amadora,5161,2209,2952,2562,847,964,788,5962
Barreiro,3048,1389,1659,1451,528,552,517,3929
Cascais,3780,1758,2022,1517,519,843,901,4741
Lisboa,20657,10380,10277,8914,3458,4365,3920,27067
Loures,5263,2418,2845,2492,857,986,928,6543
Mafra,827,388,439,343,114,199,171,979
Moita,3173,1367,1806,1566,502,570,535,3933
Montijo,1877,867,1010,882,323,351,321,2345
Odivelas,3326,1503,1823,1532,523,661,610,4099
Oeiras,1957,867,1090,805,279,411,462,2234
Palmela,844,382,462,346,108,194,196,933
Seixal,4634,2047,2587,2124,781,908,821,5731
