,Total expenditures on cultural and creative activities (Euros),"Current expenditures, Total (Euros)","Current expenditures, of which, Cultural heritage, Total (Euros)","Current expenditures, of which, Cultural heritage, Museums  (Euros)","Current expenditures, of which, Libraries and archives, Total (Euros)","Current expenditures, of which, Libraries and archives, Libraries (Euros)","Current expenditures, of which, Performing arts, Total (Euros)","Current expenditures, of which, Performing arts, Music (Euros)","Current expenditures, of which, Performing arts, Multidisciplinary (Euros)","Current expenditures, of which, Performing arts, Construction and maintenance of art facilities (Euros)","Current expenditures, of which, Interdisciplinary activities , Total (Euros)","Current expenditures, of which, Interdisciplinary activities , Support to cultural and creative organisations (Euros)"
Penalva do Castelo,542844,540256,0,0,131579,131579,219782,0,52439,0,175690,173616
Santa Comba Dão,265464,249220,8291,0,115146,115146,91142,3750,44969,0,27566,0
São Pedro do Sul,510655,423796,99699,0,99714,99714,74278,10130,1000,44531,121789,90980
Sátão,260735,260735,14782,4232,79999,79999,25757,0,0,0,101580,101580
Tondela,1053341,790282,75018,75018,327915,220765,129564,21524,0,0,250799,127290
Vila Nova de Paiva,190812,190812,0,0,43727,21072,102378,8610,0,4982,13950,13950
Viseu,4440813,3973477,699120,569789,484634,370176,1698064,249955,852298,400259,397164,37322
Vouzela,546107,371936,104489,82164,105962,105243,98372,2190,0,21274,20633,12875
Beira Baixa,6124604,5558695,1011153,657503,923257,714553,1258628,677538,163161,96261,1221420,944162
Castelo Branco,2971224,2752875,480428,387572,379479,293433,835524,510254,89701,90910,556976,518486
Idanha-a-Nova,1335618,1306969,328101,218887,122932,70259,217011,72436,61214,5351,310366,122054
Oleiros,207990,197785,0,0,45001,45001,80326,0,2246,0,15250,15250
Penamacor,330360,200239,37140,37140,60179,26310,24480,8879,0,0,20500,20500
Proença-a-Nova,749539,686880,13179,904,245313,209197,64453,59135,0,0,293829,243373
Vila Velha de Ródão,529873,413947,152305,13000,70353,70353,36834,26834,10000,0,24499,24499
Médio Tejo,15177612,9463402,1271807,720145,2837732,2227353,1240577,485095,233207,128129,3303264,1975087
Abrantes,3003993,2236743,212149,68581,685917,527372,88213,0,0,67588,1212713,581384
Alcanena,486916,405738,48598,48598,146819,146819,104160,7540,13500,0,90554,90554
Constância,598416,491472,49380,49380,234303,164057,52850,0,46679,6171,145111,145111
Entroncamento,417326,338168,0,0,109956,75900,54791,24949,0,13401,163179,7226
Ferreira do Zêzere,250295,236019,8546,0,104465,90781,47623,27790,0,14252,58281,16125
Mação,462628,422615,120910,113047,52275,52275,1616,1616,0,0,87040,87040
Ourém,4635088,965884,213188,117643,157651,93636,152179,0,152169,0,261874,218054
Sardoal,571266,491480,48185,0,137745,123667,43433,5896,0,4306,166250,62373
Sertã,718105,656044,10908,9583,274070,216191,201029,102035,0,22411,134422,134422
Tomar,881416,872731,85242,65112,253921,216028,199202,163574,13828,0,291577,291577
Torres Novas,2776353,2000053,358505,161571,571813,480815,273210,139746,0,0,633885,285492
Vila de Rei,258861,252861,98821,86630,108797,39812,18376,8054,7031,0,15253,12604
Vila Nova da Barquinha,116949,93594,17375,0,0,0,3895,3895,0,0,43125,43125
Beiras e Serra da Estrela,15514876,10291192,1826903,1268538,2055259,1609728,1635018,350818,871674,163880,3175748,1211042
Almeida,593118,512188,295774,152927,89712,69600,13044,9420,2824,0,47225,3225
Belmonte,777100,699829,126278,111380,11194,11194,363102,0,363102,0,53895,53895
Celorico da Beira,429073,307911,33997,12531,82474,81876,0,0,0,0,163648,0
Covilhã,5006897,821799,127939,98863,295855,214264,17021,1396,0,7875,262224,257724
Figueira de Castelo Rodrigo,131058,131058,8288,0,0,0,19203,11947,0,0,96550,96550
Fornos de Algodres,228196,98248,18551,18551,30482,30482,16069,9729,4740,0,25755,15000
Fundão,1390190,1159785,178538,178538,296334,183256,151181,23380,33813,8015,181233,177133
Gouveia,639676,599562,122512,122512,122047,122047,110805,32633,12327,34739,73191,73191
Guarda,1823824,1778343,248662,148320,460477,460477,333951,0,333951,0,733753,189983
Manteigas,300936,300936,0,0,50358,26804,103158,100572,0,2586,91275,91275
Mêda,177029,177029,0,0,110393,57933,59963,59963,0,0,0,0
Pinhel,1392681,1377937,106809,106809,158835,95027,62549,46183,0,0,760380,26468
Sabugal,709642,573746,195682,88442,60934,60934,112361,5856,99136,0,136020,110597
Seia,1346956,1266491,211564,209845,231165,153942,186736,5545,0,110665,485474,51201
Trancoso,568500,486330,152309,19820,54999,41892,85875,44194,21781,0,65125,64800
A. M. Lisboa,143990724,127174216,29756940,13417314,11294585,10150590,17733558,2870481,9087774,3252304,59581551,39647556
Alcochete,620922,569373,168963,168963,234563,231963,165694,65568,0,94911,0,0
Almada,8290360,6826885,1001596,920285,1240565,1223481,1397084,223917,75154,598106,2245370,2002961
Amadora,3051539,2285286,213331,213331,564817,564817,672138,26654,438230,1505,385820,199929
Barreiro,1472454,1435041,216402,164690,379651,277733,486018,125759,0,14381,231296,231296
Cascais,2184471,1970425,408009,352014,43673,15320,374998,176100,0,0,524595,389901
Lisboa,83812558,76791819,19072243,4575071,500222,388183,8989509,532805,7306704,1150000,46345409,31775012
Loures,4330715,4088349,1373658,1250170,1070745,1070745,187667,132381,0,35856,1449877,374364
Mafra,2391119,2346621,2944,400,927,927,108440,82850,0,0,2212318,34500
Moita,1371866,1240678,158061,147743,479112,418276,304704,277583,1031,0,286668,63116
Montijo,767462,767462,203135,168006,210039,109364,156722,3819,0,26538,134118,12184
Odivelas,2399218,2362665,508382,280258,602263,484414,693090,105379,179301,152814,186848,45365
Oeiras,6297763,3134570,22997,22997,129242,115336,508737,219977,0,0,1870424,1870424
Palmela,3915093,3115119,842883,16177,918284,842067,543606,22223,0,496003,372394,191308
Seixal,4855308,4794340,814164,814164,1549454,1535266,593157,241697,75255,183966,835352,407399
Sesimbra,2314836,1395836,120876,0,689759,491738,35913,31929,1420,0,160938,131281
Setúbal,7086683,5923227,2220341,2220341,366902,366902,974774,0,974774,0,1458159,1173875
Sintra,4737140,4718871,1014456,775241,1209487,1012893,1051871,235090,30429,462224,691101,628209
Vila Franca de Xira,4091217,3407649,1394499,1327463,1104880,1001165,489436,366750,5476,36000,190864,116432
Alentejo,51619270,38151739,7709640,5552621,8468596,6943566,7622252,2519090,1611341,1113395,9431039,4013725
Alentejo Litoral,6706193,5340656,855782,763347,1763956,1280679,909773,429718,123998,85994,1393550,1391471
Alcácer do Sal,1221611,1197818,141899,99813,438555,272536,331834,238765,0,75381,226714,224635
Grândola,2801788,1580431,304213,266081,394015,289669,165789,133781,0,10613,582806,582806
Odemira,539636,539387,0,0,174670,99540,80465,30517,43368,0,232128,232128
Santiago do Cacém,1287194,1209636,305862,293645,612293,485008,17307,5242,0,0,132182,132182
Sines,855964,813384,103808,103808,144423,133926,314378,21413,80630,0,219720,219720
Baixo Alentejo,11341571,9112204,1730207,1178440,2240160,1778929,1591818,419235,402016,269129,1657498,563674
Aljustrel,666417,499969,143364,143364,131490,131490,150418,10455,0,137163,29084,29084
Almodôvar,586672,586672,54442,27820,146116,129176,106721,0,86295,0,134991,77248
Alvito,143046,131427,0,0,72834,63784,1459,1415,0,0,49304,49304
Barrancos,339801,313805,141780,96360,38240,17300,12915,2715,0,10200,41500,41500
Beja,2161616,2108629,283489,123890,556982,556775,575717,82859,156195,23582,393251,40131
Castro Verde,1373753,676692,88319,80578,138515,136658,162447,40077,3871,20082,158112,47745
Cuba,659463,576320,37584,37584,125448,103087,24365,5043,2250,0,131739,25050
Ferreira do Alentejo,369560,369560,64064,64064,85339,37652,50387,47789,0,0,0,0
Mértola,963925,763977,263541,261301,127565,89144,92794,84010,0,8784,121990,22240
Moura,842540,711040,238334,109678,237191,159390,47000,0,0,0,123255,53670
Ourique,474815,474815,0,0,230531,156771,75488,54338,9638,11512,48688,48688
Serpa,1979819,1394377,216661,101359,183369,107340,276452,74879,143767,57806,414384,117814
Vidigueira,780144,504921,198629,132442,166540,90362,15655,15655,0,0,11200,11200
Lezíria do Tejo,7845136,7160544,1491701,1098576,1725925,1534364,1459443,375109,223746,450520,1814781,593676
