,Total expenditures on cultural and creative activities (Euros),"Current expenditures, Total (Euros)","Current expenditures, of which, Cultural heritage, Total (Euros)","Current expenditures, of which, Cultural heritage, Museums  (Euros)","Current expenditures, of which, Libraries and archives, Total (Euros)","Current expenditures, of which, Libraries and archives, Libraries (Euros)","Current expenditures, of which, Performing arts, Total (Euros)","Current expenditures, of which, Performing arts, Music (Euros)","Current expenditures, of which, Performing arts, Multidisciplinary (Euros)","Current expenditures, of which, Performing arts, Construction and maintenance of art facilities (Euros)","Current expenditures, of which, Interdisciplinary activities , Total (Euros)","Current expenditures, of which, Interdisciplinary activities , Support to cultural and creative organisations (Euros)"
Terceira,3118956,1664260,141298,0,84844,55459,676408,245546,0,53309,602599,317130
Angra do Heroísmo,2161713,976817,141298,0,0,0,676408,245546,0,53309,0,0
Vila da Praia da Vitória,957243,687443,0,0,84844,55459,0,0,0,0,602599,317130
Graciosa,283815,276268,14201,0,39577,39577,1450,0,0,0,88948,88948
Santa Cruz da Graciosa,283815,276268,14201,0,39577,39577,1450,0,0,0,88948,88948
São Jorge,374877,296569,93486,93486,24895,24895,67828,0,64573,0,53867,53867
Calheta (R.A.A.),25148,25148,0,0,0,0,0,0,0,0,14000,14000
Velas,349729,271421,93486,93486,24895,24895,67828,0,64573,0,39867,39867
Pico,1208481,799775,0,0,227240,227240,86447,3115,4532,0,288749,92098
Lajes do Pico,323673,107855,0,0,62160,62160,4532,0,4532,0,8978,1200
Madalena,357307,321257,0,0,117802,117802,61300,0,0,0,43900,43900
São Roque do Pico,527501,370663,0,0,47278,47278,20615,3115,0,0,235871,46998
Faial,377155,315762,0,0,14183,0,105127,12811,67260,0,88973,68042
Horta,377155,315762,0,0,14183,0,105127,12811,67260,0,88973,68042
Flores,213503,210875,21042,16828,15323,15323,6040,690,0,0,122597,47600
Lajes das Flores,50214,50214,6555,2341,0,0,0,0,0,0,19000,19000
Santa Cruz das Flores,163289,160661,14487,14487,15323,15323,6040,690,0,0,103597,28600
Corvo,4832,4832,0,0,0,0,0,0,0,0,2000,2000
Corvo,4832,4832,0,0,0,0,0,0,0,0,2000,2000
R. A. Madeira,6911530,6464388,886510,800813,1231038,1194483,2318609,289169,299895,33603,1369423,1054485
Calheta (R.A.M.),355443,355443,0,0,11156,11156,9740,4740,0,0,247920,107180
Câmara de Lobos,907054,835719,58446,58446,199441,173619,289004,0,278863,6433,112766,112766
Funchal,3194392,3028875,332184,332184,468052,468052,1698983,41443,8477,18879,362393,330943
Machico,634075,598637,421013,410183,60408,60408,0,0,0,0,117216,35359
Ponta do Sol,431318,401896,56293,0,17649,15497,86357,11158,9858,8291,132723,71832
Porto Moniz,168392,168392,0,0,16704,16704,126285,126285,0,0,0,0
Ribeira Brava,342878,230261,0,0,61119,52538,22534,22534,0,0,131970,131970
Santa Cruz,434409,401596,7849,0,344017,344017,2697,0,2697,0,11070,11070
Santana,29160,29160,0,0,0,0,0,0,0,0,29160,29160
São Vicente,216593,216593,0,0,21279,21279,78614,78614,0,0,116700,116700
Porto Santo,197816,197816,10725,0,31213,31213,4395,4395,0,0,107505,107505
