,"Live births, Total, MF (N.º)","Live births, Total, M (N.º)","Live births, Total, F (N.º)","Live births, Outside marriage, Total (N.º)","Live births, Outside marriage, Cohabitant parents (N.º)","Deaths, Total, MF (N.º)","Deaths, Total, M (N.º)","Deaths, Total, F (N.º)","Deaths, Aged under 1 year, F (N.º)"
Portugal,79582,40762,38820,47785,33658,124802,62694,62108,191
Continente,75795,38856,36939,45559,32074,119558,60048,59510,180
Norte,24825,12769,12056,13336,9221,37113,18735,18378,51
Alto Minho,1394,714,680,747,614,3191,1491,1700,1
Arcos de Valdevez,110,57,53,58,52,359,155,204,0
Caminha,86,53,33,58,48,232,102,130,0
Melgaço,28,13,15,17,12,177,73,104,0
Monção,79,39,40,44,37,299,123,176,0
Paredes de Coura,42,21,21,23,21,134,73,61,0
Ponte da Barca,57,30,27,26,21,193,96,97,0
Ponte de Lima,270,138,132,112,79,475,212,263,0
Valença,101,47,54,68,57,199,110,89,0
Viana do Castelo,567,283,284,303,255,985,481,504,1
Vila Nova de Cerveira,54,33,21,38,32,138,66,72,0
Cávado,3058,1587,1471,1424,1059,3470,1710,1760,6
Amares,132,74,58,61,43,185,101,84,0
Barcelos,756,382,374,332,273,1017,502,515,3
Braga,1508,786,722,737,517,1386,689,697,1
Esposende,283,152,131,128,101,328,153,175,1
Terras de Bouro,33,20,13,16,8,88,44,44,0
Vila Verde,346,173,173,150,117,466,221,245,1
Ave,2952,1517,1435,1441,990,3665,1894,1771,8
Cabeceiras de Basto,98,47,51,47,33,178,96,82,0
Fafe,311,163,148,171,124,469,242,227,0
Guimarães,1147,611,536,539,354,1270,638,632,4
Mondim de Basto,25,15,10,15,9,68,38,30,1
Póvoa de Lanhoso,130,66,64,60,52,230,106,124,0
Vieira do Minho,64,29,35,34,20,176,107,69,0
Vila Nova de Famalicão,993,503,490,480,347,1105,583,522,1
Vizela,184,83,101,95,51,169,84,85,2
A. M. Porto,12700,6531,6169,7248,4891,17277,8731,8546,26
Arouca,125,66,59,58,51,221,115,106,0
Espinho,200,93,107,127,86,387,184,203,0
Gondomar,1217,586,631,735,486,1711,895,816,1
Maia,974,508,466,577,412,1068,560,508,3
Matosinhos,1190,616,574,707,465,1675,829,846,6
Oliveira de Azeméis,428,226,202,232,176,676,357,319,1
Paredes,674,351,323,342,207,617,336,281,0
Porto,1830,932,898,1031,641,3075,1462,1613,2
Póvoa de Varzim,467,234,233,247,172,590,295,295,0
Santa Maria da Feira,935,496,439,533,369,1248,636,612,0
Santo Tirso,426,231,195,224,145,759,377,382,2
São João da Madeira,154,89,65,98,70,232,125,107,0
Trofa,313,170,143,168,129,345,176,169,1
Vale de Cambra,122,57,65,60,52,250,132,118,1
Valongo,758,390,368,464,311,748,397,351,3
Vila do Conde,592,332,260,279,197,809,384,425,0
Vila Nova de Gaia,2295,1154,1141,1366,922,2866,1471,1395,6
Alto Tâmega,386,208,178,234,190,1312,681,631,1
Boticas,24,14,10,15,12,86,46,40,0
Chaves,173,97,76,112,88,504,260,244,0
Montalegre,44,25,19,18,15,163,83,80,0
Ribeira de Pena,30,15,15,18,17,73,42,31,1
Valpaços,58,29,29,39,36,295,146,149,0
Vila Pouca de Aguiar,57,28,29,32,22,191,104,87,0
Tâmega e Sousa,2768,1404,1364,1304,774,3707,1943,1764,5
Amarante,301,157,144,136,62,511,263,248,1
Baião,77,38,39,41,30,222,126,96,0
Castelo de Paiva,84,41,43,40,21,163,82,81,0
Celorico de Basto,95,50,45,46,37,227,113,114,1
Cinfães,108,57,51,69,42,230,115,115,0
Felgueiras,377,190,187,171,103,436,219,217,1
Lousada,354,186,168,147,85,332,187,145,0
Marco de Canaveses,344,170,174,146,87,405,221,184,1
Paços de Ferreira,427,210,217,218,129,421,222,199,1
Penafiel,549,279,270,257,153,624,326,298,0
Resende,52,26,26,33,25,136,69,67,0
Douro,1018,512,506,561,423,2659,1323,1336,4
Alijó,46,21,25,27,21,187,96,91,0
Armamar,28,16,12,15,9,96,38,58,0
Carrazeda de Ansiães,20,6,14,11,8,107,51,56,0
Freixo de Espada à Cinta,18,9,9,12,11,77,36,41,1
Lamego,124,65,59,68,39,349,174,175,0
Mesão Frio,14,6,8,7,2,55,25,30,0
Moimenta da Beira,64,27,37,34,28,129,58,71,0
Murça,21,11,10,14,12,91,39,52,0
Penedono,10,7,3,7,7,42,17,25,0
Peso da Régua,80,37,43,49,41,210,104,106,1
Sabrosa,19,11,8,6,4,77,55,22,0
