,Total (N.º),Brazil (N.º),Ukraine (N.º),Cabo Verde (N.º),Romania (N.º),Angola (N.º),Guinea-Bissau (N.º),United Kingdom (N.º),Moldavia (N.º),China (N.º),São Tomé and Príncipe (N.º)
Portugal,698536,204313,27139,33979,28592,25683,20342,41873,5170,22745,11170
Continente,683669,202448,26822,33750,28285,25616,20274,40410,5143,22177,11085
Norte,100084,48514,3416,2423,1572,3087,798,1641,178,4390,1003
Alto Minho,7505,3034,187,155,159,93,27,250,8,211,185
Arcos de Valdevez,344,110,3,20,5,2,3,23,0,15,13
Caminha,625,152,6,24,10,7,1,31,1,23,4
Melgaço,149,82,2,2,0,0,0,1,0,5,2
Monção,876,403,44,7,12,1,2,6,1,30,7
Paredes de Coura,184,40,0,0,1,1,0,29,0,4,3
Ponte da Barca,142,45,1,10,0,0,0,12,0,19,7
Ponte de Lima,548,190,8,3,5,11,6,30,3,23,2
Valença,1057,471,23,20,19,6,2,27,1,11,3
Viana do Castelo,2991,1402,85,67,99,51,11,62,2,69,144
Vila Nova de Cerveira,589,139,15,2,8,14,2,29,0,12,0
Cávado,16781,9753,611,249,369,521,87,148,27,475,93
Amares,425,239,13,1,5,8,0,10,5,7,20
Barcelos,1704,893,95,74,22,69,10,10,1,59,10
Braga,12718,7773,443,170,327,413,77,68,13,328,39
Esposende,1093,436,31,2,6,11,0,27,4,47,20
Terras de Bouro,81,12,2,1,1,2,0,14,0,6,0
Vila Verde,760,400,27,1,8,18,0,19,4,28,4
Ave,6803,3202,337,121,107,165,58,61,9,325,28
Cabeceiras de Basto,164,31,3,1,3,3,1,7,1,22,0
Fafe,459,235,8,10,6,13,0,10,0,48,1
Guimarães,2686,1292,71,60,59,88,38,18,1,84,7
Mondim de Basto,69,32,1,0,0,2,0,1,0,10,1
Póvoa de Lanhoso,337,132,7,15,28,3,1,4,0,33,0
Vieira do Minho,146,44,2,0,0,2,0,5,3,13,0
Vila Nova de Famalicão,2678,1270,242,33,11,51,17,15,4,101,19
Vizela,264,166,3,2,0,3,1,1,0,14,0
A. M. Porto,57970,28664,1842,1072,507,1957,477,1021,109,2748,426
Arouca,126,69,1,0,1,1,2,5,0,7,3
Espinho,857,304,45,6,26,13,0,13,0,55,5
Gondomar,3239,1747,99,84,52,141,27,35,6,136,57
Maia,3796,2200,232,94,33,116,29,43,2,105,20
Matosinhos,6311,3441,139,92,29,119,35,164,6,251,38
Oliveira de Azeméis,1094,519,106,6,32,23,13,12,2,30,0
Paredes,961,469,47,4,5,34,1,3,3,39,0
Porto,18936,8303,202,502,131,530,197,497,35,536,124
Póvoa de Varzim,2550,1434,101,14,16,35,6,20,1,231,2
Santa Maria da Feira,2081,861,155,38,45,65,4,16,10,91,71
Santo Tirso,647,293,36,4,8,24,5,4,2,65,2
São João da Madeira,1024,562,90,5,8,30,2,5,5,51,5
Trofa,776,373,92,6,3,15,0,1,4,27,38
Vale de Cambra,460,293,43,2,6,7,1,5,0,18,7
Valongo,1774,1050,98,24,12,52,4,15,4,59,15
Vila do Conde,2834,947,52,17,9,37,2,29,0,803,1
Vila Nova de Gaia,10504,5799,304,174,91,715,149,154,29,244,38
Alto Tâmega,1398,484,60,5,43,19,4,18,0,117,7
Boticas,56,20,0,0,0,1,0,2,0,9,6
Chaves,728,292,24,3,24,10,2,7,0,57,0
Montalegre,100,28,9,2,0,1,1,2,0,9,0
Ribeira de Pena,118,39,0,0,4,1,0,2,0,7,0
Valpaços,188,52,17,0,9,4,1,5,0,17,0
Vila Pouca de Aguiar,208,53,10,0,6,2,0,0,0,18,1
Tâmega e Sousa,3528,1579,148,41,71,138,31,96,11,178,107
Amarante,485,187,21,6,29,23,4,38,1,16,2
Baião,124,37,2,0,4,2,0,14,1,7,0
Castelo de Paiva,115,51,0,0,3,6,0,0,0,13,3
Celorico de Basto,100,26,1,2,3,1,0,0,0,6,0
Cinfães,126,58,2,2,2,4,0,4,2,6,0
Felgueiras,448,217,18,8,6,10,2,4,1,7,2
Lousada,513,235,14,5,3,25,3,4,1,20,97
Marco de Canaveses,504,172,36,3,6,24,5,17,2,25,0
Paços de Ferreira,434,253,5,6,4,15,1,1,1,40,1
Penafiel,623,335,49,9,5,28,14,14,2,28,2
Resende,56,8,0,0,6,0,2,0,0,10,0
Douro,2559,895,118,49,217,69,10,30,2,206,18
Alijó,93,21,1,0,9,6,0,0,0,12,0
Armamar,77,15,4,1,0,0,0,0,0,6,0
Carrazeda de Ansiães,136,18,0,1,0,0,0,0,0,10,0
Freixo de Espada à Cinta,98,7,1,0,4,6,0,0,0,10,0
Lamego,150,52,7,4,6,12,2,4,0,9,2
Mesão Frio,17,3,0,0,2,1,1,1,0,3,0
Moimenta da Beira,151,41,16,16,0,1,0,0,0,14,1
Murça,46,12,3,0,0,4,0,0,0,6,1
Penedono,19,6,0,1,1,0,0,0,0,8,0
Peso da Régua,100,41,5,8,2,1,3,1,0,13,5
Sabrosa,37,15,0,0,1,0,0,7,0,9,0
Santa Marta de Penaguião,69,8,0,1,50,0,0,0,0,3,0
São João da Pesqueira,86,21,2,3,32,0,0,0,0,2,3
Sernancelhe,62,13,4,0,6,0,0,0,0,7,1
Tabuaço,45,15,5,1,0,4,0,1,0,8,0
Tarouca,65,26,2,1,3,0,1,1,0,13,0
Torre de Moncorvo,82,13,1,0,2,3,0,3,0,8,0
Vila Nova de Foz Côa,185,24,36,0,60,0,1,1,0,5,0
Vila Real,1041,544,31,12,39,31,2,11,2,60,5
Terras de Trás-os-Montes,3540,903,113,731,99,125,104,17,12,130,139
Alfândega da Fé,164,6,0,0,4,2,0,0,0,8,0
Bragança,2059,605,49,606,18,96,74,9,5,47,110
Macedo de Cavaleiros,254,43,22,0,5,2,10,1,1,15,1
Miranda do Douro,109,41,4,3,2,0,0,1,0,5,0
Mirandela,537,111,32,122,8,18,20,3,6,24,28
Mogadouro,92,29,0,0,1,2,0,1,0,11,0
Vila Flor,199,24,6,0,53,1,0,0,0,8,0
Vimioso,74,29,0,0,1,0,0,1,0,5,0
Vinhais,52,15,0,0,7,4,0,1,0,7,0
Centro,94751,33149,6925,1712,3660,2629,1379,7144,684,3050,1177
Oeste,23487,7890,1700,196,1241,468,370,1574,430,592,138
Alcobaça,2814,647,283,44,65,38,9,266,25,120,11
Alenquer,3418,1814,329,41,163,146,196,13,77,53,20
Arruda dos Vinhos,778,498,54,8,80,4,1,3,9,24,1
Bombarral,617,108,57,3,79,41,1,53,5,20,1
Cadaval,473,103,58,5,8,3,2,47,17,9,0
Caldas da Rainha,3998,1233,306,25,63,87,80,509,49,91,27
Lourinhã,1705,505,140,5,72,23,8,120,20,39,1
Nazaré,1146,262,32,4,28,10,2,72,12,25,41
Óbidos,961,71,45,3,25,5,5,261,5,15,0
Peniche,1578,404,55,35,81,21,40,115,7,38,13
Sobral de Monte Agraço,424,266,39,12,16,7,4,4,8,13,7
Torres Vedras,5575,1979,302,11,561,83,22,111,196,145,16
Região de Aveiro,14213,5722,969,192,211,439,297,189,62,545,293
Águeda,1598,691,155,19,25,31,45,13,4,32,27
Albergaria-a-Velha,642,239,94,2,5,15,18,8,12,17,5
Anadia,754,235,99,12,8,13,0,24,5,18,10
Aveiro,5829,2598,303,105,44,268,141,59,19,262,113
Estarreja,651,139,26,7,7,7,7,7,0,29,3
Ílhavo,1486,588,78,14,67,37,76,18,8,50,8
Murtosa,232,56,5,1,6,0,0,7,0,8,0
Oliveira do Bairro,1016,423,99,6,16,16,0,10,7,32,68
Ovar,1097,484,68,16,22,17,3,30,5,60,8
Sever do Vouga,226,94,24,4,9,25,0,3,2,13,1
Vagos,682,175,18,6,2,10,7,10,0,24,50
Região de Coimbra,18257,5925,792,422,488,620,228,2089,44,553,232
Arganil,741,63,8,1,5,4,0,378,0,6,0
Cantanhede,777,359,82,8,27,5,5,19,2,39,9
Coimbra,7995,3133,246,324,188,451,185,126,10,287,141
Condeixa-a-Nova,382,182,57,11,5,12,0,12,0,10,0
Figueira da Foz,2983,1132,206,23,75,54,6,66,10,102,17
Góis,289,8,2,0,1,1,0,188,0,3,0
Lousã,536,87,10,5,42,22,0,172,0,11,1
Mealhada,404,171,62,3,34,12,2,11,13,4,10
Mira,307,161,12,4,3,7,0,11,6,8,0
Miranda do Corvo,393,51,8,8,5,7,24,134,1,11,4
Montemor-o-Velho,329,81,22,8,17,8,1,10,0,11,18
Mortágua,306,144,4,2,2,6,0,67,0,3,4
Oliveira do Hospital,866,90,8,3,43,12,3,247,0,26,6
Pampilhosa da Serra,36,3,1,1,2,0,0,14,0,1,0
Penacova,208,38,4,3,1,5,2,69,1,7,20
Penela,397,32,11,4,8,3,0,177,0,4,2
Soure,291,78,32,12,25,2,0,36,1,9,0
Tábua,688,49,3,1,3,6,0,232,0,10,0
Vila Nova de Poiares,329,63,14,1,2,3,0,120,0,1,0
Região de Leiria,15837,6168,2007,288,723,254,50,1158,73,550,101
Alvaiázere,495,17,13,0,4,2,1,326,0,7,1
Ansião,387,46,26,3,8,3,2,178,0,16,0
Batalha,647,240,200,11,41,8,1,10,3,11,6
Castanheira de Pêra,139,22,4,1,2,0,0,61,0,6,1
