,"Docentes, 3º Ciclo do ensino básico e ensino secundário, Total (N.º)","Docentes, 3º Ciclo do ensino básico e ensino secundário, Público (N.º)","Docentes, 3º Ciclo do ensino básico e ensino secundário, Privado  (N.º)","Docentes, Formadores/as
(escolas profissionais), Total (N.º)","Docentes, Formadores/as
(escolas profissionais), Público (N.º)","Docentes, Formadores/as
(escolas profissionais), Privado  (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Total (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Público (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Privado (N.º)"
Sobral de Monte Agraço,78,78,0,0,0,0,80,63,17
Torres Vedras,574,456,118,154,0,154,533,260,273
Região de Aveiro,2623,2465,158,321,50,271,2449,1639,810
Águeda,307,299,8,0,0,0,308,226,82
Albergaria-a-Velha,176,151,25,78,0,78,191,123,68
Anadia,197,166,31,32,0,32,226,103,123
Aveiro,686,654,32,84,0,84,554,339,215
Estarreja,210,210,0,0,0,0,169,130,39
Ílhavo,288,288,0,0,0,0,212,175,37
Murtosa,56,56,0,0,0,0,79,66,13
Oliveira do Bairro,131,131,0,14,0,14,81,51,30
Ovar,338,325,13,17,0,17,383,262,121
Sever do Vouga,84,84,0,46,0,46,109,74,35
Vagos,150,101,49,50,50,0,137,90,47
Região de Coimbra,3172,3012,160,400,57,343,3151,2275,876
Arganil,91,91,0,0,0,0,94,90,4
Cantanhede,218,210,8,34,0,34,204,147,57
Coimbra,1297,1164,133,126,57,69,1102,654,448
Condeixa-a-Nova,105,105,0,0,0,0,69,65,4
Figueira da Foz,397,397,0,63,0,63,434,316,118
Góis,17,17,0,0,0,0,18,16,2
Lousã,105,105,0,21,0,21,142,114,28
Mealhada,106,106,0,29,0,29,131,100,31
Mira,86,86,0,0,0,0,113,110,3
Miranda do Corvo,94,94,0,0,0,0,73,65,8
Montemor-o-Velho,118,118,0,29,0,29,150,108,42
Mortágua,52,52,0,0,0,0,54,51,3
Oliveira do Hospital,136,136,0,40,0,40,188,144,44
Pampilhosa da Serra,26,26,0,0,0,0,29,23,6
Penacova,73,73,0,27,0,27,81,66,15
Penela,20,20,0,17,0,17,33,26,7
Soure,113,94,19,0,0,0,109,69,40
Tábua,65,65,0,14,0,14,75,67,8
Vila Nova de Poiares,53,53,0,0,0,0,52,44,8
Região de Leiria,1895,1709,186,194,0,194,1856,1321,535
Alvaiázere,30,30,0,12,0,12,41,34,7
Ansião,83,83,0,34,0,34,102,69,33
Batalha,110,110,0,0,0,0,64,47,17
Castanheira de Pêra,14,14,0,0,0,0,27,27,0
Figueiró dos Vinhos,34,34,0,0,0,0,78,77,1
Leiria,854,747,107,27,0,27,837,557,280
Marinha Grande,313,304,9,37,0,37,259,206,53
Pedrógão Grande,15,15,0,24,0,24,49,30,19
Pombal,305,261,44,60,0,60,253,178,75
Porto de Mós,137,111,26,0,0,0,146,96,50
Viseu Dão Lafões,2049,2006,43,177,0,177,2105,1815,290
Aguiar da Beira,46,46,0,0,0,0,37,37,0
Carregal do Sal,63,63,0,0,0,0,107,107,0
Castro Daire,99,99,0,13,0,13,97,88,9
Mangualde,144,144,0,0,0,0,105,93,12
Nelas,117,117,0,0,0,0,110,90,20
Oliveira de Frades,76,76,0,0,0,0,64,61,3
Penalva do Castelo,59,59,0,0,0,0,51,51,0
Santa Comba Dão,92,92,0,0,0,0,56,54,2
São Pedro do Sul,123,123,0,34,0,34,148,120,28
Sátão,90,90,0,0,0,0,94,91,3
Tondela,178,178,0,34,0,34,176,158,18
Vila Nova de Paiva,45,45,0,0,0,0,55,55,0
Viseu,850,807,43,65,0,65,892,717,175
Vouzela,67,67,0,31,0,31,113,93,20
Beira Baixa,525,525,0,98,0,98,631,490,141
Castelo Branco,373,373,0,78,0,78,441,325,116
Idanha-a-Nova,40,40,0,20,0,20,56,41,15
Oleiros,28,28,0,0,0,0,34,31,3
Penamacor,30,30,0,0,0,0,32,31,1
Proença-a-Nova,38,38,0,0,0,0,48,42,6
Vila Velha de Ródão,16,16,0,0,0,0,20,20,0
Médio Tejo,1712,1568,144,193,37,156,1651,1235,416
Abrantes,248,248,0,37,37,0,200,159,41
Alcanena,86,86,0,0,0,0,87,75,12
Constância,41,41,0,0,0,0,34,34,0
Entroncamento,153,145,8,34,0,34,139,75,64
Ferreira do Zêzere,43,43,0,0,0,0,42,33,9
Mação,48,48,0,0,0,0,42,42,0
Ourém,314,199,115,60,0,60,343,194,149
Sardoal,39,39,0,0,0,0,44,44,0
Sertã,97,76,21,13,0,13,134,94,40
Tomar,319,319,0,17,0,17,274,236,38
Torres Novas,246,246,0,32,0,32,212,154,58
Vila de Rei,21,21,0,0,0,0,35,34,1
Vila Nova da Barquinha,57,57,0,0,0,0,65,61,4
Beiras e Serra da Estrela,1550,1505,45,245,17,228,1867,1466,401
Almeida,44,44,0,0,0,0,50,50,0
Belmonte,39,39,0,0,0,0,47,38,9
Celorico da Beira,54,54,0,0,0,0,60,50,10
Covilhã,397,393,4,58,17,41,429,354,75
Figueira de Castelo Rodrigo,39,39,0,0,0,0,75,45,30
Fornos de Algodres,42,42,0,0,0,0,34,34,0
Fundão,174,165,9,33,0,33,200,164,36
Gouveia,80,80,0,33,0,33,117,77,40
Guarda,292,278,14,22,0,22,362,264,98
Manteigas,24,24,0,13,0,13,32,25,7
Mêda,32,32,0,0,0,0,38,33,5
Pinhel,64,64,0,0,0,0,76,65,11
Sabugal,55,46,9,0,0,0,76,63,13
Seia,152,143,9,51,0,51,164,123,41
Trancoso,62,62,0,35,0,35,107,81,26
A. M. Lisboa,21481,18705,2776,2134,258,1876,22426,12853,9573
Alcochete,162,162,0,0,0,0,170,93,77
Almada,1428,1316,112,86,0,86,1402,956,446
Amadora,1103,1041,62,110,0,110,1328,856,472
Barreiro,680,660,20,28,0,28,658,478,180
Cascais,1742,1162,580,123,54,69,1948,609,1339
Lisboa,5523,4220,1303,1038,98,940,5502,2127,3375
Loures,1196,1113,83,51,0,51,1516,1092,424
