,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado  (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado  (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado  (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado  (N.º)"
Tabuaço,70,70,0,103,103,0,63,63,0,120,120,0
Tarouca,177,133,44,249,249,0,133,133,0,195,195,0
Torre de Moncorvo,100,78,22,137,137,0,89,89,0,111,111,0
Vila Nova de Foz Côa,87,87,0,122,122,0,82,82,0,114,114,0
Vila Real,1198,840,358,1655,1479,176,1083,897,186,1595,1452,143
Terras de Trás-os-Montes,2037,1169,868,2766,2578,188,1738,1609,129,2993,2573,420
Alfândega da Fé,74,52,22,108,108,0,50,50,0,82,82,0
Bragança,737,359,378,1011,879,132,617,611,6,1129,1006,123
Macedo de Cavaleiros,259,160,99,341,340,1,216,187,29,340,311,29
Miranda do Douro,134,120,14,147,147,0,71,71,0,147,147,0
Mirandela,416,185,231,628,573,55,470,389,81,773,559,214
Mogadouro,142,85,57,171,171,0,125,112,13,216,162,54
Vila Flor,112,76,36,140,140,0,77,77,0,130,130,0
Vimioso,53,53,0,73,73,0,41,41,0,63,63,0
Vinhais,110,79,31,147,147,0,71,71,0,113,113,0
Centro,52809,30944,21865,73367,68628,4739,41575,37555,4020,67796,59664,8132
Oeste,9229,5748,3481,13140,12503,637,7501,6392,1109,12267,9908,2359
Alcobaça,1366,578,788,1762,1698,64,1004,1003,1,1726,1227,499
Alenquer,1061,750,311,1593,1593,0,898,898,0,1490,1490,0
Arruda dos Vinhos,393,294,99,647,647,0,443,75,368,747,0,747
Bombarral,296,231,65,401,401,0,219,219,0,420,420,0
Cadaval,284,233,51,401,401,0,209,209,0,365,365,0
Caldas da Rainha,1263,777,486,1883,1615,268,1157,984,173,1862,1653,209
Lourinhã,691,492,199,991,991,0,515,515,0,772,772,0
Nazaré,340,239,101,512,512,0,257,254,3,435,389,46
Óbidos,315,250,65,429,429,0,218,218,0,307,307,0
Peniche,677,348,329,1005,1005,0,565,565,0,907,862,45
Sobral de Monte Agraço,271,175,96,373,373,0,245,245,0,396,396,0
Torres Vedras,2272,1381,891,3143,2838,305,1771,1207,564,2840,2027,813
Região de Aveiro,9408,4738,4670,12943,12384,559,7474,6950,524,12015,10746,1269
Águeda,1146,505,641,1644,1565,79,955,920,35,1514,1482,32
Albergaria-a-Velha,613,308,305,847,803,44,523,447,76,769,652,117
Anadia,657,280,377,895,779,116,553,440,113,843,638,205
Aveiro,2299,847,1452,3158,2924,234,1898,1789,109,3252,2850,402
Estarreja,685,377,308,933,905,28,520,520,0,886,824,62
Ílhavo,968,546,422,1353,1353,0,711,711,0,1032,1032,0
Murtosa,260,175,85,358,358,0,201,201,0,332,332,0
Oliveira do Bairro,656,343,313,885,885,0,506,506,0,729,729,0
Ovar,1286,722,564,1737,1679,58,1014,1006,8,1622,1446,176
Sever do Vouga,212,186,26,333,333,0,164,164,0,289,289,0
Vagos,626,449,177,800,800,0,429,246,183,747,472,275
Região de Coimbra,9989,5051,4938,13530,12098,1432,7706,7099,607,12419,11291,1128
Arganil,247,214,33,328,328,0,211,211,0,282,282,0
Cantanhede,788,439,349,1044,1020,24,600,556,44,879,807,72
Coimbra,3667,1107,2560,5018,3777,1241,2713,2242,471,4588,3834,754
Condeixa-a-Nova,310,240,70,476,476,0,353,353,0,507,507,0
Figueira da Foz,1309,616,693,1844,1678,166,1087,1083,4,1637,1564,73
Góis,65,38,27,102,102,0,34,34,0,76,76,0
Lousã,412,318,94,510,509,1,334,317,17,541,521,20
Mealhada,449,251,198,512,512,0,317,317,0,578,539,39
Mira,229,185,44,373,373,0,196,196,0,321,321,0
Miranda do Corvo,231,149,82,341,341,0,163,163,0,326,326,0
Montemor-o-Velho,506,308,198,626,626,0,358,358,0,519,498,21
Mortágua,204,170,34,254,254,0,127,127,0,215,215,0
Oliveira do Hospital,458,243,215,581,581,0,362,362,0,562,562,0
Pampilhosa da Serra,58,22,36,91,91,0,36,36,0,65,65,0
Penacova,195,195,0,295,295,0,182,178,4,293,280,13
Penela,102,102,0,137,137,0,70,70,0,98,98,0
Soure,358,176,182,467,467,0,246,179,67,434,317,117
Tábua,240,193,47,334,334,0,183,183,0,268,268,0
Vila Nova de Poiares,161,85,76,197,197,0,134,134,0,230,211,19
Região de Leiria,7340,4974,2366,10050,9254,796,5491,4524,967,9084,7398,1686
Alvaiázere,99,99,0,150,150,0,72,72,0,145,136,9
Ansião,229,143,86,323,323,0,200,200,0,353,345,8
Batalha,422,253,169,566,566,0,304,304,0,460,460,0
Castanheira de Pêra,39,39,0,61,61,0,40,40,0,60,60,0
Figueiró dos Vinhos,93,59,34,126,126,0,65,65,0,115,115,0
Leiria,3489,2185,1304,4842,4226,616,2573,2023,550,4162,3241,921
Marinha Grande,1068,791,277,1423,1296,127,818,778,40,1380,1276,104
Pedrógão Grande,59,42,17,84,84,0,43,43,0,80,72,8
Pombal,1231,914,317,1660,1650,10,924,713,211,1595,1193,402
Porto de Mós,611,449,162,815,772,43,452,286,166,734,500,234
Viseu Dão Lafões,5812,3983,1829,8200,7650,550,4621,4411,210,7450,6933,517
Aguiar da Beira,85,85,0,128,128,0,70,70,0,102,102,0
Carregal do Sal,196,196,0,266,266,0,143,143,0,242,242,0
Castro Daire,240,203,37,371,371,0,206,206,0,435,408,27
Mangualde,417,259,158,606,606,0,316,316,0,524,524,0
Nelas,315,166,149,436,412,24,219,219,0,393,393,0
Oliveira de Frades,226,164,62,325,325,0,180,180,0,255,255,0
Penalva do Castelo,137,137,0,207,207,0,119,119,0,179,179,0
Santa Comba Dão,207,158,49,272,272,0,168,168,0,295,295,0
São Pedro do Sul,299,232,67,401,401,0,275,275,0,389,389,0
Sátão,228,197,31,352,352,0,191,191,0,288,288,0
Tondela,485,386,99,716,716,0,388,382,6,679,648,31
Vila Nova de Paiva,90,90,0,131,131,0,93,93,0,116,116,0
Viseu,2681,1518,1163,3724,3198,526,2087,1883,204,3333,2894,439
Vouzela,206,192,14,265,265,0,166,166,0,220,200,20
Beira Baixa,1642,827,815,2429,2262,167,1402,1402,0,2138,2093,45
Castelo Branco,1197,518,679,1768,1601,167,1051,1051,0,1606,1561,45
Idanha-a-Nova,131,99,32,220,220,0,120,120,0,177,177,0
Oleiros,56,37,19,78,78,0,41,41,0,65,65,0
Penamacor,51,27,24,100,100,0,50,50,0,81,81,0
Proença-a-Nova,132,71,61,173,173,0,93,93,0,151,151,0
Vila Velha de Ródão,75,75,0,90,90,0,47,47,0,58,58,0
Médio Tejo,5340,3629,1711,7311,6885,426,4100,3647,453,7011,6168,843
Abrantes,639,424,215,886,876,10,521,521,0,962,962,0
Alcanena,333,236,97,418,418,0,248,248,0,396,396,0
Constância,107,107,0,165,165,0,70,70,0,136,136,0
Entroncamento,529,352,177,860,672,188,463,440,23,750,706,44
Ferreira do Zêzere,184,153,31,229,229,0,119,119,0,213,213,0
Mação,98,98,0,126,126,0,88,88,0,128,128,0
Ourém,1177,848,329,1615,1560,55,851,478,373,1485,796,689
Sardoal,77,77,0,109,109,0,75,75,0,116,116,0
Sertã,301,136,165,418,418,0,225,170,55,403,298,105
Tomar,747,504,243,1011,905,106,565,565,0,1079,1079,0
Torres Novas,863,470,393,1103,1036,67,663,661,2,1025,1020,5
Vila de Rei,70,51,19,84,84,0,42,42,0,69,69,0
Vila Nova da Barquinha,215,173,42,287,287,0,170,170,0,249,249,0
Beiras e Serra da Estrela,4049,1994,2055,5764,5592,172,3280,3130,150,5412,5127,285
Almeida,63,63,0,114,114,0,58,58,0,88,88,0
Belmonte,161,71,90,178,178,0,124,124,0,160,160,0
Celorico da Beira,109,19,90,160,160,0,96,96,0,182,182,0
Covilhã,950,484,466,1371,1293,78,793,747,46,1323,1268,55
Figueira de Castelo Rodrigo,88,25,63,156,156,0,74,74,0,111,111,0
Fornos de Algodres,79,79,0,115,115,0,66,66,0,116,116,0
Fundão,555,279,276,787,787,0,430,385,45,701,610,91
Gouveia,199,104,95,331,331,0,185,185,0,305,277,28
Guarda,848,341,507,1210,1117,93,713,706,7,1203,1176,27
Manteigas,36,16,20,60,60,0,31,31,0,57,57,0
