,"Taxa quinquenal de mortalidade 
infantil (2016/2020),  ‰, 2020 (‰)","Taxa quinquenal de mortalidade 
neonatal (2016/2020),  ‰, 2020 (‰)","Taxa de mortalidade por doenças do aparelho circulatório,  ‰, 2020 (‰)","Taxa de mortalidade por tumores malignos,  ‰, 2020 (‰)"
Penacova,6.5,0,4.8,2.3
Penela,0,0,4.3,3.7
Soure,3.9,3.9,5.2,3.7
Tábua,5.4,2.7,5.3,3.3
Vila Nova de Poiares,0,0,7.3,2.7
Região de Leiria,2.5,1.5,3.1,2.6
Alvaiázere,0,0,5.9,2.7
Ansião,0,0,4.2,3.1
Batalha,3.2,3.2,2.1,2.3
Castanheira de Pêra,20.4,20.4,5.4,5.8
Figueiró dos Vinhos,5.8,0,6.1,2.3
Leiria,2.8,1.5,2.6,2.2
Marinha Grande,2.5,1.9,2.6,2.7
Pedrógão Grande,0,0,5.9,3.8
Pombal,1.8,1.2,3.4,3.4
Porto de Mós,1.2,1.2,3.8,2.3
Viseu Dão Lafões,2.3,1.2,4.3,3
Aguiar da Beira,0,0,12.1,5
Carregal do Sal,0,0,5.9,3.2
Castro Daire,2.6,2.6,6.8,3.3
Mangualde,0,0,3.8,3.5
Nelas,0,0,4.7,2.9
Oliveira de Frades,8.2,2.7,4,2.4
Penalva do Castelo,5,5,3.4,2
Santa Comba Dão,0,0,5,4.4
São Pedro do Sul,0,0,4.6,2.6
Sátão,0,0,4,2.2
Tondela,2.8,2.8,4.4,3.6
Vila Nova de Paiva,7.5,7.5,7.5,4.7
Viseu,2.8,1,3.1,2.7
Vouzela,3.6,0,5.5,3.2
Beira Baixa,2,1.2,5.2,4.1
Castelo Branco,2.7,1.6,4.3,3.6
Idanha-a-Nova,0,0,9.1,6.6
Oleiros,0,0,6.2,2.2
Penamacor,0,0,5.7,6.1
Proença-a-Nova,0,0,6.6,4.4
Vila Velha de Ródão,0,0,5.1,4.1
Médio Tejo,2.1,1.2,4.6,3.4
Abrantes,6.8,2.9,5.5,3.8
Alcanena,2.3,2.3,4.4,2.5
Constância,0,0,4.9,4.7
Entroncamento,2.3,1.2,3.4,2.4
Ferreira do Zêzere,4.3,0,5.8,4.7
Mação,0,0,9.8,4.2
Ourém,1.3,1.3,3.7,3.1
Sardoal,0,0,8,4.6
Sertã,4.5,2.3,5.6,3.1
Tomar,0,0,3.9,4.2
Torres Novas,0.8,0.8,3.8,3.3
Vila de Rei,0,0,9,3.9
Vila Nova da Barquinha,0,0,4.5,2.1
Beiras e Serra da Estrela,2.2,1.3,4.5,3.6
Almeida,0,0,6.7,5.9
Belmonte,0,0,5.6,4.1
Celorico da Beira,0,0,4.2,2.9
Covilhã,1.4,0.7,3.2,3.2
Figueira de Castelo Rodrigo,0,0,4.7,3.2
Fornos de Algodres,0,0,6.2,3.1
Fundão,3.8,2.5,4.6,3.9
Gouveia,0,0,4.3,3.7
Guarda,3.7,1.5,3.2,3.2
Manteigas,0,0,6,4
Mêda,8.2,0,9,3.5
Pinhel,0,0,5.5,4.4
Sabugal,7.2,7.2,8.1,4.7
Seia,1.5,1.5,5,3.7
Trancoso,0,0,4.4,2.9
A. M. Lisboa,3.4,2.1,3.1,2.7
Alcochete,2.5,2.5,3.2,2
Almada,2.9,1.6,3.7,3
Amadora,5.1,2.7,2.7,2.7
Barreiro,6.4,4,3.4,3.2
Cascais,3.2,2.1,2.9,2.7
Lisboa,3,1.8,4.1,3.5
Loures,3.4,1.8,2.9,2.5
Mafra,5,3.2,2.7,2
Moita,3.6,2,3.3,3.1
Montijo,4,1.7,3.2,2.4
Odivelas,2.7,1.6,2.6,2.4
Oeiras,3.4,2.2,2.9,2.8
Palmela,1.1,0.7,4.3,2.8
Seixal,3.8,3.2,2.4,2.6
Sesimbra,2.1,1.7,3.1,2.8
Setúbal,3,1.9,4,2.9
Sintra,3.3,2.3,2.3,2.1
Vila Franca de Xira,2.4,1.5,2.6,2.1
Alentejo,3.4,2.4,4.8,3.3
Alentejo Litoral,3.9,2.8,4.4,3.2
Alcácer do Sal,0,0,4.5,4.4
Grândola,4.1,2,5.6,2.6
Odemira,4.9,4.9,5.2,3.6
Santiago do Cacém,2.9,0,3.7,2.8
Sines,6.2,6.2,2.9,3.1
Baixo Alentejo,4.4,2.9,5.9,3.7
Aljustrel,5.6,2.8,7,2.7
Almodôvar,0,0,6,3.9
Alvito,0,0,7.7,3.2
Barrancos,0,0,3.7,0
Beja,3.1,2.5,5.2,4.1
Castro Verde,0,0,7.2,3.2
Cuba,29.1,23.3,8.5,3.7
Ferreira do Alentejo,6.1,6.1,6.8,3.5
Mértola,6.5,6.5,4.6,4.4
Moura,4.7,1.6,4,4.1
Ourique,7,7,8.1,5
Serpa,2,0,6.6,3.4
Vidigueira,4.2,0,6.2,4
Lezíria do Tejo,3.9,2.8,4.2,3
Almeirim,6,4.8,4.3,3.1
Alpiarça,4.2,0,5.6,3.7
Azambuja,3.5,2.4,3.6,2
Benavente,4.7,4.7,3,2.8
Cartaxo,1.1,1.1,4.1,2.7
Chamusca,3.9,3.9,4.3,3.6
Coruche,1.8,0,6.8,4.2
Golegã,4.9,0,4.5,3.2
Rio Maior,4.5,2.3,4.1,2.4
Salvaterra de Magos,0,0,4.8,3.2
Santarém,5.5,4.1,3.8,3.1
Alto Alentejo,2.7,1.4,5.7,3.3
Alter do Chão,0,0,7,2.5
Arronches,0,0,12.2,2.5
Avis,8,24,6.4,2.8
Campo Maior,0,0,6.4,3.4
Castelo de Vide,19.6,9.8,6.9,3.1
Crato,0,0,9.4,3.6
Elvas,2.6,2.6,4.6,3.4
Fronteira,0,0,6.1,4.4
Gavião,0,0,7.4,4
Marvão,0,0,8.7,4
Monforte,0,0,5.4,2.4
Nisa,0,0,6.8,4.3
Ponte de Sor,5.4,0,4.3,3.2
Portalegre,2.3,1.1,4.3,3.1
Sousel,0,0,6.4,3.2
Alentejo Central,1.9,1.7,4.7,3.5
Alandroal,0,0,7.9,5.1
Arraiolos,0,0,6.1,3
Borba,4.5,4.5,4.6,3.3
Estremoz,4.2,2.1,5.4,3.9
Évora,2.6,2.6,3.4,3.3
Montemor-o-Novo,0,0,7.1,4.6
Mora,0,0,6.1,3.2
Mourão,0,0,3.7,2.5
Portel,0,0,6.6,3.6
Redondo,4.5,4.5,4.6,2.7
Reguengos de Monsaraz,2.7,2.7,5.2,2.5
Vendas Novas,0,0,3.6,4.9
Viana do Alentejo,0,0,3.7,3.1
Vila Viçosa,0,0,4.5,3.3
Algarve,3,2,3.4,2.9
Albufeira,3.7,3.7,2.3,2.3
Alcoutim,0,0,15.1,6.1
Aljezur,0,0,4.6,3.2
Castro Marim,0,0,3.5,4
Faro,2.7,1.8,2.8,2.5
Lagoa,2.9,1.9,2.4,3.5
Lagos,0.8,0.8,4,2.7
Loulé,4,2.9,3.6,2.6
Monchique,5.7,5.7,6.2,4
Olhão,2.9,1,3.5,2.6
Portimão,3.4,3.1,2.5,2.8
São Brás de Alportel,4.3,2.1,3.2,2.5
Silves,2.5,1.2,3.5,3.1
Tavira,3.9,1,5.3,3.6
Vila do Bispo,4.3,0,3.5,4.7
Vila Real de Santo António,1.2,0,3.8,3.4
R. A. Açores,3,2.1,2.8,2.7
Santa Maria,0,0,2.9,2.7
Vila do Porto,0,0,2.9,2.7
São Miguel,3,2,2.4,2.3
Lagoa (R.A.A.),1.4,1.4,1.9,2.2
Nordeste,6.1,6.1,4.5,3.7
Ponta Delgada,3.1,1.6,2.3,2.4
Povoação,0,0,2.9,2.5
Ribeira Grande,3.2,2.6,1.9,1.7
Vila Franca do Campo,4.5,2.2,3.8,2.5
Terceira,2.2,1.7,3.3,3.2
Angra do Heroísmo,3.5,2.8,3.4,3.1
Vila da Praia da Vitória,0,0,3.3,3.5
Graciosa,5.6,0,5.5,2.9
Santa Cruz da Graciosa,5.6,0,5.5,2.9
São Jorge,3.2,3.2,4,4.4
Calheta (R.A.A.),0,0,3.2,5.4
Velas,4.9,4.9,4.5,3.7
Pico,1.7,1.7,3.4,2.4
Lajes do Pico,0,0,1.8,2.2
Madalena,3.4,3.4,5.3,2.7
São Roque do Pico,0,0,2.1,2.1
Faial,5.1,5.1,3,3.2
Horta,5.1,5.1,3,3.2
Flores,14.5,7.2,4.4,4.1
Lajes das Flores,17.2,0,5.5,5.5
Santa Cruz das Flores,12.5,12.5,3.7,3.2
Corvo,0,0,0,4.3
Corvo,0,0,0,4.3
R. A. Madeira,2.8,1.9,3.3,2.6
Calheta (R.A.M.),0,0,4,3.4
Câmara de Lobos,1.3,0,2,1.6
Funchal,3.1,2.3,4,2.7
Machico,4.6,3.1,2.9,2.6
Ponta do Sol,0,0,4.8,3.3
Porto Moniz,0,0,6.9,5.6
Ribeira Brava,0,0,3.3,3.8
Santa Cruz,5.5,3.9,3.3,3
Santana,0,0,1.6,2.1
São Vicente,0,0,4.2,3.7
Porto Santo,0,0,5.5,4.1
