,"Farmácias e postos farmacêuticos móveis, Total (N.º)","Farmácias e postos farmacêuticos móveis, Farmácias (N.º)","Farmácias e postos farmacêuticos móveis, Postos farmacêuticos móveis  (N.º)","Farmacêuticos de oficina, Postos farmacêuticos móveis  (N.º)","Técnicos de farmácia, Postos farmacêuticos móveis  (N.º)"
Idanha-a-Nova,8,4,4,6,3
Oleiros,3,3,0,6,0
Penamacor,5,2,3,4,1
Proença-a-Nova,2,2,0,5,2
Vila Velha de Ródão,1,1,0,4,3
Médio Tejo,91,78,13,227,67
Abrantes,15,13,2,46,12
Alcanena,5,5,0,11,4
Constância,3,2,1,6,2
Entroncamento,4,4,0,17,3
Ferreira do Zêzere,4,3,1,4,1
Mação,5,4,1,6,2
Ourém,20,15,5,43,15
Sardoal,2,1,1,2,3
Sertã,4,4,0,14,4
Tomar,13,12,1,30,14
Torres Novas,12,11,1,39,3
Vila de Rei,1,1,0,4,3
Vila Nova da Barquinha,3,3,0,5,1
Beiras e Serra da Estrela,98,83,15,214,191
Almeida,2,2,0,4,5
Belmonte,2,2,0,6,4
Celorico da Beira,4,3,1,5,8
Covilhã,22,19,3,62,25
Figueira de Castelo Rodrigo,3,3,0,9,4
Fornos de Algodres,2,2,0,2,1
Fundão,10,8,2,29,7
Gouveia,7,5,2,11,19
Guarda,13,12,1,32,44
Manteigas,2,2,0,5,4
Mêda,1,1,0,2,6
Pinhel,5,5,0,10,17
Sabugal,9,5,4,9,12
Seia,10,10,0,21,28
Trancoso,6,4,2,7,7
A. M. Lisboa,784,780,4,3079,712
Alcochete,5,5,0,10,2
Almada,47,47,0,180,38
Amadora,41,41,0,153,66
Barreiro,23,23,0,89,31
Cascais,42,42,0,193,43
Lisboa,253,253,0,1062,146
Loures,55,54,1,191,90
Mafra,16,15,1,56,11
Moita,16,16,0,54,9
Montijo,14,14,0,55,20
Odivelas,36,36,0,125,23
Oeiras,50,50,0,195,35
Palmela,15,15,0,62,4
Seixal,36,36,0,144,29
Sesimbra,8,8,0,35,15
Setúbal,30,30,0,119,30
Sintra,69,67,2,260,95
Vila Franca de Xira,28,28,0,96,25
Alentejo,348,267,81,572,287
Alentejo Litoral,36,33,3,67,39
Alcácer do Sal,5,4,1,7,7
Grândola,5,5,0,8,4
Odemira,12,10,2,15,13
Santiago do Cacém,11,11,0,28,7
Sines,3,3,0,9,8
Baixo Alentejo,60,46,14,100,39
Aljustrel,4,4,0,7,3
Almodôvar,3,2,1,6,0
