,"Child benefit, Recipients, No.","Child benefit, Descendants or equal status, No.","Child benefit, Value paid, thousand euros","Allowance for assistance by a third party, Recipients, No.","Allowance for assistance by a third party, Descendants or equal status, No.","Allowance for assistance by a third party, Value paid, thousand euros"," Funeral grant, Recipients, No."," Funeral grant, Value paid, thousand euros"
Alcoutim,129,178,110,...,...,...,...,...
Aljezur,537,789,555,10,10,12,4,1
Castro Marim,515,788,594,...,...,...,5,1
Faro,5888,8472,6195,79,80,102,52,12
Lagoa,2355,3469,2562,32,36,46,13,3
Lagos,3028,4376,3181,46,47,63,20,4
Loulé,7229,10515,7614,53,54,71,87,19
Monchique,400,578,386,7,7,9,...,...
Olhão,4513,6735,5020,69,70,90,45,10
Portimão,6511,9545,6963,88,93,118,46,10
São Brás de Alportel,953,1419,985,13,14,17,9,2
Silves,3801,5624,3991,55,56,73,39,9
Tavira,2229,3266,2215,27,28,37,25,5
Vila do Bispo,498,702,510,8,9,11,...,...
Vila Real de Santo António,1984,2971,2146,33,33,43,14,3
R. A. Açores,22752,34822,23049,419,433,556,411,91
Santa Maria,473,720,477,21,21,28,19,4
Vila do Porto,473,720,477,21,21,28,19,4
São Miguel,14336,22208,14894,244,255,327,271,60
Lagoa (R.A.A.),1665,2600,1753,24,25,33,22,5
Nordeste,456,687,445,6,6,8,14,3
Ponta Delgada,6266,9461,6353,119,126,159,136,30
Povoação,596,892,568,6,6,7,21,5
Ribeira Grande,4208,6859,4668,76,79,103,44,10
Vila Franca do Campo,1145,1709,1106,13,13,17,34,7
Terceira,4394,6524,4316,92,93,118,71,16
Angra do Heroísmo,2813,4182,2777,68,69,89,44,10
Vila da Praia da Vitória,1581,2342,1540,24,24,29,27,6
Graciosa,347,547,379,...,...,...,12,3
Santa Cruz da Graciosa,347,547,379,...,...,...,12,3
São Jorge,692,1039,627,12,12,15,...,...
Calheta (R.A.A.),278,430,255,6,6,7,11,2
Velas,414,609,372,6,6,8,...,...
Pico,1139,1711,1090,23,...,31,...,...
Lajes do Pico,343,530,332,3,...,4,...,...
Madalena,540,796,508,13,14,18,0,0
São Roque do Pico,256,385,250,7,7,9,0,0
Faial,1104,1638,965,22,23,30,13,3
Horta,1104,1638,965,22,23,30,13,3
Flores,236,383,264,...,...,...,...,...
Lajes das Flores,97,158,113,...,...,...,...,...
Santa Cruz das Flores,139,225,150,...,...,...,...,...
Corvo,31,52,37,0,0,0,...,...
Corvo,31,52,37,0,0,0,...,...
R. A. Madeira,20093,30077,19187,404,413,541,201,44
Calheta (R.A.M.),828,1289,844,13,13,17,20,4
Câmara de Lobos,3522,5507,3617,69,73,99,22,5
Funchal,7298,10748,6921,164,168,219,93,20
Machico,1556,2252,1398,43,44,58,9,2
Ponta do Sol,750,1154,740,7,7,9,6,1
Porto Moniz,160,249,151,3,3,4,...,...
Ribeira Brava,1136,1749,1100,28,28,37,15,3
Santa Cruz,3709,5474,3396,57,57,72,19,4
Santana,441,647,409,9,9,12,5,1
São Vicente,324,479,313,7,7,9,7,2
Porto Santo,369,529,297,4,4,5,...,...
