,"Recipients, MF, No.","Recipients, M, No.","Recipients, F, No."," Days subsidized , MF, No."," Days subsidized , M, No."," Days subsidized , F, No.","Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros"
Portugal,795758,333588,462170,43204507,18539703,24664804,851293,407198,444095
Continente,759423,317286,442137,40625900,17421458,23204442,798442,380658,417783
Norte,320775,138126,182649,17137978,7684506,9453472,316771,155519,161252
Alto Minho,20028,8313,11715,1442879,571528,871351,26130,11092,15038
Arcos de Valdevez,1468,601,867,110490,41686,68804,1840,720,1121
Caminha,1327,554,773,88809,36880,51929,1743,784,960
Melgaço,408,167,241,27635,12067,15568,432,204,228
Monção,1129,453,676,75122,29588,45534,1219,518,701
Paredes de Coura,848,353,495,67612,25315,42297,1180,436,744
Ponte da Barca,955,394,561,73481,27443,46038,1189,450,739
Ponte de Lima,3923,1673,2250,282476,118546,163930,4803,2114,2690
Valença,1292,525,767,85532,29181,56351,1516,515,1000
Viana do Castelo,7669,3161,4508,565479,226804,338675,11021,4882,6139
Vila Nova de Cerveira,1009,432,577,66243,24018,42225,1186,468,718
Cávado,37560,15766,21794,1782455,780590,1001865,32441,15317,17124
Amares,1549,685,864,72102,33354,38748,1150,584,566
Barcelos,11783,4953,6830,625322,275693,349629,10979,5340,5639
Braga,16996,7031,9965,719963,310353,409610,14188,6522,7666
Esposende,2810,1180,1630,156293,67930,88363,2733,1265,1468
Terras de Bouro,383,171,212,20335,8913,11422,287,135,152
Vila Verde,4039,1746,2293,188440,84347,104093,3104,1472,1632
Ave,41049,18097,22952,2121649,957957,1163692,37864,18725,19139
Cabeceiras de Basto,1137,548,589,65226,34468,30758,1025,609,416
Fafe,4569,2040,2529,276138,120660,155478,4597,2107,2490
Guimarães,15638,6807,8831,767096,336741,430355,13644,6356,7288
Mondim de Basto,457,227,230,31681,17594,14087,499,283,216
Póvoa de Lanhoso,1698,729,969,91574,38950,52624,1479,681,798
Vieira do Minho,640,301,339,35705,18942,16763,554,309,245
Vila Nova de Famalicão,14126,6268,7858,716338,336227,380111,13644,7316,6328
Vizela,2784,1177,1607,137891,54375,83516,2422,1064,1358
A. M. Porto,165017,70372,94645,8143891,3642500,4501391,159275,78872,80403
Arouca,1804,839,965,125961,65006,60955,2194,1258,936
Espinho,2973,1373,1600,149049,66012,83037,2890,1374,1516
Gondomar,16900,7207,9693,746598,338675,407923,13758,6978,6781
Maia,12582,5271,7311,531707,235826,295881,10932,5423,5510
Matosinhos,15783,6555,9228,704920,312507,392413,15142,7593,7548
Oliveira de Azeméis,6796,3016,3780,460521,205500,255021,9028,4631,4397
Paredes,9143,4126,5017,543407,256584,286823,9215,4750,4466
Porto,16564,6754,9810,647796,272637,375159,13852,6192,7660
Póvoa de Varzim,5573,2276,3297,274963,120921,154042,5120,2493,2627
Santa Maria da Feira,14574,6292,8282,882974,396500,486474,17281,8365,8916
Santo Tirso,7407,3284,4123,397513,187783,209730,7192,3776,3416
São João da Madeira,2196,893,1303,130501,51403,79098,2568,1155,1413
Trofa,4254,1888,2366,209502,97163,112339,3965,2123,1842
Vale de Cambra,1901,816,1085,139243,56908,82335,2936,1473,1463
Valongo,10025,4344,5681,462145,219493,242652,8730,4645,4085
Vila do Conde,7966,3323,4643,430949,183095,247854,8483,4094,4390
Vila Nova de Gaia,28576,12115,16461,1306142,576487,729655,25987,12549,13439
Alto Tâmega,3740,1639,2101,235313,108425,126888,3746,1785,1961
Boticas,304,120,184,17182,7526,9656,254,111,143
Chaves,1676,689,987,108337,45109,63228,1763,761,1002
Montalegre,329,135,194,21666,8690,12976,341,141,199
Ribeira de Pena,291,147,144,20194,10677,9517,341,188,153
Valpaços,532,231,301,34211,17210,17001,537,283,254
Vila Pouca de Aguiar,608,317,291,33723,19213,14510,511,301,210
Tâmega e Sousa,37767,17672,20095,2524385,1256902,1267483,42625,23267,19358
Amarante,3626,1763,1863,257105,136160,120945,4387,2589,1798
Baião,1369,749,620,98384,57875,40509,1615,1073,542
Castelo de Paiva,1484,662,822,100866,46080,54786,1791,878,913
Celorico de Basto,1223,569,654,64909,30898,34011,973,512,461
Cinfães,1157,662,495,71999,42279,29720,1168,762,406
Felgueiras,5650,2438,3212,438419,199202,239217,7770,3713,4058
Lousada,5473,2398,3075,370117,174846,195271,6195,3211,2983
Marco de Canaveses,4045,2205,1840,278079,160026,118053,4637,3001,1636
Paços de Ferreira,6335,2772,3563,368660,165581,203079,5966,2856,3110
Penafiel,6841,3134,3707,441748,225768,215980,7674,4416,3258
Resende,564,320,244,34099,18187,15912,448,254,194
Douro,10594,4311,6283,619147,256800,362347,10114,4555,5559
Alijó,553,234,319,34252,14199,20053,476,205,270
Armamar,319,125,194,18820,7197,11623,281,110,171
Carrazeda de Ansiães,236,87,149,13596,6432,7164,231,114,117
Freixo de Espada à Cinta,181,66,115,9182,3306,5876,135,41,94
Lamego,1453,627,826,75787,32015,43772,1234,568,666
Mesão Frio,218,93,125,17746,6984,10762,285,126,160
Moimenta da Beira,466,199,267,28529,11463,17066,477,195,282
Murça,231,86,145,15151,6059,9092,213,86,126
Penedono,138,59,79,8467,4161,4306,136,66,70
Peso da Régua,846,359,487,53414,23112,30302,951,509,441
Sabrosa,326,123,203,18646,6814,11832,282,105,177
Santa Marta de Penaguião,343,151,192,23635,11090,12545,368,212,157
São João da Pesqueira,456,209,247,27044,13844,13200,387,212,175
Sernancelhe,300,137,163,18078,7005,11073,266,112,154
