,"Quintis do rendimento bruto declarado deduzido do IRS Liquidado por agregado fiscal, 1º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por agregado fiscal, 2º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por agregado fiscal, 3º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por agregado fiscal, 4º quintil, €","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, Menos de
 5 000 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 5 000  a menos de 10 000 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 10 000 a menos de 13 500 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 13 500 a menos de 19 000 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 19 000 a menos de 32 500 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, 32 500 € ou mais, N.º"
Portugal,7828,10525,15208,24573,553888,1428723,935166,830643,1027017,606737
Continente,7843,10531,15214,24568,527940,1365998,891985,796449,981896,578264
Norte,7602,10079,14265,22893,194191,529556,325644,281138,328983,173312
Alto Minho,7068,9819,13466,21537,14249,35083,22466,17778,20644,9183
Arcos de Valdevez,5756,9237,11520,18485,1700,3626,1887,1366,1449,559
Caminha,6732,9891,13744,22229,1095,2358,1562,1251,1482,739
Melgaço,6347,9415,12193,18647,561,1254,731,572,563,186
Monção,6992,9565,12760,19817,1087,2684,1735,1359,1350,558
Paredes de Coura,6548,9426,12403,19751,575,1404,836,639,723,210
Ponte da Barca,5976,9216,11223,18126,896,2116,1045,710,762,302
Ponte de Lima,7171,9599,12677,20068,2266,6705,3980,2992,3299,1239
Valença,6768,9574,12852,20029,967,2194,1454,1109,1226,396
Viana do Castelo,7918,10716,15186,24229,4505,11385,8315,6994,8936,4671
Vila Nova de Cerveira,7288,9961,13671,21353,597,1357,921,786,854,323
Cávado,7956,10263,14637,23344,20402,58916,36894,31969,39504,20032
Amares,7624,9873,13499,21032,957,2786,1730,1437,1596,613
Barcelos,7914,9815,13357,20716,5302,18970,11094,9162,10320,3563
Braga,8305,11116,16590,26471,9087,23468,16262,14807,20302,12793
Esposende,7623,9993,14135,22788,1919,5281,3166,2744,3222,1646
Terras de Bouro,6513,9415,12252,18740,443,1085,565,483,470,143
Vila Verde,7130,9422,12634,19775,2694,7326,4077,3336,3594,1274
Ave,7980,10003,13794,21450,20536,66546,41129,35287,38495,15824
Cabeceiras de Basto,6583,9310,11882,18730,941,2580,1226,1018,1010,374
Fafe,7004,9419,12409,19407,3106,8628,4567,3756,3735,1542
Guimarães,8288,10192,14080,21720,7013,24980,15872,13882,14944,6277
Mondim de Basto,6028,9195,11011,17841,445,1208,508,419,406,125
Póvoa de Lanhoso,7157,9415,12518,19141,1239,3355,1945,1551,1575,492
Vieira do Minho,6404,9310,11875,18749,773,1944,1017,786,818,282
Vila Nova de Famalicão,8372,10528,14725,22868,5947,19600,13428,11781,13736,6018
Vizela,8352,9884,13298,20344,1072,4251,2566,2094,2271,714
A. M. Porto,7938,10588,15223,24622,90940,240143,159367,142013,172045,103410
Arouca,7510,9646,12943,20042,1037,3419,2039,1629,1682,595
Espinho,7999,10465,14795,24099,1526,4488,2970,2574,2929,1795
Gondomar,7894,10437,14644,23115,8569,22935,15843,13495,16098,7795
Maia,8580,11694,17764,28467,5978,15634,11031,10632,14951,10536
Matosinhos,8354,11409,16852,27121,8365,21074,15074,14756,18659,12877
Oliveira de Azeméis,8288,10565,14394,22655,2920,9828,7265,5780,6932,2793
Paredes,6598,9384,12080,19064,5747,14628,7605,6096,6203,2372
Porto,7430,10818,16863,29461,15107,31213,18825,17913,23353,22131
Póvoa de Varzim,7162,9838,14123,22844,3906,9722,5580,5018,5897,3090
Santa Maria da Feira,7916,10262,14126,22400,6750,20245,13769,11364,12875,5822
Santo Tirso,8318,10239,13880,21396,2905,10997,7387,6210,6252,2735
São João da Madeira,7712,10199,14016,22944,1231,3510,2362,1855,2153,1175
Trofa,8229,10426,14510,22421,1808,5779,3854,3499,3923,1573
Vale de Cambra,8237,10786,14789,23437,892,3064,2203,1907,2210,984
Valongo,8007,10658,15172,23856,4914,12554,8846,7861,9782,4724
Vila do Conde,7948,10456,15073,24073,3893,11667,7092,6679,7967,4338
