,"Agregados fiscais, N.º","Sujeitos passivos, N.º","Rendimento bruto declarado, milhares de euros","Rendimento coletável, milhares de euros","IRS liquidado, milhares de euros","Rendimento bruto declarado deduzido do IRS liquidado, milhares de euros"
Povoação,2775,3911,38921,25195,2059,36862
Ribeira Grande,13704,19838,227729,158047,15328,212400
Vila Franca do Campo,4669,6726,70546,48329,4832,65714
Terceira,28148,39185,550457,402555,47621,502837
Angra do Heroísmo,18154,24868,364420,268612,33708,330712
Vila da Praia da Vitória,9994,14317,186038,133942,13913,172125
Graciosa,2084,2945,36059,25179,2667,33392
Santa Cruz da Graciosa,2084,2945,36059,25179,2667,33392
São Jorge,4433,6146,71636,49851,4629,67007
Calheta (R.A.A.),1809,2531,27173,18513,1581,25592
Velas,2624,3615,44463,31338,3048,41415
Pico,7340,10242,126491,88887,9075,117416
Lajes do Pico,2202,3138,36915,25736,2452,34462
Madalena,3357,4681,58912,41396,4196,54716
São Roque do Pico,1781,2423,30665,21755,2428,28237
Faial,7722,10650,155962,114781,13955,142007
Horta,7722,10650,155962,114781,13955,142007
Flores,1910,2565,33021,23540,2486,30536
Lajes das Flores,763,1027,13058,9307,1016,12042
Santa Cruz das Flores,1147,1538,19964,14233,1470,18494
Corvo,235,312,4368,3146,345,4023
Corvo,235,312,4368,3146,345,4023
R. A. Madeira,119605,163977,2275045,1659166,227634,2047410
Calheta (R.A.M.),4357,6082,68280,48426,5333,62947
Câmara de Lobos,13676,18939,193898,126395,10225,183673
Funchal,54866,73602,1185017,896986,145764,1039253
Machico,9184,13072,149736,101836,9903,139833
Ponta do Sol,3436,4720,52203,36388,3663,48541
Porto Moniz,1129,1538,17266,11695,1249,16017
Ribeira Brava,5177,7245,80106,54467,5101,75005
Santa Cruz,19818,27717,389772,284974,34457,355315
Santana,2892,4037,42121,27560,2422,39699
São Vicente,1986,2750,30073,20484,2112,27960
Porto Santo,3084,4275,66574,49956,7406,59168
