,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, Total, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, das quais, Cursos de educação e formação (N.º)","Ensino básico, 3º Ciclo, Total, Cursos de educação e formação (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos profissionais (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos de educação e formação (N.º)"
Sernancelhe,126,126,0,72,72,0,0,101,84,0,0,0
Tabuaço,104,104,0,97,97,0,0,115,101,0,0,14
Tarouca,232,232,0,119,119,0,0,236,236,0,0,0
Torre de Moncorvo,174,174,0,86,86,0,0,122,113,0,0,9
Vila Nova de Foz Côa,154,154,0,93,93,0,0,146,138,0,0,8
Vila Real,1766,1766,0,922,922,0,0,1584,1548,0,0,36
Terras de Trás-os-Montes,2944,2944,0,1669,1654,0,0,2653,2362,0,81,175
Alfândega da Fé,109,109,0,49,49,0,0,97,97,0,0,0
Bragança,1060,1060,0,595,590,0,0,931,856,0,0,65
Macedo de Cavaleiros,339,339,0,209,201,0,0,370,316,0,0,36
Miranda do Douro,162,162,0,101,101,0,0,132,132,0,0,0
Mirandela,682,682,0,387,387,0,0,630,490,0,81,59
Mogadouro,218,218,0,105,105,0,0,176,161,0,0,15
Vila Flor,162,162,0,99,99,0,0,141,141,0,0,0
Vimioso,76,76,0,48,48,0,0,46,46,0,0,0
Vinhais,136,136,0,76,74,0,0,130,123,0,0,0
Centro,75425,75423,0,41488,41346,78,0,67672,64151,135,36,2640
Oeste,13427,13427,0,7522,7503,0,0,12187,11492,0,0,476
Alcobaça,1821,1821,0,1044,1044,0,0,1713,1636,0,0,60
Alenquer,1712,1712,0,867,863,0,0,1307,1269,0,0,14
