,"Recipients, MF, No.","Recipients, M, No.","Recipients, F, No."," Days subsidized , MF, No."," Days subsidized , M, No."," Days subsidized , F, No.","Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros"
Centro,158568,66173,92395,8487066,3507529,4979537,147647,70225,77422
Oeste,25176,10261,14915,1574331,634066,940265,28108,13193,14916
Alcobaça,4001,1729,2272,255748,105683,150065,4545,2219,2326
Alenquer,3589,1520,2069,243001,98195,144806,4772,2284,2488
Arruda dos Vinhos,948,372,576,47975,16631,31344,996,444,552
Bombarral,792,321,471,40561,18151,22410,658,329,329
Cadaval,844,326,518,58825,23815,35010,934,406,528
Caldas da Rainha,3395,1340,2055,169677,68834,100843,2910,1348,1563
Lourinhã,1840,766,1074,111368,47860,63508,1930,952,978
Nazaré,1054,407,647,67161,25399,41762,1264,598,666
Óbidos,726,314,412,41112,17987,23125,707,348,359
Peniche,1613,623,990,99430,36843,62587,1566,702,865
Sobral de Monte Agraço,746,316,430,56010,24381,31629,1108,620,488
Torres Vedras,5628,2227,3401,383463,150287,233176,6717,2943,3774
Região de Aveiro,30154,12815,17339,1438459,608243,830216,25476,12643,12833
Águeda,3631,1530,2101,169491,75005,94486,2849,1508,1341
Albergaria-a-Velha,2049,835,1214,120966,47149,73817,2223,958,1265
Anadia,2030,852,1178,95975,37507,58468,1537,717,820
Aveiro,5756,2348,3408,242665,102148,140517,4636,2337,2298
Estarreja,2420,1115,1305,117760,51601,66159,2173,1136,1037
Ílhavo,3408,1330,2078,164758,65173,99585,3020,1578,1443
Murtosa,981,450,531,41084,20001,21083,706,423,283
Oliveira do Bairro,1654,661,993,78269,32328,45941,1287,572,715
Ovar,5736,2646,3090,282496,123712,158784,5026,2435,2591
Sever do Vouga,827,366,461,44855,21847,23008,730,402,328
Vagos,1662,682,980,80140,31772,48368,1290,577,713
Região de Coimbra,32339,13271,19068,1227395,504699,722696,20668,9823,10845
Arganil,897,393,504,34907,15174,19733,505,231,273
Cantanhede,2444,1058,1386,94915,40378,54537,1503,726,777
Coimbra,9732,3847,5885,319665,130357,189308,5871,2756,3115
Condeixa-a-Nova,1461,566,895,50959,18308,32651,890,334,556
Figueira da Foz,4280,1824,2456,199466,82794,116672,3682,1916,1766
Góis,242,100,142,9602,3812,5790,136,61,75
Lousã,1448,589,859,49392,21556,27836,778,373,405
Mealhada,1404,598,806,61150,24642,36508,1094,508,586
Mira,712,297,415,32190,15007,17183,584,304,279
Miranda do Corvo,950,394,556,35751,15680,20071,508,256,252
Montemor-o-Velho,1947,772,1175,73659,28972,44687,1164,538,626
Mortágua,575,261,314,23562,10877,12685,341,167,174
Oliveira do Hospital,1620,662,958,67340,27127,40213,955,412,543
Pampilhosa da Serra,196,72,124,7075,3145,3930,92,43,49
Penacova,950,397,553,39078,14450,24628,525,226,299
Penela,395,148,247,13035,4250,8785,179,68,110
Soure,1368,588,780,55743,25261,30482,1010,550,460
Tábua,1146,461,685,40255,14427,25828,571,224,347
Vila Nova de Poiares,572,244,328,19651,8482,11169,282,128,154
Região de Leiria,21552,9273,12279,1522911,612125,910786,30324,14504,15821
Alvaiázere,336,152,184,19212,9165,10047,252,129,123
Ansião,822,358,464,46354,20507,25847,724,333,391
Batalha,1155,452,703,75124,26911,48213,1311,566,746
Castanheira de Pêra,159,65,94,10134,3677,6457,143,55,88
Figueiró dos Vinhos,305,111,194,14095,6138,7957,212,92,120
Leiria,9582,4145,5437,637502,255463,382039,12593,5942,6652
Marinha Grande,3803,1728,2075,388221,161212,227009,9269,4847,4422
Pedrógão Grande,184,81,103,12342,5522,6820,188,88,100
Pombal,3317,1379,1938,204763,78830,125933,3616,1533,2082
Porto de Mós,1889,802,1087,115164,44700,70464,2016,919,1097
Viseu Dão Lafões,16725,6985,9740,841683,375429,466254,13075,6390,6685
Aguiar da Beira,239,98,141,15866,8293,7573,205,106,99
Carregal do Sal,653,288,365,27450,14328,13122,416,246,170
Castro Daire,714,339,375,45474,22469,23005,574,315,259
Mangualde,1368,636,732,69499,33908,35591,1139,635,503
Nelas,1039,477,562,51054,24879,26175,831,454,377
Oliveira de Frades,754,324,430,41095,18529,22566,626,295,331
Penalva do Castelo,441,209,232,26231,14530,11701,388,233,155
Santa Comba Dão,826,291,535,40224,13592,26632,676,256,419
São Pedro do Sul,1015,443,572,51648,25826,25822,767,436,331
Sátão,687,289,398,39265,18014,21251,577,283,294
Tondela,1890,751,1139,96722,39737,56985,1467,648,819
Vila Nova de Paiva,180,67,113,9545,3298,6247,140,52,88
Viseu,6250,2488,3762,290439,121623,168816,4732,2179,2554
Vouzela,669,285,384,37171,16403,20768,536,252,284
Beira Baixa,4806,1818,2988,203708,75955,127753,3168,1260,1908
Castelo Branco,3419,1223,2196,138495,48583,89912,2256,852,1404
Idanha-a-Nova,352,138,214,13571,5007,8564,190,77,113
Oleiros,242,113,129,12685,7406,5279,169,97,72
Penamacor,213,87,126,14390,6104,8286,211,101,111
Proença-a-Nova,389,181,208,16405,5731,10674,226,83,143
Vila Velha de Ródão,191,76,115,8162,3124,5038,116,50,65
Médio Tejo,15613,6821,8792,934685,396926,537759,15545,7575,7971
Abrantes,2285,999,1286,132921,58368,74553,2167,1120,1047
Alcanena,1110,504,606,75372,33765,41607,1300,626,674
Constância,265,107,158,16962,5400,11562,270,100,170
Entroncamento,1470,624,846,71717,27148,44569,1297,605,692
Ferreira do Zêzere,506,217,289,38445,17083,21362,635,336,299
Mação,304,122,182,16587,6343,10244,230,85,145
Ourém,3081,1331,1750,171631,72206,99425,2850,1378,1473
Sardoal,219,104,115,14790,7161,7629,219,116,103
Sertã,776,378,398,35127,17052,18075,489,257,232
Tomar,2128,890,1238,156109,60083,96026,2581,1114,1467
Torres Novas,2837,1291,1546,169155,77355,91800,2910,1526,1384
Vila de Rei,160,59,101,7139,3855,3284,105,62,43
Vila Nova da Barquinha,472,195,277,28730,11107,17623,490,249,241
Beiras e Serra da Estrela,12203,4929,7274,743894,300086,443808,11282,4839,6443
Almeida,268,93,175,18631,7578,11053,283,129,153
Belmonte,415,166,249,23164,8234,14930,313,115,198
Celorico da Beira,427,168,259,29508,9625,19883,441,158,283
Covilhã,2972,1152,1820,157050,64361,92689,2423,1049,1374
Figueira de Castelo Rodrigo,220,82,138,14524,5137,9387,201,74,128
Fornos de Algodres,203,90,113,14124,7060,7064,202,105,97
Fundão,1581,625,956,80884,30379,50505,1203,479,723
Gouveia,558,242,316,30028,14258,15770,439,213,227
Guarda,2319,953,1366,149463,60710,88753,2413,1049,1364
Manteigas,163,65,98,10084,3854,6230,136,46,90
Mêda,208,85,123,14190,5293,8897,208,82,127
Pinhel,471,224,247,36550,16773,19777,493,230,263
Sabugal,575,248,327,39435,16430,23005,583,259,323
Seia,1376,559,817,99368,40293,59075,1526,682,844
Trancoso,447,177,270,26891,10101,16790,419,168,251
A. M. Lisboa,179252,68655,110597,9113247,3422560,5690687,189420,82879,106541
Alcochete,1224,442,782,93765,29534,64231,2037,802,1235
Almada,10837,4001,6836,554529,209834,344695,11128,4799,6329
Amadora,11072,4046,7026,478649,180086,298563,8909,3843,5066
Barreiro,4846,1865,2981,300665,111951,188714,6379,2864,3516
Cascais,11572,4537,7035,497462,196867,300595,12216,5565,6651
Lisboa,28645,11183,17462,1148611,455720,692891,26687,11535,15152
Loures,13829,5354,8475,623304,244499,378805,11875,5356,6518
Mafra,5245,2161,3084,338874,134649,204225,6707,3103,3604
Moita,4633,1771,2862,372202,128854,243348,7650,3316,4334
Montijo,3869,1457,2412,336782,100565,236217,6552,2291,4261
Odivelas,9831,3747,6084,426537,165032,261505,8329,3768,4561
Oeiras,9171,3450,5721,380753,146628,234125,9355,3934,5422
Palmela,4623,1789,2834,378786,131734,247052,8247,3595,4652
Seixal,10563,3909,6654,578104,211844,366260,11095,4738,6358
Sesimbra,3641,1459,2182,225535,82517,143018,4583,2027,2556
Setúbal,8452,3238,5214,683780,226820,456960,15256,6494,8762
Sintra,26479,9949,16530,1163736,455268,708468,21886,9881,12005
Vila Franca de Xira,10720,4297,6423,531173,210158,321015,10530,4969,5560
Alentejo,47601,19093,28508,2660444,995696,1664748,46369,20243,26127
Alentejo Litoral,5570,2271,3299,332544,130627,201917,6698,3507,3191
Alcácer do Sal,662,222,440,51424,16733,34691,849,306,544
Grândola,785,300,485,52533,20494,32039,939,421,518
Odemira,1446,613,833,58469,26014,32455,884,435,450
Santiago do Cacém,1723,702,1021,109649,43134,66515,2671,1584,1087
