,"Total, Total (milhares de euros)","Total, Pensions on 31 Dec. (milhares de euros)","Disability, Total (milhares de euros)","Disability, Pensions on 31 Dec. (milhares de euros)","Old age, Total (milhares de euros)","Old age, Pensions on 31 Dec. (milhares de euros)","Survival , Total (milhares de euros)","Survival , Pensions on 31 Dec. (milhares de euros)"
Centro,3613581,3550432,251667,248844,2820705,2773777,541208,527810
Oeste,588424,578367,47877,47312,454075,446726,86472,84328
Alcobaça,102333,100737,11035,10963,77241,76030,14056,13743
Alenquer,69750,68519,5493,5404,53469,52573,10788,10542
Arruda dos Vinhos,21244,20863,1409,1384,16491,16239,3344,3240
Bombarral,19367,18928,1308,1300,15078,14738,2981,2890
Cadaval,22567,22122,1699,1680,17346,17021,3522,3421
Caldas da Rainha,81672,80461,5924,5851,64143,63273,11605,11337
Lourinhã,39787,38943,3424,3388,30749,30115,5614,5440
Nazaré,26804,26268,2269,2213,20378,20024,4157,4031
Óbidos,18711,18391,1183,1175,14795,14559,2734,2658
Peniche,44584,43823,2705,2663,34931,34369,6948,6791
Sobral de Monte Agraço,16403,16122,1431,1423,12537,12313,2435,2385
Torres Vedras,125203,123191,9997,9869,96918,95472,18289,17850
Região de Aveiro,572186,563352,24271,23885,464026,457463,83890,82005
Águeda,84835,83714,3385,3355,70223,69378,11227,10981
Albergaria-a-Velha,37251,36683,1888,1860,29814,29401,5549,5422
Anadia,47798,46898,1644,1601,38771,38089,7382,7208
Aveiro,120594,118707,4517,4420,99025,97601,17052,16685
Estarreja,44479,43812,1877,1840,35315,34841,7287,7131
Ílhavo,60684,59786,2722,2687,48431,47838,9531,9261
Murtosa,11161,10994,486,478,8539,8401,2136,2115
Oliveira do Bairro,28847,28357,1191,1171,23416,23044,4241,4141
Ovar,91458,90234,4473,4406,74287,73369,12698,12460
Sever do Vouga,18605,18296,856,850,14972,14739,2777,2707
Vagos,26474,25872,1232,1214,21233,20762,4009,3895
Região de Coimbra,719280,706895,46380,45841,566150,556833,106750,104221
Arganil,21251,20852,1435,1427,16356,16058,3460,3367
Cantanhede,50345,49436,3038,3005,39760,39060,7546,7370
Coimbra,217231,213839,12373,12245,175183,172597,29674,28997
Condeixa-a-Nova,22129,21730,1711,1703,17295,16974,3123,3054
Figueira da Foz,114106,112226,7389,7307,90206,88807,16511,16112
Góis,8494,8280,667,661,6344,6177,1483,1442
Lousã,26165,25740,2298,2265,19737,19422,4130,4052
Mealhada,32419,31821,1431,1419,26010,25577,4978,4826
Mira,16248,15950,878,866,13006,12783,2364,2302
Miranda do Corvo,19459,19131,1632,1600,14918,14687,2910,2844
Montemor-o-Velho,41648,40842,3428,3359,31746,31156,6473,6326
Mortágua,14464,14203,578,566,11512,11332,2373,2305
Oliveira do Hospital,32668,32094,2603,2578,25028,24597,5037,4919
Pampilhosa da Serra,9121,8871,455,451,7031,6822,1635,1597
Penacova,20871,20458,1668,1626,15937,15629,3266,3203
Penela,9184,8962,657,654,6997,6828,1530,1480
Soure,35215,34646,2321,2312,27221,26788,5673,5547
Tábua,18928,18609,1192,1182,14678,14447,3057,2980
Vila Nova de Poiares,9334,9205,625,614,7184,7093,1526,1498
Região de Leiria,469134,461341,51678,51194,352873,347144,64583,63004
Alvaiázere,12279,12027,1097,1087,9109,8920,2073,2020
Ansião,20576,20211,1941,1925,15500,15231,3134,3055
Batalha,22744,22367,2504,2493,17307,17016,2932,2858
Castanheira de Pêra,7256,7130,722,719,5393,5296,1141,1115
Figueiró dos Vinhos,10440,10215,971,955,7706,7541,1763,1719
Leiria,191737,188715,21053,20836,146060,143822,24625,24057
Marinha Grande,86572,85347,11917,11812,63937,63077,10717,10458
Pedrógão Grande,6740,6566,685,680,4759,4634,1295,1252
Pombal,71841,70535,7243,7190,53153,52206,11445,11138
Porto de Mós,38950,38229,3545,3497,29948,29401,5457,5331
Viseu Dão Lafões,352345,345577,14375,14117,282284,277227,55686,54233
Aguiar da Beira,7681,7426,463,452,5917,5738,1301,1236
Carregal do Sal,14042,13761,605,598,11067,10859,2369,2304
Castro Daire,22622,22117,1023,1007,17894,17505,3705,3604
Mangualde,29201,28675,1025,990,23642,23251,4534,4434
Nelas,21432,20998,1030,1025,16940,16606,3463,3367
Oliveira de Frades,13658,13382,551,542,10976,10769,2131,2071
Penalva do Castelo,10273,10081,402,395,8094,7951,1777,1734
Santa Comba Dão,18802,18507,686,685,15160,14938,2956,2884
São Pedro do Sul,23824,23381,1028,1007,19006,18668,3789,3706
Sátão,13276,12930,534,511,10480,10229,2262,2190
Tondela,42245,41394,1800,1783,33659,33001,6786,6611
Vila Nova de Paiva,5509,5375,195,193,4280,4182,1035,1000
Viseu,114061,112095,4470,4394,92390,90939,17201,16762
Vouzela,15720,15457,562,537,12781,12590,2376,2330
Beira Baixa,136902,134100,7636,7554,107564,105444,21702,21102
Castelo Branco,79250,77816,4921,4864,62205,61139,12125,11813
Idanha-a-Nova,16450,16054,595,589,13042,12737,2813,2728
Oleiros,10348,10158,595,592,7943,7790,1810,1777
Penamacor,7857,7616,358,351,6147,5977,1352,1288
Proença-a-Nova,14020,13660,780,779,10986,10709,2254,2173
Vila Velha de Ródão,8977,8796,387,379,7242,7093,1348,1324
Médio Tejo,421450,413807,40602,40303,314778,309183,66070,64321
Abrantes,75449,74266,8047,7994,55162,54282,12240,11991
Alcanena,25471,24979,2200,2179,19729,19368,3543,3433
Constância,6461,6354,697,695,4723,4651,1041,1009
Entroncamento,34161,33725,3199,3175,25815,25533,5147,5017
Ferreira do Zêzere,14421,14162,1835,1826,10390,10178,2196,2157
Mação,14822,14562,761,752,11454,11259,2607,2551
Ourém,58413,57233,6361,6314,43058,42186,8994,8734
Sardoal,7627,7473,995,989,5362,5252,1270,1232
Sertã,24437,23830,1664,1637,18504,18051,4270,4142
Tomar,72383,70966,7180,7148,53759,52716,11444,11101
Torres Novas,67808,66649,5980,5935,51803,50966,10026,9748
Vila de Rei,7138,6976,376,356,5533,5423,1229,1197
Vila Nova da Barquinha,12857,12631,1306,1304,9488,9319,2063,2008
Beiras e Serra da Estrela,353860,346991,18849,18639,278955,273757,56056,54596
Almeida,9378,9199,377,377,7409,7270,1592,1552
Belmonte,9773,9625,577,577,7687,7567,1508,1481
Celorico da Beira,9647,9429,488,479,7462,7313,1697,1636
Covilhã,90476,88776,4719,4668,72214,70894,13543,13215
Figueira de Castelo Rodrigo,7865,7652,350,348,6025,5851,1490,1452
Fornos de Algodres,6701,6558,385,385,5160,5050,1156,1123
Fundão,43304,42446,2215,2204,33899,33232,7190,7009
Gouveia,23650,23197,1077,1058,18922,18573,3652,3566
Guarda,51764,50875,2899,2855,40985,40365,7880,7655
Manteigas,6391,6232,379,377,5075,4942,938,913
Mêda,7070,6925,418,407,5353,5246,1300,1272
Pinhel,14087,13812,802,797,10977,10769,2308,2246
Sabugal,15807,15334,755,746,12138,11783,2915,2804
Seia,45679,44949,2724,2681,36164,35635,6791,6633
Trancoso,12265,11983,684,679,9484,9267,2097,2038
A. M. Lisboa,5483843,5402766,215709,211857,4503270,4442647,764864,748262
Alcochete,28041,27661,1600,1573,22522,22244,3920,3844
Almada,335555,330194,12850,12633,273193,269137,49512,48424
Amadora,328074,323305,13630,13421,268762,265172,45683,44712
Barreiro,177346,174596,8748,8608,141946,139948,26651,26040
Cascais,432898,426731,12807,12485,363123,358435,56968,55811
Lisboa,1301524,1280427,38245,37542,1072222,1056352,191057,186533
Loures,412785,406899,14623,14333,341244,336805,56918,55761
Mafra,116557,114807,8679,8504,91893,90603,15985,15700
Moita,122582,120457,8767,8670,95013,93484,18803,18302
Montijo,75442,74077,4078,3998,60222,59246,11142,10834
Odivelas,237828,234658,9985,9744,197746,195403,30097,29512
Oeiras,394867,390103,9835,9665,335440,331758,49592,48680
Palmela,107192,105580,5613,5536,86901,85686,14677,14359
Seixal,270141,266439,11848,11673,223429,220604,34865,34161
Sesimbra,84764,83410,3688,3616,69379,68391,11697,11404
Setúbal,241728,238138,10431,10209,196763,194192,34534,33737
Sintra,589321,580994,29234,28703,479020,472870,81067,79421
Vila Franca de Xira,227198,224290,11048,10945,184454,182317,31695,31027
Alentejo,1288810,1263255,104244,103123,984723,965782,199843,194350
Alentejo Litoral,170215,167162,7978,7875,135708,133392,26529,25895
Alcácer do Sal,23815,23336,1104,1091,18659,18300,4052,3945
Grândola,24506,24053,1025,1004,19645,19311,3837,3739
Odemira,37249,36389,2124,2099,29060,28380,6065,5911
Santiago do Cacém,59547,58670,2663,2631,48387,47718,8497,8320
Sines,25098,24713,1062,1050,19957,19684,4078,3980
Baixo Alentejo,196255,191880,13860,13642,149099,145918,33296,32320
Aljustrel,21249,20864,1427,1419,16636,16362,3186,3083
Almodôvar,11928,11661,570,554,9380,9170,1978,1937
Alvito,4261,4183,368,351,3179,3135,714,696
Barrancos,2017,1970,101,101,1532,1500,383,368
Beja,49051,47973,3750,3718,37120,36288,8181,7967
Castro Verde,12664,12386,615,594,10014,9826,2036,1966
Cuba,7359,7215,641,640,5490,5385,1229,1191
Ferreira do Alentejo,13859,13539,1115,1098,10347,10114,2398,2327
Mértola,13137,12842,787,775,10115,9893,2235,2175
Moura,20148,19625,1498,1463,14751,14389,3899,3773
Ourique,8942,8733,405,397,6953,6801,1584,1535
Serpa,22681,22156,1860,1820,16830,16456,3991,3880
Vidigueira,8958,8734,723,712,6752,6599,1482,1423
Lezíria do Tejo,430466,422562,39617,39274,326401,320489,64447,62799
Almeirim,37716,36889,3789,3755,28444,27830,5484,5304
Alpiarça,13362,13100,1314,1296,9986,9805,2062,1999
Azambuja,37604,36952,2328,2317,29647,29132,5629,5504
Benavente,45225,44378,3866,3850,34610,33944,6749,6583
Cartaxo,45502,44646,3880,3844,34995,34387,6628,6415
Chamusca,18503,18153,1947,1929,13676,13414,2880,2810
Coruche,40240,39612,2649,2618,31043,30576,6548,6418
Golegã,11375,11113,1381,1372,8259,8058,1735,1683
Rio Maior,35781,35128,3826,3786,26767,26291,5189,5051
Salvaterra de Magos,42066,41337,5294,5261,30927,30381,5845,5695
Santarém,103090,101254,9344,9246,78047,76671,15698,15338
Alto Alentejo,201388,196974,15129,14955,153704,150489,32554,31530
Alter do Chão,6828,6627,574,571,5057,4930,1197,1126
Arronches,5020,4853,332,314,3729,3618,959,921
Avis,8041,7877,421,421,6397,6276,1223,1181
Campo Maior,13028,12752,1163,1137,9843,9639,2022,1975
Castelo de Vide,6295,6167,304,288,5015,4928,976,951
Crato,8210,8022,442,442,6336,6199,1431,1382
Elvas,30588,29801,2475,2438,23035,22474,5077,4889
Fronteira,6356,6217,486,485,4969,4861,901,872
Gavião,9580,9346,789,786,7152,6976,1639,1584
Marvão,6308,6136,364,362,4927,4790,1017,983
Monforte,5340,5269,345,344,4174,4117,822,808
Nisa,14701,14403,749,747,11369,11158,2582,2497
Ponte de Sor,31374,30831,3317,3296,23171,22768,4886,4768
Portalegre,40446,39588,2871,2841,31342,30704,6233,6044
Sousel,9275,9086,498,485,7189,7051,1587,1551
Alentejo Central,290487,284677,27659,27378,219811,215493,43017,41806
Alandroal,11358,11121,1189,1178,8353,8176,1816,1767
Arraiolos,13135,12875,1024,1009,10058,9872,2053,1994
Borba,15792,15491,1953,1950,11683,11444,2156,2097
Estremoz,26193,25624,1951,1945,20186,19744,4056,3934
Évora,87249,85643,8517,8443,66436,65226,12296,11974
Montemor-o-Novo,33170,32509,2722,2660,25516,25061,4931,4788
Mora,11635,11402,1075,1054,8845,8667,1715,1681
Mourão,3907,3812,414,414,2859,2795,634,602
Portel,10618,10355,1210,1198,7737,7542,1672,1615
Redondo,11255,11013,1029,1023,8438,8246,1789,1744
Reguengos de Monsaraz,18548,18210,2090,2059,13651,13400,2806,2751
Vendas Novas,22666,22237,1775,1767,17601,17287,3290,3182
Viana do Alentejo,9182,8974,763,760,6818,6659,1601,1555
Vila Viçosa,15778,15412,1948,1918,11630,11372,2200,2122
Algarve,597042,586961,37345,36876,470387,462944,89310,87141
Albufeira,43959,43284,3185,3152,34404,33948,6369,6184
Alcoutim,5444,5285,285,268,4284,4177,875,840
Aljezur,7223,7084,444,441,5668,5553,1110,1090
Castro Marim,9830,9609,372,368,7940,7760,1517,1481
Faro,91396,89952,5127,5032,73618,72561,12652,12359
Lagoa,30980,30526,2415,2400,23986,23649,4579,4477
Lagos,39343,38705,2434,2386,31023,30596,5886,5723
Loulé,84460,83099,4650,4597,67338,66333,12472,12170
Monchique,9257,9028,604,596,7250,7066,1403,1366
Olhão,56366,55355,3467,3432,43798,43019,9100,8904
Portimão,85612,84166,6301,6248,67401,66332,11910,11585
São Brás de Alportel,12744,12551,801,793,9875,9727,2068,2030
Silves,51909,51016,3799,3762,39994,39326,8116,7928
Tavira,34015,33391,1442,1423,26798,26339,5775,5629
Vila do Bispo,7421,7307,426,422,5867,5773,1128,1112
Vila Real de Santo António,27083,26605,1592,1558,21141,20785,4351,4262
R. A. Açores,257505,252646,43395,42932,166615,163452,47495,46262
Santa Maria,5498,5403,1352,1319,3026,2988,1119,1096
Vila do Porto,5498,5403,1352,1319,3026,2988,1119,1096
São Miguel,124733,122402,24097,23889,76091,74558,24544,23955
Lagoa (R.A.A.),12537,12336,2057,2048,7906,7764,2573,2524
Nordeste,3781,3702,371,371,2514,2450,896,881
Ponta Delgada,74952,73483,15112,14967,46259,45277,13581,13239
Povoação,4661,4586,652,637,2776,2732,1232,1216
Ribeira Grande,21512,21159,4599,4568,12397,12184,4517,4407
Vila Franca do Campo,7290,7136,1305,1297,4239,4151,1746,1688
Terceira,74463,73082,9386,9267,52654,51758,12423,12056
Angra do Heroísmo,43095,42256,6091,5994,29626,29115,7377,7147
Vila da Praia da Vitória,31368,30826,3294,3273,23028,22643,5046,4910
Graciosa,4470,4346,630,616,2812,2738,1028,992
Santa Cruz da Graciosa,4470,4346,630,616,2812,2738,1028,992
São Jorge,9038,8794,1304,1275,5724,5574,2010,1945
Calheta (R.A.A.),3698,3604,386,382,2486,2419,826,803
Velas,5340,5191,918,892,3238,3156,1184,1143
Pico,19314,18989,3490,3460,12580,12356,3244,3172
Lajes do Pico,6463,6361,897,894,4482,4405,1084,1061
Madalena,8777,8661,1813,1789,5497,5428,1468,1443
São Roque do Pico,4074,3967,781,777,2601,2522,693,668
Faial,15635,15394,2387,2368,10867,10695,2381,2330
Horta,15635,15394,2387,2368,10867,10695,2381,2330
Flores,4066,3964,…,…,2650,2583,…,…
Lajes das Flores,1374,1338,…,…,982,949,…,…
Santa Cruz das Flores,2691,2625,563,555,1668,1633,460,438
Corvo,288,273,…,…,211,201,…,…
Corvo,288,273,…,…,211,201,…,…
R. A. Madeira,345629,339030,38299,37686,250252,245550,57077,55795
Calheta (R.A.M.),13640,13279,1236,1206,10027,9774,2376,2299
Câmara de Lobos,34403,33718,4992,4940,23509,23014,5902,5764
Funchal,170121,166799,16079,15818,126104,123717,27938,27264
Machico,31341,30769,4851,4770,21451,21037,5038,4961
Ponta do Sol,9460,9252,863,828,7070,6929,1527,1495
Porto Moniz,3850,3768,262,259,2884,2821,704,688
Ribeira Brava,17146,16820,2393,2363,12346,12100,2407,2357
Santa Cruz,40925,40372,5180,5105,28788,28422,6956,6845
Santana,10115,9908,1075,1050,7213,7072,1828,1786
São Vicente,7269,7069,768,748,5179,5043,1322,1278
Porto Santo,7358,7277,599,599,5681,5621,1078,1056
