,"Recipients, MF, No.","Recipients, M, No.","Recipients, F, No."," Days subsidized , MF, No."," Days subsidized , M, No."," Days subsidized , F, No.","Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros"
Celorico da Beira,78,32,46,6019,1087,4932,129,33,96
Covilhã,570,267,303,40138,8601,31537,1013,271,742
Figueira de Castelo Rodrigo,59,32,27,4122,788,3334,78,17,61
Fornos de Algodres,51,23,28,3624,574,3050,85,16,69
Fundão,286,133,153,21324,4836,16488,468,122,346
Gouveia,162,73,89,11830,2211,9619,233,54,179
Guarda,563,270,293,41778,8817,32961,1050,283,767
Manteigas,48,25,23,3418,875,2543,87,31,57
Mêda,50,22,28,3509,608,2901,84,18,66
Pinhel,86,39,47,6182,1594,4588,142,43,99
Sabugal,101,48,53,7208,1407,5801,153,33,121
Seia,285,133,152,20514,4541,15973,450,121,329
Trancoso,88,41,47,6156,1244,4912,136,34,102
A. M. Lisboa,54077,24338,29739,4086063,792218,3293845,129892,35948,93944
Alcochete,340,165,175,24720,5597,19123,925,287,639
Almada,2954,1263,1691,224804,40104,184700,6537,1703,4833
Amadora,3520,1500,2020,273834,47505,226329,7101,1816,5286
Barreiro,1272,559,713,95229,17442,77787,2407,605,1801
Cascais,3477,1551,1926,262626,50023,212603,8965,2579,6386
Lisboa,10422,4770,5652,796721,161507,635214,33663,9554,24109
Loures,4132,1876,2256,312801,61144,251657,9212,2621,6591
Mafra,1649,786,863,124688,26249,98439,4012,1117,2895
Moita,1192,517,675,86241,15384,70857,1948,514,1434
Montijo,1247,564,683,91482,18080,73402,2666,751,1915
Odivelas,3210,1464,1746,241572,47859,193713,7278,1942,5336
Oeiras,3156,1437,1719,240770,49598,191172,9804,2877,6927
Palmela,1166,521,645,86308,17458,68850,2445,700,1745
Seixal,3034,1339,1695,230178,44069,186109,6597,1724,4873
Sesimbra,973,432,541,71708,14913,56795,1900,579,1321
Setúbal,2086,942,1144,153269,28960,124309,4174,1231,2943
Sintra,7482,3357,4125,567134,105014,462120,14424,3744,10680
Vila Franca de Xira,2765,1295,1470,201978,41312,160666,5833,1604,4229
Alentejo,11630,5384,6246,833717,165625,668092,20206,5442,14764
Alentejo Litoral,1450,670,780,105258,20755,84503,2721,827,1894
Alcácer do Sal,158,72,86,12504,2288,10216,280,74,206
Grândola,169,80,89,11733,2333,9400,252,71,181
Odemira,412,181,231,29772,5350,24422,691,163,527
Santiago do Cacém,458,221,237,32585,7177,25408,988,346,641
Sines,253,116,137,18664,3607,15057,510,173,338
Baixo Alentejo,2011,919,1092,142595,27576,115019,3346,953,2394
Aljustrel,168,81,87,11725,2592,9133,273,96,177
Almodôvar,99,48,51,6597,1493,5104,189,75,115
Alvito,32,14,18,2082,485,1597,49,13,36
Barrancos,24,11,13,1525,301,1224,30,7,23
Beja,669,299,370,48478,8682,39796,1194,283,910
Castro Verde,138,66,72,10321,2476,7845,355,146,209
Cuba,64,25,39,5123,809,4314,143,28,114
Ferreira do Alentejo,106,45,61,8016,1243,6773,167,35,131
Mértola,59,27,32,4219,876,3343,92,33,59
Moura,272,124,148,18092,3482,14610,313,86,227
Ourique,73,32,41,5499,997,4502,133,41,92
Serpa,202,99,103,13584,2766,10818,269,74,195
Vidigueira,105,48,57,7334,1374,5960,139,35,104
Lezíria do Tejo,3856,1818,2038,276578,56682,219896,6847,1849,4997
Almeirim,319,146,173,25034,4421,20613,572,121,451
Alpiarça,111,54,57,7289,1766,5523,175,50,126
Azambuja,354,167,187,25765,5194,20571,660,172,489
Benavente,546,265,281,38643,8488,30155,991,309,682
Cartaxo,398,190,208,27909,5768,22141,725,186,539
Chamusca,129,60,69,9077,1828,7249,207,53,154
Coruche,227,96,131,16112,2833,13279,349,89,260
Golegã,90,42,48,6530,1535,4995,148,49,99
Rio Maior,400,192,208,28373,6031,22342,611,171,440
Salvaterra de Magos,324,154,170,23674,4745,18929,565,152,414
Santarém,958,452,506,68172,14073,54099,1843,499,1343
Alto Alentejo,1671,737,934,119614,22302,97312,2671,624,2047
Alter do Chão,51,21,30,3427,557,2870,64,13,51
Arronches,43,21,22,3203,730,2473,76,22,53
Avis,49,21,28,3534,551,2983,73,15,58
Campo Maior,127,60,67,9295,1989,7306,202,47,155
Castelo de Vide,46,19,27,3427,659,2768,74,22,53
Crato,43,18,25,3193,540,2653,85,16,69
Elvas,407,174,233,29065,5143,23922,597,153,444
Fronteira,40,22,18,2467,764,1703,64,17,47
Gavião,28,14,14,1464,365,1099,33,10,23
Marvão,34,16,18,2516,447,2069,49,9,40
Monforte,55,24,31,4136,675,3461,74,14,59
Nisa,64,29,35,4383,784,3599,82,19,62
Ponte de Sor,244,98,146,18036,2761,15275,361,71,290
Portalegre,373,171,202,26551,5441,21110,727,170,557
Sousel,67,29,38,4917,896,4021,111,26,85
Alentejo Central,2642,1240,1402,189672,38310,151362,4621,1189,3432
Alandroal,54,25,29,4226,800,3426,85,21,64
Arraiolos,105,49,56,7452,1538,5914,185,47,138
Borba,98,46,52,7422,1373,6049,164,34,130
Estremoz,199,94,105,13766,2678,11088,323,79,244
Évora,1113,528,585,79978,16636,63342,2219,588,1632
Montemor-o-Novo,228,104,124,16702,3380,13322,386,99,287
Mora,60,28,32,4699,858,3841,113,28,85
Mourão,42,20,22,3219,615,2604,54,11,43
Portel,92,46,46,6542,1158,5384,128,27,101
Redondo,102,46,56,7475,1451,6024,137,35,103
Reguengos de Monsaraz,174,77,97,11800,2211,9589,261,57,204
Vendas Novas,160,72,88,11933,2550,9383,261,74,187
Viana do Alentejo,105,50,55,7385,1634,5751,159,54,105
Vila Viçosa,110,55,55,7073,1428,5645,146,36,110
Algarve,8454,3731,4723,636219,114414,521805,15067,3577,11491
Albufeira,864,376,488,65299,10773,54526,1474,328,1146
Alcoutim,25,12,13,1408,331,1077,30,8,22
Aljezur,94,45,49,6870,1319,5551,134,32,102
Castro Marim,95,40,55,7847,1364,6483,175,52,123
Faro,1324,596,728,98242,19320,78922,2822,789,2032
Lagoa,409,171,238,31176,5348,25828,693,153,539
Lagos,514,218,296,41220,6774,34446,877,189,688
Loulé,1241,521,720,93352,15275,78077,2195,449,1746
Monchique,70,33,37,5060,1083,3977,117,32,86
Olhão,906,405,501,68115,13011,55104,1576,401,1175
Portimão,1186,533,653,89740,16412,73328,2103,484,1619
São Brás de Alportel,205,95,110,15413,2886,12527,392,96,297
Silves,738,335,403,54813,9715,45098,1243,274,969
Tavira,412,182,230,31557,5479,26078,702,154,548
Vila do Bispo,71,26,45,5390,712,4678,112,18,95
Vila Real de Santo António,300,143,157,20717,4612,16105,422,118,304
R. A. Açores,4668,2088,2580,332133,64524,267609,7865,1871,5994
Santa Maria,87,38,49,6041,1253,4788,136,40,96
Vila do Porto,87,38,49,6041,1253,4788,136,40,96
São Miguel,2818,1261,1557,197059,38369,158690,4567,1116,3451
Lagoa (R.A.A.),284,125,159,21105,3947,17158,459,119,340
Nordeste,75,30,45,4898,761,4137,82,15,67
Ponta Delgada,1379,641,738,94777,20209,74568,2429,638,1792
Povoação,84,36,48,5720,1229,4491,113,33,80
Ribeira Grande,808,349,459,56534,9571,46963,1157,232,925
Vila Franca do Campo,188,80,108,14025,2652,11373,327,79,248
Terceira,991,448,543,72529,14291,58238,1781,428,1353
Angra do Heroísmo,623,284,339,46476,9190,37286,1080,261,819
Vila da Praia da Vitória,368,164,204,26053,5101,20952,701,167,534
Graciosa,78,35,43,6181,1120,5061,131,28,103
Santa Cruz da Graciosa,78,35,43,6181,1120,5061,131,28,103
São Jorge,138,65,73,10203,2038,8165,210,43,168
Calheta (R.A.A.),60,27,33,5165,955,4210,102,20,82
Velas,78,38,40,5038,1083,3955,108,22,86
Pico,265,119,146,18587,3565,15022,402,90,311
Lajes do Pico,78,37,41,5143,1009,4134,103,25,78
Madalena,131,60,71,8975,1894,7081,194,49,145
São Roque do Pico,56,22,34,4469,662,3807,104,16,88
Faial,227,99,128,16416,3200,13216,516,107,409
Horta,227,99,128,16416,3200,13216,516,107,409
Flores,…,…,…,…,…,…,…,…,…
Lajes das Flores,…,…,…,…,…,…,…,…,…
Santa Cruz das Flores,35,12,23,2703,345,2358,65,10,55
Corvo,…,…,…,…,…,…,…,…,…
Corvo,…,…,…,…,…,…,…,…,…
R. A. Madeira,3637,1722,1915,270517,56402,214115,7089,1763,5327
Calheta (R.A.M.),115,60,55,7812,1767,6045,191,65,127
Câmara de Lobos,594,283,311,44797,9037,35760,918,223,695
Funchal,1435,653,782,105844,21272,84572,3167,760,2407
Machico,233,113,120,16987,3889,13098,407,108,299
Ponta do Sol,116,62,54,7540,1991,5549,142,43,99
Porto Moniz,22,11,11,1590,302,1288,38,6,32
Ribeira Brava,175,87,88,13236,2788,10448,298,77,221
Santa Cruz,779,369,410,60880,12760,48120,1656,404,1252
Santana,74,35,39,5421,1221,4200,112,37,76
São Vicente,37,21,16,2355,651,1704,56,16,40
Porto Santo,57,28,29,4055,724,3331,105,25,79
