,"Annual mean value of pensions , Total, €","Annual mean value of pensions , Disability, €","Annual mean value of pensions , Old age, €","Annual mean value of pensions , Survival , €","Mean value of unemployment benefits, MF, €","Mean value of unemployment benefits, M, €","Mean value of unemployment benefits, F, €","Mean value of sickness benefits, F, €","Mean number of days of unemployment benefits, MF, days","Mean number of days of unemployment benefits, M, days","Mean number of days of unemployment benefits, F, days","Mean number of days of sickness benefits , F, days"
São Brás de Alportel,4560,5523,5189,2768,2605,2834,2439,1154,149,151,148,66
Silves,4895,5382,5598,2946,2118,2162,2089,875,131,128,133,54
Tavira,4623,4636,5296,2906,2377,2404,2361,843,146,137,152,51
Vila do Bispo,4954,4738,5712,2961,1806,1923,1719,705,120,124,117,44
Vila Real de Santo António,5017,5645,5700,3092,2193,2214,2180,923,143,142,144,58
R. A. Açores,5052,6033,5887,3069,2866,3008,2717,1169,186,192,179,67
Santa Maria,5498,7231,6331,3342,2681,2604,2749,1106,178,173,183,63
Vila do Porto,5498,7231,6331,3342,2681,2604,2749,1106,178,173,183,63
São Miguel,5285,6356,6291,3181,2885,3014,2739,1244,188,195,180,69
Lagoa (R.A.A.),5221,5576,6622,3070,2827,2931,2695,1147,188,196,179,71
Nordeste,3692,4756,4211,2566,3214,3218,3211,781,230,232,227,55
Ponta Delgada,5949,6929,7096,3483,2957,3099,2796,1343,179,186,172,68
Povoação,4128,4866,4837,2926,2869,2950,2784,1353,205,210,199,88
Ribeira Grande,4543,5836,5330,2786,2859,2958,2734,1121,192,197,186,68
Vila Franca do Campo,4253,5416,4784,2974,2461,2757,2212,1094,164,182,150,64
Terceira,5313,5671,6242,3165,2715,2914,2506,1059,168,177,160,60
Angra do Heroísmo,4889,5693,5611,2994,2754,2977,2510,1102,170,179,160,61
Vila da Praia da Vitória,6030,5632,7297,3454,2643,2790,2500,990,166,172,160,59
Graciosa,3763,4635,4260,2623,3205,3514,2934,1363,216,231,204,93
Santa Cruz da Graciosa,3763,4635,4260,2623,3205,3514,2934,1363,216,231,204,93
São Jorge,3935,5387,4397,2670,2757,2987,2556,865,190,204,177,52
Calheta (R.A.A.),3724,4947,4144,2622,2793,2994,2642,720,198,213,187,47
Velas,4095,5596,4613,2704,2739,2984,2510,970,186,200,172,56
Pico,4334,5462,4827,2679,3080,3156,3030,1035,202,199,204,67
Lajes do Pico,4216,5401,4769,2539,2771,2851,2714,1045,188,191,185,70
Madalena,4476,5647,4895,2839,3290,3425,3216,952,205,194,211,62
São Roque do Pico,4235,5136,4790,2595,3094,3131,3066,1160,215,217,213,71
Faial,4540,5565,5078,2722,2896,3052,2700,1193,186,193,178,71
Horta,4540,5565,5078,2722,2896,3052,2700,1193,186,193,178,71
Flores,4573,…,4963,…,2822,3177,2504,1303,195,211,180,73
Lajes das Flores,4165,…,4590,…,2929,3428,2608,1164,206,236,187,66
Santa Cruz das Flores,4814,6787,5212,2948,2723,3011,2373,1375,184,194,171,77
Corvo,3787,…,4396,…,3190,2812,4134,1539,196,168,266,69
Corvo,3787,…,4396,…,3190,2812,4134,1539,196,168,266,69
R. A. Madeira,4965,5710,5749,2945,2882,3021,2755,1435,189,193,186,75
Calheta (R.A.M.),3854,4546,4447,2348,2573,2756,2389,1547,195,205,184,94
Câmara de Lobos,4263,5038,5043,2441,2733,2963,2499,1020,186,193,177,64
Funchal,5571,6235,6440,3334,3033,3131,2949,1234,193,194,192,62
Machico,5001,6292,5607,3017,2812,2943,2647,2811,185,182,188,113
Ponta do Sol,4039,4877,4639,2382,2630,2785,2515,1502,189,196,184,89
Porto Moniz,3847,4763,4397,2428,2732,2612,2947,1530,212,209,216,103
Ribeira Brava,4336,5259,5003,2335,2792,3044,2574,1233,193,204,183,86
Santa Cruz,4975,5674,5746,3021,3011,3144,2906,1155,187,191,185,64
Santana,3931,4776,4536,2412,2523,2763,2318,1420,199,216,184,104
São Vicente,3933,4569,4555,2435,2822,3336,2293,1488,208,236,179,115
Porto Santo,5858,5935,6919,3228,2323,2401,2262,1548,158,158,158,68
