,"Quintis do rendimento bruto declarado por sujeito passivo, 1º quintil, €","Quintis do rendimento bruto declarado por sujeito passivo, 2º quintil, €","Quintis do rendimento bruto declarado por sujeito passivo, 3º quintil, €","Quintis do rendimento bruto declarado por sujeito passivo, 4º quintil, €","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, Menos de
 5 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, De 5 000  a menos de 10 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, De 10 000 a menos de 13 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, De 13 500 a menos de 19 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, De 19 000 a menos de 32 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, 32 500 € ou mais, N.º"
Castro Daire,4467,6253,8743,12098,2376,3914,1142,738,552,143
Mangualde,5514,8382,10624,14843,2076,4959,2559,1563,1135,399
Nelas,5325,8086,10575,15014,1607,3570,1722,1229,791,308
Oliveira de Frades,5439,8207,10266,14251,1098,2743,1294,828,519,158
Penalva do Castelo,4657,6810,9267,12962,1113,2036,764,506,277,87
Santa Comba Dão,5501,8060,10259,14592,1214,3139,1368,908,637,218
São Pedro do Sul,4999,7476,9603,13704,2023,4366,1635,1032,724,330
Sátão,4624,7041,9478,13333,1780,3047,1267,733,549,185
Tondela,5519,8350,10845,15089,2842,6739,3529,2479,1554,552
Vila Nova de Paiva,4503,6859,9437,13268,707,1084,473,291,182,75
Viseu,5918,9083,12245,19650,9804,22016,12327,9416,9459,4899
Vouzela,5281,7765,9982,13599,1125,2752,1263,677,488,148
Beira Baixa,5889,8761,11342,16821,8086,22007,10871,8062,6563,2618
Castelo Branco,6285,9137,12231,18283,4804,13233,7416,5777,5040,2171
Idanha-a-Nova,5353,7845,9890,13389,964,2644,1146,649,415,103
Oleiros,5260,7121,9081,13080,622,1700,473,329,225,92
Penamacor,5258,7630,9738,13418,555,1366,564,359,192,64
Proença-a-Nova,5249,7705,9956,14673,864,2114,790,544,480,142
Vila Velha de Ródão,6087,8820,11245,15625,277,950,482,404,211,46
Médio Tejo,5907,8688,11235,16433,22809,62532,31278,22717,18206,6450
Abrantes,5961,8532,11178,16388,3301,9881,4644,3277,2782,1053
Alcanena,5822,8338,10398,14128,1335,3936,1980,1127,748,232
Constância,6474,9121,11837,17257,332,1020,579,443,379,89
Entroncamento,7456,10539,14347,21310,1385,3924,2841,2690,2772,924
Ferreira do Zêzere,5325,7670,9881,13357,921,2418,1058,629,337,99
Mação,5680,8233,10224,14671,669,1975,840,518,400,120
Ourém,5665,8512,10780,15125,4843,12081,6240,4242,2738,918
Sardoal,5662,8141,10363,14969,389,1130,455,306,254,88
Sertã,4856,7076,9275,13210,2184,4418,1598,1008,697,206
Tomar,5755,8569,11288,16871,3962,9790,4742,3624,2937,1277
Torres Novas,6393,8995,11904,17748,2723,9279,4850,3620,3199,1200
Vila de Rei,5859,8291,10287,14230,294,952,414,277,175,33
Vila Nova da Barquinha,7199,9662,12924,18672,471,1728,1037,956,788,211
Beiras e Serra da Estrela,5475,8088,10351,15277,24629,61350,25648,17666,14084,5557
Almeida,5487,8285,10633,15085,707,1712,815,529,429,120
Belmonte,5348,7781,9598,13666,747,1958,678,492,284,96
Celorico da Beira,4953,7687,9936,13886,896,1776,801,508,346,86
Covilhã,6014,8521,10616,15784,4336,14558,5999,3984,3208,1619
Figueira de Castelo Rodrigo,4640,6886,9118,13079,855,1660,519,324,297,89
Fornos de Algodres,4773,6997,9038,12665,638,1239,422,253,185,55
Fundão,5312,7971,10168,14690,3348,7765,3249,2330,1551,573
Gouveia,5155,7288,9403,13453,1571,3854,1334,841,584,250
Guarda,6231,9169,12464,19305,3717,9350,5203,4290,4179,1675
Manteigas,5384,7419,9323,12844,363,1091,366,201,137,51
Mêda,4604,6790,9147,12883,773,1306,474,302,192,81
Pinhel,4668,6879,9202,13070,1439,2558,947,632,400,120
Sabugal,5031,7532,9995,14104,1397,2882,1270,834,570,168
Seia,5438,7733,9737,13961,2533,7200,2672,1641,1265,429
Trancoso,4759,7034,9380,13220,1309,2441,899,505,457,145
A. M. Lisboa,6779,10046,14427,23468,249722,561620,344708,319998,346426,219328
Alcochete,7138,10472,15455,25344,1378,3465,2109,1945,2472,1548
Almada,6639,9877,14146,22550,16037,34790,21215,19925,21575,11504
Amadora,6418,9355,12941,20201,15972,37509,21779,18666,18453,8448
Barreiro,6953,9831,13231,19908,6175,17103,11339,9600,9195,3198
Cascais,6662,10296,15753,27015,19333,38335,21752,21507,27171,21456
Lisboa,7001,11137,18189,32432,49812,92487,53143,53006,74724,80523
Loures,6749,9623,13214,20492,16967,43660,26809,22998,21540,10899
Mafra,6392,9574,13766,22154,7678,17501,9751,9186,9848,5198
Moita,6433,9210,12090,17305,5711,15159,9522,7407,5799,1484
Montijo,6297,9307,13005,20692,5071,11814,6606,5776,6122,2624
Odivelas,6542,9624,13507,20854,13865,31994,19110,17827,17907,7624
Oeiras,8096,12497,19266,31421,11252,25323,17112,19488,26803,23262
Palmela,6398,9544,13454,20718,5980,13918,8074,7713,7607,3222
Seixal,6840,9979,13737,20679,13913,33108,22100,20635,20038,7426
Sesimbra,6498,9604,13397,19874,4750,11147,6841,6636,6111,2109
Setúbal,6605,9754,13746,21428,10961,25129,15355,14086,14633,6923
Sintra,6547,9527,12976,19498,34855,80970,52117,44805,40032,16417
Vila Franca de Xira,7289,10214,13731,19968,10012,28208,19974,18792,16396,5463
Alentejo,5991,8753,11370,16812,68090,192535,95910,71161,57629,22481
Alentejo Litoral,5546,8436,11184,17014,11757,26589,12440,9264,8276,3698
Alcácer do Sal,5874,8386,10704,15150,1073,3428,1555,1090,759,232
Grândola,5651,8598,11208,16412,1390,3487,1662,1229,1011,431
Odemira,4680,7084,9288,12683,5511,10215,4019,2186,1481,537
Santiago do Cacém,6440,9361,13311,21435,2485,6400,3416,3056,3252,1644
Sines,6598,9679,13844,21575,1298,3059,1788,1703,1773,854
Baixo Alentejo,5859,8680,11273,16963,11237,29796,14442,10689,9459,3331
Aljustrel,6485,9031,12146,18015,640,2345,1225,1000,920,225
Almodôvar,5378,8008,10912,17349,868,1940,796,586,678,209
Alvito,//,//,//,//,//,//,//,//,//,//
Barrancos,//,//,//,//,//,//,//,//,//,//
Beja,6886,9640,13101,20265,2530,7378,4464,3716,3682,1489
Castro Verde,6875,9678,13567,21241,444,1528,825,739,814,332
Cuba,5603,8030,10570,15539,510,1254,558,377,336,98
Ferreira do Alentejo,5436,7895,10140,14286,866,2250,947,648,434,132
Mértola,5374,7623,9644,13500,724,2026,758,471,318,89
Moura,5125,7715,10094,14406,1565,3329,1471,949,672,258
Ourique,5466,8148,10483,15118,567,1333,624,401,331,108
Serpa,5238,7682,9891,14061,1679,3864,1601,1017,739,231
Vidigueira,5628,8128,10433,15035,533,1498,669,469,317,98
Lezíria do Tejo,5942,8751,11446,16817,23062,63148,31994,24627,19305,7262
Almeirim,5341,7941,10642,15612,2719,6185,2713,2125,1555,535
Alpiarça,5547,7990,10543,15237,777,2110,918,655,491,141
Azambuja,6241,9045,11834,16682,1895,5319,3179,2459,1754,497
Benavente,6375,9097,11961,17491,2706,7207,4206,3288,2564,986
Cartaxo,6310,9145,12095,17401,2145,5754,3452,2844,2104,734
Chamusca,5621,7750,9855,13359,865,2893,1172,618,451,129
Coruche,5778,7953,10368,14847,1702,5564,2216,1627,1101,351
Golegã,6405,8763,11182,16231,450,1569,835,554,437,138
Rio Maior,5593,8407,10908,15750,2371,5867,2838,2163,1507,507
Salvaterra de Magos,5854,8285,10892,15832,2202,6292,2796,2151,1615,520
Santarém,6262,9073,12334,19095,5230,14388,7669,6143,5726,2724
Alto Alentejo,5879,8545,11016,15878,10364,30844,14846,10350,7889,2823
Alter do Chão,6211,8519,10439,14890,257,1027,459,259,216,59
Arronches,5807,8642,10893,15155,//,//,//,//,//,//
Avis,5838,8186,10204,14070,374,1265,550,383,187,63
Campo Maior,6688,9498,12415,16703,629,1813,1330,995,626,205
Castelo de Vide,6202,8794,11363,16021,278,917,484,301,234,108
Crato,6023,8435,10496,14662,300,1027,481,318,209,43
Elvas,5931,8818,11381,16513,1978,5488,2913,1995,1592,589
Fronteira,5686,7958,10067,15006,296,1033,374,247,199,80
Gavião,5870,8073,10045,13861,331,1183,494,305,178,56
Marvão,5512,8202,10041,13531,385,957,455,256,149,46
Monforte,//,//,//,//,//,//,//,//,//,//
Nisa,5676,8302,10710,15093,646,1910,886,608,449,113
Ponte de Sor,5262,7408,9638,13781,2054,5134,1897,1229,889,294
Portalegre,6573,9223,12477,19060,1775,5972,3117,2605,2409,986
Sousel,5569,7666,9797,13533,474,1479,584,353,199,85
Alentejo Central,6530,9000,11719,17148,11670,42158,22188,16231,12700,5367
Alandroal,5825,7903,9771,12809,466,1896,787,405,208,46
Arraiolos,6275,8809,11070,15361,505,2075,999,725,441,145
Borba,6331,8303,10284,14394,509,2217,922,592,373,112
Estremoz,6469,8838,11247,15926,949,3765,1978,1211,987,340
Évora,7520,10246,13818,21279,3322,11595,7847,6744,6130,3216
Montemor-o-Novo,6344,8829,11177,15887,1195,4554,2254,1530,1086,434
Mora,6413,8366,10257,14428,//,//,//,//,//,//
Mourão,//,//,//,//,//,//,//,//,//,//
Portel,5390,7582,9437,12780,653,1897,726,415,229,56
Redondo,5674,7937,9823,13841,680,2077,810,492,353,94
Reguengos de Monsaraz,5912,8436,10856,15541,954,2932,1355,979,685,219
Vendas Novas,6540,9009,11785,17082,930,3029,1613,1280,986,326
Viana do Alentejo,6090,8601,10792,15046,430,1526,751,482,359,82
Vila Viçosa,6618,8847,11015,15239,531,2357,1207,755,488,192
Algarve,5137,8303,10976,16472,64124,116634,58983,42985,36591,14704
Albufeira,4148,7349,10050,14900,8537,11621,5547,3799,3119,1144
Alcoutim,//,//,//,//,//,//,//,//,//,//
Aljezur,4643,7458,9906,14384,872,1482,640,440,314,137
Castro Marim,5099,7921,10262,14808,917,1827,844,563,418,148
Faro,5939,9208,12930,20678,7611,14715,8454,7341,7469,3911
Lagoa,5114,8024,10599,15817,3236,6170,2932,2073,1763,551
Lagos,5120,8264,10793,15782,4384,7989,4117,2894,2209,935
Loulé,4983,8222,10796,16032,10786,18778,9566,6797,5488,2289
Monchique,4858,7224,9365,13279,//,//,//,//,//,//
Olhão,5438,8569,11166,16275,5183,10506,5558,4048,3316,1083
Portimão,5295,8424,11149,16896,7936,15093,7666,5613,4961,2034
São Brás de Alportel,5382,8605,11543,17632,1398,2585,1369,1053,980,358
Silves,5141,8102,10614,15166,5108,9851,4974,3468,2568,701
Tavira,4979,7860,10467,15852,3830,7050,3229,2205,1997,764
Vila do Bispo,4924,7830,10196,14129,785,1457,758,477,272,102
Vila Real de Santo António,5232,8079,10486,15228,2526,5217,2474,1662,1338,419
R. A. Açores,5580,8724,11279,17921,26312,57463,29901,19588,20389,9574
Santa Maria,5782,9246,11808,20530,589,1257,721,438,468,379
Vila do Porto,5782,9246,11808,20530,589,1257,721,438,468,379
