,"Rendimento bruto declarado por habitante, €","IRS liquidado por habitante, €","Rendimento bruto declarado deduzido do IRS liquidado por habitante, €","Rendimento bruto declarado por agregado fiscal, €","Valor mediano do rendimento bruto declarado por agregado fiscal, €","IRS liquidado por agregado fiscal, €","Rendimento bruto declarado deduzido do IRS liquidado por agregado fiscal, €"
Leiria,10369,1222,9148,19755,13850,2327,17427
Marinha Grande,10189,1100,9088,18682,13814,2018,16664
Pedrógão Grande,7182,524,6658,13661,10137,996,12665
Pombal,7917,696,7221,16469,12322,1449,15020
Porto de Mós,8398,742,7656,16650,12267,1472,15178
Viseu Dão Lafões,8174,832,7342,17557,12159,1787,15770
Aguiar da Beira,7009,525,6484,14989,10892,1122,13867
Carregal do Sal,6773,545,6229,15529,11281,1249,14280
Castro Daire,5814,405,5410,13444,10029,936,12507
Mangualde,7785,701,7085,16851,12448,1516,15335
Nelas,8152,787,7365,16991,12162,1640,15351
Oliveira de Frades,7223,575,6648,15539,11380,1238,14301
Penalva do Castelo,6430,446,5984,14435,10921,1001,13434
Santa Comba Dão,7929,677,7252,15953,11722,1361,14591
São Pedro do Sul,6908,589,6319,15274,10902,1302,13972
Sátão,6573,535,6039,15147,10940,1232,13915
Tondela,7670,688,6981,16473,12076,1478,14995
Vila Nova de Paiva,5978,492,5486,14857,10759,1223,13634
Viseu,9760,1189,8571,20365,13649,2482,17884
Vouzela,7096,582,6514,15407,11341,1264,14143
Beira Baixa,9074,956,8118,17823,12475,1878,15945
Castelo Branco,9960,1143,8818,19273,13401,2212,17062
Idanha-a-Nova,7677,584,7092,14433,10701,1098,13334
Oleiros,6955,537,6418,14513,10509,1121,13392
Penamacor,6727,546,6181,14665,11046,1190,13475
Proença-a-Nova,7428,666,6762,15686,11275,1407,14280
Vila Velha de Ródão,8682,764,7918,16378,12653,1441,14938
Médio Tejo,8600,847,7753,17236,12308,1697,15539
Abrantes,8710,869,7841,17326,12284,1729,15597
Alcanena,8070,666,7404,15301,11419,1263,14038
Constância,8913,884,8030,18198,13178,1804,16394
Entroncamento,10069,1210,8858,21383,15807,2571,18812
Ferreira do Zêzere,7008,489,6519,14519,11163,1013,13506
Mação,8032,667,7364,15534,11400,1291,14244
Ourém,8021,709,7312,16095,11746,1423,14672
Sardoal,8008,721,7287,15750,11436,1418,14332
Sertã,6946,547,6399,14439,10496,1137,13302
Tomar,8965,963,8002,17468,12148,1877,15591
Torres Novas,9299,972,8327,18470,13136,1930,16539
Vila de Rei,6889,473,6416,14831,11346,1019,13812
Vila Nova da Barquinha,9347,966,8381,19530,14613,2018,17511
Beiras e Serra da Estrela,8142,779,7363,16637,11706,1592,15045
Almeida,8357,749,7608,15966,12202,1430,14536
Belmonte,6922,521,6401,15045,11081,1133,13913
Celorico da Beira,6607,509,6098,15168,11269,1169,14000
Covilhã,8836,902,7934,17231,11828,1760,15471
Figueira de Castelo Rodrigo,6666,519,6147,14364,10262,1118,13246
Fornos de Algodres,6027,466,5561,14463,10892,1118,13346
Fundão,7848,695,7153,15840,11473,1404,14436
Gouveia,7119,594,6525,15006,10787,1252,13754
Guarda,10108,1197,8911,20201,13967,2392,17809
Manteigas,7526,553,6973,14466,10786,1064,13402
Mêda,6763,571,6192,14684,10735,1241,13443
Pinhel,7027,541,6486,14507,10651,1116,13391
Sabugal,7074,574,6500,14909,11219,1209,13700
Seia,7626,628,6997,15566,11171,1283,14283
Trancoso,6642,580,6062,15103,10551,1319,13784
A. M. Lisboa,11998,1864,10134,22515,14332,3498,19017
