,"Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 1º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 2º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 3º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 4º quintil, €","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, Menos de
 5 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 5 000  a menos de 10 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 10 000 a menos de 13 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 13 500 a menos de 19 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 19 000 a menos de 32 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, 32 500 € ou mais, N.º"
Mesão Frio,4360,6075,8634,11288,742,1135,353,211,100,25
Moimenta da Beira,4610,7051,9260,12672,1353,2550,952,555,394,53
Murça,4185,5959,8536,11604,1085,1548,492,318,188,30
Penedono,//,//,//,//,//,//,//,//,//,//
Peso da Régua,4768,7053,9332,13568,2265,4256,1554,1166,777,120
Sabrosa,4767,6855,9091,11744,876,1819,625,352,171,38
Santa Marta de Penaguião,3800,5837,8077,10880,1452,2114,585,324,207,29
São João da Pesqueira,4282,6201,8646,11551,1290,1972,631,387,216,46
Sernancelhe,4527,6605,8853,11229,860,1535,467,248,149,23
Tabuaço,4260,6041,8422,11477,928,1312,386,229,172,18
Tarouca,4568,6817,9116,12193,1060,1941,670,390,271,28
Torre de Moncorvo,4595,6854,9223,12874,1187,1977,795,445,361,40
Vila Nova de Foz Côa,4392,6875,9114,12637,1115,1832,723,417,296,36
Vila Real,5411,8645,11466,17580,5965,11921,5845,4840,4819,1189
Terras de Trás-os-Montes,4792,7421,9948,14628,16323,28575,12251,8750,7152,1338
Alfândega da Fé,4465,6199,8834,12507,846,1319,420,290,212,30
Bragança,5706,8913,11622,17267,3761,7905,4555,3595,3210,692
Macedo de Cavaleiros,4369,6357,9010,12936,2688,3878,1277,893,772,136
Miranda do Douro,5189,7702,9848,14021,896,2052,821,592,392,55
Mirandela,4767,7414,9965,14530,3266,5540,2489,1714,1392,228
Mogadouro,4541,6716,9214,12984,1502,2476,881,575,460,83
Vila Flor,4428,6210,8820,12294,1111,1680,565,357,235,55
Vimioso,4466,6613,9059,12179,752,1263,464,257,170,27
Vinhais,4498,6229,8840,11701,1501,2462,779,477,309,32
Centro,5808,8640,10882,15260,234678,622509,319747,222405,158115,35811
Oeste,5710,8528,10729,15026,39962,103229,51847,35808,25111,5281
Alcobaça,6014,8615,10567,14028,5333,16600,8776,5094,3113,539
Alenquer,6196,9006,11387,15453,4072,11729,7008,5169,3183,546
Arruda dos Vinhos,6678,9332,12684,18527,1097,3412,1954,1722,1495,420
Bombarral,5208,7776,10050,14075,1611,3634,1641,1051,729,138
Cadaval,5267,7900,10119,13929,1664,3774,1747,1221,666,119
Caldas da Rainha,5562,8478,10745,15541,6026,14177,6871,4876,3845,996
Lourinhã,5270,7921,10227,14517,3365,7556,3374,2375,1726,324
Nazaré,5355,7868,10026,13544,1945,4681,2225,1308,785,141
Óbidos,5325,8096,10331,14856,1475,3380,1534,1037,788,188
Peniche,5585,8273,10266,14304,3063,8070,3670,2483,1674,273
Sobral de Monte Agraço,6033,8875,11180,15814,1014,2829,1482,1108,833,180
Torres Vedras,5701,8572,10840,15538,9297,23387,11565,8364,6274,1417
Região de Aveiro,5859,8773,11080,15446,38878,100060,55702,38024,26872,6603
Águeda,5959,8630,10573,14226,4669,14480,7506,4504,2644,673
Albergaria-a-Velha,5883,8615,10744,14209,2574,7360,3970,2653,1333,261
Anadia,5490,8104,10249,14151,3320,8516,3915,2569,1648,362
Aveiro,6691,9628,12824,19000,6868,18057,12044,9890,8997,2717
Estarreja,5596,8557,10862,14543,3048,7164,4270,2806,1610,269
Ílhavo,6111,9031,11591,16518,3955,9741,5952,4296,3310,841
Murtosa,4560,7620,10118,14133,1616,2408,1286,828,575,96
Oliveira do Bairro,5672,8615,10615,14180,2475,6477,3607,2209,1282,194
Ovar,5859,8517,10770,14958,5943,16032,8259,5391,3911,887
Sever do Vouga,5472,7937,10184,13588,1353,3483,1735,1024,569,83
Vagos,5066,7875,9988,13383,3057,6342,3158,1854,993,220
Região de Coimbra,6035,8895,11409,16521,42420,117376,62602,46075,36714,10639
Arganil,5299,7620,9318,12400,1392,3765,1306,763,428,61
Cantanhede,5132,7862,10196,14210,4659,9633,4626,3191,1968,344
Coimbra,7110,10002,13768,21475,9837,31290,19445,16682,18230,7381
Condeixa-a-Nova,6637,9315,12230,17229,1313,3987,2534,2132,1546,266
Figueira da Foz,6240,9100,11842,16948,5661,15026,8887,6953,5417,1280
Góis,5305,7644,9388,12524,462,1308,499,273,167,11
Lousã,6029,8890,10947,14958,1611,4670,2592,1734,1095,159
Mealhada,5989,8843,11163,15159,1907,5498,3162,2161,1352,256
Mira,5097,7718,10073,14342,1623,3386,1495,1007,765,123
Miranda do Corvo,5593,8240,10304,13672,1314,3630,1815,1169,522,90
Montemor-o-Velho,6066,8784,11029,14834,2236,7122,3971,2879,1546,179
Mortágua,5260,7880,9879,13179,1173,2821,1285,726,433,77
Oliveira do Hospital,5271,7670,9315,12387,2398,6683,2413,1349,746,96
Pampilhosa da Serra,5680,8011,9378,12239,363,1283,494,269,114,8
Penacova,5097,7356,9575,12658,1901,4378,2001,1104,478,51
Penela,5325,7784,9745,12951,650,1745,777,417,237,42
Soure,6160,8870,10952,14426,1520,5137,3009,1959,1018,106
Tábua,5086,7319,9211,12041,1519,3889,1267,733,345,74
Vila Nova de Poiares,5325,8009,9894,13115,881,2125,1024,574,307,35
Região de Leiria,6166,8897,11272,15372,27097,78274,45246,32785,20210,3883
Alvaiázere,5175,7474,9311,12188,777,2013,757,396,237,24
Ansião,5359,7759,9726,13205,1340,3674,1551,959,501,59
Batalha,6252,8890,11161,14905,1422,4432,2694,1766,999,155
Castanheira de Pêra,//,//,//,//,//,//,//,//,//,//
Figueiró dos Vinhos,5158,7409,9318,12982,718,1787,618,407,258,24
Leiria,6552,9308,11982,16572,11024,32346,20613,16005,11105,2481
