,Total (€),"Level of education, Below basic education  (€)","Level of education, Basic education - 1st cycle (€)","Level of education, Basic education - 2nd cycle (€)","Level of education, Basic education - 3rd cycle (€)","Level of education, Secondary (€)","Level of education, Short cycle professional course (€)","Level of education, Bachelor degree (€)","Level of education, Graduate degree (€)","Level of education, Masters  degree (€)","Level of education, PhD (€)"
Pampilhosa da Serra,877.33,…,793.26,766.36,843.28,889.07,//,1659.18,1296.78,1126.05,//
Penacova,1019.95,…,867.53,998.31,1004.12,1006.45,…,1095.8,1322.32,1364.9,…
Penela,977.71,751.01,878.69,973.68,891.22,898.03,//,1608.84,1226.91,1125.49,…
Soure,1016.96,769.93,908.04,968.43,924.69,975.7,//,1514.16,1421.74,1283.08,…
Tábua,922.48,821.34,844.22,851.18,821.8,889.83,1083.44,1478.65,1547.12,1696.56,1044.06
Vila Nova de Poiares,973.19,727.5,881.27,941.34,878.97,937.51,…,1170.75,1451.3,1590.53,…
Região de Leiria,1150.13,898.28,970.29,1046.93,1049.76,1094.93,1019.48,1578.77,1534.06,1593.26,2711.16
Alvaiázere,950.84,739.33,898.43,946.95,897.27,920.2,…,993.26,1257.57,1051.43,…
Ansião,968.99,891.94,867.04,878.26,919.83,956.26,…,1361.67,1290.97,1498.85,…
Batalha,1125.62,941.25,993.82,1109.84,1042.96,1102.31,949.5,1481.68,1512.03,1344.1,1193.61
Castanheira de Pêra,938.53,…,832.48,886.36,859.5,885.07,//,//,1321.95,1796.88,//
Figueiró dos Vinhos,912.97,…,823.76,836.52,813.49,916.82,//,1376.67,1201.59,1314.19,//
Leiria,1159.48,904.35,983.16,1057.48,1043.33,1080.63,904.19,1516.82,1522.48,1645.42,2686.4
Marinha Grande,1329.9,862.18,1102.76,1242.41,1230.34,1251.7,1146.9,1793.14,1677.38,1627.03,3430.84
Pedrógão Grande,944.5,715.54,792.15,778.24,828.01,931,//,1062.9,1263.13,1477.77,//
Pombal,1062.02,891.86,947.76,978.07,984.04,1031.39,940.8,1606.94,1496.25,1328.91,3342.78
Porto de Mós,1134.54,938.67,935.1,1015.72,1061.81,1118.12,//,1926.44,1588.82,1693.73,…
Viseu Dão Lafões,1055.39,777.65,860.36,918.11,936.8,1009.48,1034.52,1553.66,1494.94,1552.58,2358.14
Aguiar da Beira,862.4,//,791.29,757.02,854.75,847.85,855,1417.4,1156.66,1259.37,…
Carregal do Sal,994.71,952.98,800.78,852.79,948.52,955.09,//,1287.99,1526.44,1371.45,//
Castro Daire,885,…,803.92,842.9,856.69,888.56,…,1117.09,1076.56,1240.31,//
Mangualde,1158.46,764.84,998.42,1132.79,1103.88,1105.71,926.57,1614.64,1561.03,1742.03,2876.73
Nelas,1127.94,1027.57,928.05,974.43,989.37,1099.23,…,1841.73,1696.53,1553.2,…
Oliveira de Frades,1125.81,806.42,891.18,946.48,964.65,1051.31,…,2074.42,1606.84,1978.23,…
Penalva do Castelo,936.68,744.45,810.02,912.85,909.05,943.65,//,1436.3,1238.68,1161.01,…
Santa Comba Dão,956.52,785.67,835.83,849.79,872.3,966.67,…,1553.02,1306.94,1486.84,…
São Pedro do Sul,877.64,757.93,772.87,821.3,792.13,886.69,…,1589.47,1229.05,1407.61,//
Sátão,853.72,847.35,806.62,816.1,798.43,847.44,…,1322.75,1205.42,1018.49,//
Tondela,1160.54,735.19,798.7,893.08,960.49,1159.19,…,1783.86,1774.37,1734.49,3110.83
Vila Nova de Paiva,884.42,737.31,793.49,800.61,802.33,939.07,//,1207.55,1175.9,1362.69,//
Viseu,1065.28,762.9,885.57,910.12,928.59,981.26,1053.65,1469.16,1469.04,1383.7,2276.1
Vouzela,933.02,…,856.99,813.82,845.68,911.65,//,1465.48,1387.15,1389.51,//
Beira Baixa,1036.23,776.57,831.14,884.66,920.73,977.24,1321.45,1402.05,1449.73,1625.13,1540.83
Castelo Branco,1026.77,741.76,840.36,891.26,921.87,941.17,1028.76,1486.37,1421.98,1570.11,1640.58
Idanha-a-Nova,942.49,783.09,804.94,824.93,802.74,930.18,//,1117.94,1325.29,1548.95,…
Oleiros,991.97,853.04,894.76,1001.26,927.36,992.05,//,1241.59,1261.29,1273.2,//
Penamacor,949.53,904.31,822.6,810.24,853.14,993.64,//,1249.35,1406.5,…,//
Proença-a-Nova,990.62,822.67,776.8,831.03,812.58,967.4,…,1121.87,1522.33,1644.96,//
Vila Velha de Ródão,1366.8,//,808.13,855.22,1224.24,1401.31,…,1171.86,1875.3,2076.28,//
Médio Tejo,1087.09,836.83,925.11,950.55,965.32,1020.74,1016.51,1630.64,1560.52,1646.77,1997.55
Abrantes,1165.47,1284.39,983.49,953.81,981.24,1080.76,…,1907.28,1660.23,2014.1,1640.1
Alcanena,1118.27,854.37,928.08,938,976.09,1077.03,//,1866.11,1636.57,1665.64,…
Constância,1282.19,…,824,955.02,1066.59,1220.41,//,2674.89,2151,1765.32,//
Entroncamento,1194.15,…,945.83,1020.57,1098.27,1112.83,1397.9,1631.27,1646.29,1549.37,//
Ferreira do Zêzere,986.63,758.61,906.06,976.51,949.94,940.14,//,1490.14,1305.04,1287.9,//
Mação,983.21,740.12,886.07,1000.12,947.87,941.86,//,1399.45,1403.09,1507.42,//
Ourém,1063.45,852.16,971.01,983.28,977.55,1001.81,953.1,1406.56,1421.47,1480.51,2093.33
Sardoal,846.91,…,786.87,817.39,801.39,856.4,…,…,970.86,1206.48,//
Sertã,933.98,686.19,831.02,844.48,863.47,894.65,//,1326.04,1396.85,1360.28,…
Tomar,1044.25,777.97,839,885.39,885.4,981.14,788.75,1419.67,1492.47,1670.41,1340.52
Torres Novas,1141.39,821.65,928.67,969.52,992.25,1039.94,1018.1,1817.56,1714.55,1794.25,3074.65
Vila de Rei,870.73,…,771.8,772.99,790.67,822.98,//,935.7,1328.26,1064.08,//
Vila Nova da Barquinha,897.46,//,841.66,869.64,810.37,881.15,//,992.08,1266.46,1315.4,//
Beiras e Serra da Estrela,1013.44,758.21,828.05,881.58,892.04,963.96,953.39,1414.88,1409.76,1585.09,1587.67
Almeida,905.01,…,761.38,850.65,862.79,928.14,//,1088.81,1209.96,…,//
Belmonte,909.16,767.71,736.66,798.36,813.86,868.04,//,1712.06,1295.44,1384.85,//
Celorico da Beira,1082.16,743.03,876.11,1187.35,1083.32,1097.02,//,1166.56,1270.43,1648.11,…
Covilhã,1027.83,745.53,821.24,823.8,864.02,931.46,761.23,1495.25,1446.8,1691.46,1422.21
Figueira de Castelo Rodrigo,874.49,…,789.2,761.81,775.64,896.63,//,970.43,1165.68,2308.62,//
Fornos de Algodres,838.68,…,766.97,787.17,809.24,848.55,//,…,1050.31,1160.5,//
Fundão,983.43,756.44,806.66,852.87,853.16,962.12,1115.62,1480.51,1309.02,1373.79,2055.18
Gouveia,923.35,795.75,783.26,810.01,848.72,884.86,…,1293.65,1305.1,1329.91,…
Guarda,1147.21,766.56,914.15,1028.1,999.11,1057.17,799.79,1445.79,1545.98,1682.66,1595.28
Manteigas,893.92,…,749.43,783.92,837.8,840.57,//,1247.17,1162.9,1740.15,//
Mêda,892.58,…,760.15,883.48,834.7,858.83,//,1556.88,1194.3,1196.13,//
Pinhel,888.12,709.69,770.56,805.21,820.71,921.37,//,817.95,1304.34,1504.88,//
Sabugal,922.55,759.75,808.95,826.28,831.11,901.82,//,1638.09,1244.76,1504.49,//
Seia,919.18,747.87,813.85,802.75,813.08,911.94,…,1159.68,1326.33,1641.23,1686.18
Trancoso,975.36,…,915.33,871.67,890.83,926.26,…,1332.38,1387.72,1372.13,…
A. M. Lisboa,1516.42,827.36,909.73,995.89,1048.93,1291.27,1380.09,2168.55,2207.61,2204.63,2909.78
Alcochete,2019.47,802.54,970.19,1228.91,1495.83,2829.3,//,1858.63,1969.07,2478.63,3792.45
Almada,1184.02,805.22,849.02,885.08,903.95,1002.65,1115.43,1682.84,1840.21,1984.79,2778.26
Amadora,1476.8,766.17,812.22,875.22,911.85,1213.17,1062.77,2352.03,2355.55,2283.15,2662.29
Barreiro,1164.49,804.23,883.83,982.11,985.93,1060.8,1138.06,1640.04,1738.89,1732.97,3273.78
Cascais,1264.15,817.26,922.31,950.2,963.95,1125.07,1308.37,2224.44,1886.85,1792.78,3336.87
Lisboa,1702.78,821.12,888.4,1003.56,1083.49,1340.01,1413.71,2186.37,2253.4,2245.85,2982.35
Loures,1256.21,812.99,930.15,974.12,1044.13,1195.28,1112.21,2081.17,1972.92,1989.22,2138.14
Mafra,1067.73,946.71,977.71,1020.89,982.84,1042.29,1457.7,1467.43,1550.87,1527.35,2812.78
Moita,1009.45,807.15,831.96,862.12,918.8,1015.07,808.06,1433.57,1488.78,1465.73,1496.61
Montijo,1086.89,780.35,859.62,947.51,945.24,1039.82,…,1826.28,1739.98,1796.85,2905.34
Odivelas,1003.55,857.89,864.77,921.64,912.44,992.62,1142.53,1363.32,1320.23,1411.09,2248.39
Oeiras,1839.81,812.49,911.69,1047.24,1080.17,1523.41,2225.34,2432.74,2492.27,2398.77,3085.29
Palmela,1443.47,1099.53,1005.44,1126.1,1314.69,1409.62,1370.26,2518.87,2206.24,2038.31,2828.85
Seixal,1356.96,747.26,905,972.92,1179.16,1581.77,1010.7,1902.79,1605.76,1661.13,3078.92
Sesimbra,1022.52,863.22,991.32,943.28,941.48,985.09,…,1395.6,1526.13,1479.12,1373.89
Setúbal,1257.47,937.2,1014.34,1041.37,1062.27,1160.86,1091.49,1836.65,1973.19,1922.35,2644.93
Sintra,1255.4,819.57,927.12,1009.78,1003.57,1168.8,1048.44,2007.2,1994.81,2055.55,2721
Vila Franca de Xira,1273.26,899.2,997.51,1078.42,1034.55,1202.15,1405.19,1908.87,1990.32,1928.99,2153.89
Alentejo,1107.85,836.37,891.45,946.88,972.58,1071.3,1065.62,1836.97,1688.73,1805.28,2060.61
Alentejo Litoral,1206.63,835.43,876.57,917.45,1038.4,1227.12,1016.87,2350.75,2009.1,2114.25,1813.53
Alcácer do Sal,1023.01,865.34,895.56,902.91,923.64,999.15,//,1463.75,1634.7,1593.68,715.78
Grândola,1045.19,870.21,891.48,923.76,903.19,1040.06,931.78,1687.47,1664.68,1722.01,…
Odemira,922.82,760.17,800.81,791.74,857.98,893.37,941.1,1335.24,1648.43,1866.93,…
Santiago do Cacém,1072.57,872.23,896.41,942.71,918.79,974.27,1308.62,1696.86,1600.93,1656.13,…
Sines,1861.82,1006.51,1054.04,1268.12,1565.41,1824.9,…,3425.98,2942.98,2806.22,3995.39
Baixo Alentejo,1166.3,844.42,917.9,1021.03,1011.18,1134.69,1102.3,2147.38,1772.93,1677.94,1821.5
Aljustrel,1193.78,805.3,959.66,1135.46,1114.42,1074.51,//,1922.97,1881.1,2033.97,…
Almodôvar,945.37,788.09,814.23,833.5,904.27,935.41,//,986.65,1358.45,1400.98,//
Alvito,1045.39,//,961.44,949.26,919.69,1083.58,//,…,1472.1,…,//
Barrancos,885.39,…,748.32,806.46,796.9,910.16,…,…,1408.66,…,//
Beja,1128.72,873.36,875.66,941.19,936.22,1062.62,1418.22,1511.35,1689.53,1598.11,1341.34
Castro Verde,1941.06,957.67,1356.5,1751.18,1651.22,1868.01,//,4479.26,2861.42,2247.9,…
Cuba,1024.12,966.91,874.43,930.26,871.01,950.04,//,2139.11,1613.88,1788.69,//
Ferreira do Alentejo,1043.88,777.03,911.96,923.07,932.79,1050.97,//,1369.97,1503.02,1847.27,2788.89
Mértola,889.05,…,824.34,837.59,827.96,870.92,//,…,1305.4,1677.45,//
Moura,974.5,799.66,800.47,853.4,856.9,972.67,1011.35,1530.17,1455.77,1520.45,2078.85
Ourique,925.61,1005.07,809.11,833,861.91,925.51,//,1157.71,1456.11,1664.88,//
Serpa,913.35,795.39,839.19,861.8,849.82,908.57,999.65,1176.99,1349.18,1347.41,//
Vidigueira,984.71,788.78,849.85,867.87,848.46,1019.19,//,…,1483.37,1370.4,//
Lezíria do Tejo,1075.15,835.87,893.92,963.95,947.76,1006.23,1211.14,1682.31,1652.98,1736.3,2452.6
Almeirim,993.66,791.46,804.38,881.05,895.58,968.63,//,1742.37,1477.23,1439.31,…
Alpiarça,1001.29,700.6,863.57,811.49,908.69,1011.65,…,1440.1,1402.99,1740.27,//
Azambuja,1087.87,991.31,900.8,999.53,1023.1,922.83,…,1821.39,1968.23,1786.02,2628.73
