,Total (€),"Level of education, Below basic education  (€)","Level of education, Basic education - 1st cycle (€)","Level of education, Basic education - 2nd cycle (€)","Level of education, Basic education - 3rd cycle (€)","Level of education, Secondary (€)","Level of education, Short cycle professional course (€)","Level of education, Bachelor degree (€)","Level of education, Graduate degree (€)","Level of education, Masters  degree (€)","Level of education, PhD (€)"
São Miguel,1141,811.29,884.05,991.52,934.99,1163.47,1162.42,2036.65,1854.52,1961.16,2101.97
Lagoa (R.A.A.),972.47,813.3,810.86,822.71,868.52,969.51,1026.82,1376.54,1647.73,1554.97,4337.25
Nordeste,890.24,876.88,821.93,811.75,850.98,877.56,…,//,1345.6,1568.7,//
Ponta Delgada,1239.42,819.32,929.87,1111.91,959.33,1239.78,1240.07,2156.45,1931.26,1981.06,1883.05
Povoação,1036.6,770.74,863.69,878.98,1123.72,940,…,…,1525.82,1607.11,//
Ribeira Grande,1001.45,808.75,865.54,882.44,897.48,1019.54,1089.2,1598.4,1682.43,2103.49,1929.62
Vila Franca do Campo,879.16,792.46,800.45,802.54,827.06,891.4,779.08,1100.15,1476.87,1511.38,…
Terceira,1097.23,821.95,946.92,934.95,926.74,1026.4,1009.24,1591.86,1783.95,2143.97,1823.78
Angra do Heroísmo,1106.8,836.42,953,928.01,903.88,976.6,1053.75,1515.94,1828.48,2264.8,2119.8
Vila da Praia da Vitória,1078.06,804.26,937.38,950.96,970.56,1111.04,975.86,1814.2,1633.08,1582.09,1231.73
Graciosa,1044.33,…,998.93,845.66,951.69,1120.13,…,…,1694.06,…,//
Santa Cruz da Graciosa,1044.33,…,998.93,845.66,951.69,1120.13,…,…,1694.06,…,//
São Jorge,1008.04,778.67,967.75,900.91,923.7,1019.53,…,2221.12,1435.96,1628.92,//
Calheta (R.A.A.),945.81,775.08,818.31,860.72,886.34,948.72,…,…,1368.17,1510.42,//
Velas,1045.58,785.86,1052.37,924.79,946.51,1061.43,//,1781.42,1477.32,1688.17,//
Pico,976.76,790.39,921.87,903.97,933.27,971.02,1031.5,1035.63,1298.94,1314.17,984.61
Lajes do Pico,924.77,798.05,921.91,884.99,894.23,888.78,1126.19,850.47,1202.69,…,//
Madalena,957.06,785.8,909.49,884.47,890.36,973.34,…,1114.98,1253.04,1327.63,730.17
São Roque do Pico,1051.21,//,946.28,948.4,1044.11,1011.84,…,//,1495.51,1389.97,1239.04
Faial,1153.64,781.24,1010.45,979.36,984.67,1084.44,1528.34,1293.27,1840.54,1875.95,2767.52
Horta,1153.64,781.24,1010.45,979.36,984.67,1084.44,1528.34,1293.27,1840.54,1875.95,2767.52
Flores,1090.75,//,909.94,881.03,932.78,1165.31,//,…,2215.15,1339.16,//
Lajes das Flores,984.11,//,934.4,898.53,884.71,1052.9,//,//,1392.05,//,//
