,"Total, MF (€)","Total, M (€)","Total, F (€)","Primary CAE: A, MF (€)","Primary CAE: A, M (€)","Primary CAE: A, F (€)","Secondary CAE: B - F, MF (€)","Secondary CAE: B - F, M (€)","Secondary CAE: B - F, F (€)","Tertiary CAE: G - U, MF (€)","Tertiary CAE: G - U, M (€)","Tertiary CAE: G - U, F (€)"
Mértola,889.05,878.79,900.03,901.03,905.8,881.82,781.7,788.8,750.28,914.64,917.23,913.19
Moura,974.5,1000.8,940.28,840.44,854.25,769.39,1092.09,1132.05,970.28,986.23,1035.43,953.9
Ourique,925.61,951.2,903.13,806.31,816.48,746.21,948.69,1006.42,868.31,936.18,968.3,918.68
Serpa,913.35,938,878.42,877.95,892.05,828.73,912.1,942.44,839.99,937.91,994.43,899.49
Vidigueira,984.71,1077.79,904.13,1039.93,1030.04,1063.62,1012.81,1075.48,929.97,945.17,1136.28,863.86
Lezíria do Tejo,1075.15,1135.85,995.67,976.62,1012.89,903.8,1135.86,1182.23,1030.1,1057.36,1124.23,992.97
Almeirim,993.66,1038.62,936.55,947.52,954.12,931.63,1098.6,1089.12,1126.22,954.1,1035.71,894.68
Alpiarça,1001.29,1093.12,898.75,1102.63,1136.57,1051.5,1074.88,1128.74,956.65,871.73,973.18,822.85
Azambuja,1087.87,1114.31,1043.81,1064.75,1125.53,861.43,1099.64,1152.59,994.32,1086.74,1106.5,1055.53
Benavente,1127.19,1220.13,1004.54,1069.05,1119.39,975.13,1224.14,1291.23,1091.4,1062.27,1165.4,964.64
Cartaxo,1048.77,1129.68,961.09,1045.44,1129.72,918.4,1184.18,1217.86,1094.47,979.46,1048.29,932.55
Chamusca,1007.99,1065.61,928.91,928.3,980.19,802.68,1100.14,1092.01,1136.37,975.18,1094.51,910.7
Coruche,1041.04,1116.06,943.19,1007.09,1046.96,925.82,1133.04,1171.29,1048.41,995.59,1101.84,909.47
Golegã,1030.81,1106.24,943.7,893.84,961.03,766.52,1066.74,1070.11,1059.33,1048.09,1231.17,932.37
Rio Maior,1070.79,1143.02,975.29,874.11,865.61,888.02,1109.92,1156.89,1021.58,1052.8,1170.67,949.35
Salvaterra de Magos,1034.19,1108.86,928.19,995.52,1082.55,863.25,1026.63,1009.73,1096.68,1043.13,1184.74,907.64
Santarém,1099.48,1152.58,1037.24,861.72,874.31,835.6,1135.57,1217.55,946.06,1098.84,1136.04,1066.65
Alto Alentejo,1029.47,1114.35,938.74,930.79,947.38,875.55,1141.8,1171.31,1063.16,998.83,1125.16,919.49
Alter do Chão,932.56,1003.21,882.61,923.66,939.67,864.19,1078.05,1122.88,842.71,907.88,1001.79,885.97
Arronches,906.09,916.99,897.84,916.05,926.47,813.21,801.43,819.31,769.24,917.94,941.2,909.69
Avis,974.38,1062.52,869.62,919.64,925.71,902.43,1031.78,1102.13,914.72,926.11,1102.37,830.54
Campo Maior,1324.28,1430.78,1194.48,1013.43,991.43,1084.81,1292.99,1373.02,1168.16,1412.9,1648.34,1222.64
Castelo de Vide,906.64,947.74,882.2,897.33,937.17,684.85,1008.94,1030.2,934.54,890.91,913.42,882.06
Crato,867.91,887.2,855.88,832.63,854.57,769.24,798.65,794.52,805.71,892.22,962.18,867.28
