,"Total, MF (€)","Total, M (€)","Total, F (€)","Primary CAE: A, MF (€)","Primary CAE: A, M (€)","Primary CAE: A, F (€)","Secondary CAE: B - F, MF (€)","Secondary CAE: B - F, M (€)","Secondary CAE: B - F, F (€)","Tertiary CAE: G - U, MF (€)","Tertiary CAE: G - U, M (€)","Tertiary CAE: G - U, F (€)"
Ribeira de Pena,1169.48,1292.5,917.55,1126.27,1188.15,…,1352.86,1368.22,1204.93,930.93,1050.32,862.71
Valpaços,863.61,845.78,881.4,731.26,748.26,667.54,842.42,825.3,918.34,874.88,868.83,878.33
Vila Pouca de Aguiar,946.55,993.93,870.49,728.07,718.19,747.84,976.33,990.29,893.54,929.07,1012.58,867.94
Tâmega e Sousa,936.96,981.62,876.49,799.37,808,773.76,902.06,953.64,811.96,998.38,1051.53,951.25
Amarante,950.61,980.28,899.85,775.67,763.58,800.19,924.82,948.41,833.25,985.03,1054.8,929.43
Baião,942.14,1002.59,834.69,841.51,930.23,720.85,960.71,1010.86,778.32,923.11,988.58,871.56
Castelo de Paiva,886.62,929.6,845.04,768.31,762.53,793.27,871.99,914.74,820.15,919.98,995.14,874.93
Celorico de Basto,845.04,888.2,789.02,743.13,751,694.75,850.24,901.5,747.7,844.07,876.48,821.11
Cinfães,947.02,978.73,819.27,776.18,830.75,667.05,979.55,986.93,858.94,867.9,939.7,811.2
Felgueiras,908.91,972.57,834.73,779.96,766.37,824.69,891.83,960.37,808.75,963.51,1020.69,905.72
Lousada,893.75,952.72,818.15,948.41,981.52,869.32,855.32,921.88,769.62,961.9,1008.12,903.76
Marco de Canaveses,904.22,944.21,826.7,815.93,832.11,751.22,896.84,931.8,783.78,918.1,978.91,858.54
Paços de Ferreira,933.65,985.5,867.47,737.2,766.58,649.07,884,922.66,832.46,1023.23,1105.43,926.39
Penafiel,1037.06,1065.41,1006.59,794.91,797.59,784.74,948.86,1012.24,844.25,1138.18,1165.06,1120.4
Resende,880.1,920.45,822.52,783.64,803.88,715.13,940.71,948.48,856.58,853.9,904.27,823.79
Douro,993.68,1028.49,954.91,889.71,905.57,854.02,998.08,993.55,1012.4,1001.82,1075.09,950.13
Alijó,950.64,1016.09,883.08,985.14,1025.08,867.49,1066.33,1101.69,1000.92,897.35,957.67,855.68
Armamar,906.84,938.64,864.19,843.16,868.15,774.09,898.46,910.23,862.96,930.78,1005.45,876.8
Carrazeda de Ansiães,882.55,921.87,845.39,819.09,833.42,790.43,870.44,887.61,756.38,891.77,959.52,853.1
Freixo de Espada à Cinta,900.71,920.41,883.16,875.56,787.91,…,887.78,870.79,1034.99,906.51,990.22,871.08
Lamego,958.03,998.22,911.5,775.22,777.02,769.89,924.35,933.77,893.96,985.95,1078.97,918.99
Mesão Frio,855.91,908.18,806.17,766.38,756.9,788.52,817.27,829.12,735.36,880.69,1024.46,811.85
Moimenta da Beira,877.37,946.47,805.97,792.51,815.66,751.52,888.31,912.36,773.88,882.38,997.26,812.6
Murça,938.01,932.69,944.07,955.3,1034.51,697.84,866.69,861.56,885.01,972.38,984.73,964.77
Penedono,831.84,843.46,819.93,802.71,788.77,816.16,752.29,748.95,783.31,870.63,955.51,822.92
Peso da Régua,1005.07,1099.6,912.43,828.2,808.42,866.06,1195.97,1269.25,991.62,963.45,1046.77,904.23
Sabrosa,984.87,1017.15,953.35,1080.72,1100.57,1051.64,1068.06,1073.51,1056.41,890.15,878.42,895.99
Santa Marta de Penaguião,871.56,872.47,870.39,850.64,856.04,829.87,876.11,866.35,914.83,873.98,893.01,864.4
São João da Pesqueira,980.42,1044.47,898.85,932.87,964.79,852.39,994.59,998.05,983.36,998.77,1169.25,894.68
Sernancelhe,848.4,880.65,803.28,750.44,775.03,684.86,835.21,840.66,804.92,861.4,942.17,805.59
Tabuaço,973.43,1030.1,909.6,976.38,1043.44,861.4,1048.15,1027.47,1118.38,918.67,1028.24,864.95
Tarouca,855.18,870.95,824.2,835.83,845.89,735.17,874.52,869.05,906.44,838.7,876.98,804.28
Torre de Moncorvo,891.67,930.6,851.43,804.12,816.8,760.2,911.86,936.76,810.25,894.06,951.35,859.52
Vila Nova de Foz Côa,935.43,1003.73,863.46,878.71,880.74,871.56,1006.62,1041.57,882.65,898.01,994.13,859.07
Vila Real,1115.35,1133.09,1096.26,866.64,882.58,845.59,1101.62,1076.05,1164.99,1124.65,1169.41,1087.77
Terras de Trás-os-Montes,988.17,1029.07,948.23,867.44,854.87,893.33,977.59,994.65,922.6,997.14,1064.56,952.93
Alfândega da Fé,889.93,920.91,859.45,893.78,901.13,869.28,786.35,794.03,749.72,918.13,1001.12,867.55
Bragança,1046.87,1084.98,1007.67,784.8,802.94,679.99,1023.74,1035.72,988.94,1059.82,1128.76,1012.07
Macedo de Cavaleiros,930.67,937.96,923.82,814.65,805.53,833.5,869.91,877.82,838.13,953.38,982.98,934.01
Miranda do Douro,916.03,985.74,852.51,847.88,842.39,860.21,996.9,1058.07,756.39,890.54,940.58,862.95
Mirandela,1001.38,1047.98,957.06,824.72,830.37,806.7,989.44,1028.17,883.33,1011.5,1073.85,969.13
Mogadouro,920.96,999.48,841.23,795.56,810.16,762.38,917.84,943.64,793.28,928.14,1042.45,846.73
Vila Flor,969.79,1009.75,931.84,1004.14,1005.44,1002.96,1044.66,1045.78,1039.75,929.56,979.63,901.17
Vimioso,890.32,904.47,880.27,790.71,717.93,…,847.39,837.56,898.26,908.36,1001.68,876.98
Vinhais,853.91,882.39,825.21,731.86,773.23,…,794.92,799.83,777.72,877.94,947.24,833.02
Centro,1104.06,1206.51,977.25,935.6,974.53,850.23,1154.78,1221.12,1003.81,1077.06,1206.98,970.44
Oeste,1061.13,1150.45,951.53,952.75,1004.47,831.19,1104.21,1154.7,987.07,1047.34,1167.64,946.77
Alcobaça,1038.68,1127.75,931.34,850.17,869.71,812.89,1075.98,1143.49,929.69,1019.47,1141.58,938.72
Alenquer,1217.74,1303.48,1062.22,947.67,921.82,1023.3,1273.44,1334.67,1124.68,1175.83,1285.78,1022.76
Arruda dos Vinhos,1107.84,1170.19,1000.03,1018.55,1081.38,912.89,1108.77,1134.49,1030.31,1110.06,1186.49,996.64
Bombarral,967.68,998.91,929.37,866.53,890.59,839.91,900.22,898.98,905.68,1015.87,1092.95,950.4
Cadaval,1017.51,1121.91,911.13,877.84,914.75,774.1,1050.16,1109.53,878.32,1028.71,1220.54,927.94
Caldas da Rainha,1019.26,1127.15,921.8,849.23,884.96,762.16,1084.72,1151.23,924.7,1006.56,1131.13,924.34
Lourinhã,999.69,1076.7,894.87,1268.23,1403.36,868.42,953.03,959.79,925.37,966.23,1065.67,892.12
Nazaré,1030.94,1148.7,919.35,1003.12,1089.99,782.61,1057.94,1124.28,965.06,1021.48,1167.36,909.37
Óbidos,1026.1,1092.72,949.19,1070.36,1143.53,885.42,988.85,993.47,978.9,1036.52,1139.83,945.16
Peniche,995.17,1095.82,896.81,1145.3,1200.01,909.06,1022.39,1129.52,878.86,955.04,1034.56,902.14
Sobral de Monte Agraço,1029.83,1093.32,941.64,853.34,804.46,918.5,998.74,1010.06,978.26,1059.14,1175.68,923.08
Torres Vedras,1073.47,1145.71,979.62,842,860.15,801.66,1114.67,1144.96,1039.56,1078.55,1192.18,974.84
Região de Aveiro,1165.87,1284.21,1010.21,970.11,1027.6,843.4,1214.18,1305.39,1040.24,1117.14,1258.95,990.86
Águeda,1089.15,1205.57,944.78,928.94,984.58,787.33,1112.94,1218.88,934.57,1051.1,1178.15,957.39
Albergaria-a-Velha,1139.9,1238.4,985.49,876.42,902.7,832.96,1183.37,1245.28,1042.36,1083.76,1235.5,939.28
Anadia,1035.36,1119.26,940.63,995.1,1063.44,862.35,1080.75,1130.44,985.09,976.94,1097.78,911.84
Aveiro,1286.05,1425.32,1105.3,900.1,947.8,771.29,1430.16,1511.52,1219.04,1208.47,1356.91,1072.75
Estarreja,1296.95,1421.44,1031.15,878.91,915.01,818.09,1387.1,1460.31,1179.8,1205.17,1379.14,923.22
Ílhavo,1178.98,1340.32,992.92,1201.12,1202.94,1193.22,1160.23,1287.04,981.82,1198.51,1423.93,999.23
Murtosa,941.09,1020.47,865.06,1018.82,1101.29,765.08,937.65,1007.63,834.15,938.42,1030.23,889.41
Oliveira do Bairro,1094.59,1197.62,963.68,819.53,894.82,699.07,1139.35,1223.41,983.33,1035.16,1147.66,948.04
Ovar,1114.5,1200.63,1004.2,787.13,816.28,742.3,1190.17,1274.13,1066.52,1010.77,1084.54,933.16
Sever do Vouga,1123.91,1231.65,928.73,833.82,934.64,733,1203.9,1287.58,938.86,1009.63,1101.83,928.05
Vagos,1046.78,1119.48,966.06,861.38,951.28,747.5,1102.13,1164.57,1000.41,961.93,1005.7,935.53
Região de Coimbra,1119.46,1230.1,991.59,968.15,993.02,913.06,1153.03,1225.1,992.07,1107.71,1248.1,993.16
Arganil,893,954.29,835.41,872.33,896.14,741.35,895.17,913.92,851.84,892.74,1010.25,832.04
Cantanhede,1109.54,1207.49,989.74,1203.52,1224.38,1172.51,1152.94,1208.19,1017.16,1062.25,1204.46,968.52
Coimbra,1214.19,1334.61,1085.74,888.07,935.11,812.2,1242.88,1292.4,1127.03,1209.66,1353.02,1081.59
Condeixa-a-Nova,1016.53,1127.52,910.34,853.54,825.88,904.25,1023.2,1062.74,945.45,1015.21,1184.79,900.78
Figueira da Foz,1202.71,1350.42,996.9,1062.59,1113.5,889.31,1366.66,1462.97,1080.81,1070.57,1205.14,967.26
Góis,844.6,861.2,832.86,913.28,928.26,878.72,780.62,773.38,803.28,854.13,908.58,833.22
Lousã,1017.17,1079.73,940.25,842.69,838.47,858.17,1065.97,1123.62,966.93,986.12,1056.7,926.17
Mealhada,1170.5,1267.74,995.91,851.35,908.42,798.66,1211.83,1233.13,1129.64,1161.88,1287.71,977.42
Mira,965.81,1037.68,894.18,1015.14,1023.37,999.24,942.11,1005.3,852.69,974.71,1078.9,904.93
Miranda do Corvo,921.72,973.87,876.91,816.23,826.35,794.1,969.06,1010.74,852.9,919.32,982.67,884.3
Montemor-o-Velho,1011.15,1067.25,948.06,880.83,919.98,826.59,1065.65,1045.52,1122.24,994.78,1116.06,913.52
Mortágua,1072.69,1165.9,955.92,1065.17,1090.19,941.74,1066.6,1129.27,982.53,1082.03,1246.59,928.02
Oliveira do Hospital,949.47,1015.02,874.76,861.11,844.58,916.91,938.16,1010.84,795.68,962.81,1032.6,914.87
Pampilhosa da Serra,877.33,906.45,860.66,1086.78,1115.11,973.45,825.42,833.87,765.46,878.36,929.91,862.51
Penacova,1019.95,1093.81,888.85,911.93,919.03,866.5,1200.39,1227.9,1050.17,904.34,953.37,856.3
Penela,977.71,1058.87,879.17,977.47,990.03,873.85,1032.71,1091.78,847.84,937.22,1017.69,888.2
Soure,1016.96,1140.08,905.35,787.62,789.42,785.28,1122.92,1219.3,925.82,987.27,1130.94,910.66
Tábua,922.48,1017.02,834.1,860.55,859.03,863.24,868.63,945.11,788.38,1017.14,1177.64,898.51
Vila Nova de Poiares,973.19,1078.19,875.4,716.28,723.73,656.67,999.72,1089.07,916.9,962.11,1091.9,847.11
Região de Leiria,1150.13,1263.08,995.74,913.92,964.44,841.69,1223.69,1298.74,1038.92,1094.05,1227.42,979.36
Alvaiázere,950.84,997.82,870.86,714.63,757.28,656.48,926.41,935.11,871.18,972.56,1062.28,878.11
Ansião,968.99,1046.54,874.84,820.08,798.84,860.79,970.1,1035.49,851.6,972.21,1062.78,883.88
Batalha,1125.62,1237.13,957.01,854.84,875.96,835.52,1147.45,1232.83,972.03,1107.6,1256.5,948.8
Castanheira de Pêra,938.53,1070.59,850.86,1319.57,1358.52,…,884.26,1023.56,750,950.92,1062.04,904.92
Figueiró dos Vinhos,912.97,953.19,879.22,931.6,929.1,942.66,886.15,906.53,822.46,919.82,993.28,884.15
Leiria,1159.48,1269.13,1014.66,945.69,1001.52,869.97,1228.3,1300,1035.49,1120.95,1247.22,1011.1
Marinha Grande,1329.9,1493.19,1075.22,926.52,917.99,…,1449.15,1552.58,1194.67,1120.11,1324.13,968.22
Pedrógão Grande,944.5,958.26,932.03,862.47,856.53,…,931.52,956.12,821.64,952.32,974.61,939.4
Pombal,1062.02,1152.62,937.34,881.79,954.08,802.6,1082.88,1131.95,965.62,1049.7,1191.1,927.58
Porto de Mós,1134.54,1229.53,997.99,825.57,861.78,771.26,1180.77,1254.77,1027.87,1078.28,1193.06,977.32
Viseu Dão Lafões,1055.39,1133.37,954.66,903.15,941.92,836.83,1065.05,1108.7,960.14,1054.02,1170.17,955.45
Aguiar da Beira,862.4,904.82,820.48,785.63,792.6,742.68,916.72,944.22,840.77,845.33,891.76,818.19
Carregal do Sal,994.71,1073.2,906.09,909.31,934.51,830.11,1013.49,1088.97,883.72,970.56,1051.53,929.79
Castro Daire,885,943.73,803.13,798.67,789.68,823.37,867.96,873.84,839.29,893.43,988.75,798.84
Mangualde,1158.46,1275.8,911.01,918.5,961.53,819.2,1066.68,1140.95,892.2,1230.27,1387.09,924.59
Nelas,1127.94,1269.04,947.13,890.84,912.18,856.96,1212.47,1324.74,991.49,990.38,1124.82,907.27
Oliveira de Frades,1125.81,1196.2,1006.26,939.98,1075.55,822.49,1167.61,1217.71,1041.18,1043.64,1117.98,990.47
Penalva do Castelo,936.68,1000.48,844.95,805.6,816.89,771.7,1006.89,1020.25,889.98,897.9,981.48,840.99
Santa Comba Dão,956.52,1045.78,863.87,847.55,804.21,922.4,1011.42,1079.18,848.59,929.62,1026.07,866.77
São Pedro do Sul,877.64,937.43,822.77,753.75,756.75,750.8,873.09,919.16,750.54,889.66,975.29,842.12
Sátão,853.72,878.59,823.36,857.78,878.85,828.27,838.61,846.21,821.13,867.99,932.39,824.18
Tondela,1160.54,1284.61,1021.36,926.69,1005.97,831.22,1213.03,1278.47,1116.23,1097.87,1336.87,928.51
Vila Nova de Paiva,884.42,936.17,832.88,759.19,762.09,755.4,815.38,814.72,818.87,923.99,1079.63,838.97
Viseu,1065.28,1113.59,1002.5,1024.39,1021.03,1037.46,1013.32,1039.92,907.47,1087.72,1169.22,1017.33
Vouzela,933.02,1016.39,871.37,864.21,935.4,732.79,933.8,1007.9,875.18,936.26,1041.69,870.87
Beira Baixa,1036.23,1117.57,943.6,908.13,927.4,836.29,1081.55,1146.52,910.24,1022.91,1115.95,953.43
Castelo Branco,1026.77,1101.18,948.4,933.68,946.65,876.51,1053.77,1123.91,902.62,1018.2,1094.92,959.93
Idanha-a-Nova,942.49,955.15,928.74,912.74,938.46,808.54,818.83,831.55,781.96,981.83,1026.4,956.26
Oleiros,991.97,1071.49,854.78,802.28,797.68,…,1112.58,1150.12,857.27,900.82,972.6,854.26
Penamacor,949.53,1020.92,859.1,854.44,898.32,799.1,977.98,1066.75,768.17,958,1020.73,899.29
Proença-a-Nova,990.62,1054.43,900.81,918.25,940.04,859.43,876.22,872.33,896.96,1069.2,1309.81,902.68
Vila Velha de Ródão,1366.8,1550.58,1052.94,858.05,857.01,…,1608.2,1688.94,1208.49,1195.07,1408.35,1015.73
Médio Tejo,1087.09,1186.28,971.17,951.55,997.21,859.13,1157.62,1193.18,1035.26,1056.64,1194.15,961.38
Abrantes,1165.47,1289.36,1019.62,897.16,912.8,847.62,1401.37,1418.64,1329.67,1025.21,1138.55,961.84
Alcanena,1118.27,1194.16,1023.16,1236.03,1242.49,…,1089.29,1147.97,979.88,1139.75,1241.04,1045.19
Constância,1282.19,1498.86,958.41,1684.27,1836.44,1336.43,1421.1,1534.57,1120.67,896.73,1158.94,786.64
Entroncamento,1194.15,1331.03,998.99,1361.56,1430.65,1033.39,1155.86,1158.33,1142.49,1199.29,1376.78,990.35
Ferreira do Zêzere,986.63,1064.22,890.39,1021.62,1092.67,884.75,1034.85,1056.91,932.72,933.76,1042.87,884.56
Mação,983.21,1130.41,811.82,905.65,898.25,1014.25,1133.7,1195.06,834.78,867.5,1040.78,805.85
Ourém,1063.45,1162.47,944.62,849.21,837.43,870.7,1133.76,1170.95,983.08,1026.42,1161.62,938.08
Sardoal,846.91,861.29,836.08,802.43,778.62,873.87,832,828.85,893.82,855.43,925.85,833.87
Sertã,933.98,995.98,863.9,811.86,817.54,767.96,912.89,956.47,787.48,956.08,1072.84,882.65
Tomar,1044.25,1123.48,966.48,854.8,946,791.02,1096.01,1114.89,1011.14,1037.78,1140.57,971.9
Torres Novas,1141.39,1208.55,1059.11,886.02,906.23,837.52,1136.8,1159.28,1069.36,1147.58,1255.69,1058.67
Vila de Rei,870.73,922.78,844.27,795.43,817.96,742.86,849.2,857.61,812.45,879.72,1005.63,847.96
Vila Nova da Barquinha,897.46,980.61,830.26,755.4,734.33,790.51,938.03,949.96,919.58,888.91,1002.24,814.19
Beiras e Serra da Estrela,1013.44,1090.54,930.94,835.87,841.44,818.52,991.28,1046.96,873.59,1031.53,1141.04,947.63
