,"Total, MF (N.º)","Total, M (N.º)","Total, F (N.º)","Primary CAE: A, MF (N.º)","Primary CAE: A, M (N.º)","Primary CAE: A, F (N.º)","Secondary CAE: B - F, MF (N.º)","Secondary CAE: B - F, M (N.º)","Secondary CAE: B - F, F (N.º)","Tertiary CAE: G - U, MF (N.º)","Tertiary CAE: G - U, M (N.º)","Tertiary CAE: G - U, F (N.º)"
Loulé,19134,10693,8441,274,228,46,3152,2610,542,15708,7855,7853
Monchique,642,332,310,42,38,4,146,120,26,454,174,280
Olhão,5807,3188,2619,530,359,171,1472,1080,392,3805,1749,2056
Portimão,12660,6339,6321,76,59,17,1849,1518,331,10735,4762,5973
São Brás de Alportel,1482,803,679,7,…,…,481,…,…,994,404,590
Silves,5184,2940,2244,405,279,126,968,786,182,3811,1875,1936
Tavira,4778,2458,2320,546,430,116,932,774,158,3300,1254,2046
Vila do Bispo,959,490,469,47,…,…,49,…,…,863,404,459
Vila Real de Santo António,3210,1682,1528,119,99,20,440,363,77,2651,1220,1431
R. A. Açores,38796,22033,16763,1202,1072,130,9202,7422,1780,28392,13539,14853
Santa Maria,762,464,298,…,…,…,…,…,…,598,325,273
Vila do Porto,762,464,298,…,…,…,…,…,…,598,325,273
São Miguel,23082,13394,9688,863,775,88,5686,4599,1087,16533,8020,8513
Lagoa (R.A.A.),1874,1256,618,88,82,6,680,589,91,1106,585,521
Nordeste,411,226,185,17,17,0,99,91,8,295,118,177
Ponta Delgada,14428,7945,6483,443,384,59,2461,1983,478,11524,5578,5946
Povoação,587,307,280,46,43,3,102,71,31,439,193,246
Ribeira Grande,4694,2997,1697,189,174,15,2034,1616,418,2471,1207,1264
Vila Franca do Campo,1088,663,425,80,75,5,310,249,61,698,339,359
Terceira,8564,4841,3723,203,179,24,1899,1612,287,6462,3050,3412
Angra do Heroísmo,5712,3062,2650,141,130,11,1215,1032,183,4356,1900,2456
Vila da Praia da Vitória,2852,1779,1073,62,49,13,684,580,104,2106,1150,956
Graciosa,491,279,212,21,…,…,118,…,…,352,161,191
Santa Cruz da Graciosa,491,279,212,21,…,…,118,…,…,352,161,191
São Jorge,1111,558,553,15,…,…,347,…,…,749,331,418
Calheta (R.A.A.),418,199,219,4,4,0,176,87,89,238,108,130
Velas,693,359,334,11,…,…,171,…,…,511,223,288
Pico,1862,966,896,51,44,7,474,360,114,1337,562,775
Lajes do Pico,351,145,206,…,…,0,…,…,…,247,…,…
Madalena,1001,503,498,46,39,7,218,166,52,737,298,439
São Roque do Pico,510,318,192,…,…,0,…,…,…,353,…,…
Faial,2466,1302,1164,34,28,6,460,358,102,1972,916,1056
Horta,2466,1302,1164,34,28,6,460,358,102,1972,916,1056
