,"Total, HM (N.º)","Total, H (N.º)","Total, M (N.º)","0 a 14 anos, HM (N.º)","0 a 14 anos, H (N.º)","0 a 14 anos, M (N.º)","15 a 24 anos, HM (N.º)","15 a 24 anos, H (N.º)","15 a 24 anos, M (N.º)"
Vila Flor,6029,2918,3111,526,294,232,524,277,247
Vimioso,4131,2012,2119,304,155,149,264,135,129
Vinhais,7693,3777,3916,493,263,230,453,250,203
Centro,2235752,1064893,1170859,262983,134988,127995,221595,113534,108061
Oeste,366209,176182,190027,47744,24354,23390,38648,19952,18696
Alcobaça,54981,26484,28497,6376,3186,3190,5751,3027,2724
Alenquer,44963,21828,23135,6729,3447,3282,4998,2612,2386
Arruda dos Vinhos,14292,6969,7323,2312,1194,1118,1697,907,790
Bombarral,12830,6145,6685,1595,849,746,1233,609,624
Cadaval,13459,6461,6998,1547,795,752,1347,688,659
Caldas da Rainha,51392,24215,27177,6159,3117,3042,5428,2774,2654
Lourinhã,26484,12804,13680,3512,1827,1685,2716,1384,1332
Nazaré,14913,7097,7816,1877,927,950,1413,730,683
Óbidos,12074,5899,6175,1479,742,737,1208,650,558
Peniche,26537,12734,13803,3542,1839,1703,2671,1382,1289
Sobral de Monte Agraço,10706,5153,5553,1587,810,777,1206,594,612
Torres Vedras,83578,40393,43185,11029,5621,5408,8980,4595,4385
Região de Aveiro,369793,176943,192850,46516,23896,22620,37818,19235,18583
Águeda,46247,22192,24055,5535,2873,2662,4512,2238,2274
Albergaria-a-Velha,24888,12080,12808,3164,1595,1569,2606,1351,1255
Anadia,27618,13205,14413,2946,1548,1398,2623,1352,1271
Aveiro,81843,38841,43002,10599,5465,5134,8428,4218,4210
Estarreja,26309,12714,13595,3298,1707,1591,2657,1371,1286
Ílhavo,39568,18782,20786,5287,2657,2630,4059,2088,1971
Murtosa,10556,5103,5453,1418,729,689,1098,567,531
Oliveira do Bairro,23479,11140,12339,3246,1677,1569,2453,1217,1236
Ovar,55198,26478,28720,6857,3512,3345,5935,3058,2877
Sever do Vouga,11035,5344,5691,1120,570,550,1098,599,499
Vagos,23052,11064,11988,3046,1563,1483,2349,1176,1173
Região de Coimbra,438212,206703,231509,49501,25491,24010,41655,21232,20423
Arganil,11054,5267,5787,1137,572,565,884,445,439
Cantanhede,34310,16208,18102,3857,2009,1848,3196,1625,1571
Coimbra,141512,65783,75729,16612,8499,8113,13799,6878,6921
Condeixa-a-Nova,16923,7906,9017,2278,1172,1106,1734,890,844
Figueira da Foz,59034,27939,31095,6539,3389,3150,5629,2899,2730
Góis,3804,1767,2037,307,138,169,314,170,144
Lousã,17085,8232,8853,2208,1166,1042,1822,955,867
Mealhada,19462,9299,10163,2190,1130,1060,1942,1024,918
Mira,12127,5768,6359,1402,733,669,1066,581,485
Miranda do Corvo,12047,5778,6269,1274,643,631,1275,677,598
Montemor-o-Velho,24631,11837,12794,3007,1566,1441,2230,1159,1071
Mortágua,8968,4271,4697,849,424,425,711,361,350
Oliveira do Hospital,19394,9300,10094,2114,1119,995,1885,985,900
Pampilhosa da Serra,4116,1926,2190,268,134,134,235,119,116
Penacova,13070,6153,6917,1207,630,577,1185,578,607
Penela,5435,2590,2845,558,272,286,457,238,219
Soure,17201,8158,9043,1702,905,797,1536,797,739
Tábua,11188,5305,5883,1251,637,614,1063,497,566
Vila Nova de Poiares,6851,3216,3635,741,353,388,692,354,338
Região de Leiria,287969,138262,149707,35566,18339,17227,29861,15306,14555
Alvaiázere,6269,2928,3341,567,301,266,516,266,250
Ansião,11647,5533,6114,1161,601,560,1134,580,554
Batalha,15689,7593,8096,2186,1130,1056,1634,823,811
Castanheira de Pêra,2645,1254,1391,202,102,100,224,126,98
Figueiró dos Vinhos,5283,2497,2786,480,260,220,418,222,196
Leiria,129327,62207,67120,16908,8732,8176,13909,7181,6728
Marinha Grande,39203,18905,20298,4995,2502,2493,4131,2098,2033
Pedrógão Grande,3414,1619,1795,273,139,134,302,154,148
Pombal,51230,24429,26801,5897,3087,2810,5121,2552,2569
Porto de Mós,23262,11297,11965,2897,1485,1412,2472,1304,1168
Viseu Dão Lafões,253263,119736,133527,29045,14872,14173,25464,13065,12399
Aguiar da Beira,5218,2450,2768,427,215,212,430,227,203
Carregal do Sal,9063,4259,4804,1005,509,496,871,436,435
Castro Daire,13724,6541,7183,1320,676,644,1329,684,645
Mangualde,18294,8753,9541,2012,1019,993,1840,971,869
Nelas,13107,6201,6906,1508,787,721,1297,691,606
Oliveira de Frades,9543,4575,4968,1158,587,571,1009,529,480
Penalva do Castelo,7315,3504,3811,726,398,328,690,357,333
Santa Comba Dão,10636,5020,5616,1152,599,553,992,499,493
São Pedro do Sul,15114,7146,7968,1488,778,710,1503,752,751
Sátão,11063,5226,5837,1215,622,593,1110,567,543
Tondela,25895,12260,13635,2584,1320,1264,2443,1312,1131
Vila Nova de Paiva,4657,2235,2422,459,259,200,445,226,219
Viseu,100041,47043,52998,13039,6628,6411,10581,5346,5235
Vouzela,9593,4523,5070,952,475,477,924,468,456
Beira Baixa,80731,38455,42276,8163,4187,3976,6808,3504,3304
Castelo Branco,52311,24753,27558,5968,3031,2937,4849,2493,2356
Idanha-a-Nova,8317,3981,4336,717,372,345,607,315,292
Oleiros,4924,2356,2568,289,163,126,303,144,159
Penamacor,4745,2341,2404,312,171,141,297,167,130
Proença-a-Nova,7133,3453,3680,584,296,288,553,279,274
Vila Velha de Ródão,3301,1571,1730,293,154,139,199,106,93
Médio Tejo,229258,108750,120508,26035,13436,12599,22748,11724,11024
Abrantes,34207,16402,17805,3465,1786,1679,3240,1727,1513
Alcanena,12487,5998,6489,1485,761,724,1225,651,574
Constância,3832,1828,2004,460,234,226,411,211,200
Entroncamento,20476,9626,10850,2973,1507,1466,2253,1115,1138
