,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado  (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado  (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado  (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado  (N.º)"
Tabuaço,73,73,0,103,103,0,71,71,0,125,125,0
Tarouca,178,140,38,232,232,0,134,134,0,228,228,0
Torre de Moncorvo,100,87,13,154,154,0,88,88,0,106,106,0
Vila Nova de Foz Côa,93,63,30,144,144,0,85,85,0,123,123,0
Vila Real,1151,792,359,1748,1546,202,944,881,63,1464,1419,45
Terras de Trás-os-Montes,1903,1014,889,2851,2621,230,1603,1603,0,2625,2513,112
Alfândega da Fé,61,43,18,108,108,0,53,53,0,89,89,0
Bragança,682,324,358,1038,862,176,576,576,0,914,882,32
Macedo de Cavaleiros,254,149,105,346,346,0,188,188,0,331,331,0
Miranda do Douro,118,105,13,142,142,0,101,101,0,140,140,0
Mirandela,420,162,258,642,588,54,388,388,0,638,558,80
Mogadouro,123,48,75,193,193,0,91,91,0,189,189,0
Vila Flor,89,65,24,165,165,0,88,88,0,133,133,0
Vimioso,51,51,0,77,77,0,44,44,0,58,58,0
Vinhais,105,67,38,140,140,0,74,74,0,133,133,0
Centro,50318,28435,21883,74184,69351,4833,41058,37088,3970,66411,58776,7635
Oeste,8694,5222,3472,13164,12530,634,7558,6456,1102,11937,9460,2477
Alcobaça,1258,517,741,1782,1715,67,1040,1040,0,1687,1200,487
Alenquer,942,663,279,1590,1590,0,942,942,0,1326,1326,0
Arruda dos Vinhos,409,272,137,653,653,0,459,27,432,820,0,820
Bombarral,266,205,61,393,393,0,227,227,0,400,400,0
Cadaval,241,187,54,399,399,0,226,226,0,273,273,0
Caldas da Rainha,1241,741,500,1925,1661,264,1113,950,163,1820,1629,191
Lourinhã,654,455,199,956,956,0,525,525,0,754,754,0
Nazaré,361,245,116,482,482,0,229,229,0,338,302,36
Óbidos,298,231,67,433,433,0,224,224,0,283,283,0
Peniche,662,245,417,1027,1027,0,550,550,0,898,855,43
Sobral de Monte Agraço,246,156,90,377,377,0,270,270,0,360,360,0
Torres Vedras,2116,1305,811,3147,2844,303,1753,1246,507,2978,2078,900
Região de Aveiro,9055,4365,4690,13076,12500,576,7108,6599,509,11223,10280,943
Águeda,1141,478,663,1640,1580,60,850,822,28,1308,1287,21
Albergaria-a-Velha,570,279,291,894,824,70,507,427,80,788,663,125
Anadia,617,254,363,924,785,139,509,385,124,811,612,199
Aveiro,2199,749,1450,3202,2981,221,1867,1758,109,2857,2588,269
Estarreja,672,350,322,932,893,39,502,502,0,854,854,0
Ílhavo,958,540,418,1352,1352,0,675,675,0,1014,1014,0
Murtosa,238,157,81,370,370,0,222,222,0,348,348,0
Oliveira do Bairro,614,313,301,878,878,0,442,442,0,654,654,0
Ovar,1240,659,581,1811,1764,47,932,932,0,1538,1501,37
Sever do Vouga,228,192,36,319,319,0,173,173,0,288,288,0
Vagos,578,394,184,754,754,0,429,261,168,763,471,292
Região de Coimbra,9541,4618,4923,13928,12483,1445,7552,7029,523,12160,11292,868
Arganil,220,185,35,333,333,0,165,165,0,235,235,0
Cantanhede,714,381,333,1102,1064,38,578,534,44,957,889,68
Coimbra,3596,1005,2591,5070,3863,1207,2633,2246,387,4249,3666,583
Condeixa-a-Nova,303,221,82,482,482,0,324,324,0,481,481,0
Figueira da Foz,1243,600,643,1893,1701,192,1012,1012,0,1744,1712,32
Góis,72,43,29,79,79,0,37,37,0,80,80,0
Lousã,392,303,89,580,580,0,312,312,0,575,575,0
Mealhada,404,207,197,548,548,0,352,352,0,552,552,0
Mira,207,164,43,368,368,0,220,220,0,290,290,0
Miranda do Corvo,223,132,91,330,330,0,210,210,0,351,351,0
Montemor-o-Velho,448,239,209,678,678,0,351,351,0,512,480,32
Mortágua,157,126,31,245,245,0,140,140,0,175,175,0
Oliveira do Hospital,417,215,202,652,644,8,336,336,0,543,543,0
Pampilhosa da Serra,54,21,33,94,94,0,42,42,0,67,67,0
Penacova,222,222,0,305,305,0,170,170,0,333,312,21
Penela,92,92,0,147,147,0,66,66,0,102,102,0
Soure,358,176,182,489,489,0,282,190,92,435,303,132
Tábua,268,213,55,316,316,0,173,173,0,307,307,0
Vila Nova de Poiares,151,73,78,217,217,0,149,149,0,172,172,0
Região de Leiria,6921,4557,2364,9903,9127,776,5518,4491,1027,9085,7351,1734
Alvaiázere,99,99,0,152,152,0,83,83,0,127,127,0
Ansião,208,122,86,349,349,0,208,208,0,385,385,0
Batalha,425,252,173,531,531,0,271,271,0,486,486,0
Castanheira de Pêra,32,32,0,68,68,0,39,39,0,62,62,0
Figueiró dos Vinhos,91,55,36,121,121,0,74,74,0,125,125,0
Leiria,3280,1959,1321,4741,4141,600,2535,1946,589,4146,3166,980
Marinha Grande,963,721,242,1416,1301,115,811,792,19,1348,1261,87
Pedrógão Grande,59,38,21,88,88,0,48,48,0,78,78,0
Pombal,1210,865,345,1636,1614,22,973,710,263,1608,1157,451
