,"Docentes, 3º Ciclo do ensino básico e ensino secundário, Total (N.º)","Docentes, 3º Ciclo do ensino básico e ensino secundário, Público (N.º)","Docentes, 3º Ciclo do ensino básico e ensino secundário, Privado  (N.º)","Docentes, Formadores/as
(escolas profissionais), Total (N.º)","Docentes, Formadores/as
(escolas profissionais), Público (N.º)","Docentes, Formadores/as
(escolas profissionais), Privado  (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Total (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Público (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Privado (N.º)"
Sobral de Monte Agraço,78,78,0,0,0,0,73,56,17
Torres Vedras,587,467,120,153,0,153,551,275,276
Região de Aveiro,2546,2385,161,347,48,299,2409,1612,797
Águeda,301,294,7,0,0,0,286,208,78
Albergaria-a-Velha,186,161,25,81,0,81,185,118,67
Anadia,187,155,32,28,0,28,219,101,118
Aveiro,635,608,27,95,0,95,595,380,215
Estarreja,211,211,0,0,0,0,164,125,39
Ílhavo,272,272,0,0,0,0,218,181,37
Murtosa,52,52,0,0,0,0,70,57,13
Oliveira do Bairro,128,128,0,15,0,15,73,43,30
Ovar,341,326,15,26,0,26,359,247,112
Sever do Vouga,82,82,0,54,0,54,107,68,39
Vagos,151,96,55,48,48,0,133,84,49
Região de Coimbra,3093,2917,176,395,47,348,3080,2232,848
Arganil,82,82,0,0,0,0,98,94,4
Cantanhede,220,211,9,28,0,28,191,134,57
Coimbra,1267,1123,144,124,47,77,1083,653,430
Condeixa-a-Nova,84,84,0,0,0,0,67,63,4
Figueira da Foz,389,388,1,57,0,57,419,309,110
Góis,19,19,0,0,0,0,17,15,2
Lousã,112,112,0,20,0,20,122,106,16
Mealhada,93,93,0,30,0,30,132,89,43
Mira,82,82,0,0,0,0,107,104,3
Miranda do Corvo,88,88,0,0,0,0,74,67,7
Montemor-o-Velho,116,116,0,48,0,48,146,103,43
Mortágua,50,50,0,0,0,0,57,54,3
Oliveira do Hospital,129,129,0,30,0,30,187,142,45
Pampilhosa da Serra,27,27,0,0,0,0,28,22,6
Penacova,69,69,0,29,0,29,80,69,11
Penela,23,23,0,9,0,9,37,31,6
Soure,114,92,22,0,0,0,106,66,40
Tábua,76,76,0,20,0,20,77,68,9
Vila Nova de Poiares,53,53,0,0,0,0,52,43,9
Região de Leiria,1935,1710,225,170,0,170,1798,1276,522
Alvaiázere,30,30,0,12,0,12,40,33,7
Ansião,83,83,0,29,0,29,94,63,31
Batalha,109,109,0,0,0,0,67,50,17
Castanheira de Pêra,15,15,0,0,0,0,24,24,0
Figueiró dos Vinhos,34,34,0,0,0,0,81,80,1
Leiria,852,731,121,25,0,25,818,539,279
Marinha Grande,317,308,9,32,0,32,229,184,45
Pedrógão Grande,14,14,0,25,0,25,48,29,19
Pombal,343,274,69,47,0,47,261,181,80
Porto de Mós,138,112,26,0,0,0,136,93,43
Viseu Dão Lafões,2000,1965,35,194,0,194,2103,1813,290
Aguiar da Beira,51,51,0,0,0,0,37,37,0
Carregal do Sal,67,67,0,0,0,0,91,91,0
Castro Daire,101,101,0,16,0,16,98,88,10
Mangualde,136,136,0,0,0,0,107,95,12
Nelas,113,113,0,0,0,0,107,87,20
Oliveira de Frades,77,77,0,0,0,0,60,57,3
Penalva do Castelo,57,57,0,0,0,0,51,51,0
Santa Comba Dão,95,95,0,0,0,0,56,54,2
São Pedro do Sul,120,120,0,42,0,42,153,126,27
Sátão,86,86,0,0,0,0,83,80,3
Tondela,176,176,0,32,0,32,172,152,20
Vila Nova de Paiva,42,42,0,0,0,0,48,48,0
Viseu,807,772,35,71,0,71,929,757,172
Vouzela,72,72,0,33,0,33,111,90,21
Beira Baixa,519,519,0,102,0,102,634,502,132
Castelo Branco,366,366,0,75,0,75,445,339,106
Idanha-a-Nova,38,38,0,27,0,27,52,37,15
Oleiros,29,29,0,0,0,0,35,32,3
Penamacor,29,29,0,0,0,0,33,31,2
Proença-a-Nova,44,44,0,0,0,0,47,41,6
Vila Velha de Ródão,13,13,0,0,0,0,22,22,0
Médio Tejo,1713,1552,161,190,42,148,1657,1247,410
Abrantes,250,250,0,42,42,0,208,171,37
Alcanena,85,85,0,0,0,0,88,76,12
Constância,45,45,0,0,0,0,31,31,0
Entroncamento,150,136,14,35,0,35,142,79,63
Ferreira do Zêzere,50,50,0,0,0,0,43,34,9
Mação,55,55,0,0,0,0,43,43,0
Ourém,318,196,122,56,0,56,352,203,149
Sardoal,31,31,0,0,0,0,40,40,0
Sertã,98,79,19,11,0,11,128,89,39
Tomar,320,319,1,17,0,17,270,236,34
Torres Novas,234,229,5,29,0,29,228,165,63
Vila de Rei,22,22,0,0,0,0,24,23,1
Vila Nova da Barquinha,55,55,0,0,0,0,60,57,3
Beiras e Serra da Estrela,1546,1498,48,251,21,230,1870,1466,404
Almeida,46,46,0,0,0,0,52,52,0
Belmonte,38,38,0,0,0,0,47,39,8
Celorico da Beira,54,54,0,0,0,0,65,55,10
Covilhã,390,386,4,63,21,42,410,332,78
Figueira de Castelo Rodrigo,42,42,0,0,0,0,71,44,27
Fornos de Algodres,41,41,0,0,0,0,35,35,0
Fundão,174,165,9,33,0,33,188,152,36
Gouveia,81,81,0,34,0,34,122,80,42
Guarda,301,285,16,21,0,21,374,278,96
Manteigas,24,24,0,13,0,13,34,27,7
Mêda,31,31,0,0,0,0,39,34,5
Pinhel,60,60,0,0,0,0,78,67,11
Sabugal,62,54,8,0,0,0,70,57,13
Seia,143,132,11,56,0,56,173,129,44
Trancoso,59,59,0,31,0,31,112,85,27
A. M. Lisboa,20857,18185,2672,2162,259,1903,21267,12062,9205
Alcochete,167,167,0,0,0,0,156,91,65
Almada,1384,1275,109,92,0,92,1285,847,438
Amadora,1110,1038,72,115,0,115,1235,773,462
Barreiro,652,635,17,24,0,24,600,427,173
Cascais,1653,1102,551,114,50,64,1879,620,1259
Lisboa,5346,4076,1270,1046,96,950,5341,2133,3208
Loures,1172,1092,80,47,0,47,1496,1089,407
Mafra,517,444,73,59,0,59,472,352,120
Moita,413,413,0,41,0,41,417,339,78
Montijo,336,336,0,43,0,43,355,257,98
Odivelas,959,919,40,60,60,0,811,619,192
Oeiras,1148,1054,94,82,0,82,1181,589,592
Palmela,473,391,82,0,0,0,413,248,165
Seixal,975,915,60,21,0,21,1018,690,328
Sesimbra,349,349,0,15,0,15,393,295,98
Setúbal,856,840,16,210,53,157,994,655,339
Sintra,2392,2216,176,156,0,156,2274,1445,829
Vila Franca de Xira,955,923,32,37,0,37,947,593,354
Alentejo,5245,5142,103,526,109,417,5668,4570,1098
Alentejo Litoral,620,590,30,91,31,60,778,631,147
Alcácer do Sal,84,84,0,0,0,0,92,89,3
Grândola,86,86,0,31,31,0,115,109,6
Odemira,158,128,30,34,0,34,235,171,64
Santiago do Cacém,204,204,0,0,0,0,237,210,27
Sines,88,88,0,26,0,26,99,52,47
