,"Average number of students enrolled by computer, Total (N.º)","Average number of students enrolled by computer, Primary education, 1st cycle (N.º)","Average number of students enrolled by computer, Primary education, 2nd cycle (N.º)","Average number of students enrolled by computer, Secondary education, Lower (N.º)","Average number of students enrolled by computer, Secondary education, Upper (N.º)","Average number of students enrolled by computer connected to the internet, Total, Upper (N.º)","Average number of students enrolled by computer connected to the internet, Primary education, 1st cycle (N.º)","Average number of students enrolled by computer connected to the internet, Primary education, 2nd cycle (N.º)","Average number of students enrolled by computer connected to the internet, Secondary education, Lower (N.º)","Average number of students enrolled by computer connected to the internet, Secondary education, Upper (N.º)"
Portugal,x,x,x,x,x,x,x,x,x,x
Coimbra,1.4,1.7,1.3,1.2,1.5,1.4,1.8,1.3,1.2,1.5
Condeixa-a-Nova,1,1,1,1.1,1.1,1,1,1,1.1,1.1
Figueira da Foz,1.3,1.5,1.2,1.1,1.4,1.3,1.6,1.3,1.1,1.4
Góis,0.9,0.9,0.8,0.9,//,0.9,0.9,0.8,1,//
Lousã,1,1.2,1,1,0.9,1,1.2,1,1,0.9
Mealhada,1.4,1.2,1.4,1.7,1.5,1.4,1.2,1.4,1.7,1.5
Mira,1.2,1.3,1,1.2,1.4,1.4,1.5,1.4,1.3,1.6
Miranda do Corvo,1.2,1.4,0.9,1.1,1.5,1.2,1.4,0.9,1.1,1.5
Montemor-o-Velho,1.5,2.2,1.2,1.3,1.2,1.5,2.2,1.2,1.3,1.2
Mortágua,1,1.1,1.1,0.8,1,1.1,1.1,1.1,0.9,1.2
Oliveira do Hospital,0.9,1,0.9,0.9,0.9,0.9,1.1,0.9,0.9,0.9
Pampilhosa da Serra,1.1,1.2,0.9,1,0.9,1.1,1.2,0.9,1,0.9
Penacova,1.2,1.2,0.9,0.9,1.8,1.2,1.3,0.9,0.9,1.8
Penela,0.8,0.8,0.9,0.9,0.8,0.8,0.8,0.9,0.9,0.8
Soure,1,1.2,1.1,1,0.9,1,1.2,1.1,1,0.9
Tábua,1.1,1.3,1.1,1,1.2,1.2,1.3,1.1,1,1.2
Vila Nova de Poiares,0.9,0.9,1.1,0.7,0.9,0.9,0.9,1.2,0.7,1
Região de Leiria,1.4,1.4,1.2,1.2,1.7,1.4,1.4,1.2,1.2,1.8
Alvaiázere,0.9,0.9,0.7,0.9,1,1,0.9,0.7,0.9,1.4
Ansião,1.5,1.5,2.2,1.4,1.4,1.5,1.5,2.2,1.4,1.4
Batalha,1.6,1.7,1.3,1.5,2,1.6,1.7,1.3,1.5,2
Castanheira de Pêra,0.5,0.5,0.6,0.6,//,0.6,0.6,0.6,0.6,//
Figueiró dos Vinhos,0.9,1.1,0.9,0.8,0.7,0.9,1.1,0.9,0.8,0.7
Leiria,1.3,1.4,1.1,1.1,1.7,1.3,1.5,1.1,1.1,1.7
Marinha Grande,1.6,1.5,1.4,1.3,2.1,1.7,1.6,1.5,1.4,2.1
Pedrógão Grande,0.7,0.9,0.6,0.5,0.9,0.7,0.9,0.6,0.5,0.9
Pombal,1.5,1.2,1.4,1.4,2.1,1.5,1.2,1.5,1.5,2.1
Porto de Mós,1.4,1.7,1.5,1.1,1.7,1.5,1.8,1.5,1.1,1.8
Viseu Dão Lafões,1.2,1.3,1,1.1,1.5,1.3,1.3,1.1,1.1,1.6
Aguiar da Beira,0.9,1.4,0.7,0.7,0.8,0.9,1.4,0.7,0.7,0.8
Carregal do Sal,0.9,0.9,0.9,0.8,1.2,0.9,0.9,0.9,0.8,1.2
Castro Daire,1.1,2.8,1.2,0.8,1,1.1,2.8,1.2,0.8,1
Mangualde,1,1,1.1,0.9,1.1,1,1,1.1,0.9,1.1
Nelas,1,1.2,0.9,1,1,1,1.2,0.9,1,1
Oliveira de Frades,1.2,1.3,1,1,1.8,1.2,1.3,1,1,1.8
Penalva do Castelo,1,1.2,1.1,0.8,0.9,1,1.2,1.1,0.8,1
Santa Comba Dão,1.1,1.7,1.3,1,0.9,1.1,1.7,1.3,1,0.9
São Pedro do Sul,1.4,1.3,1.2,1.1,1.8,1.6,1.5,1.4,1.3,2.3
Sátão,1,1.1,0.8,0.9,1.2,1,1.2,0.8,0.9,1.2
Tondela,1,1,0.7,0.8,1.3,1.1,1.1,0.7,1,1.5
Vila Nova de Paiva,0.9,1.2,1,0.7,1,0.9,1.2,1,0.7,1
Viseu,1.5,1.4,1.2,1.4,2.1,1.5,1.4,1.2,1.4,2.1
Vouzela,1.4,1.2,0.9,1.4,2.2,1.8,1.3,1,2.3,3.1
Beira Baixa,1.2,1.4,1.2,1,1.2,1.2,1.5,1.2,1,1.2
Castelo Branco,1.2,1.5,1.3,1.1,1.2,1.3,1.6,1.3,1.1,1.2
Idanha-a-Nova,1.2,1.3,1.3,1,1.4,1.2,1.4,1.3,1,1.4
Oleiros,1.3,1.3,1.3,1,2.1,1.3,1.3,1.3,1,2.1
Penamacor,0.9,1.3,1.1,0.7,0.9,0.9,1.3,1.1,0.7,0.9
Proença-a-Nova,1,1.4,0.9,0.9,1,1,1.4,0.9,0.9,1
Vila Velha de Ródão,0.8,0.9,1,0.7,//,0.8,0.9,1,0.7,//
Médio Tejo,1.1,1.1,1,1,1.3,1.1,1.2,1,1,1.4
Abrantes,0.9,0.7,1,1,1.1,0.9,0.8,1,1,1.1
Alcanena,0.9,1.1,0.9,0.7,0.9,0.9,1.1,0.9,0.7,0.9
Constância,0.8,0.8,0.6,0.7,0.9,0.8,0.8,0.7,0.8,1
Entroncamento,1.3,1.6,1.4,1.1,1.3,1.4,1.6,1.4,1.1,1.3
Ferreira do Zêzere,0.9,0.9,0.8,0.8,1.1,1.1,0.9,1,1.1,1.7
Mação,1.2,1.4,0.9,1,1.4,1.2,1.4,0.9,1.1,1.5
Ourém,1.3,1.2,1,1.1,2.3,1.3,1.2,1,1.1,2.3
Sardoal,1.3,2.5,1.3,0.9,1.2,1.3,2.5,1.3,0.9,1.2
Sertã,1.4,1.4,1.3,1.3,1.8,1.6,1.6,1.5,1.5,1.8
