,"Average number of students enrolled by computer, Total (N.º)","Average number of students enrolled by computer, Primary education, 1st cycle (N.º)","Average number of students enrolled by computer, Primary education, 2nd cycle (N.º)","Average number of students enrolled by computer, Secondary education, Lower (N.º)","Average number of students enrolled by computer, Secondary education, Upper (N.º)","Average number of students enrolled by computer connected to the internet, Total, Upper (N.º)","Average number of students enrolled by computer connected to the internet, Primary education, 1st cycle (N.º)","Average number of students enrolled by computer connected to the internet, Primary education, 2nd cycle (N.º)","Average number of students enrolled by computer connected to the internet, Secondary education, Lower (N.º)","Average number of students enrolled by computer connected to the internet, Secondary education, Upper (N.º)"
Portugal,x,x,x,x,x,x,x,x,x,x
Chamusca,1,1,0.9,1.1,1,1,1,1,1.2,1
Coruche,1.3,1.5,1.3,1.1,1.4,1.5,1.5,1.3,1.3,1.9
Golegã,1.2,1.2,1,1.3,1.4,1.7,1.7,1.3,1.7,2
Rio Maior,1.2,1.1,1.2,1,1.8,1.4,1.3,1.5,1.1,1.8
Salvaterra de Magos,1.1,1.2,0.9,0.8,1.4,1.1,1.2,1,0.9,1.5
Santarém,1.1,1.2,0.9,1,1.3,1.1,1.3,0.9,1,1.4
Alto Alentejo,1.2,1.2,1.1,1,1.6,1.3,1.3,1.2,1,1.6
Alter do Chão,1.2,1.4,1,1,1.2,1.3,1.4,1.2,1.2,1.2
Arronches,0.7,0.7,0.8,0.6,0.6,0.9,0.9,1.1,0.8,0.8
Avis,0.9,1,0.9,0.9,0,0.9,1,0.9,0.9,0
Campo Maior,1.2,1.3,1.2,1,1.3,1.5,1.5,1.4,1.3,1.8
Castelo de Vide,0.9,1.3,0.8,0.7,//,0.9,1.3,0.8,0.7,//
Crato,1.1,1.2,0.8,0.9,1.9,1.2,1.2,0.8,0.9,42
Elvas,1.2,1.3,1.1,1,1.8,1.2,1.4,1.1,1,1.8
Fronteira,1,1.3,1.2,0.8,//,1.1,1.5,1.2,0.8,//
Gavião,0.7,0.8,0.8,0.7,0.6,0.7,0.8,0.8,0.7,0.6
Marvão,0.9,0.9,0.8,1,//,1,0.9,0.8,1.1,//
Monforte,1.4,2.1,1.4,1,//,1.8,3.4,1.8,1.2,//
Nisa,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.6
Ponte de Sor,1.5,1.8,1.1,1.3,1.7,1.5,1.9,1.1,1.3,1.7
Portalegre,1.6,1.2,1.9,1.4,2.1,1.6,1.2,2,1.4,2.1
Sousel,0.9,1.1,0.8,0.8,1,0.9,1.1,0.8,0.8,1
Alentejo Central,1.2,1.3,1.2,1.1,1.4,1.3,1.3,1.2,1.1,1.4
Alandroal,0.9,1.1,0.8,0.8,//,0.9,1.1,0.8,0.8,//
Arraiolos,0.9,1.2,0.8,0.8,0.8,0.9,1.2,0.8,0.8,0.8
Borba,0.9,0.9,1.2,0.9,//,1,0.9,1.2,0.9,//
Estremoz,1.3,1.3,1.1,1.1,1.7,1.4,1.3,1.2,1.1,1.7
Évora,1.3,1.3,1.2,1.2,1.5,1.4,1.3,1.3,1.3,1.7
Montemor-o-Novo,1.5,1.7,1.6,1.3,1.6,1.6,1.8,1.7,1.4,1.6
Mora,1.2,1.6,1.2,1,1.1,1.2,1.6,1.2,1,1.1
Mourão,0.7,0.7,0.7,0.8,//,0.7,0.7,0.7,0.8,//
Portel,1.2,1.8,1,0.9,0.8,1.2,1.8,1,0.9,0.8
Redondo,1.1,1.1,1,0.9,1.2,1.1,1.1,1,0.9,1.2
Reguengos de Monsaraz,1.4,1.6,1.2,1.2,1.5,1.4,1.7,1.2,1.2,1.5
Vendas Novas,1.1,1.4,1.4,0.9,0.9,1.1,1.4,1.4,0.9,0.9
Viana do Alentejo,1.8,2.2,1.7,1.6,1.7,1.8,2.2,1.7,1.6,1.7
Vila Viçosa,1,1.3,1.2,0.8,0.9,1,1.3,1.2,0.8,0.9
Algarve,1.2,1.3,1.1,1.1,1.6,1.3,1.3,1.1,1.1,1.6
Albufeira,1.6,1.8,1.4,1.3,1.7,1.7,1.9,1.5,1.4,1.7
Alcoutim,0.6,0.4,0.8,0.8,//,0.6,0.5,0.8,0.8,//
Aljezur,1.6,1.8,2.1,1.2,//,1.6,1.8,2.1,1.2,//
Castro Marim,1,1.4,0.9,0.8,//,1.1,1.4,0.9,0.9,//
Faro,1.2,1.3,1,1.1,1.5,1.3,1.4,1,1.1,1.5
Lagoa,1.1,1.2,1.2,1,1.4,1.1,1.2,1.2,1,1.4
Lagos,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.1,1.2,1.4
Loulé,1.2,1.2,1.1,1,1.5,1.2,1.2,1.1,1,1.5
Monchique,0.7,0.7,0.8,0.7,//,0.7,0.7,0.8,0.7,//
Olhão,1.1,1.2,1,0.9,1.5,1.1,1.3,1,0.9,1.5
Portimão,1.2,1.1,1,1,1.8,1.2,1.2,1,1,1.8
São Brás de Alportel,1.2,1.4,1.3,1,1.1,1.4,1.6,1.6,1.3,1.2
Silves,1.3,1.3,1.2,1.1,2,1.3,1.3,1.2,1.1,2
Tavira,1.4,1.3,1.3,1.4,1.8,1.4,1.3,1.3,1.4,1.8
Vila do Bispo,1.5,2.2,1.1,1.1,//,1.9,2.8,1.4,1.4,//
Vila Real de Santo António,1.3,1.3,1.2,1.1,1.7,1.4,1.3,1.2,1.1,2.1
R. A. Açores,x,x,x,x,x,x,x,x,x,x
Santa Maria,x,x,x,x,x,x,x,x,x,x
Vila do Porto,x,x,x,x,x,x,x,x,x,x
São Miguel,x,x,x,x,x,x,x,x,x,x
Lagoa (R.A.A.),x,x,x,x,x,x,x,x,x,x
Nordeste,x,x,x,x,x,x,x,x,x,x
Ponta Delgada,x,x,x,x,x,x,x,x,x,x
Povoação,x,x,x,x,x,x,x,x,x,x
Ribeira Grande,x,x,x,x,x,x,x,x,x,x
Vila Franca do Campo,x,x,x,x,x,x,x,x,x,x
Terceira,x,x,x,x,x,x,x,x,x,x
Angra do Heroísmo,x,x,x,x,x,x,x,x,x,x
Vila da Praia da Vitória,x,x,x,x,x,x,x,x,x,x
Graciosa,x,x,x,x,x,x,x,x,x,x
Santa Cruz da Graciosa,x,x,x,x,x,x,x,x,x,x
São Jorge,x,x,x,x,x,x,x,x,x,x
Calheta (R.A.A.),x,x,x,x,x,x,x,x,x,x
Velas,x,x,x,x,x,x,x,x,x,x
Pico,x,x,x,x,x,x,x,x,x,x
Lajes do Pico,x,x,x,x,x,x,x,x,x,x
Madalena,x,x,x,x,x,x,x,x,x,x
São Roque do Pico,x,x,x,x,x,x,x,x,x,x
Faial,x,x,x,x,x,x,x,x,x,x
Horta,x,x,x,x,x,x,x,x,x,x
Flores,x,x,x,x,x,x,x,x,x,x
Lajes das Flores,x,x,x,x,x,x,x,x,x,x
Santa Cruz das Flores,x,x,x,x,x,x,x,x,x,x
Corvo,x,x,x,x,x,x,x,x,x,x
Corvo,x,x,x,x,x,x,x,x,x,x
R. A. Madeira,x,x,x,x,x,x,x,x,x,x
Calheta (R.A.M.),x,x,x,x,x,x,x,x,x,x
Câmara de Lobos,x,x,x,x,x,x,x,x,x,x
Funchal,x,x,x,x,x,x,x,x,x,x
Machico,x,x,x,x,x,x,x,x,x,x
Ponta do Sol,x,x,x,x,x,x,x,x,x,x
Porto Moniz,x,x,x,x,x,x,x,x,x,x
Ribeira Brava,x,x,x,x,x,x,x,x,x,x
Santa Cruz,x,x,x,x,x,x,x,x,x,x
Santana,x,x,x,x,x,x,x,x,x,x
São Vicente,x,x,x,x,x,x,x,x,x,x
Porto Santo,x,x,x,x,x,x,x,x,x,x
