,"Pre-primary education, Total (N.º)","Pre-primary education, Public (N.º)","Pre-primary education, Private (N.º)","Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, Public (N.º)","Primary education, 1st cycle, Private (N.º)","Primary education, 2nd cycle, Total (N.º)","Primary education, 2nd cycle, Public (N.º)","Primary education, 2nd cycle, Private (N.º)","Lower secondary education, 2nd cycle, Total (N.º)","Lower secondary education, 2nd cycle, Public (N.º)","Lower secondary education, 2nd cycle, Private (N.º)"
Portugal,259030,140218,118812,372410,321632,50778,208510,183489,25021,324827,287659,37168
Continente,246235,132525,113710,353848,306366,47482,197868,173690,24178,308040,272050,35990
Norte,85386,49633,35753,117676,103625,14051,67701,60512,7189,106807,96007,10800
Alto Minho,5232,3595,1637,7190,6922,268,3940,3822,118,6422,6158,264
Arcos de Valdevez,394,204,190,530,530,0,278,278,0,494,494,0
Caminha,375,264,111,486,486,0,254,254,0,382,375,7
Melgaço,105,59,46,163,163,0,105,105,0,167,167,0
Monção,372,277,95,503,422,81,293,252,41,481,443,38
Paredes de Coura,172,75,97,237,237,0,131,131,0,231,231,0
Ponte da Barca,210,155,55,316,316,0,171,171,0,267,267,0
Ponte de Lima,908,851,57,1306,1306,0,742,742,0,1145,1145,0
Valença,331,331,0,465,465,0,232,232,0,353,353,0
Viana do Castelo,2126,1173,953,2898,2711,187,1575,1498,77,2617,2398,219
Vila Nova de Cerveira,239,206,33,286,286,0,159,159,0,285,285,0
Cávado,11122,6410,4712,14920,12599,2321,8497,7161,1336,13337,11558,1779
Amares,410,381,29,521,521,0,288,288,0,537,537,0
Barcelos,2816,2216,600,3714,3542,172,2197,1962,235,3382,3061,321
Braga,5651,2291,3360,7729,5704,2025,4361,3260,1101,6866,5440,1426
Esposende,961,533,428,1292,1292,0,708,708,0,1090,1067,23
Terras de Bouro,137,103,34,157,157,0,89,89,0,174,174,0
Vila Verde,1147,886,261,1507,1383,124,854,854,0,1288,1279,9
Ave,10288,5026,5262,13415,12589,826,7519,7107,412,11737,11112,625
Cabeceiras de Basto,330,250,80,530,530,0,280,275,5,505,500,5
Fafe,1157,462,695,1510,1390,120,880,821,59,1350,1262,88
Guimarães,3964,1694,2270,4967,4560,407,2815,2595,220,4346,4047,299
Mondim de Basto,124,68,56,173,173,0,102,102,0,172,172,0
Póvoa de Lanhoso,458,378,80,747,747,0,431,431,0,640,640,0
Vieira do Minho,199,175,24,302,302,0,190,190,0,288,288,0
Vila Nova de Famalicão,3392,1453,1939,4374,4075,299,2362,2234,128,3699,3466,233
Vizela,664,546,118,812,812,0,459,459,0,737,737,0
A. M. Porto,41906,22439,19467,58841,49459,9382,33958,29302,4656,53298,46179,7119
Arouca,473,386,87,716,716,0,431,431,0,670,670,0
Espinho,805,589,216,1081,1056,25,813,773,40,1394,1329,65
Gondomar,3443,2165,1278,4918,4224,694,2695,2378,317,4196,3740,456
Maia,3342,1679,1663,4702,4203,499,2823,2545,278,4261,3926,335
Matosinhos,4066,1948,2118,5534,4708,826,3008,2821,187,4976,4546,430
Oliveira de Azeméis,1422,841,581,1927,1834,93,1079,1079,0,1641,1641,0
Paredes,1915,1537,378,2769,2570,199,1621,1546,75,2622,2506,116
Porto,6888,1900,4988,9997,5867,4130,5696,3484,2212,8991,5542,3449
Póvoa de Varzim,1572,516,1056,2318,2078,240,1470,1342,128,2383,2237,146
Santa Maria da Feira,3283,2014,1269,4240,3893,347,2315,2066,249,3492,3189,303
Santo Tirso,1462,930,532,2011,1656,355,1369,1179,190,2098,1781,317
