,"Teaching staff, Lower and upper secondary education, Total (N.º)","Teaching staff, Lower and upper secondary education, Public (N.º)","Teaching staff, Lower and upper secondary education, Private (N.º)","Teaching staff, Trainers  (vocational schools), Total (N.º)","Teaching staff, Trainers  (vocational schools), Public (N.º)","Teaching staff, Trainers  (vocational schools), Private (N.º)","Non teaching staff in non-tertiary education, Trainers  (vocational schools), Total (N.º)","Non teaching staff in non-tertiary education, Trainers  (vocational schools), Public (N.º)","Non teaching staff in non-tertiary education, Trainers  (vocational schools), Private (N.º)"
Arraiolos,43,43,0,0,0,0,59,46,13
Borba,26,26,0,0,0,0,48,42,6
Estremoz,102,102,0,0,0,0,93,88,5
Évora,527,504,23,46,0,46,566,379,187
Montemor-o-Novo,99,99,0,0,0,0,135,113,22
Mora,29,29,0,0,0,0,39,35,4
Mourão,19,19,0,0,0,0,21,21,0
Portel,25,25,0,0,0,0,38,30,8
Redondo,43,43,0,0,0,0,39,36,3
Reguengos de Monsaraz,84,84,0,0,0,0,62,59,3
Vendas Novas,104,87,17,0,0,0,91,72,19
Viana do Alentejo,47,47,0,0,0,0,48,48,0
Vila Viçosa,81,81,0,0,0,0,77,64,13
Algarve,3980,3809,171,183,125,58,4368,3352,1016
Albufeira,343,343,0,0,0,0,469,424,45
Alcoutim,12,12,0,0,0,0,35,26,9
Aljezur,21,21,0,0,0,0,48,48,0
Castro Marim,26,26,0,0,0,0,59,49,10
Faro,594,576,18,75,61,14,726,518,208
Lagoa,219,167,52,0,0,0,256,155,101
Lagos,334,322,12,0,0,0,317,230,87
Loulé,686,643,43,25,0,25,819,676,143
Monchique,21,21,0,0,0,0,26,26,0
Olhão,379,365,14,0,0,0,366,290,76
Portimão,556,556,0,51,32,19,347,211,136
São Brás de Alportel,87,87,0,0,0,0,68,59,9
Silves,285,271,14,0,0,0,294,225,69
Tavira,192,183,9,0,0,0,230,144,86
Vila do Bispo,24,15,9,0,0,0,36,32,4
Vila Real de Santo António,201,201,0,32,32,0,272,239,33
R. A. Açores,2267,2250,17,528,30,498,3697,2785,912
Santa Maria,63,63,0,0,0,0,59,59,0
Vila do Porto,63,63,0,0,0,0,59,59,0
São Miguel,1313,1296,17,363,30,333,2040,1573,467
Lagoa (R.A.A.),165,165,0,27,0,27,195,165,30
Nordeste,48,48,0,28,0,28,53,53,0
Ponta Delgada,696,679,17,230,30,200,1099,791,308
Povoação,54,54,0,23,0,23,116,100,16
Ribeira Grande,251,251,0,32,0,32,417,337,80
