,"Museums, Visitors per museum, No.","Museums, Ratio of school visitors, %","Local administration total expenditure on cultural and creative activities per inhabitant, Ratio of school visitors, €","Local administration total expenditure on sports activities and equipments per inhabitant, Ratio of school visitors, €","Local administration expenditure on culture and sports as share of total expenditures, Ratio of school visitors, %"
Portugal,13854,7.5,45.7,29.2,8.7
Continente,14801,7.4,46.3,29.8,8.8
Norte,17483,6,33.6,28.6,8.4
Alto Minho,9106,4.8,65.6,39.7,10.5
Arcos de Valdevez,12394,2.5,99.2,95.2,15.7
Caminha,2009,49.8,93.2,25.5,10
Melgaço,…,…,162.4,11.4,10
Monção,…,…,165.1,47.9,19.3
Paredes de Coura,//,//,85.1,40.8,9
Ponte da Barca,//,//,29.7,8,3.3
Ponte de Lima,2493,28,48.8,49.9,13.6
Valença,4717,…,76.1,69.1,13.7
Viana do Castelo,21454,4,26.5,24.6,6.1
Vila Nova de Cerveira,2741,7.5,109.7,34.3,10.1
Cávado,11656,3.9,19.8,29.3,8.2
Amares,//,//,12.4,10.1,2.5
Barcelos,8502,4.8,20,17,7.9
Braga,18981,3.8,17.5,45.7,10.5
Esposende,…,…,39.3,22.9,9.8
Terras de Bouro,…,…,22.2,5.6,1.5
Vila Verde,//,//,16.8,10.8,4.5
Ave,15294,11.9,40.8,24.4,9.1
Cabeceiras de Basto,//,//,12.2,6.1,1.9
Fafe,//,//,23.6,27.4,7.4
Guimarães,32678,7.6,42.5,20.9,10.6
Mondim de Basto,//,//,169.4,10.8,9.6
Póvoa de Lanhoso,4598,10.9,45.9,42.3,9.9
Vieira do Minho,//,//,38.5,14.9,4.5
Vila Nova de Famalicão,2591,57.7,46.3,28.8,11
Vizela,//,//,11.8,21.6,4.1
A. M. Porto,35106,5.4,27.8,26.8,8.5
Arouca,19100,4.8,35,109.6,16.7
Espinho,1943,11.3,30.6,7.5,3.2
Gondomar,…,…,6.6,26.9,7.3
Maia,24133,6.2,17,41.8,12.4
Matosinhos,…,…,30.1,74.9,14.6
Oliveira de Azeméis,//,//,25.5,15.5,7.2
Paredes,//,//,7.9,24.7,6
Porto,73343,4.6,94.7,28.1,11.5
Póvoa de Varzim,10537,13.9,43.1,42.5,9.8
Santa Maria da Feira,4013,38.4,10.9,2.8,3.2
Santo Tirso,//,//,14.1,6,3.5
São João da Madeira,3226,28.8,45,50.3,11.1
Trofa,//,//,4.8,3.3,0.9
Vale de Cambra,419,62.1,56,36.6,12.4
Valongo,411,38.2,12.7,14.2,5.5
Vila do Conde,…,…,30.8,13.6,6.8
Vila Nova de Gaia,4483,4.4,11.8,10.5,4.3
Alto Tâmega,9587,1,66.9,59.8,8.5
Boticas,727,2.9,77,73.1,7.6
Chaves,…,…,58.9,35.4,7.8
Montalegre,…,…,131.2,64.4,8.9
Ribeira de Pena,//,//,90.9,162.9,9.7
Valpaços,//,//,39.5,42.7,7
Vila Pouca de Aguiar,//,//,62.4,100.2,10.5
Tâmega e Sousa,5238,15.7,27.8,25.3,8.2
Amarante,9756,10.3,48.6,40.5,13.6
Baião,…,…,73.7,13.3,9.5
Castelo de Paiva,//,//,10.3,13.5,3
Celorico de Basto,//,//,63,56.9,15.7
Cinfães,//,//,18,5.8,3
Felgueiras,//,//,10.9,13.3,3.4
Lousada,…,…,20.7,12.8,4.9
Marco de Canaveses,//,//,17,12,5.6
Paços de Ferreira,895,23.7,4,35.3,8.8
Penafiel,7973,8.2,31.5,30.1,10.1
Resende,//,//,100.7,66.4,15.3
Douro,8110,2.7,41.2,27.4,5.6
Alijó,3610,2.1,33.5,25.1,5
Armamar,//,//,14.4,44.5,4.1
Carrazeda de Ansiães,//,//,101.2,26.4,6.9
Freixo de Espada à Cinta,//,//,97.9,52.4,3.3
Lamego,7770,7.5,21.9,8.8,3.5
Mesão Frio,//,//,93.6,4.9,6
Moimenta da Beira,//,//,27.9,40.5,5.7
Murça,//,//,10.3,9,1.5
Penedono,//,//,115.3,54.7,8.3
Peso da Régua,14575,1.8,7.9,14.8,2.3
Sabrosa,3719,9.5,35.1,20.5,3.5
Santa Marta de Penaguião,//,//,25,43.3,6.9
São João da Pesqueira,1295,1.1,56.5,7.3,4
Sernancelhe,//,//,79.3,84.4,9.6
Tabuaço,//,//,35.7,22.6,4.1
Tarouca,//,//,60.3,46.6,7.5
Torre de Moncorvo,…,…,51.6,28.9,4.7
Vila Nova de Foz Côa,…,…,62.6,17.2,3.8
Vila Real,8080,3.1,43.2,31.5,10.2
Terras de Trás-os-Montes,4008,12.4,65.5,38.8,7.5
Alfândega da Fé,//,//,139.1,77.1,10.9
Bragança,6651,15.9,87.2,15.2,9.7
Macedo de Cavaleiros,…,…,15,13.1,1.9
Miranda do Douro,6297,1.1,70.3,92.7,9.7
Mirandela,1519,5.8,29.1,30,5.2
Mogadouro,…,…,124.2,77.3,11.9
Vila Flor,701,…,80.5,127.5,12.3
Vimioso,//,//,26.9,25,2.2
Vinhais,//,//,65.2,40.2,5.9
Centro,7392,8.3,50.2,35.8,10
Oeste,10441,3.8,34.9,21.5,7.6
Alcobaça,784,23.1,27.7,13.8,7.8
Alenquer,1114,13.2,17.1,6.5,5.3
Arruda dos Vinhos,//,//,26.5,21.4,5.9
Bombarral,…,…,14.5,19.4,1.5
Cadaval,560,41.1,39,3.1,5.1
Caldas da Rainha,4678,9.2,31.4,31.7,11.3
Lourinhã,…,…,29.6,22.4,5.4
Nazaré,…,…,79.5,81.1,15.5
Óbidos,4523,…,11.5,36.1,3.7
Peniche,1844,4.2,27.6,34.7,8.8
Sobral de Monte Agraço,//,//,136.7,35.7,20.6
Torres Vedras,16105,12.4,42.1,12.3,7.9
Região de Aveiro,6215,10,45.9,32,10.9
Águeda,…,…,35.1,24.7,9
Albergaria-a-Velha,//,//,44.6,60.3,17.8
Anadia,4333,7.1,19.4,20.8,5.4
Aveiro,16860,11.4,58.5,35.7,10.8
Estarreja,…,…,48.4,40.5,13
Ílhavo,…,…,66.4,27.9,13.9
Murtosa,//,//,58.6,39.5,12
Oliveira do Bairro,628,25.7,26.4,45.1,10.2
Ovar,1172,7.4,53.5,20.7,13.5
Sever do Vouga,823,0,39.4,37.9,8.6
Vagos,//,//,19,20.7,5.9
Região de Coimbra,16230,7.6,50.4,46.2,10.5
Arganil,//,//,89.2,34.8,7.7
Cantanhede,2672,46.2,21.4,23.5,7.6
Coimbra,23842,4.5,60.7,77.1,13.9
Condeixa-a-Nova,21294,11.6,37.6,70.7,13
Figueira da Foz,11437,34.5,49.1,22.7,9.8
Góis,//,//,118.5,39.2,7.9
Lousã,…,…,61.2,27.6,10.7
Mealhada,//,//,25.7,24.5,6.1
Mira,//,//,49.8,32.8,7.5
Miranda do Corvo,…,…,21.9,32.6,6.6
Montemor-o-Velho,//,//,19.2,37.7,8.6
Mortágua,//,//,40.8,66.9,9.7
Oliveira do Hospital,1611,…,71.3,28.1,11.5
Pampilhosa da Serra,744,60.3,148.4,53.1,8.2
Penacova,…,…,65.4,52.2,12.8
Penela,1350,…,158.6,41.9,13.8
Soure,//,//,29.2,17,5.7
Tábua,//,//,24.9,32.1,5
Vila Nova de Poiares,//,//,33,14.4,4.2
Região de Leiria,3679,19.3,48.7,33.9,10.7
Alvaiázere,3379,78,50.9,53.3,8.8
Ansião,3944,9.8,30.8,47.4,7.2
Batalha,2443,61.3,36.9,34.3,8.5
Castanheira de Pêra,…,…,16.8,26.2,2.3
Figueiró dos Vinhos,3581,3.1,74.9,64.7,8.5
Leiria,3796,9.6,55.7,30.6,12.8
Marinha Grande,4402,9.3,38,28,10.3
Pedrógão Grande,//,//,95,53.7,7.5
Pombal,2488,12.1,52.3,42.7,12.4
Porto de Mós,…,…,28.4,20.2,6.4
Viseu Dão Lafões,5302,6.6,38.3,36.7,8.5
