,"Proporção de TCO em estabelecimentos de empresas com menos de 10 trabalhadores, %","Proportion of employees in establishments of enterprises with 250 or more workers, %","Ganho médio mensal, €","Proporção de TCO com ensino superior, %","Proporção de TCO que mudou de empresa , %","Taxa de atração líquida de TCO, %","Disparidade no ganho médio mensal por sexo, %","Disparidade no ganho médio mensal por escalão de empresa, %","Disparidade no ganho médio mensal por setor de atividade, %","Disparidade no ganho médio mensal por nível de habilitações, %","Disparidade no ganho médio mensal por profissão principal, %"
Alter do Chão,32.4,2.2,932.6,14.5,12.1,7.3,6.4,7.4,5.9,16.5,19.7
Arronches,30.2,0.9,906.1,20.8,6.5,2,1,16.1,3.8,15.9,18.3
Avis,26.9,32.2,974.4,11.1,5.2,-2.3,9.9,14.3,5.5,22.1,28.3
Campo Maior,9.4,53.7,1324.3,19.6,8.3,4.3,8.9,15.7,8.1,25.8,47.4
Castelo de Vide,29.3,13.1,906.6,11.4,4.9,-0.2,3.5,11.3,4.4,16.6,17.3
Crato,28,4.5,867.9,11.3,6.8,-5.2,1.8,6.9,4.4,13.7,16.9
Elvas,30.7,23.7,941.6,13.5,8.8,1.7,4,6.9,1,22.2,21.7
Fronteira,53.2,5.1,956.7,12.2,8.7,-1.4,9.8,13.5,7.3,14.1,22.2
Gavião,17.3,1.8,864.8,9.5,4.3,1.5,18.4,27.1,13.7,18.2,28
Marvão,44.1,4.2,858.9,19.6,6.1,-2.5,6.4,11,8.7,15.4,19.2
Monforte,31.1,11.8,1034.5,19.5,8,2.6,9.2,17,4.7,20.2,25.5
Nisa,31.9,3.8,854.3,11.9,6.5,-0.5,6.6,19.4,4.9,14.3,14.5
Ponte de Sor,24.6,18.7,1073,13.7,6.6,-0.4,12.3,17.6,6.9,23.9,32.8
Portalegre,25.8,20.4,1041.3,19.5,8.5,2.1,7.9,16.7,11.1,21.9,26.3
Sousel,42.6,0.7,963,10.3,12.2,0.8,5.8,10.9,3.5,17.1,19.2
Alentejo Central,28,23,1086.8,17.1,9.3,0,7.9,15,5.5,22.8,27.5
Alandroal,43.9,7.6,994.8,10.6,10,2.8,6.8,38.5,14.5,28.5,37.7
Arraiolos,35.8,1.7,1024.8,13.3,8.5,-0.3,12,15.2,11.7,25.6,32.8
Borba,45.2,13,992.8,11.4,7.1,-0.5,7,16.2,6.1,20.3,20.5
Estremoz,32.1,13.9,1001.6,13.7,9.2,0.6,7,13.7,0.6,16.7,23.3
Évora,19.6,37.6,1166.6,21.6,9.7,-0.6,7.8,15.2,4.9,25.4,30.6
Montemor-o-Novo,39.7,14.8,1007.4,13.2,7.7,-0.1,6.9,12.8,6.3,17.3,22.3
Mora,32.6,0.7,1010.6,14.7,11.6,2.2,13.8,12.8,9.6,18.7,28.3
Mourão,37.7,1.5,937.7,17,6,2,4.3,9.7,4.5,19.5,23
Portel,39.3,0,965.5,10.6,8.1,-2.5,9.4,10.2,12.3,23.9,27.9
Redondo,40.4,3.2,985.6,12.5,7.6,-1,6.1,15,5.8,23.5,24
Reguengos de Monsaraz,37.9,8,985.8,13.6,9.5,0.6,7.5,14.5,8.1,20.5,27.5
Vendas Novas,24.5,22.9,1095.4,12.9,10.5,2,7,15.3,8.4,20.9,27.3
Viana do Alentejo,38.7,1.3,951.1,13.9,10,1.7,4.8,12.4,2.7,16.4,17.6
Vila Viçosa,29.6,6.3,1112.9,13.8,8.3,-1,8.5,12.1,8.1,10,20.1
Algarve,27.8,22.5,1071,16,11.3,-1.1,5.8,12.9,2.3,20.6,26.8
Albufeira,25,23.5,1062.1,12.4,12.2,-3.5,6.2,11,1.1,16.2,26.5
Alcoutim,37.5,4.4,897.4,15.8,7.6,-0.7,4.6,14.5,6,15.9,23.5
Aljezur,54.3,2.6,915.7,10.2,11.9,0.5,1.7,10.3,5.9,11.9,15
Castro Marim,33.7,2.6,894.5,9.1,11.2,-0.8,5.1,8.2,3,16.8,17.7
Faro,21.7,31.5,1215,26.3,9.8,-0.9,7.2,18.9,8.1,24.9,31.8
Lagoa,27.4,22.3,1072,14.1,11.4,-1.7,5.5,12.8,4.1,18.5,26.9
Lagos,34.3,15.5,1019.3,13.1,11.4,0.7,4.4,10.7,2.6,16.4,21.2
Loulé,26.6,22.7,1082.9,14.3,11.4,-1.2,5.9,10.8,1.1,17.2,25.8
Monchique,46.4,1.1,935.3,10.7,5.2,-4.4,3.2,24.4,5.5,23.1,24.9
Olhão,29.7,12.2,993.2,14.1,8.9,0.5,5,8,1.7,18.1,21.9
Portimão,22.6,32.7,1081.9,17.9,14.2,-0.3,6.3,14.9,3.3,22.8,29.6
São Brás de Alportel,42,14.9,997.3,17.9,10.7,2.6,3.8,18.4,2.5,20.3,24.5
Silves,35.6,16.2,1011,12.6,11.8,0.7,4.6,14.5,2.4,20.1,25.5
Tavira,32.4,17.2,967.2,13.2,10.9,-1.9,3.4,9.7,2,19.8,24.7
Vila do Bispo,45.3,4,960.2,8.6,11,-4.1,3.9,8.3,7.4,11.3,15.9
Vila Real de Santo António,35.4,9.9,966,8.3,10.4,0.1,7.9,15.6,2.4,20.9,24.8
R. A. Açores,21.1,21.9,1131.3,14.9,5.9,-0.2,7.2,25.4,3.6,28.1,33.9
Santa Maria,25.2,30.3,1779.3,12.9,4.5,-1.7,19.9,79.2,19.2,66,87.1
Vila do Porto,25.2,30.3,1779.3,12.9,4.5,-1.7,19.9,79.2,19.2,66,87.1
São Miguel,18.5,21.1,1141,15,5.4,-0.3,8,23.3,3.3,28.2,36.3
Lagoa (R.A.A.),18.9,10.6,972.5,12.5,6.6,-1.5,2.7,12.9,2.1,29.2,31.2
Nordeste,26.5,4.4,890.2,9,5.3,0.3,1.4,26.4,5.2,16.8,19.7
Ponta Delgada,18.1,24.7,1239.4,17.9,5.4,-0.1,11.3,26,3.8,28,38.8
Povoação,25,9.5,1036.6,8.2,2.8,-1.1,14.7,21.9,27.6,17.5,36.7
Ribeira Grande,16.5,17.6,1001.4,10.2,5.2,-0.6,3.7,12.9,5.6,26.3,29.4
Vila Franca do Campo,24,18.8,879.2,8.5,5.1,0,0.4,10.2,6.9,20.4,22.5
Terceira,22.7,25.7,1097.2,16.5,6.8,0,1.3,23.1,4.6,28.6,31.1
Angra do Heroísmo,23.4,30.4,1106.8,18.8,7.4,0.5,1.5,24.3,5.1,32.8,35.2
Vila da Praia da Vitória,21.5,16.5,1078.1,11.9,5.6,-0.9,7.5,24.7,3.6,19.1,23.3
Graciosa,26.5,19.1,1044.3,7.7,7.4,0.6,9.3,29.4,5.6,22.4,28.7
Santa Cruz da Graciosa,26.5,19.1,1044.3,7.7,7.4,0.6,9.3,29.4,5.6,22.4,28.7
São Jorge,29.1,8.6,1008,10.3,5.4,-0.4,4.9,25.4,1.6,17.5,20.7
Calheta (R.A.A.),22,2.2,945.8,10.3,5.3,-1.8,3.2,13.8,1.6,22.4,26.2
Velas,33.3,12.6,1045.6,10.2,5.6,0.5,5.5,29.2,3.3,16.5,20.1
Pico,33.7,14.3,976.8,11.3,8.2,1.4,6.3,20.7,1.7,11.3,18.2
Lajes do Pico,29.6,4,924.8,12,7.2,-1.5,5,21.4,1.7,10.1,13.6
Madalena,33.8,17.7,957.1,11.8,9.8,2.9,3.6,13.9,4.3,11.7,16.9
São Roque do Pico,36.3,14.9,1051.2,9.8,6,0.7,9.7,37.5,10.3,13.3,26.4
Faial,23,25.8,1153.6,16,6.1,0,9.6,23.3,3.8,26.8,28.8
Horta,23,25.8,1153.6,16,6.1,0,9.6,23.3,3.8,26.8,28.8
Flores,29.9,19.5,1090.8,9.2,9.4,0,16.7,38.5,1.7,32.7,33.5
Lajes das Flores,38.3,5.5,984.1,10.2,17.8,5.4,8.6,33.1,4.4,15.5,22.8
Santa Cruz das Flores,26.1,25.8,1139,8.8,5.7,-2.3,19.8,39.4,3.5,41.1,37.4
Corvo,14.9,29.8,1238.9,10.6,6.4,-3.9,2.8,36.8,8.9,21.1,35.4
Corvo,14.9,29.8,1238.9,10.6,6.4,-3.9,2.8,36.8,8.9,21.1,35.4
R. A. Madeira,21.6,27.9,1171.4,17.9,6.4,0,6.6,18.5,2.8,28.6,35.3
Calheta (R.A.M.),15.8,50,1217.4,9.1,3,-0.7,12.4,27.9,21,30.6,41.8
Câmara de Lobos,29.2,6.5,1015.9,10,6,1.5,3.8,20,7.9,22.3,29.3
Funchal,19.4,33.7,1238.7,22.3,7,0,6.9,16.3,2.2,29.3,36.5
Machico,22.6,10.3,1111.9,14.3,5.1,-3.2,8.3,11.8,3.2,31.8,38.7
Ponta do Sol,40.8,21.6,873.4,8.5,4.3,-1.3,2.5,15.7,4.7,7,15.1
Porto Moniz,39.2,6.1,880.7,5.7,12.5,0.9,10.2,40.9,14,13.2,29
Ribeira Brava,24.3,14.4,956.6,11.4,4.3,0.8,4.8,15,1.2,21,22.8
Santa Cruz,23.8,18.2,1066.1,10.6,5.4,0.7,5.2,20.8,4.1,25.2,29.9
Santana,32.2,11.4,906.1,10.7,2.2,-0.4,6.9,15.7,3.8,17,21.6
São Vicente,42.8,2.6,863,7,4.4,-0.6,4.4,22.4,2.1,14.8,20.9
Porto Santo,22.1,24.7,1206,6.2,11.7,0.4,16.2,34,10.1,31.7,36.6
