,"Proporção de TCO em estabelecimentos de empresas com menos de 10 trabalhadores, %","Proportion of employees in establishments of enterprises with 250 or more workers, %","Ganho médio mensal, €","Proporção de TCO com ensino superior, %","Proporção de TCO que mudou de empresa , %","Taxa de atração líquida de TCO, %","Disparidade no ganho médio mensal por sexo, %","Disparidade no ganho médio mensal por escalão de empresa, %","Disparidade no ganho médio mensal por setor de atividade, %","Disparidade no ganho médio mensal por nível de habilitações, %","Disparidade no ganho médio mensal por profissão principal, %"
Castelo de Paiva,24.8,13.8,886.6,8.2,7,0.1,4.8,8.1,3.6,18.4,21.4
Celorico de Basto,34.2,4.1,845,9.2,7.7,0,5.8,10.7,1.9,10.8,14.2
Cinfães,18.9,1,947,5,43.4,4.3,6.7,11.4,5.5,7,12.3
Felgueiras,19.1,6.3,908.9,7,7.5,-1.5,7.6,10.2,3.6,16.9,23.2
Lousada,22.1,8.3,893.7,7.8,11.9,-1.1,7.5,6.6,5.7,15.2,19.6
Marco de Canaveses,24.6,3.4,904.2,8.8,12.6,-0.7,6.2,12.1,1.5,13.5,17.5
Paços de Ferreira,23.7,17.7,933.6,9.3,7.7,0.1,6.3,13,7.2,20,23.5
Penafiel,21,22,1037.1,16,9.1,2,2.8,24.9,9.3,31.6,35.5
Resende,35.6,1.9,880.1,13.5,10.8,8,5.5,16.1,5.4,9.5,14.8
Douro,32.1,15.8,993.7,20.4,7.7,-0.1,3.7,22.4,2.7,25.5,29.6
Alijó,39.1,7.8,950.6,16.4,6.1,-0.4,7,16.1,7.7,22.5,28.4
Armamar,42,0.9,906.8,14.3,12.4,6.5,4.1,9.6,3.4,20.4,23.5
Carrazeda de Ansiães,49,7.2,882.5,14.7,8.6,1.2,4.3,17.2,2.2,18.5,21.8
Freixo de Espada à Cinta,26.1,4.6,900.7,19.9,3.3,-2.6,2.1,13.6,1,22.9,22.8
Lamego,31,13.4,958,17.5,7.3,1.6,4.5,18.2,5.1,21.4,28.1
Mesão Frio,35.2,3,855.9,11.6,6.2,-1.2,6,24.6,4.4,11.8,18
Moimenta da Beira,37.8,1.7,877.4,16.1,3.9,-0.5,8,15.6,2.7,15.3,23.7
Murça,35.4,8.4,938,16.5,6.2,1.6,0.6,14.6,5.2,21.5,23.4
Penedono,46.5,1.3,831.8,13.3,2.9,-1.9,1.4,20.4,6,15.8,17.9
Peso da Régua,35.5,15.4,1005.1,19.9,5.4,-1.6,9.3,30,10.2,20.6,25.8
Sabrosa,34.3,5.1,984.9,19.9,8.5,2.6,3.2,14.5,9.3,24.4,26.3
Santa Marta de Penaguião,30.2,1.1,871.6,15.1,3.9,1.6,0.1,19.7,1,20.2,22.1
São João da Pesqueira,41.6,5.7,980.4,15.5,5.8,-0.7,7.4,20.9,2.9,26.9,29.5
Sernancelhe,38.7,3.8,848.4,12.1,5.8,-2,4.5,18.9,2.5,14.3,16.8
Tabuaço,32.5,7.5,973.4,17.4,6.7,1.5,6.2,21.9,6.1,29.2,28.9
Tarouca,26.1,0.7,855.2,10.4,15.7,-4.5,2.6,14.3,2.1,18.1,23.6
Torre de Moncorvo,43.7,7.2,891.7,16.9,6,0.3,4.4,24.8,2.9,19.3,22.8
Vila Nova de Foz Côa,37.3,10.3,935.4,17.9,7.9,0.4,7.5,15.6,5.8,21.1,22.7
Vila Real,25,31.2,1115.3,28,8.8,-0.6,1.6,24.4,2.8,29.7,36.5
Terras de Trás-os-Montes,33.1,22.1,988.2,22.9,5.8,1,4.1,20.2,2.4,22.6,27
Alfândega da Fé,32.4,5.4,889.9,16.4,2.6,2.5,3.5,18.7,5.9,22.7,19.8
Bragança,27.2,30.9,1046.9,28.7,6.3,0.8,3.7,20.6,3,25.3,31.5
Macedo de Cavaleiros,39.5,19.6,930.7,19.8,6.2,5.5,0.8,17.9,4.6,23.3,26.3
Miranda do Douro,40.5,7,916,14.8,3.8,-2.2,7.3,32,5.2,18.4,26.9
Mirandela,33.4,24.5,1001.4,22.3,5.9,0.1,4.5,18.5,3.1,19.3,25.2
Mogadouro,42.9,4.9,921,17.4,4.2,0.2,8.6,27.7,2.8,12.8,20.5
Vila Flor,29.1,18.6,969.8,16.2,6.1,4.1,4,11.7,5.1,20.1,23
Vimioso,32.4,5.9,890.3,19.2,20.8,-1.6,1.3,21.5,3.4,22.8,22.1
Vinhais,52.8,4.1,853.9,12.2,3.3,-0.9,3.3,16.6,4.6,22.2,26.8
Centro,22,23.7,1104.1,19.2,9,0.1,10.3,13,4.2,21.5,28.1
Oeste,25.3,17.6,1061.1,13.9,9.5,-0.4,9.3,11.5,3.5,19.5,25.8
Alcobaça,25,5.6,1038.7,13.7,9.3,0.3,9.4,11.2,4.8,15.4,23.9
Alenquer,17.3,30.3,1217.7,12.5,8.7,0.1,9.5,14.4,5,27.9,35.2
Arruda dos Vinhos,22.5,25.4,1107.8,19.5,9.9,-4.4,7.4,16.3,1.2,25,28.3
Bombarral,31.3,8.1,967.7,11.3,8.9,0.3,3.6,13.6,6.5,17,19.5
Cadaval,28.3,6,1017.5,13.5,6.4,-1,10.4,21.1,5,20.8,25.2
Caldas da Rainha,24.6,30.5,1019.3,14.4,11.7,-0.2,10.1,11.7,4.3,20.4,26
Lourinhã,37.6,3.6,999.7,10.5,10.8,1.8,9,11.1,10.1,8.9,21.1
Nazaré,31.4,12.6,1030.9,14.2,10.3,-0.4,11.1,19.1,1.7,16.1,27.1
Óbidos,25.2,8.2,1026.1,20.6,8.1,-5.4,7,9.8,2.2,19.3,24.8
Peniche,31.4,15.8,995.2,11.9,7.5,-1.8,10,8.4,6.1,16.7,23.6
Sobral de Monte Agraço,28,4.6,1029.8,9.8,8.7,1,7.3,11.1,4,17.1,20.1
Torres Vedras,24.4,18.9,1073.5,14.4,9.1,0.1,7.7,13.7,6.1,21.4,27.8
Região de Aveiro,16.4,30.1,1165.9,20.7,9.6,0.4,11.6,11.8,4.4,24.6,31.4
Águeda,17.9,11.1,1089.1,17.3,8.1,-0.2,11.9,7.2,3,19.7,30.9
Albergaria-a-Velha,16.6,22.4,1139.9,16.3,9.3,0.2,10.8,11.5,4.9,20.1,29
Anadia,21.3,23,1035.4,17.5,7.6,2.4,8.6,8.8,4.9,19.3,25.5
Aveiro,13.8,44,1286.1,28.5,12.1,-1,12.3,13.6,8.4,28.7,34.3
Estarreja,12.2,35.6,1297,16.6,9,1.2,14,17.1,7.5,20.7,31.1
Ílhavo,17.4,27.5,1179,23,9.6,2.5,14.7,11.8,1.6,23,33.3
Murtosa,24.2,20,941.1,13.1,6.8,-1.4,8.3,16.8,1.6,18.1,21.9
Oliveira do Bairro,18.7,7.4,1094.6,17.9,9.5,-0.7,10.6,9.2,4.8,17.2,27.3
Ovar,14.4,40.3,1114.5,16.9,8.7,2,8.7,11.3,8.2,26.2,31.2
Sever do Vouga,29.8,10.1,1123.9,14.4,8.9,0.4,12.9,17,8.9,15.9,22.6
Vagos,19.6,31.1,1046.8,20.2,7.9,0.2,7.3,9.4,6.7,22.9,31.8
Região de Coimbra,21.5,26.1,1119.5,22.9,8.2,0.3,10.6,14,2.9,23.2,29.2
Arganil,28.3,7.5,893,10.3,6,0.1,6.7,8.2,0.4,15,20.6
Cantanhede,19,24.4,1109.5,19.7,7.3,-0.1,9.8,12,4.3,23,27.8
Coimbra,20.8,35.4,1214.2,33.4,8.3,-0.6,10.2,14.6,2.3,26.4,32.9
Condeixa-a-Nova,21,14.1,1016.5,20.9,8,0.4,10.7,9.7,1.5,15.6,24.3
Figueira da Foz,18,32.2,1202.7,18.4,8.2,2.1,14.5,16.1,12.3,22,30.2
Góis,41.6,7.7,844.6,11.4,5.7,-0.4,1.7,3.3,4.3,13.6,15.9
Lousã,25.5,17.3,1017.2,19.8,8.1,2.1,6.8,18.3,5.2,20,23.3
Mealhada,18.1,28.2,1170.5,16.1,12,2.9,11.1,15.6,3.5,12.3,23.4
Mira,31.2,1.3,965.8,16.4,7,-0.9,7.4,14.9,2.3,16.7,30.6
Miranda do Corvo,36.4,24.4,921.7,17.4,6.3,0.2,5.2,12.2,4,14.8,20.8
Montemor-o-Velho,25.6,4.3,1011.2,14.8,9.6,-2.1,5.9,8.1,4.8,15,21.2
Mortágua,18.2,22.7,1072.7,25.8,10.5,-1.1,9.7,11.2,0.7,20.2,27.2
Oliveira do Hospital,24.4,14.1,949.5,14.6,6.1,-0.1,7.4,17.6,1.8,18.7,22.8
Pampilhosa da Serra,28.7,8.1,877.3,10,5.3,-0.7,2.5,8.1,5.2,17.4,19.7
Penacova,33.2,2.7,1020,11.7,9,1.4,9.6,19.9,14.1,11.4,22.3
Penela,17.4,7.6,977.7,22.3,10,1.2,9.1,8.7,4.8,14.9,22
Soure,29.5,9.9,1017,14.4,6.7,0.7,11.5,16.8,9.1,18.5,23.9
Tábua,18.6,33,922.5,10.2,5.4,-1.6,9.9,15.1,7.8,23.2,33.1
Vila Nova de Poiares,20.1,20.8,973.2,11.2,8.3,2.9,10.4,15.1,4.1,19,24.2
Região de Leiria,23,15.6,1150.1,18.8,10.5,0.2,11.5,11.3,6.2,17,25.3
Alvaiázere,35.3,1.9,950.8,11.9,11.9,2.7,6.4,12,4.6,11.3,17.3
Ansião,27.1,2.3,969,13.3,10.4,2.7,8.8,15,2,14.5,21.1
Batalha,24.3,4.4,1125.6,14,9.1,0.8,12.2,8,3.5,13.7,23.8
Castanheira de Pêra,19,1,938.5,14,6.7,1.9,11.5,15.7,9,20.2,19.8
Figueiró dos Vinhos,46.1,4.1,913,15.8,5.6,-3.9,4,25.9,1.6,16.2,20.1
Leiria,21.7,20.2,1159.5,21.7,11.6,0,10.9,11.4,5.1,17.6,26.4
Marinha Grande,17.7,13.7,1329.9,21.7,10.5,0.3,15.3,10.9,11.9,14.6,28.7
