,Total (N.º),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (N.º)","Profissão principal, Especialistas das atividades intelectuais e científicas (N.º)","Profissão principal, Técnicos/as e profissionais de nível intermédio (N.º)","Profissão principal, Pessoal administrativo  (N.º)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (N.º)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (N.º)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (N.º)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (N.º)","Profissão principal, Trabalhadores/as não qualificados  (N.º)"
Tavira,4778,218,280,368,509,1506,243,528,137,989
Vila do Bispo,959,51,44,53,115,356,67,37,34,202
Vila Real de Santo António,3210,224,142,179,389,1119,79,312,198,568
R. A. Açores,38796,1258,3363,3804,5401,9600,624,5549,2051,7146
Santa Maria,762,25,…,145,102,211,…,106,31,127
Vila do Porto,762,25,…,145,102,211,…,106,31,127
São Miguel,23082,758,1923,2274,3279,5376,413,3246,1383,4430
Lagoa (R.A.A.),1874,61,137,148,211,332,42,316,181,446
Nordeste,411,17,30,20,33,138,17,52,24,80
Ponta Delgada,14428,523,1400,1610,2360,3368,167,1576,662,2762
Povoação,587,12,32,47,64,185,46,65,5,131
Ribeira Grande,4694,123,273,390,460,1054,128,962,463,841
Vila Franca do Campo,1088,22,51,59,151,299,13,275,48,170
Terceira,8564,258,947,823,1118,2237,127,1302,355,1397
Angra do Heroísmo,5712,184,707,546,685,1579,77,816,251,867
Vila da Praia da Vitória,2852,74,240,277,433,658,50,486,104,530
Graciosa,491,10,23,45,50,135,3,73,19,133
Santa Cruz da Graciosa,491,10,23,45,50,135,3,73,19,133
São Jorge,1111,54,64,80,135,339,11,212,54,162
Calheta (R.A.A.),418,13,28,24,37,124,4,105,19,64
Velas,693,41,36,56,98,215,7,107,35,98
Pico,1862,68,100,160,264,482,24,307,70,387
Lajes do Pico,351,14,24,26,40,105,6,74,3,59
Madalena,1001,45,46,74,164,248,15,133,34,242
São Roque do Pico,510,9,30,60,60,129,3,100,33,86
Faial,2466,66,276,227,356,694,40,268,121,418
Horta,2466,66,276,227,356,694,40,268,121,418
Flores,411,…,…,44,90,114,…,29,…,85
Lajes das Flores,128,7,…,8,36,25,0,9,…,32
Santa Cruz das Flores,283,…,7,36,54,89,…,20,10,53
Corvo,47,…,…,6,7,12,…,6,…,7
Corvo,47,…,…,6,7,12,…,6,…,7
R. A. Madeira,41801,1343,4916,4056,5353,11583,368,5607,2473,6083
Calheta (R.A.M.),1583,31,80,162,113,390,36,273,224,274
Câmara de Lobos,2350,85,111,207,199,659,42,539,190,318
Funchal,26500,920,4081,2673,3671,7096,141,2926,1363,3615
Machico,2244,75,196,186,226,564,11,459,185,341
Ponta do Sol,733,13,25,41,204,188,17,139,42,64
Porto Moniz,212,…,4,7,19,107,…,10,5,52
Ribeira Brava,1538,29,138,133,120,584,3,221,51,259
Santa Cruz,4569,140,215,420,601,1212,102,840,337,699
Santana,475,…,19,69,39,178,…,36,17,104
São Vicente,570,11,21,40,53,200,6,83,22,133
Porto Santo,1027,22,26,118,108,405,6,81,37,224
