,"Quintis do rendimento bruto declarado deduzido do IRS Liquidado por agregado fiscal, 1º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por agregado fiscal, 2º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por agregado fiscal, 3º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por agregado fiscal, 4º quintil, €","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, Menos de
 5 000 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 5 000  a menos de 10 000 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 10 000 a menos de 13 500 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 13 500 a menos de 19 000 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 19 000 a menos de 32 500 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, 32 500 € ou mais, N.º"
Lagoa (R.A.A.),5606,8626,11719,20297,1105,2202,916,757,853,573
Nordeste,5128,8290,10438,16851,407,772,326,227,234,93
Ponta Delgada,7081,10166,16003,26211,3901,9254,4715,4657,6477,4710
Povoação,4263,7500,10323,17052,645,941,368,289,330,136
Ribeira Grande,5790,8811,12167,20431,2109,4176,1853,1635,1929,953
Vila Franca do Campo,5257,8078,10346,17623,814,1727,595,474,490,273
Terceira,6963,9822,14567,23560,3342,7754,4126,3936,4820,2904
Angra do Heroísmo,6841,9731,14565,23995,2176,5169,2581,2473,3098,1997
Vila da Praia da Vitória,7220,10006,14576,22816,1166,2585,1545,1463,1722,907
Graciosa,5881,8894,11997,19925,332,663,357,273,295,153
Santa Cruz da Graciosa,5881,8894,11997,19925,332,663,357,273,295,153
São Jorge,5456,8799,11939,19114,793,1428,691,626,618,280
Calheta (R.A.A.),4875,8512,11056,17761,389,633,301,267,236,85
Velas,6008,9010,12591,20465,404,795,390,359,382,195
Pico,6473,9188,13094,20702,958,2195,1058,1075,1048,549
Lajes do Pico,6475,9195,12990,20157,278,670,338,329,298,160
Madalena,6668,9361,13605,21024,422,979,477,510,513,248
São Roque do Pico,6234,9007,12758,20431,258,546,243,236,237,141
Faial,7023,9868,14960,24328,888,2168,1092,1089,1350,866
Horta,7023,9868,14960,24328,888,2168,1092,1089,1350,866
Flores,5902,8980,12490,20422,301,629,276,276,294,134
Lajes das Flores,//,//,//,//,118,267,99,111,93,50
Santa Cruz das Flores,//,//,//,//,183,362,177,165,201,84
Corvo,//,//,//,//,32,63,31,23,46,17
Corvo,//,//,//,//,32,63,31,23,46,17
R. A. Madeira,6674,9487,13612,22294,15012,34852,18469,16138,19614,10566
Calheta (R.A.M.),4949,8426,11054,18383,806,1317,614,501,514,235
Câmara de Lobos,5914,8578,10909,16877,1974,4927,2327,1677,1489,518
Funchal,7104,10041,14951,24587,6420,14982,8479,7720,9869,6340
Machico,6674,9267,12680,19770,1156,2881,1550,1328,1352,542
Ponta do Sol,5335,8288,11061,18794,544,1078,451,349,422,168
Porto Moniz,//,//,//,//,183,392,148,128,139,56
Ribeira Brava,5957,8875,11894,18835,690,1701,751,705,704,239
Santa Cruz,7118,10219,15531,24322,2214,5016,2883,2742,3968,1907
Santana,5796,8450,10613,16945,444,1135,455,337,340,115
São Vicente,6072,8648,11397,18239,285,661,315,221,238,103
Porto Santo,7532,10578,15659,25012,296,762,496,430,579,343
