," Sujeito passivo, Rendimento bruto declarado, Coeficiente de Gini, %"," Sujeito passivo, Rendimento bruto declarado, Desigualdade na distribuição do rendimento (P80/P20), N.º"," Sujeito passivo, Rendimento bruto declarado, Desigualdade na distribuição do rendimento (P90/P10), N.º"," Sujeito passivo, Rendimento bruto declarado deduzido do IRS liquidado, Coeficiente de Gini, %"," Sujeito passivo, Rendimento bruto declarado deduzido do IRS liquidado, Desigualdade na distribuição do rendimento (P80/P20), N.º"," Sujeito passivo, Rendimento bruto declarado deduzido do IRS liquidado, Desigualdade na distribuição do rendimento (P90/P10), N.º"
Vimioso,39.2,3,7,35.8,2.8,6.5
Vinhais,37.1,2.7,5.9,33.9,2.6,5.3
Centro,38.6,2.9,5.7,34,2.7,4.9
Oeste,38.3,2.9,5.7,33.8,2.6,4.9
Alcobaça,35,2.5,4.7,31,2.4,4.1
Alenquer,35.8,2.7,5,31.6,2.5,4.3
Arruda dos Vinhos,39.8,3.2,6,34.9,2.8,5.1
Bombarral,38.6,2.8,5.8,34.3,2.6,5.1
Cadaval,37.7,2.9,5.4,33.6,2.7,4.8
Caldas da Rainha,39.9,3.1,6.2,35.4,2.8,5.4
Lourinhã,39.5,3,6.5,35.3,2.8,5.6
Nazaré,37.1,2.8,5.8,33.1,2.6,5.1
Óbidos,39.4,3,6.1,35.1,2.7,5.4
Peniche,37.2,2.8,5.6,33,2.6,4.8
Sobral de Monte Agraço,38.3,3,5.8,33.7,2.7,4.9
Torres Vedras,39.6,3,5.9,34.9,2.8,5.1
Região de Aveiro,38.8,2.9,5.8,34.2,2.7,5
Águeda,36.3,2.6,4.8,32,2.4,4.2
Albergaria-a-Velha,34.9,2.6,4.9,31.2,2.4,4.3
Anadia,39.2,2.8,5.4,34.5,2.6,4.7
Aveiro,40.8,3.3,6.8,35.5,2.9,5.5
Estarreja,36.5,2.8,5.3,32.4,2.6,4.6
Ílhavo,39.3,3,6.3,34.6,2.7,5.4
Murtosa,41.8,3.5,9.5,37.8,3.2,8.2
Oliveira do Bairro,35.8,2.7,5.1,32,2.5,4.5
Ovar,37.8,2.8,5.6,33.3,2.6,4.8
Sever do Vouga,35.1,2.7,5,31.5,2.5,4.5
Vagos,37.9,2.9,5.6,33.8,2.7,5
Região de Coimbra,40.2,3.1,6.1,35.2,2.8,5.1
Arganil,34.5,2.5,4.5,31.2,2.4,4.1
Cantanhede,38.2,3,5.9,34.2,2.8,5.1
Coimbra,42.5,3.6,7.2,36.7,3,5.7
Condeixa-a-Nova,36.1,2.9,5.4,31.9,2.6,4.6
Figueira da Foz,39.3,3.1,6,34.4,2.7,5.1
